Orthogroup	Chordata_Vertebrata_Homo_sapiens	Ctenophora_Nuda_Beroe_ovata
OG0000078	Homo_sapiens_sp_Q9UJW2_TINAG_HUMAN sp|Q9UJW2|TINAG_HUMAN Tubulointerstitial nephritis antigen OS=Homo sapiens OX=9606 GN=TINAG PE=2 SV=3, Homo_sapiens_sp_Q9GZM7_TINAL_HUMAN sp|Q9GZM7|TINAL_HUMAN Tubulointerstitial nephritis antigen-like OS=Homo sapiens OX=9606 GN=TINAGL1 PE=1 SV=1, Homo_sapiens_sp_P43235_CATK_HUMAN sp|P43235|CATK_HUMAN Cathepsin K OS=Homo sapiens OX=9606 GN=CTSK PE=1 SV=1	Beroe_ovata_Bova1_4.0097.g25.t1 Bova1_4.0097.g25.t1, Beroe_ovata_Bova1_4.0199.g16.t1 Bova1_4.0199.g16.t1, Beroe_ovata_Bova1_4.0018.g111.t1 Bova1_4.0018.g111.t1, Beroe_ovata_Bova1_4.0122.g38.t1 Bova1_4.0122.g38.t1
OG0000078	Homo_sapiens_sp_P01037_CYTN_HUMAN sp|P01037|CYTN_HUMAN Cystatin-SN OS=Homo sapiens OX=9606 GN=CST1 PE=1 SV=3, Homo_sapiens_sp_P01034_CYTC_HUMAN sp|P01034|CYTC_HUMAN Cystatin-C OS=Homo sapiens OX=9606 GN=CST3 PE=1 SV=1, Homo_sapiens_sp_Q15828_CYTM_HUMAN sp|Q15828|CYTM_HUMAN Cystatin-M OS=Homo sapiens OX=9606 GN=CST6 PE=1 SV=1	Beroe_ovata_Bova1_4.0116.g23.t1 Bova1_4.0116.g23.t1, Beroe_ovata_Bova1_4.0169.g19.t1 Bova1_4.0169.g19.t1
OG0000081	Homo_sapiens_sp_Q6UXH1_CREL2_HUMAN sp|Q6UXH1|CREL2_HUMAN Protein disulfide isomerase CRELD2 OS=Homo sapiens OX=9606 GN=CRELD2 PE=1 SV=1, Homo_sapiens_sp_Q96HD1_CREL1_HUMAN sp|Q96HD1|CREL1_HUMAN Protein disulfide isomerase CRELD1 OS=Homo sapiens OX=9606 GN=CRELD1 PE=1 SV=3	Beroe_ovata_Bova1_4.0012.g48.t3 Bova1_4.0012.g48.t3, Beroe_ovata_Bova1_4.0012.g48.t2 Bova1_4.0012.g48.t2, Beroe_ovata_Bova1_4.0012.g48.t1 Bova1_4.0012.g48.t1
OG0000093	Homo_sapiens_sp_P01040_CYTA_HUMAN sp|P01040|CYTA_HUMAN Cystatin-A OS=Homo sapiens OX=9606 GN=CSTA PE=1 SV=1, Homo_sapiens_sp_P04080_CYTB_HUMAN sp|P04080|CYTB_HUMAN Cystatin-B OS=Homo sapiens OX=9606 GN=CSTB PE=1 SV=2	Beroe_ovata_Bova1_4.0024.g37.t1 Bova1_4.0024.g37.t1, Beroe_ovata_Bova1_4.0024.g36.t1 Bova1_4.0024.g36.t1, Beroe_ovata_Bova1_4.0126.g23.t1 Bova1_4.0126.g23.t1, Beroe_ovata_Bova1_4.0024.g35.t1 Bova1_4.0024.g35.t1
OG0000114	Homo_sapiens_sp_Q9Y5Z7_HCFC2_HUMAN sp|Q9Y5Z7|HCFC2_HUMAN Host cell factor 2 OS=Homo sapiens OX=9606 GN=HCFC2 PE=1 SV=1	Beroe_ovata_Bova1_4.0155.g12.t1 Bova1_4.0155.g12.t1, Beroe_ovata_Bova1_4.0155.g12.t2 Bova1_4.0155.g12.t2
OG0000141	Homo_sapiens_sp_O76076_CCN5_HUMAN sp|O76076|CCN5_HUMAN CCN family member 5 OS=Homo sapiens OX=9606 GN=CCN5 PE=1 SV=1, Homo_sapiens_sp_P29279_CCN2_HUMAN sp|P29279|CCN2_HUMAN CCN family member 2 OS=Homo sapiens OX=9606 GN=CCN2 PE=1 SV=2, Homo_sapiens_sp_O00622_CCN1_HUMAN sp|O00622|CCN1_HUMAN CCN family member 1 OS=Homo sapiens OX=9606 GN=CCN1 PE=1 SV=1	Beroe_ovata_Bova1_4.0129.g39.t1 Bova1_4.0129.g39.t1
OG0000148	Homo_sapiens_sp_P10600_TGFB3_HUMAN sp|P10600|TGFB3_HUMAN Transforming growth factor beta-3 proprotein OS=Homo sapiens OX=9606 GN=TGFB3 PE=1 SV=1, Homo_sapiens_sp_P61812_TGFB2_HUMAN sp|P61812|TGFB2_HUMAN Transforming growth factor beta-2 proprotein OS=Homo sapiens OX=9606 GN=TGFB2 PE=1 SV=1, Homo_sapiens_sp_P01137_TGFB1_HUMAN sp|P01137|TGFB1_HUMAN Transforming growth factor beta-1 proprotein OS=Homo sapiens OX=9606 GN=TGFB1 PE=1 SV=3	Beroe_ovata_Bova1_4.0104.g11.t1 Bova1_4.0104.g11.t1
OG0000156	Homo_sapiens_sp_P55081_MFAP1_HUMAN sp|P55081|MFAP1_HUMAN Microfibrillar-associated protein 1 OS=Homo sapiens OX=9606 GN=MFAP1 PE=1 SV=2	Beroe_ovata_Bova1_4.0124.g23.t1 Bova1_4.0124.g23.t1
OG0000171	Homo_sapiens_sp_Q96IV0_NGLY1_HUMAN sp|Q96IV0|NGLY1_HUMAN Peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase OS=Homo sapiens OX=9606 GN=NGLY1 PE=1 SV=1	Beroe_ovata_Bova1_4.0014.g57.t1 Bova1_4.0014.g57.t1
OG0000181	Homo_sapiens_sp_Q2MKA7_RSPO1_HUMAN sp|Q2MKA7|RSPO1_HUMAN R-spondin-1 OS=Homo sapiens OX=9606 GN=RSPO1 PE=1 SV=1, Homo_sapiens_sp_Q9BXY4_RSPO3_HUMAN sp|Q9BXY4|RSPO3_HUMAN R-spondin-3 OS=Homo sapiens OX=9606 GN=RSPO3 PE=1 SV=1	Beroe_ovata_Bova1_4.0127.g30.t1 Bova1_4.0127.g30.t1
OG0000182	Homo_sapiens_sp_A6NCI4_VWA3A_HUMAN sp|A6NCI4|VWA3A_HUMAN von Willebrand factor A domain-containing protein 3A OS=Homo sapiens OX=9606 GN=VWA3A PE=2 SV=3	Beroe_ovata_Bova1_4.0038.g27.t1 Bova1_4.0038.g27.t1
OG0000200	Homo_sapiens_sp_Q502W6_VWA3B_HUMAN sp|Q502W6|VWA3B_HUMAN von Willebrand factor A domain-containing protein 3B OS=Homo sapiens OX=9606 GN=VWA3B PE=1 SV=3	Beroe_ovata_Bova1_4.0002.g138.t1 Bova1_4.0002.g138.t1
OG0000202	Homo_sapiens_sp_Q9NZV1_CRIM1_HUMAN sp|Q9NZV1|CRIM1_HUMAN Cysteine-rich motor neuron 1 protein OS=Homo sapiens OX=9606 GN=CRIM1 PE=1 SV=1	Beroe_ovata_Bova1_4.0420.g8.t2 Bova1_4.0420.g8.t2, Beroe_ovata_Bova1_4.0420.g8.t1 Bova1_4.0420.g8.t1
OG0000214	Homo_sapiens_sp_Q96SY0_INT14_HUMAN sp|Q96SY0|INT14_HUMAN Integrator complex subunit 14 OS=Homo sapiens OX=9606 GN=INTS14 PE=1 SV=2	Beroe_ovata_Bova1_4.0015.g97.t1 Bova1_4.0015.g97.t1
OG0000277	Homo_sapiens_sp_P22792_CPN2_HUMAN sp|P22792|CPN2_HUMAN Carboxypeptidase N subunit 2 OS=Homo sapiens OX=9606 GN=CPN2 PE=1 SV=3	Beroe_ovata_Bova1_4.0113.g12.t3 Bova1_4.0113.g12.t3, Beroe_ovata_Bova1_4.0113.g12.t1 Bova1_4.0113.g12.t1, Beroe_ovata_Bova1_4.0113.g12.t2 Bova1_4.0113.g12.t2
