Orthogroup	Chordata_Vertebrata_Homo_sapiens	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis
OG0000019	Homo_sapiens_sp_Q6KF10_GDF6_HUMAN sp|Q6KF10|GDF6_HUMAN Growth/differentiation factor 6 OS=Homo sapiens OX=9606 GN=GDF6 PE=1 SV=1, Homo_sapiens_sp_P12645_BMP3_HUMAN sp|P12645|BMP3_HUMAN Bone morphogenetic protein 3 OS=Homo sapiens OX=9606 GN=BMP3 PE=1 SV=2, Homo_sapiens_sp_P55107_GDF10_HUMAN sp|P55107|GDF10_HUMAN Growth/differentiation factor 10 OS=Homo sapiens OX=9606 GN=GDF10 PE=2 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.70789 Ccrux.Trinity.70789
OG0000020	Homo_sapiens_sp_P02458_CO2A1_HUMAN sp|P02458|CO2A1_HUMAN Collagen alpha-1_II_ chain OS=Homo sapiens OX=9606 GN=COL2A1 PE=1 SV=3, Homo_sapiens_sp_P02452_CO1A1_HUMAN sp|P02452|CO1A1_HUMAN Collagen alpha-1_I_ chain OS=Homo sapiens OX=9606 GN=COL1A1 PE=1 SV=6, Homo_sapiens_sp_P08123_CO1A2_HUMAN sp|P08123|CO1A2_HUMAN Collagen alpha-2_I_ chain OS=Homo sapiens OX=9606 GN=COL1A2 PE=1 SV=7, Homo_sapiens_sp_P02461_CO3A1_HUMAN sp|P02461|CO3A1_HUMAN Collagen alpha-1_III_ chain OS=Homo sapiens OX=9606 GN=COL3A1 PE=1 SV=4, Homo_sapiens_sp_P05997_CO5A2_HUMAN sp|P05997|CO5A2_HUMAN Collagen alpha-2_V_ chain OS=Homo sapiens OX=9606 GN=COL5A2 PE=1 SV=3	Calvadosia_cruxmelitensis_Ccrux.Trinity.40283 Ccrux.Trinity.40283, Calvadosia_cruxmelitensis_Ccrux.Trinity.21880 Ccrux.Trinity.21880, Calvadosia_cruxmelitensis_Ccrux.Trinity.10871 Ccrux.Trinity.10871
OG0000020	Homo_sapiens_sp_Q17RW2_COOA1_HUMAN sp|Q17RW2|COOA1_HUMAN Collagen alpha-1_XXIV_ chain OS=Homo sapiens OX=9606 GN=COL24A1 PE=1 SV=2, Homo_sapiens_sp_Q8IZC6_CORA1_HUMAN sp|Q8IZC6|CORA1_HUMAN Collagen alpha-1_XXVII_ chain OS=Homo sapiens OX=9606 GN=COL27A1 PE=1 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.27073 Ccrux.Trinity.27073
OG0000021	Homo_sapiens_sp_Q14112_NID2_HUMAN sp|Q14112|NID2_HUMAN Nidogen-2 OS=Homo sapiens OX=9606 GN=NID2 PE=1 SV=3, Homo_sapiens_sp_P14543_NID1_HUMAN sp|P14543|NID1_HUMAN Nidogen-1 OS=Homo sapiens OX=9606 GN=NID1 PE=1 SV=3	Calvadosia_cruxmelitensis_Ccrux.Trinity.30901 Ccrux.Trinity.30901, Calvadosia_cruxmelitensis_Ccrux.Trinity.30902 Ccrux.Trinity.30902
OG0000022	Homo_sapiens_sp_Q9UJ72_ANX10_HUMAN sp|Q9UJ72|ANX10_HUMAN Annexin A10 OS=Homo sapiens OX=9606 GN=ANXA10 PE=1 SV=3	Calvadosia_cruxmelitensis_Ccrux.Trinity.16893 Ccrux.Trinity.16893, Calvadosia_cruxmelitensis_Ccrux.Trinity.16889 Ccrux.Trinity.16889, Calvadosia_cruxmelitensis_Ccrux.Trinity.16885 Ccrux.Trinity.16885, Calvadosia_cruxmelitensis_Ccrux.Trinity.16879 Ccrux.Trinity.16879, Calvadosia_cruxmelitensis_Ccrux.Trinity.1025 Ccrux.Trinity.1025, Calvadosia_cruxmelitensis_Ccrux.Trinity.1024 Ccrux.Trinity.1024
OG0000022	Homo_sapiens_sp_P20073_ANXA7_HUMAN sp|P20073|ANXA7_HUMAN Annexin A7 OS=Homo sapiens OX=9606 GN=ANXA7 PE=1 SV=3	Calvadosia_cruxmelitensis_Ccrux.Trinity.62820 Ccrux.Trinity.62820
OG0000023	Homo_sapiens_sp_P78325_ADAM8_HUMAN sp|P78325|ADAM8_HUMAN Disintegrin and metalloproteinase domain-containing protein 8 OS=Homo sapiens OX=9606 GN=ADAM8 PE=1 SV=2, Homo_sapiens_sp_Q9H2U9_ADAM7_HUMAN sp|Q9H2U9|ADAM7_HUMAN Disintegrin and metalloproteinase domain-containing protein 7 OS=Homo sapiens OX=9606 GN=ADAM7 PE=1 SV=3, Homo_sapiens_sp_O15204_ADEC1_HUMAN sp|O15204|ADEC1_HUMAN ADAM DEC1 OS=Homo sapiens OX=9606 GN=ADAMDEC1 PE=1 SV=2, Homo_sapiens_sp_Q9UKJ8_ADA21_HUMAN sp|Q9UKJ8|ADA21_HUMAN Disintegrin and metalloproteinase domain-containing protein 21 OS=Homo sapiens OX=9606 GN=ADAM21 PE=1 SV=2, Homo_sapiens_sp_Q9UKF2_ADA30_HUMAN sp|Q9UKF2|ADA30_HUMAN Disintegrin and metalloproteinase domain-containing protein 30 OS=Homo sapiens OX=9606 GN=ADAM30 PE=1 SV=2, Homo_sapiens_sp_Q13443_ADAM9_HUMAN sp|Q13443|ADAM9_HUMAN Disintegrin and metalloproteinase domain-containing protein 9 OS=Homo sapiens OX=9606 GN=ADAM9 PE=1 SV=1, Homo_sapiens_sp_O43184_ADA12_HUMAN sp|O43184|ADA12_HUMAN Disintegrin and metalloproteinase domain-containing protein 12 OS=Homo sapiens OX=9606 GN=ADAM12 PE=1 SV=3, Homo_sapiens_sp_Q13444_ADA15_HUMAN sp|Q13444|ADA15_HUMAN Disintegrin and metalloproteinase domain-containing protein 15 OS=Homo sapiens OX=9606 GN=ADAM15 PE=1 SV=4, Homo_sapiens_sp_O75077_ADA23_HUMAN sp|O75077|ADA23_HUMAN Disintegrin and metalloproteinase domain-containing protein 23 OS=Homo sapiens OX=9606 GN=ADAM23 PE=1 SV=1, Homo_sapiens_sp_Q9P0K1_ADA22_HUMAN sp|Q9P0K1|ADA22_HUMAN Disintegrin and metalloproteinase domain-containing protein 22 OS=Homo sapiens OX=9606 GN=ADAM22 PE=1 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.38278 Ccrux.Trinity.38278, Calvadosia_cruxmelitensis_Ccrux.Trinity.38288 Ccrux.Trinity.38288, Calvadosia_cruxmelitensis_Ccrux.Trinity.38282 Ccrux.Trinity.38282, Calvadosia_cruxmelitensis_Ccrux.Trinity.38277 Ccrux.Trinity.38277
OG0000024	Homo_sapiens_sp_Q96NZ8_WFKN1_HUMAN sp|Q96NZ8|WFKN1_HUMAN WAP_ Kazal_ immunoglobulin_ Kunitz and NTR domain-containing protein 1 OS=Homo sapiens OX=9606 GN=WFIKKN1 PE=1 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.24060 Ccrux.Trinity.24060, Calvadosia_cruxmelitensis_Ccrux.Trinity.24062 Ccrux.Trinity.24062
OG0000024	Homo_sapiens_sp_Q9BQ16_TICN3_HUMAN sp|Q9BQ16|TICN3_HUMAN Testican-3 OS=Homo sapiens OX=9606 GN=SPOCK3 PE=1 SV=2, Homo_sapiens_sp_Q08629_TICN1_HUMAN sp|Q08629|TICN1_HUMAN Testican-1 OS=Homo sapiens OX=9606 GN=SPOCK1 PE=1 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.1042 Ccrux.Trinity.1042
OG0000028	Homo_sapiens_sp_P02462_CO4A1_HUMAN sp|P02462|CO4A1_HUMAN Collagen alpha-1_IV_ chain OS=Homo sapiens OX=9606 GN=COL4A1 PE=1 SV=4, Homo_sapiens_sp_P29400_CO4A5_HUMAN sp|P29400|CO4A5_HUMAN Collagen alpha-5_IV_ chain OS=Homo sapiens OX=9606 GN=COL4A5 PE=1 SV=2, Homo_sapiens_sp_Q01955_CO4A3_HUMAN sp|Q01955|CO4A3_HUMAN Collagen alpha-3_IV_ chain OS=Homo sapiens OX=9606 GN=COL4A3 PE=1 SV=3	Calvadosia_cruxmelitensis_Ccrux.Trinity.12863 Ccrux.Trinity.12863, Calvadosia_cruxmelitensis_Ccrux.Trinity.12860 Ccrux.Trinity.12860
OG0000030	Homo_sapiens_sp_P78536_ADA17_HUMAN sp|P78536|ADA17_HUMAN Disintegrin and metalloproteinase domain-containing protein 17 OS=Homo sapiens OX=9606 GN=ADAM17 PE=1 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.10006 Ccrux.Trinity.10006, Calvadosia_cruxmelitensis_Ccrux.Trinity.10008 Ccrux.Trinity.10008, Calvadosia_cruxmelitensis_Ccrux.Trinity.10007 Ccrux.Trinity.10007
OG0000030	Homo_sapiens_sp_O14672_ADA10_HUMAN sp|O14672|ADA10_HUMAN Disintegrin and metalloproteinase domain-containing protein 10 OS=Homo sapiens OX=9606 GN=ADAM10 PE=1 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.26176 Ccrux.Trinity.26176, Calvadosia_cruxmelitensis_Ccrux.Trinity.26172 Ccrux.Trinity.26172, Calvadosia_cruxmelitensis_Ccrux.Trinity.55193 Ccrux.Trinity.55193
OG0000034	Homo_sapiens_sp_Q96KG7_MEG10_HUMAN sp|Q96KG7|MEG10_HUMAN Multiple epidermal growth factor-like domains protein 10 OS=Homo sapiens OX=9606 GN=MEGF10 PE=1 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.29401 Ccrux.Trinity.29401, Calvadosia_cruxmelitensis_Ccrux.Trinity.29405 Ccrux.Trinity.29405
OG0000034	Homo_sapiens_sp_Q7Z7M0_MEGF8_HUMAN sp|Q7Z7M0|MEGF8_HUMAN Multiple epidermal growth factor-like domains protein 8 OS=Homo sapiens OX=9606 GN=MEGF8 PE=1 SV=2	Calvadosia_cruxmelitensis_Ccrux.Trinity.47132 Ccrux.Trinity.47132, Calvadosia_cruxmelitensis_Ccrux.Trinity.47134 Ccrux.Trinity.47134, Calvadosia_cruxmelitensis_Ccrux.Trinity.47135 Ccrux.Trinity.47135, Calvadosia_cruxmelitensis_Ccrux.Trinity.47131 Ccrux.Trinity.47131, Calvadosia_cruxmelitensis_Ccrux.Trinity.5240 Ccrux.Trinity.5240, Calvadosia_cruxmelitensis_Ccrux.Trinity.5241 Ccrux.Trinity.5241, Calvadosia_cruxmelitensis_Ccrux.Trinity.5239 Ccrux.Trinity.5239
OG0000036	Homo_sapiens_sp_O75095_MEGF6_HUMAN sp|O75095|MEGF6_HUMAN Multiple epidermal growth factor-like domains protein 6 OS=Homo sapiens OX=9606 GN=MEGF6 PE=1 SV=4	Calvadosia_cruxmelitensis_Ccrux.Trinity.539 Ccrux.Trinity.539
OG0000036	Homo_sapiens_sp_Q99944_EGFL8_HUMAN sp|Q99944|EGFL8_HUMAN Epidermal growth factor-like protein 8 OS=Homo sapiens OX=9606 GN=EGFL8 PE=1 SV=1, Homo_sapiens_sp_Q9UHF1_EGFL7_HUMAN sp|Q9UHF1|EGFL7_HUMAN Epidermal growth factor-like protein 7 OS=Homo sapiens OX=9606 GN=EGFL7 PE=1 SV=3, Homo_sapiens_sp_Q8IUX8_EGFL6_HUMAN sp|Q8IUX8|EGFL6_HUMAN Epidermal growth factor-like protein 6 OS=Homo sapiens OX=9606 GN=EGFL6 PE=1 SV=1, Homo_sapiens_sp_Q6UXI9_NPNT_HUMAN sp|Q6UXI9|NPNT_HUMAN Nephronectin OS=Homo sapiens OX=9606 GN=NPNT PE=2 SV=3	Calvadosia_cruxmelitensis_Ccrux.Trinity.355 Ccrux.Trinity.355
OG0000037	Homo_sapiens_sp_Q15063_POSTN_HUMAN sp|Q15063|POSTN_HUMAN Periostin OS=Homo sapiens OX=9606 GN=POSTN PE=1 SV=2, Homo_sapiens_sp_Q15582_BGH3_HUMAN sp|Q15582|BGH3_HUMAN Transforming growth factor-beta-induced protein ig-h3 OS=Homo sapiens OX=9606 GN=TGFBI PE=1 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.8137 Ccrux.Trinity.8137, Calvadosia_cruxmelitensis_Ccrux.Trinity.9835 Ccrux.Trinity.9835, Calvadosia_cruxmelitensis_Ccrux.Trinity.9838 Ccrux.Trinity.9838, Calvadosia_cruxmelitensis_Ccrux.Trinity.9837 Ccrux.Trinity.9837, Calvadosia_cruxmelitensis_Ccrux.Trinity.9839 Ccrux.Trinity.9839, Calvadosia_cruxmelitensis_Ccrux.Trinity.9836 Ccrux.Trinity.9836, Calvadosia_cruxmelitensis_Ccrux.Trinity.9834 Ccrux.Trinity.9834
OG0000040	Homo_sapiens_sp_Q9NQ30_ESM1_HUMAN sp|Q9NQ30|ESM1_HUMAN Endothelial cell-specific molecule 1 OS=Homo sapiens OX=9606 GN=ESM1 PE=1 SV=2, Homo_sapiens_sp_Q16270_IBP7_HUMAN sp|Q16270|IBP7_HUMAN Insulin-like growth factor-binding protein 7 OS=Homo sapiens OX=9606 GN=IGFBP7 PE=1 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.51979 Ccrux.Trinity.51979
OG0000041	Homo_sapiens_sp_Q5TIE3_VW5B1_HUMAN sp|Q5TIE3|VW5B1_HUMAN von Willebrand factor A domain-containing protein 5B1 OS=Homo sapiens OX=9606 GN=VWA5B1 PE=1 SV=2	Calvadosia_cruxmelitensis_Ccrux.Trinity.59000 Ccrux.Trinity.59000
OG0000044	Homo_sapiens_sp_P21980_TGM2_HUMAN sp|P21980|TGM2_HUMAN Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens OX=9606 GN=TGM2 PE=1 SV=2, Homo_sapiens_sp_Q08188_TGM3_HUMAN sp|Q08188|TGM3_HUMAN Protein-glutamine gamma-glutamyltransferase E OS=Homo sapiens OX=9606 GN=TGM3 PE=1 SV=4, Homo_sapiens_sp_O95932_TGM3L_HUMAN sp|O95932|TGM3L_HUMAN Protein-glutamine gamma-glutamyltransferase 6 OS=Homo sapiens OX=9606 GN=TGM6 PE=1 SV=3, Homo_sapiens_sp_Q96PF1_TGM7_HUMAN sp|Q96PF1|TGM7_HUMAN Protein-glutamine gamma-glutamyltransferase Z OS=Homo sapiens OX=9606 GN=TGM7 PE=1 SV=1, Homo_sapiens_sp_O43548_TGM5_HUMAN sp|O43548|TGM5_HUMAN Protein-glutamine gamma-glutamyltransferase 5 OS=Homo sapiens OX=9606 GN=TGM5 PE=1 SV=4, Homo_sapiens_sp_P49221_TGM4_HUMAN sp|P49221|TGM4_HUMAN Protein-glutamine gamma-glutamyltransferase 4 OS=Homo sapiens OX=9606 GN=TGM4 PE=1 SV=2, Homo_sapiens_sp_P00488_F13A_HUMAN sp|P00488|F13A_HUMAN Coagulation factor XIII A chain OS=Homo sapiens OX=9606 GN=F13A1 PE=1 SV=5, Homo_sapiens_sp_P22735_TGM1_HUMAN sp|P22735|TGM1_HUMAN Protein-glutamine gamma-glutamyltransferase K OS=Homo sapiens OX=9606 GN=TGM1 PE=1 SV=4	Calvadosia_cruxmelitensis_Ccrux.Trinity.11028 Ccrux.Trinity.11028, Calvadosia_cruxmelitensis_Ccrux.Trinity.11029 Ccrux.Trinity.11029, Calvadosia_cruxmelitensis_Ccrux.Trinity.31172 Ccrux.Trinity.31172, Calvadosia_cruxmelitensis_Ccrux.Trinity.31175 Ccrux.Trinity.31175, Calvadosia_cruxmelitensis_Ccrux.Trinity.31178 Ccrux.Trinity.31178, Calvadosia_cruxmelitensis_Ccrux.Trinity.31183 Ccrux.Trinity.31183
OG0000045	Homo_sapiens_sp_Q16787_LAMA3_HUMAN sp|Q16787|LAMA3_HUMAN Laminin subunit alpha-3 OS=Homo sapiens OX=9606 GN=LAMA3 PE=1 SV=3, Homo_sapiens_sp_O15230_LAMA5_HUMAN sp|O15230|LAMA5_HUMAN Laminin subunit alpha-5 OS=Homo sapiens OX=9606 GN=LAMA5 PE=1 SV=8	Calvadosia_cruxmelitensis_Ccrux.Trinity.3251 Ccrux.Trinity.3251, Calvadosia_cruxmelitensis_Ccrux.Trinity.9800 Ccrux.Trinity.9800, Calvadosia_cruxmelitensis_Ccrux.Trinity.9793 Ccrux.Trinity.9793, Calvadosia_cruxmelitensis_Ccrux.Trinity.71194 Ccrux.Trinity.71194
OG0000045	Homo_sapiens_sp_Q16363_LAMA4_HUMAN sp|Q16363|LAMA4_HUMAN Laminin subunit alpha-4 OS=Homo sapiens OX=9606 GN=LAMA4 PE=1 SV=4	Calvadosia_cruxmelitensis_Ccrux.Trinity.9796 Ccrux.Trinity.9796, Calvadosia_cruxmelitensis_Ccrux.Trinity.2314 Ccrux.Trinity.2314
OG0000049	Homo_sapiens_sp_Q9UIW2_PLXA1_HUMAN sp|Q9UIW2|PLXA1_HUMAN Plexin-A1 OS=Homo sapiens OX=9606 GN=PLXNA1 PE=1 SV=3, Homo_sapiens_sp_O75051_PLXA2_HUMAN sp|O75051|PLXA2_HUMAN Plexin-A2 OS=Homo sapiens OX=9606 GN=PLXNA2 PE=1 SV=4, Homo_sapiens_sp_Q9HCM2_PLXA4_HUMAN sp|Q9HCM2|PLXA4_HUMAN Plexin-A4 OS=Homo sapiens OX=9606 GN=PLXNA4 PE=1 SV=4, Homo_sapiens_sp_O43157_PLXB1_HUMAN sp|O43157|PLXB1_HUMAN Plexin-B1 OS=Homo sapiens OX=9606 GN=PLXNB1 PE=1 SV=3, Homo_sapiens_sp_Q9ULL4_PLXB3_HUMAN sp|Q9ULL4|PLXB3_HUMAN Plexin-B3 OS=Homo sapiens OX=9606 GN=PLXNB3 PE=1 SV=2, Homo_sapiens_sp_O15031_PLXB2_HUMAN sp|O15031|PLXB2_HUMAN Plexin-B2 OS=Homo sapiens OX=9606 GN=PLXNB2 PE=1 SV=3, Homo_sapiens_sp_Q9Y4D7_PLXD1_HUMAN sp|Q9Y4D7|PLXD1_HUMAN Plexin-D1 OS=Homo sapiens OX=9606 GN=PLXND1 PE=1 SV=3, Homo_sapiens_sp_O60486_PLXC1_HUMAN sp|O60486|PLXC1_HUMAN Plexin-C1 OS=Homo sapiens OX=9606 GN=PLXNC1 PE=1 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.36955 Ccrux.Trinity.36955, Calvadosia_cruxmelitensis_Ccrux.Trinity.36954 Ccrux.Trinity.36954
OG0000054	Homo_sapiens_sp_Q14005_IL16_HUMAN sp|Q14005|IL16_HUMAN Pro-interleukin-16 OS=Homo sapiens OX=9606 GN=IL16 PE=1 SV=4	Calvadosia_cruxmelitensis_Ccrux.Trinity.18828 Ccrux.Trinity.18828
OG0000064	Homo_sapiens_sp_Q8N2S1_LTBP4_HUMAN sp|Q8N2S1|LTBP4_HUMAN Latent-transforming growth factor beta-binding protein 4 OS=Homo sapiens OX=9606 GN=LTBP4 PE=1 SV=2, Homo_sapiens_sp_Q14767_LTBP2_HUMAN sp|Q14767|LTBP2_HUMAN Latent-transforming growth factor beta-binding protein 2 OS=Homo sapiens OX=9606 GN=LTBP2 PE=1 SV=3, Homo_sapiens_sp_Q9NS15_LTBP3_HUMAN sp|Q9NS15|LTBP3_HUMAN Latent-transforming growth factor beta-binding protein 3 OS=Homo sapiens OX=9606 GN=LTBP3 PE=1 SV=4, Homo_sapiens_sp_Q14766_LTBP1_HUMAN sp|Q14766|LTBP1_HUMAN Latent-transforming growth factor beta-binding protein 1 OS=Homo sapiens OX=9606 GN=LTBP1 PE=1 SV=4	Calvadosia_cruxmelitensis_Ccrux.Trinity.19626 Ccrux.Trinity.19626
OG0000064	Homo_sapiens_sp_P35556_FBN2_HUMAN sp|P35556|FBN2_HUMAN Fibrillin-2 OS=Homo sapiens OX=9606 GN=FBN2 PE=1 SV=3, Homo_sapiens_sp_Q75N90_FBN3_HUMAN sp|Q75N90|FBN3_HUMAN Fibrillin-3 OS=Homo sapiens OX=9606 GN=FBN3 PE=2 SV=3, Homo_sapiens_sp_P35555_FBN1_HUMAN sp|P35555|FBN1_HUMAN Fibrillin-1 OS=Homo sapiens OX=9606 GN=FBN1 PE=1 SV=4	Calvadosia_cruxmelitensis_Ccrux.Trinity.62793 Ccrux.Trinity.62793
OG0000070	Homo_sapiens_sp_Q92626_PXDN_HUMAN sp|Q92626|PXDN_HUMAN Peroxidasin homolog OS=Homo sapiens OX=9606 GN=PXDN PE=1 SV=2, Homo_sapiens_sp_A1KZ92_PXDNL_HUMAN sp|A1KZ92|PXDNL_HUMAN Probable oxidoreductase PXDNL OS=Homo sapiens OX=9606 GN=PXDNL PE=1 SV=3	Calvadosia_cruxmelitensis_Ccrux.Trinity.11503 Ccrux.Trinity.11503, Calvadosia_cruxmelitensis_Ccrux.Trinity.11506 Ccrux.Trinity.11506, Calvadosia_cruxmelitensis_Ccrux.Trinity.11509 Ccrux.Trinity.11509
OG0000080	Homo_sapiens_sp_P35625_TIMP3_HUMAN sp|P35625|TIMP3_HUMAN Metalloproteinase inhibitor 3 OS=Homo sapiens OX=9606 GN=TIMP3 PE=1 SV=2, Homo_sapiens_sp_P16035_TIMP2_HUMAN sp|P16035|TIMP2_HUMAN Metalloproteinase inhibitor 2 OS=Homo sapiens OX=9606 GN=TIMP2 PE=1 SV=2, Homo_sapiens_sp_P01033_TIMP1_HUMAN sp|P01033|TIMP1_HUMAN Metalloproteinase inhibitor 1 OS=Homo sapiens OX=9606 GN=TIMP1 PE=1 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.5691 Ccrux.Trinity.5691, Calvadosia_cruxmelitensis_Ccrux.Trinity.70554 Ccrux.Trinity.70554
OG0000081	Homo_sapiens_sp_Q6UXH1_CREL2_HUMAN sp|Q6UXH1|CREL2_HUMAN Protein disulfide isomerase CRELD2 OS=Homo sapiens OX=9606 GN=CRELD2 PE=1 SV=1, Homo_sapiens_sp_Q96HD1_CREL1_HUMAN sp|Q96HD1|CREL1_HUMAN Protein disulfide isomerase CRELD1 OS=Homo sapiens OX=9606 GN=CRELD1 PE=1 SV=3	Calvadosia_cruxmelitensis_Ccrux.Trinity.39810 Ccrux.Trinity.39810, Calvadosia_cruxmelitensis_Ccrux.Trinity.39813 Ccrux.Trinity.39813, Calvadosia_cruxmelitensis_Ccrux.Trinity.39808 Ccrux.Trinity.39808
OG0000083	Homo_sapiens_sp_Q12891_HYAL2_HUMAN sp|Q12891|HYAL2_HUMAN Hyaluronidase-2 OS=Homo sapiens OX=9606 GN=HYAL2 PE=1 SV=4	Calvadosia_cruxmelitensis_Ccrux.Trinity.17144 Ccrux.Trinity.17144
OG0000084	Homo_sapiens_sp_P39059_COFA1_HUMAN sp|P39059|COFA1_HUMAN Collagen alpha-1_XV_ chain OS=Homo sapiens OX=9606 GN=COL15A1 PE=1 SV=2, Homo_sapiens_sp_P39060_COIA1_HUMAN sp|P39060|COIA1_HUMAN Collagen alpha-1_XVIII_ chain OS=Homo sapiens OX=9606 GN=COL18A1 PE=1 SV=5	Calvadosia_cruxmelitensis_Ccrux.Trinity.35548 Ccrux.Trinity.35548, Calvadosia_cruxmelitensis_Ccrux.Trinity.35549 Ccrux.Trinity.35549, Calvadosia_cruxmelitensis_Ccrux.Trinity.35546 Ccrux.Trinity.35546
OG0000088	Homo_sapiens_sp_Q9BUD6_SPON2_HUMAN sp|Q9BUD6|SPON2_HUMAN Spondin-2 OS=Homo sapiens OX=9606 GN=SPON2 PE=1 SV=4, Homo_sapiens_sp_Q9HCB6_SPON1_HUMAN sp|Q9HCB6|SPON1_HUMAN Spondin-1 OS=Homo sapiens OX=9606 GN=SPON1 PE=1 SV=2	Calvadosia_cruxmelitensis_Ccrux.Trinity.51932 Ccrux.Trinity.51932
OG0000089	Homo_sapiens_sp_Q9BU40_CRDL1_HUMAN sp|Q9BU40|CRDL1_HUMAN Chordin-like protein 1 OS=Homo sapiens OX=9606 GN=CHRDL1 PE=1 SV=2, Homo_sapiens_sp_Q6WN34_CRDL2_HUMAN sp|Q6WN34|CRDL2_HUMAN Chordin-like protein 2 OS=Homo sapiens OX=9606 GN=CHRDL2 PE=1 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.31544 Ccrux.Trinity.31544, Calvadosia_cruxmelitensis_Ccrux.Trinity.31553 Ccrux.Trinity.31553, Calvadosia_cruxmelitensis_Ccrux.Trinity.31550 Ccrux.Trinity.31550, Calvadosia_cruxmelitensis_Ccrux.Trinity.31548 Ccrux.Trinity.31548, Calvadosia_cruxmelitensis_Ccrux.Trinity.31555 Ccrux.Trinity.31555
OG0000093	Homo_sapiens_sp_P01040_CYTA_HUMAN sp|P01040|CYTA_HUMAN Cystatin-A OS=Homo sapiens OX=9606 GN=CSTA PE=1 SV=1, Homo_sapiens_sp_P04080_CYTB_HUMAN sp|P04080|CYTB_HUMAN Cystatin-B OS=Homo sapiens OX=9606 GN=CSTB PE=1 SV=2	Calvadosia_cruxmelitensis_Ccrux.Trinity.53582 Ccrux.Trinity.53582
OG0000112	Homo_sapiens_sp_Q8WWQ2_HPSE2_HUMAN sp|Q8WWQ2|HPSE2_HUMAN Inactive heparanase-2 OS=Homo sapiens OX=9606 GN=HPSE2 PE=1 SV=3	Calvadosia_cruxmelitensis_Ccrux.Trinity.11290 Ccrux.Trinity.11290
OG0000114	Homo_sapiens_sp_P51610_HCFC1_HUMAN sp|P51610|HCFC1_HUMAN Host cell factor 1 OS=Homo sapiens OX=9606 GN=HCFC1 PE=1 SV=2	Calvadosia_cruxmelitensis_Ccrux.Trinity.12049 Ccrux.Trinity.12049, Calvadosia_cruxmelitensis_Ccrux.Trinity.12051 Ccrux.Trinity.12051
OG0000120	Homo_sapiens_sp_P31431_SDC4_HUMAN sp|P31431|SDC4_HUMAN Syndecan-4 OS=Homo sapiens OX=9606 GN=SDC4 PE=1 SV=2, Homo_sapiens_sp_P34741_SDC2_HUMAN sp|P34741|SDC2_HUMAN Syndecan-2 OS=Homo sapiens OX=9606 GN=SDC2 PE=1 SV=2, Homo_sapiens_sp_P18827_SDC1_HUMAN sp|P18827|SDC1_HUMAN Syndecan-1 OS=Homo sapiens OX=9606 GN=SDC1 PE=1 SV=3, Homo_sapiens_sp_O75056_SDC3_HUMAN sp|O75056|SDC3_HUMAN Syndecan-3 OS=Homo sapiens OX=9606 GN=SDC3 PE=1 SV=2	Calvadosia_cruxmelitensis_Ccrux.Trinity.62450 Ccrux.Trinity.62450
OG0000122	Homo_sapiens_sp_P08253_MMP2_HUMAN sp|P08253|MMP2_HUMAN 72 kDa type IV collagenase OS=Homo sapiens OX=9606 GN=MMP2 PE=1 SV=2, Homo_sapiens_sp_P14780_MMP9_HUMAN sp|P14780|MMP9_HUMAN Matrix metalloproteinase-9 OS=Homo sapiens OX=9606 GN=MMP9 PE=1 SV=3	Calvadosia_cruxmelitensis_Ccrux.Trinity.2403 Ccrux.Trinity.2403
OG0000141	Homo_sapiens_sp_O76076_CCN5_HUMAN sp|O76076|CCN5_HUMAN CCN family member 5 OS=Homo sapiens OX=9606 GN=CCN5 PE=1 SV=1, Homo_sapiens_sp_P29279_CCN2_HUMAN sp|P29279|CCN2_HUMAN CCN family member 2 OS=Homo sapiens OX=9606 GN=CCN2 PE=1 SV=2, Homo_sapiens_sp_O00622_CCN1_HUMAN sp|O00622|CCN1_HUMAN CCN family member 1 OS=Homo sapiens OX=9606 GN=CCN1 PE=1 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.59381 Ccrux.Trinity.59381, Calvadosia_cruxmelitensis_Ccrux.Trinity.56706 Ccrux.Trinity.56706
