Orthogroup	Chordata_Vertebrata_Homo_sapiens	Cnidaria_Anthozoa_Stylophora_pistillata
OG0000022	Homo_sapiens_sp_P20073_ANXA7_HUMAN sp|P20073|ANXA7_HUMAN Annexin A7 OS=Homo sapiens OX=9606 GN=ANXA7 PE=1 SV=3	Stylophora_pistillata_Spis3665 Spis3665 SpisGene3665
OG0000023	Homo_sapiens_sp_P78325_ADAM8_HUMAN sp|P78325|ADAM8_HUMAN Disintegrin and metalloproteinase domain-containing protein 8 OS=Homo sapiens OX=9606 GN=ADAM8 PE=1 SV=2, Homo_sapiens_sp_Q9H2U9_ADAM7_HUMAN sp|Q9H2U9|ADAM7_HUMAN Disintegrin and metalloproteinase domain-containing protein 7 OS=Homo sapiens OX=9606 GN=ADAM7 PE=1 SV=3, Homo_sapiens_sp_O15204_ADEC1_HUMAN sp|O15204|ADEC1_HUMAN ADAM DEC1 OS=Homo sapiens OX=9606 GN=ADAMDEC1 PE=1 SV=2, Homo_sapiens_sp_Q9UKJ8_ADA21_HUMAN sp|Q9UKJ8|ADA21_HUMAN Disintegrin and metalloproteinase domain-containing protein 21 OS=Homo sapiens OX=9606 GN=ADAM21 PE=1 SV=2, Homo_sapiens_sp_Q9UKF2_ADA30_HUMAN sp|Q9UKF2|ADA30_HUMAN Disintegrin and metalloproteinase domain-containing protein 30 OS=Homo sapiens OX=9606 GN=ADAM30 PE=1 SV=2, Homo_sapiens_sp_Q13443_ADAM9_HUMAN sp|Q13443|ADAM9_HUMAN Disintegrin and metalloproteinase domain-containing protein 9 OS=Homo sapiens OX=9606 GN=ADAM9 PE=1 SV=1, Homo_sapiens_sp_O43184_ADA12_HUMAN sp|O43184|ADA12_HUMAN Disintegrin and metalloproteinase domain-containing protein 12 OS=Homo sapiens OX=9606 GN=ADAM12 PE=1 SV=3, Homo_sapiens_sp_Q13444_ADA15_HUMAN sp|Q13444|ADA15_HUMAN Disintegrin and metalloproteinase domain-containing protein 15 OS=Homo sapiens OX=9606 GN=ADAM15 PE=1 SV=4, Homo_sapiens_sp_O75077_ADA23_HUMAN sp|O75077|ADA23_HUMAN Disintegrin and metalloproteinase domain-containing protein 23 OS=Homo sapiens OX=9606 GN=ADAM23 PE=1 SV=1, Homo_sapiens_sp_Q9P0K1_ADA22_HUMAN sp|Q9P0K1|ADA22_HUMAN Disintegrin and metalloproteinase domain-containing protein 22 OS=Homo sapiens OX=9606 GN=ADAM22 PE=1 SV=1	Stylophora_pistillata_Spis8398 Spis8398 SpisGene8398
OG0000024	Homo_sapiens_sp_Q9BQ16_TICN3_HUMAN sp|Q9BQ16|TICN3_HUMAN Testican-3 OS=Homo sapiens OX=9606 GN=SPOCK3 PE=1 SV=2, Homo_sapiens_sp_Q08629_TICN1_HUMAN sp|Q08629|TICN1_HUMAN Testican-1 OS=Homo sapiens OX=9606 GN=SPOCK1 PE=1 SV=1	Stylophora_pistillata_Spis13991 Spis13991 SpisGene13991
OG0000028	Homo_sapiens_sp_P02462_CO4A1_HUMAN sp|P02462|CO4A1_HUMAN Collagen alpha-1_IV_ chain OS=Homo sapiens OX=9606 GN=COL4A1 PE=1 SV=4, Homo_sapiens_sp_P29400_CO4A5_HUMAN sp|P29400|CO4A5_HUMAN Collagen alpha-5_IV_ chain OS=Homo sapiens OX=9606 GN=COL4A5 PE=1 SV=2, Homo_sapiens_sp_Q01955_CO4A3_HUMAN sp|Q01955|CO4A3_HUMAN Collagen alpha-3_IV_ chain OS=Homo sapiens OX=9606 GN=COL4A3 PE=1 SV=3	Stylophora_pistillata_Spis2632 Spis2632 SpisGene2632
OG0000028	Homo_sapiens_sp_P08572_CO4A2_HUMAN sp|P08572|CO4A2_HUMAN Collagen alpha-2_IV_ chain OS=Homo sapiens OX=9606 GN=COL4A2 PE=1 SV=4, Homo_sapiens_sp_Q14031_CO4A6_HUMAN sp|Q14031|CO4A6_HUMAN Collagen alpha-6_IV_ chain OS=Homo sapiens OX=9606 GN=COL4A6 PE=1 SV=3, Homo_sapiens_sp_P53420_CO4A4_HUMAN sp|P53420|CO4A4_HUMAN Collagen alpha-4_IV_ chain OS=Homo sapiens OX=9606 GN=COL4A4 PE=1 SV=3	Stylophora_pistillata_Spis2634 Spis2634 SpisGene2634
OG0000030	Homo_sapiens_sp_P78536_ADA17_HUMAN sp|P78536|ADA17_HUMAN Disintegrin and metalloproteinase domain-containing protein 17 OS=Homo sapiens OX=9606 GN=ADAM17 PE=1 SV=1	Stylophora_pistillata_Spis8205 Spis8205 SpisGene8205
OG0000030	Homo_sapiens_sp_O14672_ADA10_HUMAN sp|O14672|ADA10_HUMAN Disintegrin and metalloproteinase domain-containing protein 10 OS=Homo sapiens OX=9606 GN=ADAM10 PE=1 SV=1	Stylophora_pistillata_Spis14458 Spis14458 SpisGene14458, Stylophora_pistillata_Spis18004 Spis18004 SpisGene18004
OG0000034	Homo_sapiens_sp_Q7Z7M0_MEGF8_HUMAN sp|Q7Z7M0|MEGF8_HUMAN Multiple epidermal growth factor-like domains protein 8 OS=Homo sapiens OX=9606 GN=MEGF8 PE=1 SV=2	Stylophora_pistillata_Spis1480 Spis1480 SpisGene1480
OG0000035	Homo_sapiens_sp_O43854_EDIL3_HUMAN sp|O43854|EDIL3_HUMAN EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Homo sapiens OX=9606 GN=EDIL3 PE=1 SV=1	Stylophora_pistillata_Spis12182 Spis12182 SpisGene12182, Stylophora_pistillata_Spis12651 Spis12651 SpisGene12651, Stylophora_pistillata_Spis13909 Spis13909 SpisGene13909, Stylophora_pistillata_Spis7427 Spis7427 SpisGene7427, Stylophora_pistillata_Spis23000 Spis23000 SpisGene23000, Stylophora_pistillata_Spis4780.t1 Spis4780.t1 SpisGene4780, Stylophora_pistillata_Spis23218 Spis23218 SpisGene23218, Stylophora_pistillata_Spis4434 Spis4434 SpisGene4434, Stylophora_pistillata_Spis2013 Spis2013 SpisGene2013, Stylophora_pistillata_Spis2018 Spis2018 SpisGene2018, Stylophora_pistillata_Spis2012 Spis2012 SpisGene2012, Stylophora_pistillata_Spis2002 Spis2002 SpisGene2002
OG0000036	Homo_sapiens_sp_O75095_MEGF6_HUMAN sp|O75095|MEGF6_HUMAN Multiple epidermal growth factor-like domains protein 6 OS=Homo sapiens OX=9606 GN=MEGF6 PE=1 SV=4, Homo_sapiens_sp_Q99944_EGFL8_HUMAN sp|Q99944|EGFL8_HUMAN Epidermal growth factor-like protein 8 OS=Homo sapiens OX=9606 GN=EGFL8 PE=1 SV=1, Homo_sapiens_sp_Q9UHF1_EGFL7_HUMAN sp|Q9UHF1|EGFL7_HUMAN Epidermal growth factor-like protein 7 OS=Homo sapiens OX=9606 GN=EGFL7 PE=1 SV=3, Homo_sapiens_sp_Q8IUX8_EGFL6_HUMAN sp|Q8IUX8|EGFL6_HUMAN Epidermal growth factor-like protein 6 OS=Homo sapiens OX=9606 GN=EGFL6 PE=1 SV=1, Homo_sapiens_sp_Q6UXI9_NPNT_HUMAN sp|Q6UXI9|NPNT_HUMAN Nephronectin OS=Homo sapiens OX=9606 GN=NPNT PE=2 SV=3	Stylophora_pistillata_Spis6171 Spis6171 SpisGene6171
OG0000037	Homo_sapiens_sp_Q15063_POSTN_HUMAN sp|Q15063|POSTN_HUMAN Periostin OS=Homo sapiens OX=9606 GN=POSTN PE=1 SV=2, Homo_sapiens_sp_Q15582_BGH3_HUMAN sp|Q15582|BGH3_HUMAN Transforming growth factor-beta-induced protein ig-h3 OS=Homo sapiens OX=9606 GN=TGFBI PE=1 SV=1	Stylophora_pistillata_Spis13601 Spis13601 SpisGene13601
OG0000038	Homo_sapiens_sp_O14788_TNF11_HUMAN sp|O14788|TNF11_HUMAN Tumor necrosis factor ligand superfamily member 11 OS=Homo sapiens OX=9606 GN=TNFSF11 PE=1 SV=1	Stylophora_pistillata_Spis1158 Spis1158 SpisGene1158, Stylophora_pistillata_Spis1157 Spis1157 SpisGene1157, Stylophora_pistillata_Spis1160 Spis1160 SpisGene1160, Stylophora_pistillata_Spis1159 Spis1159 SpisGene1159, Stylophora_pistillata_Spis1161 Spis1161 SpisGene1161, Stylophora_pistillata_Spis1162 Spis1162 SpisGene1162
OG0000040	Homo_sapiens_sp_Q9NQ30_ESM1_HUMAN sp|Q9NQ30|ESM1_HUMAN Endothelial cell-specific molecule 1 OS=Homo sapiens OX=9606 GN=ESM1 PE=1 SV=2, Homo_sapiens_sp_Q16270_IBP7_HUMAN sp|Q16270|IBP7_HUMAN Insulin-like growth factor-binding protein 7 OS=Homo sapiens OX=9606 GN=IGFBP7 PE=1 SV=1	Stylophora_pistillata_Spis21214 Spis21214 SpisGene21214
OG0000041	Homo_sapiens_sp_O00534_VMA5A_HUMAN sp|O00534|VMA5A_HUMAN von Willebrand factor A domain-containing protein 5A OS=Homo sapiens OX=9606 GN=VWA5A PE=1 SV=2	Stylophora_pistillata_Spis2408 Spis2408 SpisGene2408
OG0000041	Homo_sapiens_sp_Q5TIE3_VW5B1_HUMAN sp|Q5TIE3|VW5B1_HUMAN von Willebrand factor A domain-containing protein 5B1 OS=Homo sapiens OX=9606 GN=VWA5B1 PE=1 SV=2	Stylophora_pistillata_Spis15631 Spis15631 SpisGene15631
OG0000044	Homo_sapiens_sp_P21980_TGM2_HUMAN sp|P21980|TGM2_HUMAN Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens OX=9606 GN=TGM2 PE=1 SV=2, Homo_sapiens_sp_Q08188_TGM3_HUMAN sp|Q08188|TGM3_HUMAN Protein-glutamine gamma-glutamyltransferase E OS=Homo sapiens OX=9606 GN=TGM3 PE=1 SV=4, Homo_sapiens_sp_O95932_TGM3L_HUMAN sp|O95932|TGM3L_HUMAN Protein-glutamine gamma-glutamyltransferase 6 OS=Homo sapiens OX=9606 GN=TGM6 PE=1 SV=3, Homo_sapiens_sp_Q96PF1_TGM7_HUMAN sp|Q96PF1|TGM7_HUMAN Protein-glutamine gamma-glutamyltransferase Z OS=Homo sapiens OX=9606 GN=TGM7 PE=1 SV=1, Homo_sapiens_sp_O43548_TGM5_HUMAN sp|O43548|TGM5_HUMAN Protein-glutamine gamma-glutamyltransferase 5 OS=Homo sapiens OX=9606 GN=TGM5 PE=1 SV=4, Homo_sapiens_sp_P49221_TGM4_HUMAN sp|P49221|TGM4_HUMAN Protein-glutamine gamma-glutamyltransferase 4 OS=Homo sapiens OX=9606 GN=TGM4 PE=1 SV=2, Homo_sapiens_sp_P00488_F13A_HUMAN sp|P00488|F13A_HUMAN Coagulation factor XIII A chain OS=Homo sapiens OX=9606 GN=F13A1 PE=1 SV=5, Homo_sapiens_sp_P22735_TGM1_HUMAN sp|P22735|TGM1_HUMAN Protein-glutamine gamma-glutamyltransferase K OS=Homo sapiens OX=9606 GN=TGM1 PE=1 SV=4	Stylophora_pistillata_Spis4982 Spis4982 SpisGene4982, Stylophora_pistillata_Spis20352 Spis20352 SpisGene20352, Stylophora_pistillata_Spis4987 Spis4987 SpisGene4987
OG0000045	Homo_sapiens_sp_Q16787_LAMA3_HUMAN sp|Q16787|LAMA3_HUMAN Laminin subunit alpha-3 OS=Homo sapiens OX=9606 GN=LAMA3 PE=1 SV=3, Homo_sapiens_sp_O15230_LAMA5_HUMAN sp|O15230|LAMA5_HUMAN Laminin subunit alpha-5 OS=Homo sapiens OX=9606 GN=LAMA5 PE=1 SV=8	Stylophora_pistillata_Spis6767 Spis6767 SpisGene6767, Stylophora_pistillata_Spis7390 Spis7390 SpisGene7390
OG0000049	Homo_sapiens_sp_Q9UIW2_PLXA1_HUMAN sp|Q9UIW2|PLXA1_HUMAN Plexin-A1 OS=Homo sapiens OX=9606 GN=PLXNA1 PE=1 SV=3, Homo_sapiens_sp_O75051_PLXA2_HUMAN sp|O75051|PLXA2_HUMAN Plexin-A2 OS=Homo sapiens OX=9606 GN=PLXNA2 PE=1 SV=4, Homo_sapiens_sp_Q9HCM2_PLXA4_HUMAN sp|Q9HCM2|PLXA4_HUMAN Plexin-A4 OS=Homo sapiens OX=9606 GN=PLXNA4 PE=1 SV=4, Homo_sapiens_sp_O43157_PLXB1_HUMAN sp|O43157|PLXB1_HUMAN Plexin-B1 OS=Homo sapiens OX=9606 GN=PLXNB1 PE=1 SV=3, Homo_sapiens_sp_Q9ULL4_PLXB3_HUMAN sp|Q9ULL4|PLXB3_HUMAN Plexin-B3 OS=Homo sapiens OX=9606 GN=PLXNB3 PE=1 SV=2, Homo_sapiens_sp_O15031_PLXB2_HUMAN sp|O15031|PLXB2_HUMAN Plexin-B2 OS=Homo sapiens OX=9606 GN=PLXNB2 PE=1 SV=3, Homo_sapiens_sp_Q9Y4D7_PLXD1_HUMAN sp|Q9Y4D7|PLXD1_HUMAN Plexin-D1 OS=Homo sapiens OX=9606 GN=PLXND1 PE=1 SV=3, Homo_sapiens_sp_O60486_PLXC1_HUMAN sp|O60486|PLXC1_HUMAN Plexin-C1 OS=Homo sapiens OX=9606 GN=PLXNC1 PE=1 SV=1	Stylophora_pistillata_Spis6729 Spis6729 SpisGene6729
OG0000054	Homo_sapiens_sp_Q14005_IL16_HUMAN sp|Q14005|IL16_HUMAN Pro-interleukin-16 OS=Homo sapiens OX=9606 GN=IL16 PE=1 SV=4	Stylophora_pistillata_Spis4424.t3 Spis4424.t3 SpisGene4424
OG0000059	Homo_sapiens_sp_Q8IX30_SCUB3_HUMAN sp|Q8IX30|SCUB3_HUMAN Signal peptide_ CUB and EGF-like domain-containing protein 3 OS=Homo sapiens OX=9606 GN=SCUBE3 PE=1 SV=1, Homo_sapiens_sp_Q8IWY4_SCUB1_HUMAN sp|Q8IWY4|SCUB1_HUMAN Signal peptide_ CUB and EGF-like domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SCUBE1 PE=1 SV=3, Homo_sapiens_sp_Q9NQ36_SCUB2_HUMAN sp|Q9NQ36|SCUB2_HUMAN Signal peptide_ CUB and EGF-like domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SCUBE2 PE=1 SV=3	Stylophora_pistillata_Spis9841 Spis9841 SpisGene9841, Stylophora_pistillata_Spis16037 Spis16037 SpisGene16037
OG0000063	Homo_sapiens_sp_Q15465_SHH_HUMAN sp|Q15465|SHH_HUMAN Sonic hedgehog protein OS=Homo sapiens OX=9606 GN=SHH PE=1 SV=1	Stylophora_pistillata_Spis5904 Spis5904 SpisGene5904, Stylophora_pistillata_Spis15269 Spis15269 SpisGene15269
OG0000064	Homo_sapiens_sp_P35556_FBN2_HUMAN sp|P35556|FBN2_HUMAN Fibrillin-2 OS=Homo sapiens OX=9606 GN=FBN2 PE=1 SV=3, Homo_sapiens_sp_Q75N90_FBN3_HUMAN sp|Q75N90|FBN3_HUMAN Fibrillin-3 OS=Homo sapiens OX=9606 GN=FBN3 PE=2 SV=3, Homo_sapiens_sp_P35555_FBN1_HUMAN sp|P35555|FBN1_HUMAN Fibrillin-1 OS=Homo sapiens OX=9606 GN=FBN1 PE=1 SV=4	Stylophora_pistillata_Spis3364 Spis3364 SpisGene3364
OG0000070	Homo_sapiens_sp_Q92626_PXDN_HUMAN sp|Q92626|PXDN_HUMAN Peroxidasin homolog OS=Homo sapiens OX=9606 GN=PXDN PE=1 SV=2, Homo_sapiens_sp_A1KZ92_PXDNL_HUMAN sp|A1KZ92|PXDNL_HUMAN Probable oxidoreductase PXDNL OS=Homo sapiens OX=9606 GN=PXDNL PE=1 SV=3	Stylophora_pistillata_Spis14637 Spis14637 SpisGene14637
OG0000080	Homo_sapiens_sp_P35625_TIMP3_HUMAN sp|P35625|TIMP3_HUMAN Metalloproteinase inhibitor 3 OS=Homo sapiens OX=9606 GN=TIMP3 PE=1 SV=2, Homo_sapiens_sp_P16035_TIMP2_HUMAN sp|P16035|TIMP2_HUMAN Metalloproteinase inhibitor 2 OS=Homo sapiens OX=9606 GN=TIMP2 PE=1 SV=2, Homo_sapiens_sp_P01033_TIMP1_HUMAN sp|P01033|TIMP1_HUMAN Metalloproteinase inhibitor 1 OS=Homo sapiens OX=9606 GN=TIMP1 PE=1 SV=1	Stylophora_pistillata_Spis6044 Spis6044 SpisGene6044, Stylophora_pistillata_Spis855.t1 Spis855.t1 SpisGene855, Stylophora_pistillata_Spis854 Spis854 SpisGene854, Stylophora_pistillata_Spis857 Spis857 SpisGene857, Stylophora_pistillata_Spis7913 Spis7913 SpisGene7913, Stylophora_pistillata_Spis847 Spis847 SpisGene847, Stylophora_pistillata_Spis845 Spis845 SpisGene845, Stylophora_pistillata_Spis846 Spis846 SpisGene846, Stylophora_pistillata_Spis844 Spis844 SpisGene844
OG0000081	Homo_sapiens_sp_Q6UXH1_CREL2_HUMAN sp|Q6UXH1|CREL2_HUMAN Protein disulfide isomerase CRELD2 OS=Homo sapiens OX=9606 GN=CRELD2 PE=1 SV=1, Homo_sapiens_sp_Q96HD1_CREL1_HUMAN sp|Q96HD1|CREL1_HUMAN Protein disulfide isomerase CRELD1 OS=Homo sapiens OX=9606 GN=CRELD1 PE=1 SV=3	Stylophora_pistillata_Spis10729 Spis10729 SpisGene10729, Stylophora_pistillata_Spis9086 Spis9086 SpisGene9086, Stylophora_pistillata_Spis18739 Spis18739 SpisGene18739, Stylophora_pistillata_Spis17434 Spis17434 SpisGene17434
OG0000083	Homo_sapiens_sp_Q12891_HYAL2_HUMAN sp|Q12891|HYAL2_HUMAN Hyaluronidase-2 OS=Homo sapiens OX=9606 GN=HYAL2 PE=1 SV=4	Stylophora_pistillata_Spis24099 Spis24099 SpisGene24099, Stylophora_pistillata_Spis9213 Spis9213 SpisGene9213, Stylophora_pistillata_Spis6958 Spis6958 SpisGene6958
OG0000084	Homo_sapiens_sp_P39059_COFA1_HUMAN sp|P39059|COFA1_HUMAN Collagen alpha-1_XV_ chain OS=Homo sapiens OX=9606 GN=COL15A1 PE=1 SV=2, Homo_sapiens_sp_P39060_COIA1_HUMAN sp|P39060|COIA1_HUMAN Collagen alpha-1_XVIII_ chain OS=Homo sapiens OX=9606 GN=COL18A1 PE=1 SV=5	Stylophora_pistillata_Spis20307 Spis20307 SpisGene20307
OG0000088	Homo_sapiens_sp_Q9BUD6_SPON2_HUMAN sp|Q9BUD6|SPON2_HUMAN Spondin-2 OS=Homo sapiens OX=9606 GN=SPON2 PE=1 SV=4, Homo_sapiens_sp_Q9HCB6_SPON1_HUMAN sp|Q9HCB6|SPON1_HUMAN Spondin-1 OS=Homo sapiens OX=9606 GN=SPON1 PE=1 SV=2	Stylophora_pistillata_Spis17637 Spis17637 SpisGene17637
OG0000089	Homo_sapiens_sp_Q9H2X0_CHRD_HUMAN sp|Q9H2X0|CHRD_HUMAN Chordin OS=Homo sapiens OX=9606 GN=CHRD PE=1 SV=2	Stylophora_pistillata_Spis9074 Spis9074 SpisGene9074
OG0000089	Homo_sapiens_sp_Q9BU40_CRDL1_HUMAN sp|Q9BU40|CRDL1_HUMAN Chordin-like protein 1 OS=Homo sapiens OX=9606 GN=CHRDL1 PE=1 SV=2, Homo_sapiens_sp_Q6WN34_CRDL2_HUMAN sp|Q6WN34|CRDL2_HUMAN Chordin-like protein 2 OS=Homo sapiens OX=9606 GN=CHRDL2 PE=1 SV=1	Stylophora_pistillata_Spis6266 Spis6266 SpisGene6266
OG0000090	Homo_sapiens_sp_Q86UW8_HPLN4_HUMAN sp|Q86UW8|HPLN4_HUMAN Hyaluronan and proteoglycan link protein 4 OS=Homo sapiens OX=9606 GN=HAPLN4 PE=2 SV=1, Homo_sapiens_sp_P10915_HPLN1_HUMAN sp|P10915|HPLN1_HUMAN Hyaluronan and proteoglycan link protein 1 OS=Homo sapiens OX=9606 GN=HAPLN1 PE=2 SV=2, Homo_sapiens_sp_Q96S86_HPLN3_HUMAN sp|Q96S86|HPLN3_HUMAN Hyaluronan and proteoglycan link protein 3 OS=Homo sapiens OX=9606 GN=HAPLN3 PE=2 SV=1	Stylophora_pistillata_Spis19161 Spis19161 SpisGene19161, Stylophora_pistillata_Spis19159 Spis19159 SpisGene19159
OG0000093	Homo_sapiens_sp_P01040_CYTA_HUMAN sp|P01040|CYTA_HUMAN Cystatin-A OS=Homo sapiens OX=9606 GN=CSTA PE=1 SV=1, Homo_sapiens_sp_P04080_CYTB_HUMAN sp|P04080|CYTB_HUMAN Cystatin-B OS=Homo sapiens OX=9606 GN=CSTB PE=1 SV=2	Stylophora_pistillata_Spis1325 Spis1325 SpisGene1325, Stylophora_pistillata_Spis1324 Spis1324 SpisGene1324
OG0000095	Homo_sapiens_sp_Q9H3U7_SMOC2_HUMAN sp|Q9H3U7|SMOC2_HUMAN SPARC-related modular calcium-binding protein 2 OS=Homo sapiens OX=9606 GN=SMOC2 PE=1 SV=2, Homo_sapiens_sp_Q9H4F8_SMOC1_HUMAN sp|Q9H4F8|SMOC1_HUMAN SPARC-related modular calcium-binding protein 1 OS=Homo sapiens OX=9606 GN=SMOC1 PE=1 SV=1	Stylophora_pistillata_Spis6340 Spis6340 SpisGene6340
OG0000112	Homo_sapiens_sp_Q8WWQ2_HPSE2_HUMAN sp|Q8WWQ2|HPSE2_HUMAN Inactive heparanase-2 OS=Homo sapiens OX=9606 GN=HPSE2 PE=1 SV=3	Stylophora_pistillata_Spis17656 Spis17656 SpisGene17656, Stylophora_pistillata_Spis8942 Spis8942 SpisGene8942
OG0000114	Homo_sapiens_sp_Q9Y5Z7_HCFC2_HUMAN sp|Q9Y5Z7|HCFC2_HUMAN Host cell factor 2 OS=Homo sapiens OX=9606 GN=HCFC2 PE=1 SV=1	Stylophora_pistillata_Spis1676 Spis1676 SpisGene1676
OG0000122	Homo_sapiens_sp_P08253_MMP2_HUMAN sp|P08253|MMP2_HUMAN 72 kDa type IV collagenase OS=Homo sapiens OX=9606 GN=MMP2 PE=1 SV=2, Homo_sapiens_sp_P14780_MMP9_HUMAN sp|P14780|MMP9_HUMAN Matrix metalloproteinase-9 OS=Homo sapiens OX=9606 GN=MMP9 PE=1 SV=3	Stylophora_pistillata_Spis21332 Spis21332 SpisGene21332, Stylophora_pistillata_Spis9409 Spis9409 SpisGene9409, Stylophora_pistillata_Spis9410.t1 Spis9410.t1 SpisGene9410
OG0000125	Homo_sapiens_sp_Q6UXX5_ITIH6_HUMAN sp|Q6UXX5|ITIH6_HUMAN Inter-alpha-trypsin inhibitor heavy chain H6 OS=Homo sapiens OX=9606 GN=ITIH6 PE=1 SV=1, Homo_sapiens_sp_Q86UX2_ITIH5_HUMAN sp|Q86UX2|ITIH5_HUMAN Inter-alpha-trypsin inhibitor heavy chain H5 OS=Homo sapiens OX=9606 GN=ITIH5 PE=2 SV=2, Homo_sapiens_sp_P19827_ITIH1_HUMAN sp|P19827|ITIH1_HUMAN Inter-alpha-trypsin inhibitor heavy chain H1 OS=Homo sapiens OX=9606 GN=ITIH1 PE=1 SV=3, Homo_sapiens_sp_Q06033_ITIH3_HUMAN sp|Q06033|ITIH3_HUMAN Inter-alpha-trypsin inhibitor heavy chain H3 OS=Homo sapiens OX=9606 GN=ITIH3 PE=1 SV=2, Homo_sapiens_sp_P19823_ITIH2_HUMAN sp|P19823|ITIH2_HUMAN Inter-alpha-trypsin inhibitor heavy chain H2 OS=Homo sapiens OX=9606 GN=ITIH2 PE=1 SV=2, Homo_sapiens_sp_Q14624_ITIH4_HUMAN sp|Q14624|ITIH4_HUMAN Inter-alpha-trypsin inhibitor heavy chain H4 OS=Homo sapiens OX=9606 GN=ITIH4 PE=1 SV=4	Stylophora_pistillata_Spis7316 Spis7316 SpisGene7316
OG0000148	Homo_sapiens_sp_P10600_TGFB3_HUMAN sp|P10600|TGFB3_HUMAN Transforming growth factor beta-3 proprotein OS=Homo sapiens OX=9606 GN=TGFB3 PE=1 SV=1, Homo_sapiens_sp_P61812_TGFB2_HUMAN sp|P61812|TGFB2_HUMAN Transforming growth factor beta-2 proprotein OS=Homo sapiens OX=9606 GN=TGFB2 PE=1 SV=1, Homo_sapiens_sp_P01137_TGFB1_HUMAN sp|P01137|TGFB1_HUMAN Transforming growth factor beta-1 proprotein OS=Homo sapiens OX=9606 GN=TGFB1 PE=1 SV=3	Stylophora_pistillata_Spis17259 Spis17259 SpisGene17259
OG0000150	Homo_sapiens_sp_Q9BXP8_PAPP2_HUMAN sp|Q9BXP8|PAPP2_HUMAN Pappalysin-2 OS=Homo sapiens OX=9606 GN=PAPPA2 PE=1 SV=4, Homo_sapiens_sp_Q13219_PAPP1_HUMAN sp|Q13219|PAPP1_HUMAN Pappalysin-1 OS=Homo sapiens OX=9606 GN=PAPPA PE=1 SV=3	Stylophora_pistillata_Spis1789 Spis1789 SpisGene1789
OG0000154	Homo_sapiens_sp_O75339_CILP1_HUMAN sp|O75339|CILP1_HUMAN Cartilage intermediate layer protein 1 OS=Homo sapiens OX=9606 GN=CILP PE=1 SV=4, Homo_sapiens_sp_Q8IUL8_CILP2_HUMAN sp|Q8IUL8|CILP2_HUMAN Cartilage intermediate layer protein 2 OS=Homo sapiens OX=9606 GN=CILP2 PE=2 SV=2	Stylophora_pistillata_Spis18052 Spis18052 SpisGene18052, Stylophora_pistillata_Spis14694 Spis14694 SpisGene14694, Stylophora_pistillata_Spis14691 Spis14691 SpisGene14691, Stylophora_pistillata_Spis14700.t1 Spis14700.t1 SpisGene14700
OG0000156	Homo_sapiens_sp_P55081_MFAP1_HUMAN sp|P55081|MFAP1_HUMAN Microfibrillar-associated protein 1 OS=Homo sapiens OX=9606 GN=MFAP1 PE=1 SV=2	Stylophora_pistillata_Spis944 Spis944 SpisGene944
OG0000171	Homo_sapiens_sp_Q96IV0_NGLY1_HUMAN sp|Q96IV0|NGLY1_HUMAN Peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase OS=Homo sapiens OX=9606 GN=NGLY1 PE=1 SV=1	Stylophora_pistillata_Spis4618.t1 Spis4618.t1 SpisGene4618, Stylophora_pistillata_Spis4617 Spis4617 SpisGene4617
OG0000178	Homo_sapiens_sp_Q8NBH2_KY_HUMAN sp|Q8NBH2|KY_HUMAN Kyphoscoliosis peptidase OS=Homo sapiens OX=9606 GN=KY PE=1 SV=3	Stylophora_pistillata_Spis9622 Spis9622 SpisGene9622, Stylophora_pistillata_Spis9843 Spis9843 SpisGene9843
OG0000182	Homo_sapiens_sp_A6NCI4_VWA3A_HUMAN sp|A6NCI4|VWA3A_HUMAN von Willebrand factor A domain-containing protein 3A OS=Homo sapiens OX=9606 GN=VWA3A PE=2 SV=3	Stylophora_pistillata_Spis6187 Spis6187 SpisGene6187
OG0000200	Homo_sapiens_sp_Q502W6_VWA3B_HUMAN sp|Q502W6|VWA3B_HUMAN von Willebrand factor A domain-containing protein 3B OS=Homo sapiens OX=9606 GN=VWA3B PE=1 SV=3	Stylophora_pistillata_Spis3925 Spis3925 SpisGene3925
OG0000214	Homo_sapiens_sp_Q96SY0_INT14_HUMAN sp|Q96SY0|INT14_HUMAN Integrator complex subunit 14 OS=Homo sapiens OX=9606 GN=INTS14 PE=1 SV=2	Stylophora_pistillata_Spis15474 Spis15474 SpisGene15474
OG0000233	Homo_sapiens_sp_Q8WXI7_MUC16_HUMAN sp|Q8WXI7|MUC16_HUMAN Mucin-16 OS=Homo sapiens OX=9606 GN=MUC16 PE=1 SV=3	Stylophora_pistillata_Spis19039 Spis19039 SpisGene19039
OG0000235	Homo_sapiens_sp_Q96A83_COQA1_HUMAN sp|Q96A83|COQA1_HUMAN Collagen alpha-1_XXVI_ chain OS=Homo sapiens OX=9606 GN=COL26A1 PE=1 SV=1, Homo_sapiens_sp_Q96A84_EMID1_HUMAN sp|Q96A84|EMID1_HUMAN EMI domain-containing protein 1 OS=Homo sapiens OX=9606 GN=EMID1 PE=2 SV=1	Stylophora_pistillata_Spis7715.t1 Spis7715.t1 SpisGene7715
