Orthogroup	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Anthozoa_Nematostella_vectensis
OG0000005	Stylophora_pistillata_Spis12826 Spis12826 SpisGene12826, Stylophora_pistillata_Spis12825 Spis12825 SpisGene12825	Nematostella_vectensis_NV2t003279001.1 NV2t003279001.1, Nematostella_vectensis_NV2t021385001.1 NV2t021385001.1, Nematostella_vectensis_NV2t010155001.1 NV2t010155001.1
OG0000005	Stylophora_pistillata_Spis6195 Spis6195 SpisGene6195	Nematostella_vectensis_NV2t007357001.1 NV2t007357001.1
OG0000005	Stylophora_pistillata_Spis9771 Spis9771 SpisGene9771	Nematostella_vectensis_NV2t016035001.1 NV2t016035001.1, Nematostella_vectensis_NV2t016035002.1 NV2t016035002.1
OG0000005	Stylophora_pistillata_Spis9774 Spis9774 SpisGene9774	Nematostella_vectensis_NV2t016036001.1 NV2t016036001.1
OG0000005	Stylophora_pistillata_Spis19565 Spis19565 SpisGene19565	Nematostella_vectensis_NV2t006019001.1 NV2t006019001.1
OG0000005	Stylophora_pistillata_Spis19563 Spis19563 SpisGene19563	Nematostella_vectensis_NV2t005698001.1 NV2t005698001.1
OG0000005	Stylophora_pistillata_Spis9964 Spis9964 SpisGene9964	Nematostella_vectensis_NV2t025961001.1 NV2t025961001.1, Nematostella_vectensis_NV2t020639001.1 NV2t020639001.1, Nematostella_vectensis_NV2t020640001.1 NV2t020640001.1, Nematostella_vectensis_NV2t020641001.1 NV2t020641001.1, Nematostella_vectensis_NV2t020641004.1 NV2t020641004.1, Nematostella_vectensis_NV2t020641005.1 NV2t020641005.1, Nematostella_vectensis_NV2t020641003.1 NV2t020641003.1, Nematostella_vectensis_NV2t020641002.1 NV2t020641002.1
OG0000005	Stylophora_pistillata_Spis15365 Spis15365 SpisGene15365	Nematostella_vectensis_NV2t015018001.1 NV2t015018001.1, Nematostella_vectensis_NV2t014862004.1 NV2t014862004.1, Nematostella_vectensis_NV2t013368001.1 NV2t013368001.1
OG0000005	Stylophora_pistillata_Spis797 Spis797 SpisGene797	Nematostella_vectensis_NV2t003953001.1 NV2t003953001.1
OG0000005	Stylophora_pistillata_Spis2128 Spis2128 SpisGene2128, Stylophora_pistillata_Spis2115 Spis2115 SpisGene2115	Nematostella_vectensis_NV2t002486001.1 NV2t002486001.1
OG0000005	Stylophora_pistillata_Spis2327 Spis2327 SpisGene2327	Nematostella_vectensis_NV2t010250001.1 NV2t010250001.1
OG0000005	Stylophora_pistillata_Spis13923 Spis13923 SpisGene13923	Nematostella_vectensis_NV2t018104001.1 NV2t018104001.1
OG0000005	Stylophora_pistillata_Spis16896 Spis16896 SpisGene16896	Nematostella_vectensis_NV2t019110001.1 NV2t019110001.1, Nematostella_vectensis_NV2t019110002.1 NV2t019110002.1, Nematostella_vectensis_NV2t019110003.1 NV2t019110003.1
OG0000005	Stylophora_pistillata_Spis16898 Spis16898 SpisGene16898, Stylophora_pistillata_Spis3143 Spis3143 SpisGene3143	Nematostella_vectensis_NV2t017973001.1 NV2t017973001.1, Nematostella_vectensis_NV2t015362001.1 NV2t015362001.1
OG0000006	Stylophora_pistillata_Spis1220 Spis1220 SpisGene1220	Nematostella_vectensis_NV2t024979002.1 NV2t024979002.1, Nematostella_vectensis_NV2t024979003.1 NV2t024979003.1, Nematostella_vectensis_NV2t024979001.1 NV2t024979001.1
OG0000006	Stylophora_pistillata_Spis1242 Spis1242 SpisGene1242, Stylophora_pistillata_Spis1227 Spis1227 SpisGene1227, Stylophora_pistillata_Spis1225.t1 Spis1225.t1 SpisGene1225	Nematostella_vectensis_NV2t025124001.1 NV2t025124001.1
OG0000006	Stylophora_pistillata_Spis16437 Spis16437 SpisGene16437	Nematostella_vectensis_NV2t020926001.1 NV2t020926001.1
OG0000006	Stylophora_pistillata_Spis18091 Spis18091 SpisGene18091	Nematostella_vectensis_NV2t003560001.1 NV2t003560001.1
OG0000006	Stylophora_pistillata_Spis3946 Spis3946 SpisGene3946	Nematostella_vectensis_NV2t003792001.1 NV2t003792001.1
OG0000006	Stylophora_pistillata_Spis2512 Spis2512 SpisGene2512	Nematostella_vectensis_NV2t003300001.1 NV2t003300001.1
OG0000006	Stylophora_pistillata_Spis1234.t1 Spis1234.t1 SpisGene1234	Nematostella_vectensis_NV2t025725003.1 NV2t025725003.1, Nematostella_vectensis_NV2t025725002.1 NV2t025725002.1, Nematostella_vectensis_NV2t025725001.1 NV2t025725001.1, Nematostella_vectensis_NV2t025725006.1 NV2t025725006.1, Nematostella_vectensis_NV2t025725005.1 NV2t025725005.1, Nematostella_vectensis_NV2t025725004.1 NV2t025725004.1
OG0000007	Stylophora_pistillata_Spis5318 Spis5318 SpisGene5318, Stylophora_pistillata_Spis5312 Spis5312 SpisGene5312	Nematostella_vectensis_NV2t016433001.1 NV2t016433001.1
OG0000007	Stylophora_pistillata_Spis23200 Spis23200 SpisGene23200	Nematostella_vectensis_NV2t016270001.1 NV2t016270001.1, Nematostella_vectensis_NV2t016270002.1 NV2t016270002.1, Nematostella_vectensis_NV2t016273001.1 NV2t016273001.1
OG0000007	Stylophora_pistillata_Spis20935 Spis20935 SpisGene20935, Stylophora_pistillata_Spis20945 Spis20945 SpisGene20945	Nematostella_vectensis_NV2t014812001.1 NV2t014812001.1
OG0000007	Stylophora_pistillata_Spis22650 Spis22650 SpisGene22650, Stylophora_pistillata_Spis22649 Spis22649 SpisGene22649, Stylophora_pistillata_Spis20262 Spis20262 SpisGene20262, Stylophora_pistillata_Spis12667 Spis12667 SpisGene12667	Nematostella_vectensis_NV2t003396003.1 NV2t003396003.1, Nematostella_vectensis_NV2t003396001.1 NV2t003396001.1
OG0000007	Stylophora_pistillata_Spis14496 Spis14496 SpisGene14496, Stylophora_pistillata_Spis21179 Spis21179 SpisGene21179, Stylophora_pistillata_Spis15279 Spis15279 SpisGene15279	Nematostella_vectensis_NV2t006897001.1 NV2t006897001.1
OG0000008	Stylophora_pistillata_Spis7887 Spis7887 SpisGene7887	Nematostella_vectensis_NV2t010243001.1 NV2t010243001.1
OG0000008	Stylophora_pistillata_Spis15891 Spis15891 SpisGene15891	Nematostella_vectensis_NV2t010691004.1 NV2t010691004.1, Nematostella_vectensis_NV2t023073001.1 NV2t023073001.1
OG0000008	Stylophora_pistillata_Spis23579 Spis23579 SpisGene23579, Stylophora_pistillata_Spis21934 Spis21934 SpisGene21934, Stylophora_pistillata_Spis13231.t2 Spis13231.t2 SpisGene13231	Nematostella_vectensis_NV2t011904001.1 NV2t011904001.1, Nematostella_vectensis_NV2t011904002.1 NV2t011904002.1, Nematostella_vectensis_NV2t011904015.1 NV2t011904015.1, Nematostella_vectensis_NV2t011904007.1 NV2t011904007.1, Nematostella_vectensis_NV2t011904010.1 NV2t011904010.1, Nematostella_vectensis_NV2t011904016.1 NV2t011904016.1, Nematostella_vectensis_NV2t011904013.1 NV2t011904013.1, Nematostella_vectensis_NV2t011904014.1 NV2t011904014.1, Nematostella_vectensis_NV2t011904012.1 NV2t011904012.1, Nematostella_vectensis_NV2t011904005.1 NV2t011904005.1, Nematostella_vectensis_NV2t011904008.1 NV2t011904008.1, Nematostella_vectensis_NV2t011904004.1 NV2t011904004.1, Nematostella_vectensis_NV2t011904003.1 NV2t011904003.1, Nematostella_vectensis_NV2t011904009.1 NV2t011904009.1, Nematostella_vectensis_NV2t011904006.1 NV2t011904006.1, Nematostella_vectensis_NV2t011903001.1 NV2t011903001.1
OG0000008	Stylophora_pistillata_Spis12661 Spis12661 SpisGene12661	Nematostella_vectensis_NV2t006411001.1 NV2t006411001.1
OG0000008	Stylophora_pistillata_Spis4050.t2 Spis4050.t2 SpisGene4050, Stylophora_pistillata_Spis4060 Spis4060 SpisGene4060	Nematostella_vectensis_NV2t017065001.1 NV2t017065001.1, Nematostella_vectensis_NV2t017065002.1 NV2t017065002.1
OG0000008	Stylophora_pistillata_Spis19559.t1 Spis19559.t1 SpisGene19559	Nematostella_vectensis_NV2t005917001.1 NV2t005917001.1
OG0000008	Stylophora_pistillata_Spis15894.t1 Spis15894.t1 SpisGene15894	Nematostella_vectensis_NV2t006439001.1 NV2t006439001.1
OG0000008	Stylophora_pistillata_Spis19561 Spis19561 SpisGene19561	Nematostella_vectensis_NV2t006022001.1 NV2t006022001.1
OG0000008	Stylophora_pistillata_Spis19560 Spis19560 SpisGene19560	Nematostella_vectensis_NV2t005918001.1 NV2t005918001.1, Nematostella_vectensis_NV2t005918002.1 NV2t005918002.1
OG0000008	Stylophora_pistillata_Spis17124 Spis17124 SpisGene17124	Nematostella_vectensis_NV2t025661003.1 NV2t025661003.1, Nematostella_vectensis_NV2t025661002.1 NV2t025661002.1, Nematostella_vectensis_NV2t025659003.1 NV2t025659003.1, Nematostella_vectensis_NV2t025659001.1 NV2t025659001.1, Nematostella_vectensis_NV2t025659004.1 NV2t025659004.1, Nematostella_vectensis_NV2t025659002.1 NV2t025659002.1, Nematostella_vectensis_NV2t025658001.1 NV2t025658001.1
OG0000008	Stylophora_pistillata_Spis10069 Spis10069 SpisGene10069	Nematostella_vectensis_NV2t005960001.1 NV2t005960001.1, Nematostella_vectensis_NV2t005962001.1 NV2t005962001.1, Nematostella_vectensis_NV2t023650001.1 NV2t023650001.1, Nematostella_vectensis_NV2t015698001.1 NV2t015698001.1, Nematostella_vectensis_NV2t015715001.1 NV2t015715001.1, Nematostella_vectensis_NV2t015716001.1 NV2t015716001.1
OG0000008	Stylophora_pistillata_Spis7879 Spis7879 SpisGene7879, Stylophora_pistillata_Spis7880 Spis7880 SpisGene7880	Nematostella_vectensis_NV2t010691006.1 NV2t010691006.1, Nematostella_vectensis_NV2t010691005.1 NV2t010691005.1
OG0000008	Stylophora_pistillata_Spis19730 Spis19730 SpisGene19730, Stylophora_pistillata_Spis21313 Spis21313 SpisGene21313, Stylophora_pistillata_Spis19789 Spis19789 SpisGene19789	Nematostella_vectensis_NV2t010370001.1 NV2t010370001.1, Nematostella_vectensis_NV2t010398001.1 NV2t010398001.1, Nematostella_vectensis_NV2t010398002.1 NV2t010398002.1
OG0000009	Stylophora_pistillata_Spis16315 Spis16315 SpisGene16315	Nematostella_vectensis_NV2t013293002.1 NV2t013293002.1, Nematostella_vectensis_NV2t013293001.1 NV2t013293001.1
OG0000009	Stylophora_pistillata_Spis4925 Spis4925 SpisGene4925	Nematostella_vectensis_NV2t014830001.1 NV2t014830001.1, Nematostella_vectensis_NV2t014830002.1 NV2t014830002.1, Nematostella_vectensis_NV2t014356001.1 NV2t014356001.1
OG0000009	Stylophora_pistillata_Spis21497 Spis21497 SpisGene21497, Stylophora_pistillata_Spis21489 Spis21489 SpisGene21489, Stylophora_pistillata_Spis935 Spis935 SpisGene935, Stylophora_pistillata_Spis6599 Spis6599 SpisGene6599, Stylophora_pistillata_Spis4467 Spis4467 SpisGene4467, Stylophora_pistillata_Spis4466 Spis4466 SpisGene4466	Nematostella_vectensis_NV2t014699001.1 NV2t014699001.1
OG0000009	Stylophora_pistillata_Spis744 Spis744 SpisGene744, Stylophora_pistillata_Spis24015 Spis24015 SpisGene24015, Stylophora_pistillata_Spis19195 Spis19195 SpisGene19195	Nematostella_vectensis_NV2t003169001.1 NV2t003169001.1
OG0000009	Stylophora_pistillata_Spis5234 Spis5234 SpisGene5234	Nematostella_vectensis_NV2t003026001.1 NV2t003026001.1
OG0000009	Stylophora_pistillata_Spis16344 Spis16344 SpisGene16344	Nematostella_vectensis_NV2t003625001.1 NV2t003625001.1
OG0000009	Stylophora_pistillata_Spis16137 Spis16137 SpisGene16137, Stylophora_pistillata_Spis16138 Spis16138 SpisGene16138, Stylophora_pistillata_Spis16135 Spis16135 SpisGene16135	Nematostella_vectensis_NV2t005224001.1 NV2t005224001.1
OG0000009	Stylophora_pistillata_Spis18721 Spis18721 SpisGene18721, Stylophora_pistillata_Spis14789 Spis14789 SpisGene14789, Stylophora_pistillata_Spis14786 Spis14786 SpisGene14786, Stylophora_pistillata_Spis14787 Spis14787 SpisGene14787, Stylophora_pistillata_Spis14785 Spis14785 SpisGene14785	Nematostella_vectensis_NV2t002814001.1 NV2t002814001.1, Nematostella_vectensis_NV2t003167001.1 NV2t003167001.1, Nematostella_vectensis_NV2t003167002.1 NV2t003167002.1
OG0000009	Stylophora_pistillata_Spis18539 Spis18539 SpisGene18539, Stylophora_pistillata_Spis12284 Spis12284 SpisGene12284	Nematostella_vectensis_NV2t003698001.1 NV2t003698001.1
OG0000009	Stylophora_pistillata_Spis12283 Spis12283 SpisGene12283	Nematostella_vectensis_NV2t003699001.1 NV2t003699001.1, Nematostella_vectensis_NV2t003699002.1 NV2t003699002.1, Nematostella_vectensis_NV2t003699003.1 NV2t003699003.1
OG0000009	Stylophora_pistillata_Spis18540 Spis18540 SpisGene18540	Nematostella_vectensis_NV2t014373001.1 NV2t014373001.1
OG0000009	Stylophora_pistillata_Spis8222 Spis8222 SpisGene8222	Nematostella_vectensis_NV2t001391003.1 NV2t001391003.1, Nematostella_vectensis_NV2t001391002.1 NV2t001391002.1, Nematostella_vectensis_NV2t001391001.1 NV2t001391001.1
OG0000009	Stylophora_pistillata_Spis7662.t1 Spis7662.t1 SpisGene7662	Nematostella_vectensis_NV2t003735001.1 NV2t003735001.1
OG0000009	Stylophora_pistillata_Spis7661.t1 Spis7661.t1 SpisGene7661	Nematostella_vectensis_NV2t003736003.1 NV2t003736003.1, Nematostella_vectensis_NV2t003736001.1 NV2t003736001.1, Nematostella_vectensis_NV2t003736002.1 NV2t003736002.1
OG0000010	Stylophora_pistillata_Spis1190 Spis1190 SpisGene1190	Nematostella_vectensis_NV2t021353001.1 NV2t021353001.1, Nematostella_vectensis_NV2t021353003.1 NV2t021353003.1
OG0000010	Stylophora_pistillata_Spis6111 Spis6111 SpisGene6111	Nematostella_vectensis_NV2t001116001.1 NV2t001116001.1
OG0000010	Stylophora_pistillata_Spis11339 Spis11339 SpisGene11339	Nematostella_vectensis_NV2t022600001.1 NV2t022600001.1
OG0000010	Stylophora_pistillata_Spis1256.t1 Spis1256.t1 SpisGene1256	Nematostella_vectensis_NV2t025565001.1 NV2t025565001.1
OG0000010	Stylophora_pistillata_Spis4830 Spis4830 SpisGene4830	Nematostella_vectensis_NV2t024790001.1 NV2t024790001.1
OG0000010	Stylophora_pistillata_Spis19541 Spis19541 SpisGene19541	Nematostella_vectensis_NV2t023125001.1 NV2t023125001.1
OG0000010	Stylophora_pistillata_Spis4991 Spis4991 SpisGene4991	Nematostella_vectensis_NV2t005728003.1 NV2t005728003.1
OG0000010	Stylophora_pistillata_Spis19002 Spis19002 SpisGene19002	Nematostella_vectensis_NV2t022783003.1 NV2t022783003.1, Nematostella_vectensis_NV2t022783004.1 NV2t022783004.1, Nematostella_vectensis_NV2t022783001.1 NV2t022783001.1, Nematostella_vectensis_NV2t022783005.1 NV2t022783005.1, Nematostella_vectensis_NV2t022783002.1 NV2t022783002.1
OG0000010	Stylophora_pistillata_Spis19416.t1 Spis19416.t1 SpisGene19416	Nematostella_vectensis_NV2t022081001.1 NV2t022081001.1
OG0000010	Stylophora_pistillata_Spis8363.t1 Spis8363.t1 SpisGene8363	Nematostella_vectensis_NV2t014904001.1 NV2t014904001.1
OG0000010	Stylophora_pistillata_Spis20690 Spis20690 SpisGene20690	Nematostella_vectensis_NV2t013423001.1 NV2t013423001.1
OG0000010	Stylophora_pistillata_Spis8579 Spis8579 SpisGene8579	Nematostella_vectensis_NV2t014092001.1 NV2t014092001.1
OG0000011	Stylophora_pistillata_Spis2040 Spis2040 SpisGene2040	Nematostella_vectensis_NV2t012077002.1 NV2t012077002.1, Nematostella_vectensis_NV2t006768001.1 NV2t006768001.1
OG0000012	Stylophora_pistillata_Spis8301 Spis8301 SpisGene8301	Nematostella_vectensis_NV2t012902001.1 NV2t012902001.1
OG0000012	Stylophora_pistillata_Spis11321.t1 Spis11321.t1 SpisGene11321	Nematostella_vectensis_NV2t012730001.1 NV2t012730001.1
OG0000012	Stylophora_pistillata_Spis3283 Spis3283 SpisGene3283	Nematostella_vectensis_NV2t006919001.1 NV2t006919001.1
OG0000012	Stylophora_pistillata_Spis16938 Spis16938 SpisGene16938	Nematostella_vectensis_NV2t019905001.1 NV2t019905001.1
OG0000013	Stylophora_pistillata_Spis19313 Spis19313 SpisGene19313	Nematostella_vectensis_NV2t023407003.1 NV2t023407003.1, Nematostella_vectensis_NV2t023407002.1 NV2t023407002.1, Nematostella_vectensis_NV2t023407001.1 NV2t023407001.1
OG0000013	Stylophora_pistillata_Spis10384 Spis10384 SpisGene10384	Nematostella_vectensis_NV2t011033001.1 NV2t011033001.1
OG0000013	Stylophora_pistillata_Spis10385 Spis10385 SpisGene10385	Nematostella_vectensis_NV2t012225001.1 NV2t012225001.1
OG0000013	Stylophora_pistillata_Spis10363 Spis10363 SpisGene10363	Nematostella_vectensis_NV2t012463001.1 NV2t012463001.1
OG0000013	Stylophora_pistillata_Spis3866 Spis3866 SpisGene3866, Stylophora_pistillata_Spis3867 Spis3867 SpisGene3867	Nematostella_vectensis_NV2t003611004.1 NV2t003611004.1, Nematostella_vectensis_NV2t003611002.1 NV2t003611002.1, Nematostella_vectensis_NV2t003611005.1 NV2t003611005.1, Nematostella_vectensis_NV2t003611001.1 NV2t003611001.1, Nematostella_vectensis_NV2t003611003.1 NV2t003611003.1
OG0000013	Stylophora_pistillata_Spis1461.t1 Spis1461.t1 SpisGene1461	Nematostella_vectensis_NV2t022664005.1 NV2t022664005.1, Nematostella_vectensis_NV2t022664004.1 NV2t022664004.1, Nematostella_vectensis_NV2t022664001.1 NV2t022664001.1, Nematostella_vectensis_NV2t022664003.1 NV2t022664003.1, Nematostella_vectensis_NV2t022664006.1 NV2t022664006.1, Nematostella_vectensis_NV2t022664002.1 NV2t022664002.1
OG0000013	Stylophora_pistillata_Spis3868.t1 Spis3868.t1 SpisGene3868	Nematostella_vectensis_NV2t003609002.1 NV2t003609002.1, Nematostella_vectensis_NV2t003609001.1 NV2t003609001.1
OG0000013	Stylophora_pistillata_Spis825 Spis825 SpisGene825, Stylophora_pistillata_Spis824 Spis824 SpisGene824, Stylophora_pistillata_Spis826 Spis826 SpisGene826	Nematostella_vectensis_NV2t003168003.1 NV2t003168003.1, Nematostella_vectensis_NV2t003168001.1 NV2t003168001.1, Nematostella_vectensis_NV2t003168002.1 NV2t003168002.1
OG0000013	Stylophora_pistillata_Spis18607.t1 Spis18607.t1 SpisGene18607, Stylophora_pistillata_Spis727 Spis727 SpisGene727, Stylophora_pistillata_Spis726 Spis726 SpisGene726, Stylophora_pistillata_Spis18606 Spis18606 SpisGene18606	Nematostella_vectensis_NV2t003689001.1 NV2t003689001.1, Nematostella_vectensis_NV2t004522001.1 NV2t004522001.1, Nematostella_vectensis_NV2t005661001.1 NV2t005661001.1
OG0000013	Stylophora_pistillata_Spis10383 Spis10383 SpisGene10383	Nematostella_vectensis_NV2t011032001.1 NV2t011032001.1
OG0000014	Stylophora_pistillata_Spis347 Spis347 SpisGene347	Nematostella_vectensis_NV2t022999001.1 NV2t022999001.1
OG0000014	Stylophora_pistillata_Spis18290.t1 Spis18290.t1 SpisGene18290	Nematostella_vectensis_NV2t024253001.1 NV2t024253001.1
OG0000014	Stylophora_pistillata_Spis2407 Spis2407 SpisGene2407	Nematostella_vectensis_NV2t020821001.1 NV2t020821001.1
OG0000014	Stylophora_pistillata_Spis12681 Spis12681 SpisGene12681	Nematostella_vectensis_NV2t000087001.1 NV2t000087001.1
OG0000014	Stylophora_pistillata_Spis13809.t1 Spis13809.t1 SpisGene13809	Nematostella_vectensis_NV2t025184002.1 NV2t025184002.1, Nematostella_vectensis_NV2t025184001.1 NV2t025184001.1
OG0000014	Stylophora_pistillata_Spis19692 Spis19692 SpisGene19692, Stylophora_pistillata_Spis19693 Spis19693 SpisGene19693	Nematostella_vectensis_NV2t017494001.1 NV2t017494001.1
OG0000014	Stylophora_pistillata_Spis1486 Spis1486 SpisGene1486	Nematostella_vectensis_NV2t022459002.1 NV2t022459002.1, Nematostella_vectensis_NV2t022459001.1 NV2t022459001.1, Nematostella_vectensis_NV2t021229001.1 NV2t021229001.1
OG0000014	Stylophora_pistillata_Spis10967 Spis10967 SpisGene10967	Nematostella_vectensis_NV2t022465001.1 NV2t022465001.1, Nematostella_vectensis_NV2t021631001.1 NV2t021631001.1, Nematostella_vectensis_NV2t021630001.1 NV2t021630001.1, Nematostella_vectensis_NV2t021635001.1 NV2t021635001.1, Nematostella_vectensis_NV2t021636001.1 NV2t021636001.1, Nematostella_vectensis_NV2t021230001.1 NV2t021230001.1
OG0000014	Stylophora_pistillata_Spis1489 Spis1489 SpisGene1489, Stylophora_pistillata_Spis1490 Spis1490 SpisGene1490	Nematostella_vectensis_NV2t021638002.1 NV2t021638002.1, Nematostella_vectensis_NV2t021638001.1 NV2t021638001.1
OG0000014	Stylophora_pistillata_Spis2985 Spis2985 SpisGene2985	Nematostella_vectensis_NV2t001120001.1 NV2t001120001.1, Nematostella_vectensis_NV2t001123004.1 NV2t001123004.1, Nematostella_vectensis_NV2t001123002.1 NV2t001123002.1, Nematostella_vectensis_NV2t001123005.1 NV2t001123005.1, Nematostella_vectensis_NV2t001123003.1 NV2t001123003.1
OG0000015	Stylophora_pistillata_Spis12670.t1 Spis12670.t1 SpisGene12670	Nematostella_vectensis_NV2t012863002.1 NV2t012863002.1, Nematostella_vectensis_NV2t012863001.1 NV2t012863001.1
OG0000015	Stylophora_pistillata_Spis12671 Spis12671 SpisGene12671	Nematostella_vectensis_NV2t012864001.1 NV2t012864001.1
OG0000015	Stylophora_pistillata_Spis11353 Spis11353 SpisGene11353	Nematostella_vectensis_NV2t021903002.1 NV2t021903002.1, Nematostella_vectensis_NV2t021903003.1 NV2t021903003.1, Nematostella_vectensis_NV2t021904001.1 NV2t021904001.1, Nematostella_vectensis_NV2t021903004.1 NV2t021903004.1, Nematostella_vectensis_NV2t021903001.1 NV2t021903001.1, Nematostella_vectensis_NV2t021905001.1 NV2t021905001.1
OG0000015	Stylophora_pistillata_Spis20235.t1 Spis20235.t1 SpisGene20235	Nematostella_vectensis_NV2t005822001.1 NV2t005822001.1
OG0000015	Stylophora_pistillata_Spis6262 Spis6262 SpisGene6262	Nematostella_vectensis_NV2t021283002.1 NV2t021283002.1, Nematostella_vectensis_NV2t021283003.1 NV2t021283003.1, Nematostella_vectensis_NV2t021283001.1 NV2t021283001.1
OG0000015	Stylophora_pistillata_Spis6260 Spis6260 SpisGene6260, Stylophora_pistillata_Spis6259 Spis6259 SpisGene6259	Nematostella_vectensis_NV2t021284001.1 NV2t021284001.1, Nematostella_vectensis_NV2t021284002.1 NV2t021284002.1
OG0000015	Stylophora_pistillata_Spis6258 Spis6258 SpisGene6258	Nematostella_vectensis_NV2t005824002.1 NV2t005824002.1, Nematostella_vectensis_NV2t005824001.1 NV2t005824001.1, Nematostella_vectensis_NV2t021288001.1 NV2t021288001.1, Nematostella_vectensis_NV2t021285001.1 NV2t021285001.1
OG0000015	Stylophora_pistillata_Spis12021 Spis12021 SpisGene12021, Stylophora_pistillata_Spis7563 Spis7563 SpisGene7563, Stylophora_pistillata_Spis7569 Spis7569 SpisGene7569, Stylophora_pistillata_Spis7566 Spis7566 SpisGene7566, Stylophora_pistillata_Spis12022 Spis12022 SpisGene12022, Stylophora_pistillata_Spis7567 Spis7567 SpisGene7567, Stylophora_pistillata_Spis7572 Spis7572 SpisGene7572, Stylophora_pistillata_Spis7575 Spis7575 SpisGene7575, Stylophora_pistillata_Spis7573 Spis7573 SpisGene7573, Stylophora_pistillata_Spis8023 Spis8023 SpisGene8023, Stylophora_pistillata_Spis8022 Spis8022 SpisGene8022	Nematostella_vectensis_NV2t024478001.1 NV2t024478001.1, Nematostella_vectensis_NV2t024478002.1 NV2t024478002.1, Nematostella_vectensis_NV2t021585001.1 NV2t021585001.1, Nematostella_vectensis_NV2t024461001.1 NV2t024461001.1, Nematostella_vectensis_NV2t024741004.1 NV2t024741004.1, Nematostella_vectensis_NV2t024741001.1 NV2t024741001.1, Nematostella_vectensis_NV2t024741002.1 NV2t024741002.1, Nematostella_vectensis_NV2t025392002.1 NV2t025392002.1, Nematostella_vectensis_NV2t025392001.1 NV2t025392001.1, Nematostella_vectensis_NV2t025391001.1 NV2t025391001.1, Nematostella_vectensis_NV2t025393002.1 NV2t025393002.1, Nematostella_vectensis_NV2t025395001.1 NV2t025395001.1, Nematostella_vectensis_NV2t025402001.1 NV2t025402001.1, Nematostella_vectensis_NV2t025394001.1 NV2t025394001.1, Nematostella_vectensis_NV2t025394002.1 NV2t025394002.1, Nematostella_vectensis_NV2t025462001.1 NV2t025462001.1, Nematostella_vectensis_NV2t024877001.1 NV2t024877001.1, Nematostella_vectensis_NV2t025401001.1 NV2t025401001.1
OG0000015	Stylophora_pistillata_Spis7814 Spis7814 SpisGene7814	Nematostella_vectensis_NV2t011069001.1 NV2t011069001.1
OG0000016	Stylophora_pistillata_Spis5432 Spis5432 SpisGene5432	Nematostella_vectensis_NV2t019146002.1 NV2t019146002.1, Nematostella_vectensis_NV2t019146001.1 NV2t019146001.1
OG0000016	Stylophora_pistillata_Spis5859 Spis5859 SpisGene5859, Stylophora_pistillata_Spis5860 Spis5860 SpisGene5860, Stylophora_pistillata_Spis5852 Spis5852 SpisGene5852	Nematostella_vectensis_NV2t020474002.1 NV2t020474002.1, Nematostella_vectensis_NV2t020474001.1 NV2t020474001.1
OG0000016	Stylophora_pistillata_Spis5856 Spis5856 SpisGene5856, Stylophora_pistillata_Spis5855 Spis5855 SpisGene5855, Stylophora_pistillata_Spis5853.t1 Spis5853.t1 SpisGene5853, Stylophora_pistillata_Spis5854 Spis5854 SpisGene5854, Stylophora_pistillata_Spis5827 Spis5827 SpisGene5827, Stylophora_pistillata_Spis5858 Spis5858 SpisGene5858, Stylophora_pistillata_Spis5857 Spis5857 SpisGene5857, Stylophora_pistillata_Spis5851 Spis5851 SpisGene5851	Nematostella_vectensis_NV2t020475001.1 NV2t020475001.1
OG0000016	Stylophora_pistillata_Spis19202 Spis19202 SpisGene19202	Nematostella_vectensis_NV2t002700001.1 NV2t002700001.1
OG0000016	Stylophora_pistillata_Spis18465 Spis18465 SpisGene18465	Nematostella_vectensis_NV2t014820001.1 NV2t014820001.1, Nematostella_vectensis_NV2t014297001.1 NV2t014297001.1
OG0000016	Stylophora_pistillata_Spis5570 Spis5570 SpisGene5570	Nematostella_vectensis_NV2t008027001.1 NV2t008027001.1, Nematostella_vectensis_NV2t008027002.1 NV2t008027002.1, Nematostella_vectensis_NV2t003582001.1 NV2t003582001.1, Nematostella_vectensis_NV2t001647001.1 NV2t001647001.1, Nematostella_vectensis_NV2t003581001.1 NV2t003581001.1
OG0000016	Stylophora_pistillata_Spis5569 Spis5569 SpisGene5569	Nematostella_vectensis_NV2t008375002.1 NV2t008375002.1, Nematostella_vectensis_NV2t008375001.1 NV2t008375001.1
OG0000016	Stylophora_pistillata_Spis5572 Spis5572 SpisGene5572	Nematostella_vectensis_NV2t000808002.1 NV2t000808002.1, Nematostella_vectensis_NV2t000807001.1 NV2t000807001.1
OG0000017	Stylophora_pistillata_Spis5283 Spis5283 SpisGene5283	Nematostella_vectensis_NV2t021103001.1 NV2t021103001.1
OG0000018	Stylophora_pistillata_Spis5446 Spis5446 SpisGene5446, Stylophora_pistillata_Spis5444 Spis5444 SpisGene5444, Stylophora_pistillata_Spis5445 Spis5445 SpisGene5445	Nematostella_vectensis_NV2t019165001.1 NV2t019165001.1, Nematostella_vectensis_NV2t019165003.1 NV2t019165003.1, Nematostella_vectensis_NV2t019165002.1 NV2t019165002.1, Nematostella_vectensis_NV2t019166001.1 NV2t019166001.1
