Orthogroup	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Cubozoa_Morbakka_virulenta
OG0000014	Stylophora_pistillata_Spis17420 Spis17420 SpisGene17420, Stylophora_pistillata_Spis1486 Spis1486 SpisGene1486, Stylophora_pistillata_Spis10967 Spis10967 SpisGene10967, Stylophora_pistillata_Spis1488 Spis1488 SpisGene1488, Stylophora_pistillata_Spis10964 Spis10964 SpisGene10964, Stylophora_pistillata_Spis1489 Spis1489 SpisGene1489, Stylophora_pistillata_Spis1490 Spis1490 SpisGene1490, Stylophora_pistillata_Spis2986 Spis2986 SpisGene2986, Stylophora_pistillata_Spis2985 Spis2985 SpisGene2985	Morbakka_virulenta_scaffold366.g6.t2 scaffold366.g6.t2, Morbakka_virulenta_scaffold366.g6.t3 scaffold366.g6.t3, Morbakka_virulenta_scaffold366.g6.t1 scaffold366.g6.t1
OG0000015	Stylophora_pistillata_Spis11353 Spis11353 SpisGene11353	Morbakka_virulenta_scaffold468.g7.t1 scaffold468.g7.t1
OG0000015	Stylophora_pistillata_Spis20235.t1 Spis20235.t1 SpisGene20235, Stylophora_pistillata_Spis6262 Spis6262 SpisGene6262, Stylophora_pistillata_Spis6260 Spis6260 SpisGene6260, Stylophora_pistillata_Spis6259 Spis6259 SpisGene6259, Stylophora_pistillata_Spis6258 Spis6258 SpisGene6258, Stylophora_pistillata_Spis20234 Spis20234 SpisGene20234	Morbakka_virulenta_scaffold13.g67.t1 scaffold13.g67.t1, Morbakka_virulenta_scaffold68.g26.t1 scaffold68.g26.t1, Morbakka_virulenta_scaffold68.g27.t1 scaffold68.g27.t1, Morbakka_virulenta_scaffold13.g65.t2 scaffold13.g65.t2, Morbakka_virulenta_scaffold13.g65.t1 scaffold13.g65.t1
OG0000015	Stylophora_pistillata_Spis7814 Spis7814 SpisGene7814	Morbakka_virulenta_scaffold70.g1.t1 scaffold70.g1.t1
OG0000016	Stylophora_pistillata_Spis5432 Spis5432 SpisGene5432	Morbakka_virulenta_scaffold63.g60.t1 scaffold63.g60.t1, Morbakka_virulenta_scaffold63.g65.t1 scaffold63.g65.t1
OG0000016	Stylophora_pistillata_Spis5856 Spis5856 SpisGene5856, Stylophora_pistillata_Spis5855 Spis5855 SpisGene5855, Stylophora_pistillata_Spis5853.t1 Spis5853.t1 SpisGene5853, Stylophora_pistillata_Spis5854 Spis5854 SpisGene5854, Stylophora_pistillata_Spis5827 Spis5827 SpisGene5827, Stylophora_pistillata_Spis5858 Spis5858 SpisGene5858, Stylophora_pistillata_Spis5857 Spis5857 SpisGene5857, Stylophora_pistillata_Spis5851 Spis5851 SpisGene5851	Morbakka_virulenta_scaffold88.g16.t1 scaffold88.g16.t1, Morbakka_virulenta_scaffold69.g105.t1 scaffold69.g105.t1, Morbakka_virulenta_scaffold69.g105.t2 scaffold69.g105.t2, Morbakka_virulenta_scaffold45.g73.t1 scaffold45.g73.t1, Morbakka_virulenta_scaffold45.g74.t1 scaffold45.g74.t1
OG0000016	Stylophora_pistillata_Spis19202 Spis19202 SpisGene19202	Morbakka_virulenta_scaffold413.g13.t1 scaffold413.g13.t1
OG0000018	Stylophora_pistillata_Spis5446 Spis5446 SpisGene5446, Stylophora_pistillata_Spis5444 Spis5444 SpisGene5444, Stylophora_pistillata_Spis5445 Spis5445 SpisGene5445	Morbakka_virulenta_scaffold203.g33.t1 scaffold203.g33.t1, Morbakka_virulenta_scaffold290.g29.t1 scaffold290.g29.t1, Morbakka_virulenta_scaffold290.g29.t2 scaffold290.g29.t2, Morbakka_virulenta_scaffold290.g29.t3 scaffold290.g29.t3
OG0000018	Stylophora_pistillata_Spis17286.t1 Spis17286.t1 SpisGene17286, Stylophora_pistillata_Spis11637 Spis11637 SpisGene11637	Morbakka_virulenta_scaffold18.g35.t1 scaffold18.g35.t1, Morbakka_virulenta_scaffold18.g35.t2 scaffold18.g35.t2
OG0000019	Stylophora_pistillata_Spis6384 Spis6384 SpisGene6384	Morbakka_virulenta_scaffold47.g131.t1 scaffold47.g131.t1, Morbakka_virulenta_scaffold455.g5.t1 scaffold455.g5.t1
OG0000019	Stylophora_pistillata_Spis20402 Spis20402 SpisGene20402	Morbakka_virulenta_scaffold135.g49.t1 scaffold135.g49.t1
OG0000019	Stylophora_pistillata_Spis4504 Spis4504 SpisGene4504	Morbakka_virulenta_scaffold7.g3.t1 scaffold7.g3.t1
OG0000019	Stylophora_pistillata_Spis8182.t1 Spis8182.t1 SpisGene8182	Morbakka_virulenta_scaffold36.g28.t1 scaffold36.g28.t1
OG0000020	Stylophora_pistillata_Spis1905 Spis1905 SpisGene1905	Morbakka_virulenta_scaffold39.g96.t1 scaffold39.g96.t1
OG0000020	Stylophora_pistillata_Spis2741 Spis2741 SpisGene2741, Stylophora_pistillata_Spis2737 Spis2737 SpisGene2737, Stylophora_pistillata_Spis14939 Spis14939 SpisGene14939	Morbakka_virulenta_scaffold131.g48.t3 scaffold131.g48.t3, Morbakka_virulenta_scaffold131.g48.t2 scaffold131.g48.t2, Morbakka_virulenta_scaffold131.g48.t1 scaffold131.g48.t1, Morbakka_virulenta_scaffold461.g6.t1 scaffold461.g6.t1, Morbakka_virulenta_scaffold461.g6.t2 scaffold461.g6.t2
OG0000020	Stylophora_pistillata_Spis14195 Spis14195 SpisGene14195, Stylophora_pistillata_Spis3249 Spis3249 SpisGene3249	Morbakka_virulenta_scaffold116.g19.t1 scaffold116.g19.t1, Morbakka_virulenta_scaffold116.g19.t2 scaffold116.g19.t2
OG0000021	Stylophora_pistillata_Spis9526 Spis9526 SpisGene9526	Morbakka_virulenta_scaffold66.g10.t1 scaffold66.g10.t1, Morbakka_virulenta_scaffold66.g10.t2 scaffold66.g10.t2
OG0000021	Stylophora_pistillata_Spis15200 Spis15200 SpisGene15200	Morbakka_virulenta_scaffold500.g10.t1 scaffold500.g10.t1
OG0000021	Stylophora_pistillata_Spis17567 Spis17567 SpisGene17567	Morbakka_virulenta_scaffold214.g8.t1 scaffold214.g8.t1
OG0000021	Stylophora_pistillata_Spis7866 Spis7866 SpisGene7866	Morbakka_virulenta_scaffold3.g40.t1 scaffold3.g40.t1, Morbakka_virulenta_scaffold3.g40.t2 scaffold3.g40.t2
OG0000021	Stylophora_pistillata_Spis24714 Spis24714 SpisGene24714	Morbakka_virulenta_scaffold377.g17.t1 scaffold377.g17.t1, Morbakka_virulenta_scaffold209.g39.t1 scaffold209.g39.t1
OG0000022	Stylophora_pistillata_Spis2392 Spis2392 SpisGene2392	Morbakka_virulenta_scaffold487.g4.t1 scaffold487.g4.t1
OG0000022	Stylophora_pistillata_Spis3665 Spis3665 SpisGene3665	Morbakka_virulenta_scaffold487.g6.t1 scaffold487.g6.t1
OG0000023	Stylophora_pistillata_Spis8398 Spis8398 SpisGene8398	Morbakka_virulenta_scaffold206.g31.t1 scaffold206.g31.t1
OG0000024	Stylophora_pistillata_Spis21695 Spis21695 SpisGene21695	Morbakka_virulenta_scaffold68.g10.t1 scaffold68.g10.t1, Morbakka_virulenta_scaffold7.g148.t1 scaffold7.g148.t1
OG0000024	Stylophora_pistillata_Spis13991 Spis13991 SpisGene13991	Morbakka_virulenta_scaffold12.g79.t1 scaffold12.g79.t1
OG0000027	Stylophora_pistillata_Spis15917 Spis15917 SpisGene15917	Morbakka_virulenta_scaffold424.g6.t1 scaffold424.g6.t1
OG0000028	Stylophora_pistillata_Spis2632 Spis2632 SpisGene2632	Morbakka_virulenta_scaffold9.g62.t1 scaffold9.g62.t1
OG0000029	Stylophora_pistillata_Spis14460 Spis14460 SpisGene14460, Stylophora_pistillata_Spis14294 Spis14294 SpisGene14294	Morbakka_virulenta_scaffold331.g4.t1 scaffold331.g4.t1
OG0000029	Stylophora_pistillata_Spis14293 Spis14293 SpisGene14293	Morbakka_virulenta_scaffold331.g11.t1 scaffold331.g11.t1
OG0000029	Stylophora_pistillata_Spis11924 Spis11924 SpisGene11924	Morbakka_virulenta_scaffold154.g38.t1 scaffold154.g38.t1
OG0000029	Stylophora_pistillata_Spis1889 Spis1889 SpisGene1889	Morbakka_virulenta_scaffold12.g130.t1 scaffold12.g130.t1
OG0000030	Stylophora_pistillata_Spis8205 Spis8205 SpisGene8205	Morbakka_virulenta_scaffold273.g11.t2 scaffold273.g11.t2, Morbakka_virulenta_scaffold273.g11.t1 scaffold273.g11.t1
OG0000030	Stylophora_pistillata_Spis18004 Spis18004 SpisGene18004	Morbakka_virulenta_scaffold233.g2.t1 scaffold233.g2.t1
OG0000031	Stylophora_pistillata_Spis10367 Spis10367 SpisGene10367	Morbakka_virulenta_scaffold277.g6.t1 scaffold277.g6.t1
OG0000032	Stylophora_pistillata_Spis6529 Spis6529 SpisGene6529	Morbakka_virulenta_scaffold930.g1.t1 scaffold930.g1.t1, Morbakka_virulenta_scaffold75.g57.t2 scaffold75.g57.t2, Morbakka_virulenta_scaffold75.g58.t1 scaffold75.g58.t1, Morbakka_virulenta_scaffold75.g58.t2 scaffold75.g58.t2, Morbakka_virulenta_scaffold75.g53.t1 scaffold75.g53.t1
OG0000032	Stylophora_pistillata_Spis20530 Spis20530 SpisGene20530	Morbakka_virulenta_scaffold319.g15.t1 scaffold319.g15.t1
OG0000034	Stylophora_pistillata_Spis8934.t1 Spis8934.t1 SpisGene8934, Stylophora_pistillata_Spis9650 Spis9650 SpisGene9650	Morbakka_virulenta_scaffold45.g31.t2 scaffold45.g31.t2, Morbakka_virulenta_scaffold45.g31.t1 scaffold45.g31.t1
OG0000034	Stylophora_pistillata_Spis1480 Spis1480 SpisGene1480	Morbakka_virulenta_scaffold1.g337.t2 scaffold1.g337.t2, Morbakka_virulenta_scaffold1.g337.t3 scaffold1.g337.t3, Morbakka_virulenta_scaffold1.g337.t1 scaffold1.g337.t1
OG0000035	Stylophora_pistillata_Spis13883 Spis13883 SpisGene13883	Morbakka_virulenta_scaffold72.g49.t1 scaffold72.g49.t1, Morbakka_virulenta_scaffold72.g48.t1 scaffold72.g48.t1
OG0000035	Stylophora_pistillata_Spis3601 Spis3601 SpisGene3601	Morbakka_virulenta_scaffold400.g3.t2 scaffold400.g3.t2, Morbakka_virulenta_scaffold400.g3.t1 scaffold400.g3.t1
OG0000036	Stylophora_pistillata_Spis6171 Spis6171 SpisGene6171	Morbakka_virulenta_scaffold2.g64.t1 scaffold2.g64.t1
OG0000037	Stylophora_pistillata_Spis13601 Spis13601 SpisGene13601	Morbakka_virulenta_scaffold93.g25.t1 scaffold93.g25.t1, Morbakka_virulenta_scaffold93.g22.t1 scaffold93.g22.t1
OG0000038	Stylophora_pistillata_Spis1158 Spis1158 SpisGene1158, Stylophora_pistillata_Spis1157 Spis1157 SpisGene1157, Stylophora_pistillata_Spis1160 Spis1160 SpisGene1160, Stylophora_pistillata_Spis1159 Spis1159 SpisGene1159, Stylophora_pistillata_Spis1161 Spis1161 SpisGene1161, Stylophora_pistillata_Spis1162 Spis1162 SpisGene1162	Morbakka_virulenta_scaffold302.g10.t1 scaffold302.g10.t1
OG0000038	Stylophora_pistillata_Spis16667 Spis16667 SpisGene16667	Morbakka_virulenta_scaffold9.g35.t1 scaffold9.g35.t1
OG0000040	Stylophora_pistillata_Spis3141 Spis3141 SpisGene3141, Stylophora_pistillata_Spis21214 Spis21214 SpisGene21214	Morbakka_virulenta_scaffold37.g21.t1 scaffold37.g21.t1, Morbakka_virulenta_scaffold37.g22.t1 scaffold37.g22.t1
OG0000041	Stylophora_pistillata_Spis2408 Spis2408 SpisGene2408	Morbakka_virulenta_scaffold235.g13.t1 scaffold235.g13.t1, Morbakka_virulenta_scaffold235.g9.t1 scaffold235.g9.t1, Morbakka_virulenta_scaffold71.g73.t1 scaffold71.g73.t1
OG0000041	Stylophora_pistillata_Spis15631 Spis15631 SpisGene15631	Morbakka_virulenta_scaffold92.g7.t1 scaffold92.g7.t1
OG0000042	Stylophora_pistillata_Spis2347 Spis2347 SpisGene2347	Morbakka_virulenta_scaffold130.g32.t2 scaffold130.g32.t2, Morbakka_virulenta_scaffold130.g32.t1 scaffold130.g32.t1, Morbakka_virulenta_scaffold45.g44.t1 scaffold45.g44.t1, Morbakka_virulenta_scaffold130.g29.t1 scaffold130.g29.t1
OG0000042	Stylophora_pistillata_Spis15181 Spis15181 SpisGene15181, Stylophora_pistillata_Spis15182 Spis15182 SpisGene15182	Morbakka_virulenta_scaffold263.g24.t1 scaffold263.g24.t1
OG0000044	Stylophora_pistillata_Spis4982 Spis4982 SpisGene4982, Stylophora_pistillata_Spis20352 Spis20352 SpisGene20352, Stylophora_pistillata_Spis4987 Spis4987 SpisGene4987	Morbakka_virulenta_scaffold291.g8.t1 scaffold291.g8.t1, Morbakka_virulenta_scaffold99.g38.t1 scaffold99.g38.t1, Morbakka_virulenta_scaffold90.g31.t1 scaffold90.g31.t1, Morbakka_virulenta_scaffold90.g28.t1 scaffold90.g28.t1, Morbakka_virulenta_scaffold433.g1.t1 scaffold433.g1.t1
OG0000045	Stylophora_pistillata_Spis7390 Spis7390 SpisGene7390	Morbakka_virulenta_scaffold63.g34.t1 scaffold63.g34.t1, Morbakka_virulenta_scaffold63.g34.t2 scaffold63.g34.t2
OG0000046	Stylophora_pistillata_Spis20041 Spis20041 SpisGene20041, Stylophora_pistillata_Spis20040 Spis20040 SpisGene20040, Stylophora_pistillata_Spis17822 Spis17822 SpisGene17822, Stylophora_pistillata_Spis20038 Spis20038 SpisGene20038, Stylophora_pistillata_Spis3327 Spis3327 SpisGene3327, Stylophora_pistillata_Spis20037 Spis20037 SpisGene20037, Stylophora_pistillata_Spis2656 Spis2656 SpisGene2656, Stylophora_pistillata_Spis6345 Spis6345 SpisGene6345, Stylophora_pistillata_Spis15919 Spis15919 SpisGene15919, Stylophora_pistillata_Spis12940 Spis12940 SpisGene12940, Stylophora_pistillata_Spis15918 Spis15918 SpisGene15918, Stylophora_pistillata_Spis17216 Spis17216 SpisGene17216, Stylophora_pistillata_Spis24200 Spis24200 SpisGene24200, Stylophora_pistillata_Spis17215 Spis17215 SpisGene17215, Stylophora_pistillata_Spis20129 Spis20129 SpisGene20129, Stylophora_pistillata_Spis17828 Spis17828 SpisGene17828	Morbakka_virulenta_scaffold117.g12.t1 scaffold117.g12.t1
OG0000049	Stylophora_pistillata_Spis6729 Spis6729 SpisGene6729	Morbakka_virulenta_scaffold314.g7.t1 scaffold314.g7.t1
OG0000053	Stylophora_pistillata_Spis13170 Spis13170 SpisGene13170, Stylophora_pistillata_Spis17904 Spis17904 SpisGene17904, Stylophora_pistillata_Spis16422 Spis16422 SpisGene16422	Morbakka_virulenta_scaffold155.g5.t1 scaffold155.g5.t1
OG0000054	Stylophora_pistillata_Spis4424.t3 Spis4424.t3 SpisGene4424	Morbakka_virulenta_scaffold47.g48.t2 scaffold47.g48.t2, Morbakka_virulenta_scaffold47.g48.t1 scaffold47.g48.t1
OG0000056	Stylophora_pistillata_Spis17018 Spis17018 SpisGene17018	Morbakka_virulenta_scaffold338.g2.t2 scaffold338.g2.t2, Morbakka_virulenta_scaffold338.g2.t1 scaffold338.g2.t1
OG0000056	Stylophora_pistillata_Spis17017 Spis17017 SpisGene17017	Morbakka_virulenta_scaffold31.g52.t1 scaffold31.g52.t1
OG0000058	Stylophora_pistillata_Spis12423 Spis12423 SpisGene12423	Morbakka_virulenta_scaffold244.g20.t1 scaffold244.g20.t1
OG0000059	Stylophora_pistillata_Spis9841 Spis9841 SpisGene9841, Stylophora_pistillata_Spis16037 Spis16037 SpisGene16037	Morbakka_virulenta_scaffold164.g5.t1 scaffold164.g5.t1
OG0000061	Stylophora_pistillata_Spis2932 Spis2932 SpisGene2932, Stylophora_pistillata_Spis17364 Spis17364 SpisGene17364	Morbakka_virulenta_scaffold265.g6.t1 scaffold265.g6.t1, Morbakka_virulenta_scaffold92.g46.t1 scaffold92.g46.t1
OG0000061	Stylophora_pistillata_Spis5917.t1 Spis5917.t1 SpisGene5917	Morbakka_virulenta_scaffold73.g24.t1 scaffold73.g24.t1
OG0000062	Stylophora_pistillata_Spis8967.t1 Spis8967.t1 SpisGene8967	Morbakka_virulenta_scaffold194.g47.t1 scaffold194.g47.t1
OG0000062	Stylophora_pistillata_Spis10067 Spis10067 SpisGene10067	Morbakka_virulenta_scaffold2.g62.t1 scaffold2.g62.t1, Morbakka_virulenta_scaffold2.g62.t2 scaffold2.g62.t2
OG0000065	Stylophora_pistillata_Spis8479 Spis8479 SpisGene8479, Stylophora_pistillata_Spis8480 Spis8480 SpisGene8480	Morbakka_virulenta_scaffold1.g340.t1 scaffold1.g340.t1
OG0000070	Stylophora_pistillata_Spis16314 Spis16314 SpisGene16314, Stylophora_pistillata_Spis6123 Spis6123 SpisGene6123	Morbakka_virulenta_scaffold64.g73.t1 scaffold64.g73.t1
OG0000070	Stylophora_pistillata_Spis14637 Spis14637 SpisGene14637	Morbakka_virulenta_scaffold190.g18.t1 scaffold190.g18.t1
OG0000073	Stylophora_pistillata_Spis5001 Spis5001 SpisGene5001, Stylophora_pistillata_Spis12509 Spis12509 SpisGene12509, Stylophora_pistillata_Spis12512 Spis12512 SpisGene12512, Stylophora_pistillata_Spis12511 Spis12511 SpisGene12511, Stylophora_pistillata_Spis12510 Spis12510 SpisGene12510, Stylophora_pistillata_Spis4993 Spis4993 SpisGene4993, Stylophora_pistillata_Spis8997 Spis8997 SpisGene8997, Stylophora_pistillata_Spis4992 Spis4992 SpisGene4992	Morbakka_virulenta_scaffold47.g78.t1 scaffold47.g78.t1
OG0000075	Stylophora_pistillata_Spis18088 Spis18088 SpisGene18088, Stylophora_pistillata_Spis18089 Spis18089 SpisGene18089	Morbakka_virulenta_scaffold563.g1.t2 scaffold563.g1.t2, Morbakka_virulenta_scaffold563.g1.t1 scaffold563.g1.t1
OG0000075	Stylophora_pistillata_Spis21246 Spis21246 SpisGene21246	Morbakka_virulenta_scaffold416.g3.t1 scaffold416.g3.t1, Morbakka_virulenta_scaffold416.g3.t2 scaffold416.g3.t2, Morbakka_virulenta_scaffold307.g13.t1 scaffold307.g13.t1
OG0000075	Stylophora_pistillata_Spis25413 Spis25413 SpisGene25413	Morbakka_virulenta_scaffold326.g8.t1 scaffold326.g8.t1, Morbakka_virulenta_scaffold326.g8.t2 scaffold326.g8.t2
OG0000080	Stylophora_pistillata_Spis6044 Spis6044 SpisGene6044	Morbakka_virulenta_scaffold190.g25.t1 scaffold190.g25.t1
OG0000081	Stylophora_pistillata_Spis17434 Spis17434 SpisGene17434	Morbakka_virulenta_scaffold161.g34.t1 scaffold161.g34.t1
OG0000083	Stylophora_pistillata_Spis24099 Spis24099 SpisGene24099	Morbakka_virulenta_scaffold8.g32.t1 scaffold8.g32.t1, Morbakka_virulenta_scaffold1428.g1.t1 scaffold1428.g1.t1
OG0000084	Stylophora_pistillata_Spis20307 Spis20307 SpisGene20307	Morbakka_virulenta_scaffold357.g1.t3 scaffold357.g1.t3, Morbakka_virulenta_scaffold357.g1.t2 scaffold357.g1.t2, Morbakka_virulenta_scaffold357.g1.t1 scaffold357.g1.t1
OG0000087	Stylophora_pistillata_Spis4884 Spis4884 SpisGene4884	Morbakka_virulenta_scaffold306.g6.t1 scaffold306.g6.t1, Morbakka_virulenta_scaffold306.g6.t3 scaffold306.g6.t3
OG0000088	Stylophora_pistillata_Spis17637 Spis17637 SpisGene17637	Morbakka_virulenta_scaffold280.g21.t2 scaffold280.g21.t2, Morbakka_virulenta_scaffold280.g21.t3 scaffold280.g21.t3, Morbakka_virulenta_scaffold280.g21.t1 scaffold280.g21.t1
OG0000089	Stylophora_pistillata_Spis6266 Spis6266 SpisGene6266	Morbakka_virulenta_scaffold156.g14.t2 scaffold156.g14.t2, Morbakka_virulenta_scaffold156.g14.t1 scaffold156.g14.t1
OG0000092	Stylophora_pistillata_Spis18097 Spis18097 SpisGene18097, Stylophora_pistillata_Spis3844 Spis3844 SpisGene3844	Morbakka_virulenta_scaffold60.g52.t1 scaffold60.g52.t1
OG0000093	Stylophora_pistillata_Spis1325 Spis1325 SpisGene1325, Stylophora_pistillata_Spis1324 Spis1324 SpisGene1324	Morbakka_virulenta_scaffold54.g15.t1 scaffold54.g15.t1, Morbakka_virulenta_scaffold90.g61.t1 scaffold90.g61.t1
OG0000094	Stylophora_pistillata_Spis10117 Spis10117 SpisGene10117	Morbakka_virulenta_scaffold354.g9.t4 scaffold354.g9.t4, Morbakka_virulenta_scaffold354.g9.t1 scaffold354.g9.t1, Morbakka_virulenta_scaffold354.g9.t3 scaffold354.g9.t3, Morbakka_virulenta_scaffold354.g9.t2 scaffold354.g9.t2
OG0000095	Stylophora_pistillata_Spis6340 Spis6340 SpisGene6340	Morbakka_virulenta_scaffold3.g135.t1 scaffold3.g135.t1
OG0000099	Stylophora_pistillata_Spis9375 Spis9375 SpisGene9375	Morbakka_virulenta_scaffold237.g14.t1 scaffold237.g14.t1, Morbakka_virulenta_scaffold237.g14.t2 scaffold237.g14.t2
OG0000100	Stylophora_pistillata_Spis20501.t1 Spis20501.t1 SpisGene20501	Morbakka_virulenta_scaffold275.g5.t1 scaffold275.g5.t1, Morbakka_virulenta_scaffold275.g5.t2 scaffold275.g5.t2
OG0000100	Stylophora_pistillata_Spis20502.t1 Spis20502.t1 SpisGene20502	Morbakka_virulenta_scaffold275.g7.t1 scaffold275.g7.t1, Morbakka_virulenta_scaffold275.g7.t2 scaffold275.g7.t2
OG0000103	Stylophora_pistillata_Spis345 Spis345 SpisGene345	Morbakka_virulenta_scaffold34.g37.t1 scaffold34.g37.t1, Morbakka_virulenta_scaffold34.g37.t2 scaffold34.g37.t2, Morbakka_virulenta_scaffold34.g37.t3 scaffold34.g37.t3
OG0000106	Stylophora_pistillata_Spis13266 Spis13266 SpisGene13266	Morbakka_virulenta_scaffold239.g8.t1 scaffold239.g8.t1
OG0000111	Stylophora_pistillata_Spis10022 Spis10022 SpisGene10022, Stylophora_pistillata_Spis17894 Spis17894 SpisGene17894, Stylophora_pistillata_Spis4201 Spis4201 SpisGene4201, Stylophora_pistillata_Spis4199.t1 Spis4199.t1 SpisGene4199	Morbakka_virulenta_scaffold143.g12.t1 scaffold143.g12.t1
OG0000112	Stylophora_pistillata_Spis17656 Spis17656 SpisGene17656, Stylophora_pistillata_Spis8942 Spis8942 SpisGene8942	Morbakka_virulenta_scaffold181.g16.t1 scaffold181.g16.t1, Morbakka_virulenta_scaffold181.g17.t1 scaffold181.g17.t1, Morbakka_virulenta_scaffold51.g32.t1 scaffold51.g32.t1
OG0000113	Stylophora_pistillata_Spis1485 Spis1485 SpisGene1485	Morbakka_virulenta_scaffold13.g58.t1 scaffold13.g58.t1
OG0000116	Stylophora_pistillata_Spis11354.t1 Spis11354.t1 SpisGene11354, Stylophora_pistillata_Spis11352 Spis11352 SpisGene11352	Morbakka_virulenta_scaffold2.g208.t1 scaffold2.g208.t1, Morbakka_virulenta_scaffold37.g83.t1 scaffold37.g83.t1, Morbakka_virulenta_scaffold37.g83.t2 scaffold37.g83.t2
OG0000117	Stylophora_pistillata_Spis9088 Spis9088 SpisGene9088	Morbakka_virulenta_scaffold26.g48.t1 scaffold26.g48.t1
OG0000117	Stylophora_pistillata_Spis9235 Spis9235 SpisGene9235	Morbakka_virulenta_scaffold111.g64.t1 scaffold111.g64.t1
OG0000117	Stylophora_pistillata_Spis19826 Spis19826 SpisGene19826, Stylophora_pistillata_Spis15496 Spis15496 SpisGene15496	Morbakka_virulenta_scaffold178.g4.t1 scaffold178.g4.t1
OG0000117	Stylophora_pistillata_Spis14951 Spis14951 SpisGene14951, Stylophora_pistillata_Spis22642 Spis22642 SpisGene22642, Stylophora_pistillata_Spis18051 Spis18051 SpisGene18051, Stylophora_pistillata_Spis18048 Spis18048 SpisGene18048, Stylophora_pistillata_Spis23815 Spis23815 SpisGene23815, Stylophora_pistillata_Spis23126 Spis23126 SpisGene23126, Stylophora_pistillata_Spis20894 Spis20894 SpisGene20894, Stylophora_pistillata_Spis22320 Spis22320 SpisGene22320	Morbakka_virulenta_scaffold56.g61.t1 scaffold56.g61.t1
OG0000119	Stylophora_pistillata_Spis5011 Spis5011 SpisGene5011	Morbakka_virulenta_scaffold568.g2.t1 scaffold568.g2.t1
OG0000121	Stylophora_pistillata_Spis16744 Spis16744 SpisGene16744	Morbakka_virulenta_scaffold324.g6.t1 scaffold324.g6.t1, Morbakka_virulenta_scaffold324.g6.t2 scaffold324.g6.t2
OG0000121	Stylophora_pistillata_Spis1520 Spis1520 SpisGene1520	Morbakka_virulenta_scaffold52.g9.t1 scaffold52.g9.t1
OG0000122	Stylophora_pistillata_Spis9409 Spis9409 SpisGene9409	Morbakka_virulenta_scaffold290.g29.t4 scaffold290.g29.t4
OG0000123	Stylophora_pistillata_Spis10731 Spis10731 SpisGene10731	Morbakka_virulenta_scaffold348.g11.t1 scaffold348.g11.t1
OG0000126	Stylophora_pistillata_Spis15117 Spis15117 SpisGene15117, Stylophora_pistillata_Spis2954.t1 Spis2954.t1 SpisGene2954	Morbakka_virulenta_scaffold119.g1.t1 scaffold119.g1.t1, Morbakka_virulenta_scaffold119.g2.t2 scaffold119.g2.t2, Morbakka_virulenta_scaffold119.g2.t1 scaffold119.g2.t1, Morbakka_virulenta_scaffold106.g49.t1 scaffold106.g49.t1
OG0000129	Stylophora_pistillata_Spis15601 Spis15601 SpisGene15601	Morbakka_virulenta_scaffold202.g10.t1 scaffold202.g10.t1, Morbakka_virulenta_scaffold118.g46.t1 scaffold118.g46.t1, Morbakka_virulenta_scaffold119.g35.t1 scaffold119.g35.t1, Morbakka_virulenta_scaffold390.g3.t1 scaffold390.g3.t1
OG0000131	Stylophora_pistillata_Spis6119 Spis6119 SpisGene6119, Stylophora_pistillata_Spis6120 Spis6120 SpisGene6120	Morbakka_virulenta_scaffold376.g16.t1 scaffold376.g16.t1
OG0000133	Stylophora_pistillata_Spis7100 Spis7100 SpisGene7100	Morbakka_virulenta_scaffold115.g46.t4 scaffold115.g46.t4, Morbakka_virulenta_scaffold115.g46.t3 scaffold115.g46.t3, Morbakka_virulenta_scaffold115.g46.t2 scaffold115.g46.t2
OG0000134	Stylophora_pistillata_Spis19516 Spis19516 SpisGene19516	Morbakka_virulenta_scaffold32.g95.t1 scaffold32.g95.t1
OG0000137	Stylophora_pistillata_Spis21290 Spis21290 SpisGene21290, Stylophora_pistillata_Spis22886 Spis22886 SpisGene22886	Morbakka_virulenta_scaffold1196.g1.t1 scaffold1196.g1.t1
OG0000138	Stylophora_pistillata_Spis23375 Spis23375 SpisGene23375	Morbakka_virulenta_scaffold115.g38.t1 scaffold115.g38.t1
OG0000138	Stylophora_pistillata_Spis5472 Spis5472 SpisGene5472	Morbakka_virulenta_scaffold116.g18.t1 scaffold116.g18.t1, Morbakka_virulenta_scaffold116.g18.t3 scaffold116.g18.t3, Morbakka_virulenta_scaffold116.g18.t4 scaffold116.g18.t4
