Orthogroup	Cnidaria_Anthozoa_Stylophora_pistillata	Chordata_Vertebrata_Bos_taurus
OG0000021	Stylophora_pistillata_Spis9526 Spis9526 SpisGene9526	NP_001095535.1 nidogen-2 precursor [Bos taurus], NP_001094625.1 nidogen-1 precursor [Bos taurus]
OG0000022	Stylophora_pistillata_Spis3665 Spis3665 SpisGene3665	XP_005226473.2 annexin A7 isoform X1 [Bos taurus]
OG0000023	Stylophora_pistillata_Spis8398 Spis8398 SpisGene8398	XP_005225761.2 disintegrin and metalloproteinase domain-containing protein 8 isoform X1 [Bos taurus], XP_024852023.1 disintegrin and metalloproteinase domain-containing protein 7 isoform X1 [Bos taurus], DAA26695.1 TPA_ Disintegrin and metalloproteinase domain-containing protein 28-like [Bos taurus], XP_010806362.2 ADAM DEC1 isoform X1 [Bos taurus], NP_001039715.1 disintegrin and metalloproteinase domain-containing protein 32 precursor [Bos taurus], DAA14469.1 TPA_ ADAM metallopeptidase domain 18 [Bos taurus], XP_024841956.1 disintegrin and metalloproteinase domain-containing protein 2 isoform X1 [Bos taurus], NP_001193401.1 a disintegrin and metallopeptidase domain 1a [Bos taurus], XP_024845019.1 disintegrin and metalloproteinase domain-containing protein 1b [Bos taurus], DAA27082.1 TPA_ ADAM metallopeptidase domain 21 [Bos taurus], XP_024851812.1 disintegrin and metalloproteinase domain-containing protein 29 isoform X1 [Bos taurus], XP_015328761.2 disintegrin and metalloproteinase domain-containing protein 20 [Bos taurus], DAA31603.1 TPA_ ADAM metallopeptidase domain 30-like [Bos taurus], NP_001179747.2 disintegrin and metalloproteinase domain-containing protein 9 precursor [Bos taurus], NP_001001156.1 disintegrin and metalloproteinase domain-containing protein 12 precursor [Bos taurus], DAA23365.1 TPA_ ADAM metallopeptidase domain 33 [Bos taurus], NP_001192371.3 disintegrin and metalloproteinase domain-containing protein 15 precursor [Bos taurus], NP_001076927.1 disintegrin and metalloproteinase domain-containing protein 23 [Bos taurus], XP_059741591.1 disintegrin and metalloproteinase domain-containing protein 22 isoform X1 [Bos taurus], DAA18315.1 TPA_ ADAM metallopeptidase domain 11 preproprotein-like [Bos taurus]
OG0000024	Stylophora_pistillata_Spis7748 Spis7748 SpisGene7748, Stylophora_pistillata_Spis20024 Spis20024 SpisGene20024, Stylophora_pistillata_Spis20026 Spis20026 SpisGene20026	sp|P01267.1|THYG_BOVIN RecName_ Full=Thyroglobulin; Short=Tg; Flags_ Precursor, sp|P01267.1|THYG_BOVIN RecName_ Full=Thyroglobulin; Short=Tg; Flags_ Precursor
OG0000024	Stylophora_pistillata_Spis13991 Spis13991 SpisGene13991	XP_024849863.1 testican-1 isoform X1 [Bos taurus], NP_001094585.1 testican-2 precursor [Bos taurus]
OG0000028	Stylophora_pistillata_Spis2632 Spis2632 SpisGene2632	sp|Q7SIB2.2|CO4A1_BOVIN RecName_ Full=Collagen alpha-1_IV_ chain; Contains_ RecName_ Full=Arresten; Flags_ Precursor, sp|Q7SIB2.2|CO4A1_BOVIN RecName_ Full=Collagen alpha-1_IV_ chain; Contains_ RecName_ Full=Arresten; Flags_ Precursor, DAA13054.1 TPA_ type IV collagen alpha 5-like isoform 1 [Bos taurus], NP_001160001.2 collagen alpha-3_IV_ chain precursor [Bos taurus]
OG0000028	Stylophora_pistillata_Spis2634 Spis2634 SpisGene2634	XP_024855939.1 collagen alpha-2_IV_ chain isoform X1 [Bos taurus], XP_005227954.1 collagen alpha-6_IV_ chain isoform X1 [Bos taurus], XP_024837496.1 collagen alpha-4_IV_ chain isoform X1 [Bos taurus]
OG0000030	Stylophora_pistillata_Spis8205 Spis8205 SpisGene8205	XP_002691532.1 disintegrin and metalloproteinase domain-containing protein 17 isoform X1 [Bos taurus]
OG0000030	Stylophora_pistillata_Spis14458 Spis14458 SpisGene14458, Stylophora_pistillata_Spis18004 Spis18004 SpisGene18004	sp|Q10741.1|ADA10_BOVIN RecName_ Full=Disintegrin and metalloproteinase domain-containing protein 10; Short=ADAM 10; AltName_ Full=Kuzbanian protein homolog; AltName_ Full=Mammalian disintegrin-metalloprotease; AltName_ Full=Myelin-associated metalloproteinase; AltName_ CD_antigen=CD156c; Flags_ Precursor, sp|Q10741.1|ADA10_BOVIN RecName_ Full=Disintegrin and metalloproteinase domain-containing protein 10; Short=ADAM 10; AltName_ Full=Kuzbanian protein homolog; AltName_ Full=Mammalian disintegrin-metalloprotease; AltName_ Full=Myelin-associated metalloproteinase; AltName_ CD_antigen=CD156c; Flags_ Precursor
OG0000031	Stylophora_pistillata_Spis10367 Spis10367 SpisGene10367	XP_059742008.1 LOW QUALITY PROTEIN_ von Willebrand factor D and EGF domain-containing protein [Bos taurus]
OG0000033	Stylophora_pistillata_Spis10179 Spis10179 SpisGene10179, Stylophora_pistillata_Spis22124 Spis22124 SpisGene22124, Stylophora_pistillata_Spis13256 Spis13256 SpisGene13256, Stylophora_pistillata_Spis13246 Spis13246 SpisGene13246, Stylophora_pistillata_Spis13243 Spis13243 SpisGene13243, Stylophora_pistillata_Spis1740 Spis1740 SpisGene1740, Stylophora_pistillata_Spis10 Spis10 SpisGene10, Stylophora_pistillata_Spis13247 Spis13247 SpisGene13247, Stylophora_pistillata_Spis7304 Spis7304 SpisGene7304, Stylophora_pistillata_Spis7301 Spis7301 SpisGene7301	NP_001075005.1 collagen triple helix repeat-containing protein 1 precursor [Bos taurus]
OG0000034	Stylophora_pistillata_Spis1480 Spis1480 SpisGene1480	XP_024834866.1 multiple epidermal growth factor-like domains protein 8 [Bos taurus]
OG0000035	Stylophora_pistillata_Spis3601 Spis3601 SpisGene3601	XP_024846888.1 adipocyte enhancer-binding protein 1 [Bos taurus]
OG0000035	Stylophora_pistillata_Spis12182 Spis12182 SpisGene12182, Stylophora_pistillata_Spis12651 Spis12651 SpisGene12651, Stylophora_pistillata_Spis13909 Spis13909 SpisGene13909, Stylophora_pistillata_Spis7427 Spis7427 SpisGene7427, Stylophora_pistillata_Spis23000 Spis23000 SpisGene23000, Stylophora_pistillata_Spis4780.t1 Spis4780.t1 SpisGene4780, Stylophora_pistillata_Spis23218 Spis23218 SpisGene23218, Stylophora_pistillata_Spis4434 Spis4434 SpisGene4434, Stylophora_pistillata_Spis2013 Spis2013 SpisGene2013, Stylophora_pistillata_Spis2018 Spis2018 SpisGene2018, Stylophora_pistillata_Spis2012 Spis2012 SpisGene2012, Stylophora_pistillata_Spis2002 Spis2002 SpisGene2002	DAA17644.1 TPA_ lactadherin [Bos taurus], XP_002689420.2 EGF-like repeat and discoidin I-like domain-containing protein 3 isoform X1 [Bos taurus], NP_776304.1 coagulation factor V precursor [Bos taurus]
OG0000036	Stylophora_pistillata_Spis6171 Spis6171 SpisGene6171	XP_059731736.1 multiple epidermal growth factor-like domains protein 6 isoform X1 [Bos taurus], NP_001092657.1 epidermal growth factor-like protein 8 precursor [Bos taurus], XP_059747443.1 epidermal growth factor-like protein 7 isoform X1 [Bos taurus], XP_059739882.1 LOW QUALITY PROTEIN_ epidermal growth factor-like protein 6 [Bos taurus], XP_024849279.1 nephronectin isoform X1 [Bos taurus]
OG0000037	Stylophora_pistillata_Spis13601 Spis13601 SpisGene13601	AAS02052.2 periostin [Bos taurus], sp|P55906.2|BGH3_BOVIN RecName_ Full=Transforming growth factor-beta-induced protein ig-h3; Short=Beta ig-h3; AltName_ Full=MP70; AltName_ Full=MP78; Flags_ Precursor
OG0000038	Stylophora_pistillata_Spis1158 Spis1158 SpisGene1158, Stylophora_pistillata_Spis1157 Spis1157 SpisGene1157, Stylophora_pistillata_Spis1160 Spis1160 SpisGene1160, Stylophora_pistillata_Spis1159 Spis1159 SpisGene1159, Stylophora_pistillata_Spis1161 Spis1161 SpisGene1161, Stylophora_pistillata_Spis1162 Spis1162 SpisGene1162	NP_001192711.1 tumor necrosis factor ligand superfamily member 15 [Bos taurus], XP_002697417.1 lymphotoxin-beta isoform X1 [Bos taurus], XP_059743966.1 tumor necrosis factor ligand superfamily member 14 isoform X1 [Bos taurus], NP_001192699.1 tumor necrosis factor ligand superfamily member 11 [Bos taurus], NP_001306830.1 tumor necrosis factor ligand superfamily member 10 [Bos taurus]
OG0000040	Stylophora_pistillata_Spis21214 Spis21214 SpisGene21214	NP_001091570.1 endothelial cell-specific molecule 1 precursor [Bos taurus], XP_059738009.1 kazal-type serine protease inhibitor domain-containing protein 1 [Bos taurus], XP_024851719.2 insulin-like growth factor-binding protein-like 1 isoform X1 [Bos taurus], NP_001095770.1 insulin-like growth factor-binding protein 7 precursor [Bos taurus]
OG0000041	Stylophora_pistillata_Spis2408 Spis2408 SpisGene2408	XP_002699146.2 von Willebrand factor A domain-containing protein 5A [Bos taurus]
OG0000041	Stylophora_pistillata_Spis15631 Spis15631 SpisGene15631	XP_024838837.1 von Willebrand factor A domain-containing protein 5B1 isoform X1 [Bos taurus]
OG0000041	Stylophora_pistillata_Spis1360 Spis1360 SpisGene1360	DAA23896.1 TPA_ poly _ADP-ribose_ polymerase family_ member 4 [Bos taurus]
OG0000044	Stylophora_pistillata_Spis4982 Spis4982 SpisGene4982, Stylophora_pistillata_Spis20352 Spis20352 SpisGene20352, Stylophora_pistillata_Spis4987 Spis4987 SpisGene4987	sp|P51176.1|TGM2_BOVIN RecName_ Full=Protein-glutamine gamma-glutamyltransferase 2; AltName_ Full=Isopeptidase TGM2; AltName_ Full=Protein-glutamine deamidase TGM2; AltName_ Full=Protein-glutamine dopaminyltransferase TGM2; AltName_ Full=Protein-glutamine histaminyltransferase TGM2; AltName_ Full=Protein-glutamine noradrenalinyltransferase TGM2; AltName_ Full=Protein-glutamine serotonyltransferase TGM2; AltName_ Full=Tissue transglutaminase; Short=TG; AltName_ Full=Transglutaminase-2; Short=TGase-2, sp|A6QP57.1|TGM3_BOVIN RecName_ Full=Protein-glutamine gamma-glutamyltransferase E; AltName_ Full=Transglutaminase E; Short=TG_E_; Short=TGE; Short=TGase E; AltName_ Full=Transglutaminase-3; Short=TGase-3; Contains_ RecName_ Full=Protein-glutamine gamma-glutamyltransferase E 50 kDa catalytic chain; Contains_ RecName_ Full=Protein-glutamine gamma-glutamyltransferase E 27 kDa non-catalytic chain; Flags_ Precursor, sp|A6QP57.1|TGM3_BOVIN RecName_ Full=Protein-glutamine gamma-glutamyltransferase E; AltName_ Full=Transglutaminase E; Short=TG_E_; Short=TGE; Short=TGase E; AltName_ Full=Transglutaminase-3; Short=TGase-3; Contains_ RecName_ Full=Protein-glutamine gamma-glutamyltransferase E 50 kDa catalytic chain; Contains_ RecName_ Full=Protein-glutamine gamma-glutamyltransferase E 27 kDa non-catalytic chain; Flags_ Precursor, XP_059748950.1 protein-glutamine gamma-glutamyltransferase 6 [Bos taurus], XP_010815593.1 protein-glutamine gamma-glutamyltransferase Z [Bos taurus], XP_005222254.2 protein-glutamine gamma-glutamyltransferase 5 isoform X1 [Bos taurus], NP_001161366.2 coagulation factor XIII A chain [Bos taurus], XP_005211321.1 protein-glutamine gamma-glutamyltransferase K isoform X1 [Bos taurus]
OG0000045	Stylophora_pistillata_Spis6767 Spis6767 SpisGene6767, Stylophora_pistillata_Spis7390 Spis7390 SpisGene7390	XP_024840205.1 laminin subunit alpha-3 isoform X1 [Bos taurus], DAA23013.1 TPA_ laminin alpha 5-like [Bos taurus]
OG0000049	Stylophora_pistillata_Spis6729 Spis6729 SpisGene6729	XP_024838889.2 plexin-A1 isoform X1 [Bos taurus], XP_059739547.1 plexin-A3 isoform X1 [Bos taurus], NP_001193586.1 plexin-A2 precursor [Bos taurus], NP_001178433.1 plexin-A4 precursor [Bos taurus], XP_024839049.1 plexin-B1 isoform X1 [Bos taurus], DAA13207.1 TPA_ plexin B3-like [Bos taurus], XP_059742216.1 plexin-B2 isoform X2 [Bos taurus], DAA16814.1 TPA_ plexin D1-like [Bos taurus], XP_059742393.1 plexin-C1 isoform X1 [Bos taurus]
OG0000054	Stylophora_pistillata_Spis4424.t3 Spis4424.t3 SpisGene4424	XP_024837424.1 pro-interleukin-16 isoform X1 [Bos taurus]
OG0000056	Stylophora_pistillata_Spis17018 Spis17018 SpisGene17018	NP_001039926.1 E3 ubiquitin-protein ligase TRIM34 [Bos taurus]
OG0000059	Stylophora_pistillata_Spis9841 Spis9841 SpisGene9841, Stylophora_pistillata_Spis16037 Spis16037 SpisGene16037	XP_005223362.1 signal peptide_ CUB and EGF-like domain-containing protein 3 isoform X1 [Bos taurus], XP_024848586.1 signal peptide_ CUB and EGF-like domain-containing protein 1 isoform X1 [Bos taurus], XP_005216154.1 signal peptide_ CUB and EGF-like domain-containing protein 2 isoform X1 [Bos taurus]
OG0000063	Stylophora_pistillata_Spis15392 Spis15392 SpisGene15392, Stylophora_pistillata_Spis15386 Spis15386 SpisGene15386, Stylophora_pistillata_Spis13839 Spis13839 SpisGene13839, Stylophora_pistillata_Spis13840 Spis13840 SpisGene13840	DAA30258.1 TPA_ GTPase_ IMAP family member 1-like [Bos taurus]
OG0000064	Stylophora_pistillata_Spis3364 Spis3364 SpisGene3364	NP_001265517.1 fibrillin-2 precursor [Bos taurus], DAA27963.1 TPA_ fibrillin3-like_ partial [Bos taurus], sp|P98133.2|FBN1_BOVIN RecName_ Full=Fibrillin-1; AltName_ Full=MP340; Contains_ RecName_ Full=Asprosin; Flags_ Precursor, sp|P98133.2|FBN1_BOVIN RecName_ Full=Fibrillin-1; AltName_ Full=MP340; Contains_ RecName_ Full=Asprosin; Flags_ Precursor, sp|P98133.2|FBN1_BOVIN RecName_ Full=Fibrillin-1; AltName_ Full=MP340; Contains_ RecName_ Full=Asprosin; Flags_ Precursor, sp|P98133.2|FBN1_BOVIN RecName_ Full=Fibrillin-1; AltName_ Full=MP340; Contains_ RecName_ Full=Asprosin; Flags_ Precursor, sp|P98133.2|FBN1_BOVIN RecName_ Full=Fibrillin-1; AltName_ Full=MP340; Contains_ RecName_ Full=Asprosin; Flags_ Precursor
OG0000065	Stylophora_pistillata_Spis8479 Spis8479 SpisGene8479, Stylophora_pistillata_Spis8480 Spis8480 SpisGene8480	NP_001095540.1 glypican-5 precursor [Bos taurus], NP_001030540.1 glypican-3 precursor [Bos taurus]
OG0000078	Stylophora_pistillata_Spis15244 Spis15244 SpisGene15244	XP_005227111.2 cathepsin W isoform X1 [Bos taurus], NP_001068884.1 cathepsin F precursor [Bos taurus]
OG0000080	Stylophora_pistillata_Spis6044 Spis6044 SpisGene6044, Stylophora_pistillata_Spis855.t1 Spis855.t1 SpisGene855, Stylophora_pistillata_Spis854 Spis854 SpisGene854, Stylophora_pistillata_Spis857 Spis857 SpisGene857, Stylophora_pistillata_Spis7913 Spis7913 SpisGene7913, Stylophora_pistillata_Spis847 Spis847 SpisGene847, Stylophora_pistillata_Spis845 Spis845 SpisGene845, Stylophora_pistillata_Spis846 Spis846 SpisGene846, Stylophora_pistillata_Spis844 Spis844 SpisGene844	sp|P79121.1|TIMP3_BOVIN RecName_ Full=Metalloproteinase inhibitor 3; AltName_ Full=Tissue inhibitor of metalloproteinases 3; Short=TIMP-3; Flags_ Precursor, sp|O97563.2|TIMP4_BOVIN RecName_ Full=Metalloproteinase inhibitor 4; AltName_ Full=Tissue inhibitor of metalloproteinases 4; Short=TIMP-4; Flags_ Precursor, sp|P20414.1|TIMP1_BOVIN RecName_ Full=Metalloproteinase inhibitor 1; AltName_ Full=Embryogenin-1; Short=EG-1; AltName_ Full=Tissue inhibitor of metalloproteinases 1; Short=TIMP-1; Flags_ Precursor
OG0000081	Stylophora_pistillata_Spis10729 Spis10729 SpisGene10729, Stylophora_pistillata_Spis9086 Spis9086 SpisGene9086, Stylophora_pistillata_Spis18739 Spis18739 SpisGene18739, Stylophora_pistillata_Spis17434 Spis17434 SpisGene17434	sp|Q2KIT5.1|CREL2_BOVIN RecName_ Full=Protein disulfide isomerase CRELD2; AltName_ Full=Cysteine-rich with EGF-like domain protein 2; Flags_ Precursor, sp|Q5EA46.1|CREL1_BOVIN RecName_ Full=Protein disulfide isomerase CRELD1; AltName_ Full=Cysteine-rich with EGF-like domain protein 1; Flags_ Precursor
OG0000083	Stylophora_pistillata_Spis24099 Spis24099 SpisGene24099, Stylophora_pistillata_Spis9213 Spis9213 SpisGene9213, Stylophora_pistillata_Spis6958 Spis6958 SpisGene6958	NP_001193181.1 hyaluronidase-3 precursor [Bos taurus], sp|Q5E985.1|HYAL1_BOVIN RecName_ Full=Hyaluronidase-1; Short=Hyal-1; AltName_ Full=Hyaluronoglucosaminidase-1; Flags_ Precursor, XP_059741399.1 sperm adhesion molecule 1 isoform X1 [Bos taurus], XP_003586042.1 hyaluronidase-4 [Bos taurus], sp|Q8SQG8.1|HYAL2_BOVIN RecName_ Full=Hyaluronidase-2; Short=Hyal-2; AltName_ Full=Hyaluronoglucosaminidase-2; Flags_ Precursor
OG0000084	Stylophora_pistillata_Spis20307 Spis20307 SpisGene20307	NP_001178214.2 collagen alpha-1_XV_ chain precursor [Bos taurus], XP_024830782.1 collagen alpha-1_XVIII_ chain isoform X1 [Bos taurus]
OG0000088	Stylophora_pistillata_Spis17637 Spis17637 SpisGene17637	NP_001039622.1 spondin-2 precursor [Bos taurus], sp|Q9GLX9.1|SPON1_BOVIN RecName_ Full=Spondin-1; AltName_ Full=F-spondin; AltName_ Full=Vascular smooth muscle cell growth-promoting factor; Flags_ Precursor
OG0000089	Stylophora_pistillata_Spis9074 Spis9074 SpisGene9074	DAA33329.1 TPA_ chordin-like [Bos taurus]
OG0000089	Stylophora_pistillata_Spis6266 Spis6266 SpisGene6266	XP_059739242.1 chordin-like protein 1 isoform X8 [Bos taurus], XP_005216309.1 chordin-like protein 2 isoform X1 [Bos taurus]
OG0000090	Stylophora_pistillata_Spis19161 Spis19161 SpisGene19161, Stylophora_pistillata_Spis19159 Spis19159 SpisGene19159	DAA28318.1 TPA_ KIAA1926 protein-like [Bos taurus], sp|P55252.1|HPLN1_BOVIN RecName_ Full=Hyaluronan and proteoglycan link protein 1; AltName_ Full=Cartilage-linking protein 1; Short=Cartilage-link protein; AltName_ Full=Proteoglycan link protein; Flags_ Precursor, NP_001092451.1 hyaluronan and proteoglycan link protein 3 precursor [Bos taurus], XP_005203761.1 hyaluronan and proteoglycan link protein 2 isoform X1 [Bos taurus]
OG0000093	Stylophora_pistillata_Spis1325 Spis1325 SpisGene1325, Stylophora_pistillata_Spis1324 Spis1324 SpisGene1324	sp|P80416.1|CYTA_BOVIN RecName_ Full=Cystatin-A; AltName_ Full=Cystatin-AS; AltName_ Full=Stefin-A
OG0000095	Stylophora_pistillata_Spis6340 Spis6340 SpisGene6340	XP_024852606.1 SPARC-related modular calcium-binding protein 2 isoform X1 [Bos taurus], XP_005212006.1 SPARC-related modular calcium-binding protein 1 isoform X1 [Bos taurus]
OG0000112	Stylophora_pistillata_Spis17656 Spis17656 SpisGene17656, Stylophora_pistillata_Spis8942 Spis8942 SpisGene8942	DAA14878.1 TPA_ heparanase 2 isoform 2 [Bos taurus], sp|Q9MYY0.2|HPSE_BOVIN RecName_ Full=Heparanase; Contains_ RecName_ Full=Heparanase 8 kDa subunit; Contains_ RecName_ Full=Heparanase 50 kDa subunit; Flags_ Precursor
OG0000114	Stylophora_pistillata_Spis1676 Spis1676 SpisGene1676	NP_001179877.1 host cell factor 2 [Bos taurus]
OG0000122	Stylophora_pistillata_Spis13347 Spis13347 SpisGene13347, Stylophora_pistillata_Spis17783 Spis17783 SpisGene17783	NP_776777.1 cation-independent mannose-6-phosphate receptor precursor [Bos taurus]
OG0000122	Stylophora_pistillata_Spis21332 Spis21332 SpisGene21332, Stylophora_pistillata_Spis9409 Spis9409 SpisGene9409, Stylophora_pistillata_Spis9410.t1 Spis9410.t1 SpisGene9410	NP_777170.1 72 kDa type IV collagenase precursor [Bos taurus], NP_777170.1 72 kDa type IV collagenase precursor [Bos taurus], sp|Q9GLE5.1|MMP2_BOVIN RecName_ Full=72 kDa type IV collagenase; AltName_ Full=72 kDa gelatinase; AltName_ Full=Matrix metalloproteinase-2; Short=MMP-2; Contains_ RecName_ Full=PEX; Flags_ Precursor, sp|Q9GLE5.1|MMP2_BOVIN RecName_ Full=72 kDa type IV collagenase; AltName_ Full=72 kDa gelatinase; AltName_ Full=Matrix metalloproteinase-2; Short=MMP-2; Contains_ RecName_ Full=PEX; Flags_ Precursor
OG0000125	Stylophora_pistillata_Spis7316 Spis7316 SpisGene7316	XP_059739824.1 LOW QUALITY PROTEIN_ inter-alpha-trypsin inhibitor heavy chain H6 [Bos taurus], sp|A2VE29.1|ITIH5_BOVIN RecName_ Full=Inter-alpha-trypsin inhibitor heavy chain H5; Short=ITI heavy chain H5; Short=ITI-HC5; Short=Inter-alpha-inhibitor heavy chain 5; Flags_ Precursor, sp|Q0VCM5.1|ITIH1_BOVIN RecName_ Full=Inter-alpha-trypsin inhibitor heavy chain H1; Short=ITI heavy chain H1; Short=ITI-HC1; Short=Inter-alpha-inhibitor heavy chain 1; Flags_ Precursor, sp|P56652.2|ITIH3_BOVIN RecName_ Full=Inter-alpha-trypsin inhibitor heavy chain H3; Short=ITI heavy chain H3; Short=ITI-HC3; Short=Inter-alpha-inhibitor heavy chain 3; Flags_ Precursor, NP_001091485.1 inter-alpha-trypsin inhibitor heavy chain H2 precursor [Bos taurus], sp|Q3T052.1|ITIH4_BOVIN RecName_ Full=Inter-alpha-trypsin inhibitor heavy chain H4; Short=ITI heavy chain H4; Short=ITI-HC4; Short=Inter-alpha-inhibitor heavy chain 4; Flags_ Precursor
OG0000148	Stylophora_pistillata_Spis17259 Spis17259 SpisGene17259	NP_001094653.1 transforming growth factor beta-3 proprotein [Bos taurus], sp|P21214.3|TGFB2_BOVIN RecName_ Full=Transforming growth factor beta-2 proprotein; AltName_ Full=Milk growth factor; Short=MGF; Contains_ RecName_ Full=Latency-associated peptide; Short=LAP; Contains_ RecName_ Full=Transforming growth factor beta-2; Short=TGF-beta-2; Flags_ Precursor, XP_005216841.1 transforming growth factor beta-2 proprotein isoform X1 [Bos taurus], sp|P18341.2|TGFB1_BOVIN RecName_ Full=Transforming growth factor beta-1 proprotein; Contains_ RecName_ Full=Latency-associated peptide; Short=LAP; Contains_ RecName_ Full=Transforming growth factor beta-1; Short=TGF-beta-1; Flags_ Precursor, sp|P18341.2|TGFB1_BOVIN RecName_ Full=Transforming growth factor beta-1 proprotein; Contains_ RecName_ Full=Latency-associated peptide; Short=LAP; Contains_ RecName_ Full=Transforming growth factor beta-1; Short=TGF-beta-1; Flags_ Precursor
OG0000150	Stylophora_pistillata_Spis1789 Spis1789 SpisGene1789	XP_010811788.2 pappalysin-2 [Bos taurus], XP_024852122.1 pappalysin-1 [Bos taurus]
OG0000154	Stylophora_pistillata_Spis18052 Spis18052 SpisGene18052, Stylophora_pistillata_Spis14694 Spis14694 SpisGene14694, Stylophora_pistillata_Spis14691 Spis14691 SpisGene14691, Stylophora_pistillata_Spis14700.t1 Spis14700.t1 SpisGene14700	XP_059746743.1 cartilage intermediate layer protein 1 isoform X1 [Bos taurus], NP_001179457.1 cartilage intermediate layer protein 2 precursor [Bos taurus]
OG0000156	Stylophora_pistillata_Spis944 Spis944 SpisGene944	sp|Q5EA98.1|MFAP1_BOVIN RecName_ Full=Microfibrillar-associated protein 1; AltName_ Full=Spliceosome B complex protein MFAP1
OG0000166	Stylophora_pistillata_Spis14536 Spis14536 SpisGene14536	NP_776886.1 secreted frizzled-related protein 5 precursor [Bos taurus], sp|Q9XSC1.1|SFRP5_BOVIN RecName_ Full=Secreted frizzled-related protein 5; Short=sFRP-5; Flags_ Precursor, NP_776886.1 secreted frizzled-related protein 5 precursor [Bos taurus]
OG0000166	Stylophora_pistillata_Spis1126 Spis1126 SpisGene1126	NP_001069232.1 secreted frizzled-related protein 4 precursor [Bos taurus]
OG0000171	Stylophora_pistillata_Spis4618.t1 Spis4618.t1 SpisGene4618, Stylophora_pistillata_Spis4617 Spis4617 SpisGene4617	XP_059738228.1 peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase isoform X1 [Bos taurus]
OG0000177	Stylophora_pistillata_Spis16587 Spis16587 SpisGene16587	XP_010801455.2 oviduct-specific glycoprotein isoform X1 [Bos taurus]
OG0000182	Stylophora_pistillata_Spis6187 Spis6187 SpisGene6187	NP_001068891.1 2_4-dienoyl-CoA reductase [_3E_-enoyl-CoA-producing]_ mitochondrial [Bos taurus]
OG0000183	Stylophora_pistillata_Spis13747 Spis13747 SpisGene13747, Stylophora_pistillata_Spis7117 Spis7117 SpisGene7117, Stylophora_pistillata_Spis7028 Spis7028 SpisGene7028, Stylophora_pistillata_Spis7114 Spis7114 SpisGene7114	XP_024837782.1 proprotein convertase subtilisin/kexin type 6 isoform X1 [Bos taurus], XP_024851950.1 proprotein convertase subtilisin/kexin type 5 isoform X4 [Bos taurus]
OG0000209	Stylophora_pistillata_Spis1455 Spis1455 SpisGene1455	DAA23975.1 TPA_ integrator complex subunit 6 [Bos taurus]
OG0000214	Stylophora_pistillata_Spis15474 Spis15474 SpisGene15474	sp|Q5EA76.1|INT14_BOVIN RecName_ Full=Integrator complex subunit 14; AltName_ Full=von Willebrand factor A domain-containing protein 9
OG0000235	Stylophora_pistillata_Spis7715.t1 Spis7715.t1 SpisGene7715	XP_005225272.1 collagen alpha-1_XXVI_ chain isoform X1 [Bos taurus], NP_001095337.1 EMI domain-containing protein 1 isoform 1 precursor [Bos taurus]
OG0000248	Stylophora_pistillata_Spis8206 Spis8206 SpisGene8206	DAA12529.1 TPA_ Kallmann syndrome 1 protein [Bos taurus]
OG0000268	Stylophora_pistillata_Spis4565 Spis4565 SpisGene4565	NP_001179579.1 cytokine receptor-like factor 3 [Bos taurus]
OG0000269	Stylophora_pistillata_Spis18090 Spis18090 SpisGene18090, Stylophora_pistillata_Spis989 Spis989 SpisGene989	XP_002690971.1 gliomedin isoform X1 [Bos taurus], sp|Q9XTA3.1|MYOC_BOVIN RecName_ Full=Myocilin; AltName_ Full=Myocilin 55 kDa subunit; AltName_ Full=Trabecular meshwork-induced glucocorticoid response protein; Contains_ RecName_ Full=Myocilin_ N-terminal fragment; AltName_ Full=Myocilin 20 kDa N-terminal fragment; Contains_ RecName_ Full=Myocilin_ C-terminal fragment; AltName_ Full=Myocilin 35 kDa N-terminal fragment; Flags_ Precursor
OG0000277	Stylophora_pistillata_Spis12990 Spis12990 SpisGene12990	NP_001094702.1 carboxypeptidase N subunit 2 precursor [Bos taurus]
OG0000284	Stylophora_pistillata_Spis4956 Spis4956 SpisGene4956, Stylophora_pistillata_Spis4957 Spis4957 SpisGene4957, Stylophora_pistillata_Spis4976.t1 Spis4976.t1 SpisGene4976	NP_001012285.2 leptin receptor [Bos taurus]
OG0000298	Stylophora_pistillata_Spis6868 Spis6868 SpisGene6868	NP_001069431.1 insulin-like growth factor-binding protein complex acid labile subunit precursor [Bos taurus]
