Orthogroup	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Anthozoa_Exaiptasia_diaphana
OG0000007	Stylophora_pistillata_Spis23200 Spis23200 SpisGene23200	Exaiptasia_diaphana_XP_020915927.1 XP_020915927.1 uncharacterized protein LOC110253367 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895662.2 XP_020895662.2 fibulin-1 [Exaiptasia diaphana]
OG0000007	Stylophora_pistillata_Spis1859 Spis1859 SpisGene1859	Exaiptasia_diaphana_XP_020902587.1 XP_020902587.1 latent-transforming growth factor beta-binding protein 1-like [Exaiptasia diaphana]
OG0000007	Stylophora_pistillata_Spis22650 Spis22650 SpisGene22650, Stylophora_pistillata_Spis22649 Spis22649 SpisGene22649, Stylophora_pistillata_Spis20262 Spis20262 SpisGene20262, Stylophora_pistillata_Spis12667 Spis12667 SpisGene12667	Exaiptasia_diaphana_XP_028519601.1 XP_028519601.1 fibulin-1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908530.1 XP_020908530.1 fibrillin-2 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908531.1 XP_020908531.1 fibrillin-2 isoform X2 [Exaiptasia diaphana]
OG0000007	Stylophora_pistillata_Spis14496 Spis14496 SpisGene14496, Stylophora_pistillata_Spis21179 Spis21179 SpisGene21179	Exaiptasia_diaphana_XP_028515269.1 XP_028515269.1 pro-epidermal growth factor-like [Exaiptasia diaphana]
OG0000008	Stylophora_pistillata_Spis24452 Spis24452 SpisGene24452, Stylophora_pistillata_Spis19558 Spis19558 SpisGene19558	Exaiptasia_diaphana_XP_020896870.2 XP_020896870.2 putative uncharacterized protein DDB_G0290521 [Exaiptasia diaphana]
OG0000008	Stylophora_pistillata_Spis7887 Spis7887 SpisGene7887	Exaiptasia_diaphana_XP_020901957.1 XP_020901957.1 protein jagged-1-like [Exaiptasia diaphana]
OG0000008	Stylophora_pistillata_Spis14392 Spis14392 SpisGene14392	Exaiptasia_diaphana_XP_020908364.1 XP_020908364.1 neurogenic locus notch homolog protein 1 [Exaiptasia diaphana]
OG0000008	Stylophora_pistillata_Spis23579 Spis23579 SpisGene23579, Stylophora_pistillata_Spis21934 Spis21934 SpisGene21934, Stylophora_pistillata_Spis13231.t2 Spis13231.t2 SpisGene13231	Exaiptasia_diaphana_XP_028516255.1 XP_028516255.1 uromodulin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516256.1 XP_028516256.1 uncharacterized protein LOC110243828 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905625.1 XP_020905625.1 uncharacterized protein LOC110243830_ partial [Exaiptasia diaphana]
OG0000008	Stylophora_pistillata_Spis4050.t2 Spis4050.t2 SpisGene4050, Stylophora_pistillata_Spis4060 Spis4060 SpisGene4060	Exaiptasia_diaphana_XP_028513637.1 XP_028513637.1 uncharacterized protein LOC110234972 [Exaiptasia diaphana]
OG0000008	Stylophora_pistillata_Spis19559.t1 Spis19559.t1 SpisGene19559	Exaiptasia_diaphana_XP_028513461.1 XP_028513461.1 neurogenic locus notch homolog protein 1 [Exaiptasia diaphana]
OG0000008	Stylophora_pistillata_Spis15894.t1 Spis15894.t1 SpisGene15894	Exaiptasia_diaphana_XP_020901876.2 XP_020901876.2 fibropellin-1 [Exaiptasia diaphana]
OG0000008	Stylophora_pistillata_Spis19561 Spis19561 SpisGene19561, Stylophora_pistillata_Spis19562 Spis19562 SpisGene19562, Stylophora_pistillata_Spis19560 Spis19560 SpisGene19560	Exaiptasia_diaphana_XP_020895457.1 XP_020895457.1 neurogenic locus Notch protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895456.1 XP_020895456.1 LOW QUALITY PROTEIN_ fibropellin-1-like [Exaiptasia diaphana]
OG0000008	Stylophora_pistillata_Spis17124 Spis17124 SpisGene17124	Exaiptasia_diaphana_XP_028518339.1 XP_028518339.1 protein crumbs homolog 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517733.1 XP_028517733.1 neurogenic locus notch homolog protein 1 [Exaiptasia diaphana]
OG0000008	Stylophora_pistillata_Spis10069 Spis10069 SpisGene10069	Exaiptasia_diaphana_XP_020895618.2 XP_020895618.2 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519364.1 XP_028519364.1 neurogenic locus notch homolog protein 1 [Exaiptasia diaphana]
OG0000008	Stylophora_pistillata_Spis19730 Spis19730 SpisGene19730, Stylophora_pistillata_Spis21313 Spis21313 SpisGene21313, Stylophora_pistillata_Spis19789 Spis19789 SpisGene19789	Exaiptasia_diaphana_XP_028513439.1 XP_028513439.1 fibulin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912929.2 XP_020912929.2 protein kinase C-binding protein NELL2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911361.1 XP_020911361.1 fibropellin-1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911360.1 XP_020911360.1 fibropellin-1 isoform X1 [Exaiptasia diaphana]
OG0000009	Stylophora_pistillata_Spis16315 Spis16315 SpisGene16315	Exaiptasia_diaphana_XP_028518752.1 XP_028518752.1 uncharacterized protein LOC110251671 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914061.1 XP_020914061.1 uncharacterized protein LOC110251671 isoform X1 [Exaiptasia diaphana]
OG0000009	Stylophora_pistillata_Spis4925 Spis4925 SpisGene4925	Exaiptasia_diaphana_XP_020902137.1 XP_020902137.1 nematocyst expressed protein 6 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020891852.1 XP_020891852.1 uncharacterized protein LOC110231209 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512500.1 XP_028512500.1 uncharacterized protein LOC110231209 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512501.1 XP_028512501.1 uncharacterized protein LOC110231209 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512503.1 XP_028512503.1 uncharacterized protein LOC110231209 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512502.1 XP_028512502.1 uncharacterized protein LOC110231209 isoform X3 [Exaiptasia diaphana]
OG0000009	Stylophora_pistillata_Spis21497 Spis21497 SpisGene21497, Stylophora_pistillata_Spis21489 Spis21489 SpisGene21489, Stylophora_pistillata_Spis935 Spis935 SpisGene935, Stylophora_pistillata_Spis6599 Spis6599 SpisGene6599, Stylophora_pistillata_Spis4467 Spis4467 SpisGene4467, Stylophora_pistillata_Spis4466 Spis4466 SpisGene4466	Exaiptasia_diaphana_XP_028515415.1 XP_028515415.1 CUB and peptidase domain-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515413.1 XP_028515413.1 ribosome-binding protein 1-like [Exaiptasia diaphana]
OG0000009	Stylophora_pistillata_Spis5234 Spis5234 SpisGene5234	Exaiptasia_diaphana_XP_020917130.1 XP_020917130.1 tolloid-like protein 1 [Exaiptasia diaphana]
OG0000009	Stylophora_pistillata_Spis16344 Spis16344 SpisGene16344	Exaiptasia_diaphana_XP_020905815.1 XP_020905815.1 tolloid-like protein 2_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905817.2 XP_020905817.2 tolloid-like protein 2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905818.2 XP_020905818.2 protein shisa-5-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905821.1 XP_020905821.1 tolloid-like protein 2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905820.1 XP_020905820.1 tolloid-like protein 2 [Exaiptasia diaphana]
OG0000009	Stylophora_pistillata_Spis16137 Spis16137 SpisGene16137, Stylophora_pistillata_Spis16138 Spis16138 SpisGene16138, Stylophora_pistillata_Spis16135 Spis16135 SpisGene16135	Exaiptasia_diaphana_XP_028518116.1 XP_028518116.1 cubilin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911687.2 XP_020911687.2 cubilin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902050.1 XP_020902050.1 tolloid-like protein 1 [Exaiptasia diaphana]
OG0000009	Stylophora_pistillata_Spis18721 Spis18721 SpisGene18721, Stylophora_pistillata_Spis14789 Spis14789 SpisGene14789, Stylophora_pistillata_Spis14786 Spis14786 SpisGene14786, Stylophora_pistillata_Spis14787 Spis14787 SpisGene14787, Stylophora_pistillata_Spis14785 Spis14785 SpisGene14785	Exaiptasia_diaphana_XP_020914019.1 XP_020914019.1 tolloid-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905197.1 XP_020905197.1 tolloid-like protein 1 [Exaiptasia diaphana]
OG0000009	Stylophora_pistillata_Spis18539 Spis18539 SpisGene18539, Stylophora_pistillata_Spis12284 Spis12284 SpisGene12284	Exaiptasia_diaphana_XP_020913976.1 XP_020913976.1 cubilin [Exaiptasia diaphana]
OG0000009	Stylophora_pistillata_Spis12283 Spis12283 SpisGene12283	Exaiptasia_diaphana_XP_020913978.1 XP_020913978.1 dorsal-ventral patterning tolloid-like protein 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913979.1 XP_020913979.1 dorsal-ventral patterning tolloid-like protein 1 isoform X2 [Exaiptasia diaphana]
OG0000009	Stylophora_pistillata_Spis18540 Spis18540 SpisGene18540	Exaiptasia_diaphana_XP_020909071.1 XP_020909071.1 tolloid-like protein 1 [Exaiptasia diaphana]
OG0000009	Stylophora_pistillata_Spis8222 Spis8222 SpisGene8222	Exaiptasia_diaphana_XP_028515218.1 XP_028515218.1 dorsal-ventral patterning tolloid-like protein 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515217.1 XP_028515217.1 dorsal-ventral patterning tolloid-like protein 1 isoform X1 [Exaiptasia diaphana]
OG0000009	Stylophora_pistillata_Spis4454 Spis4454 SpisGene4454	Exaiptasia_diaphana_XP_020906175.1 XP_020906175.1 CUB domain-containing protein 2 [Exaiptasia diaphana]
OG0000009	Stylophora_pistillata_Spis7662.t1 Spis7662.t1 SpisGene7662	Exaiptasia_diaphana_XP_020913999.1 XP_020913999.1 LOW QUALITY PROTEIN_ fibrillin-1-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518791.1 XP_028518791.1 LOW QUALITY PROTEIN_ fibrillin-1-like isoform X1 [Exaiptasia diaphana]
OG0000009	Stylophora_pistillata_Spis7661.t1 Spis7661.t1 SpisGene7661	Exaiptasia_diaphana_XP_020914029.1 XP_020914029.1 LOW QUALITY PROTEIN_ fibrillin-2-like isoform X5 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518788.1 XP_028518788.1 LOW QUALITY PROTEIN_ fibrillin-2-like isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914027.1 XP_020914027.1 LOW QUALITY PROTEIN_ fibrillin-2-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518787.1 XP_028518787.1 LOW QUALITY PROTEIN_ fibrillin-2-like isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518786.1 XP_028518786.1 LOW QUALITY PROTEIN_ fibrillin-2-like isoform X1 [Exaiptasia diaphana]
OG0000009	Stylophora_pistillata_Spis25145 Spis25145 SpisGene25145, Stylophora_pistillata_Spis13653 Spis13653 SpisGene13653	Exaiptasia_diaphana_XP_020892966.2 XP_020892966.2 deleted in malignant brain tumors 1 protein [Exaiptasia diaphana]
OG0000009	Stylophora_pistillata_Spis20339 Spis20339 SpisGene20339	Exaiptasia_diaphana_XP_020907892.1 XP_020907892.1 deleted in malignant brain tumors 1 protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915055.1 XP_020915055.1 deleted in malignant brain tumors 1 protein_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916490.2 XP_020916490.2 adhesion G protein-coupled receptor E1-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515039.1 XP_028515039.1 CUB and sushi domain-containing protein 2-like [Exaiptasia diaphana]
OG0000010	Stylophora_pistillata_Spis10737 Spis10737 SpisGene10737	Exaiptasia_diaphana_XP_028517944.1 XP_028517944.1 hemicentin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911214.1 XP_020911214.1 hemicentin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515088.1 XP_028515088.1 hemicentin-1-like [Exaiptasia diaphana]
OG0000010	Stylophora_pistillata_Spis1190 Spis1190 SpisGene1190	Exaiptasia_diaphana_XP_020899237.1 XP_020899237.1 roundabout homolog 1 isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514562.1 XP_028514562.1 roundabout homolog 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899232.1 XP_020899232.1 roundabout homolog 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899235.1 XP_020899235.1 roundabout homolog 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899236.1 XP_020899236.1 roundabout homolog 1 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899238.1 XP_020899238.1 roundabout homolog 1 isoform X5 [Exaiptasia diaphana]
OG0000010	Stylophora_pistillata_Spis6111 Spis6111 SpisGene6111	Exaiptasia_diaphana_XP_020915443.2 XP_020915443.2 contactin-5-like [Exaiptasia diaphana]
OG0000010	Stylophora_pistillata_Spis11339 Spis11339 SpisGene11339	Exaiptasia_diaphana_XP_028519700.1 XP_028519700.1 hemicentin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020917370.1 XP_020917370.1 hemicentin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020917369.1 XP_020917369.1 hemicentin-2 [Exaiptasia diaphana]
OG0000010	Stylophora_pistillata_Spis1256.t1 Spis1256.t1 SpisGene1256	Exaiptasia_diaphana_XP_020912327.1 XP_020912327.1 Down syndrome cell adhesion molecule [Exaiptasia diaphana]
OG0000010	Stylophora_pistillata_Spis4830 Spis4830 SpisGene4830	Exaiptasia_diaphana_XP_028516420.1 XP_028516420.1 hemicentin-1 [Exaiptasia diaphana]
OG0000010	Stylophora_pistillata_Spis19541 Spis19541 SpisGene19541	Exaiptasia_diaphana_XP_028519293.1 XP_028519293.1 hemicentin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519300.1 XP_028519300.1 hemicentin-1 [Exaiptasia diaphana]
OG0000010	Stylophora_pistillata_Spis19002 Spis19002 SpisGene19002	Exaiptasia_diaphana_XP_020898537.1 XP_020898537.1 hemicentin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898540.1 XP_020898540.1 uncharacterized protein LOC110237290 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906332.1 XP_020906332.1 titin_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906312.1 XP_020906312.1 neurogenic locus notch homolog protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898535.1 XP_020898535.1 hemicentin-1 [Exaiptasia diaphana]
OG0000010	Stylophora_pistillata_Spis19416.t1 Spis19416.t1 SpisGene19416	Exaiptasia_diaphana_XP_020902103.1 XP_020902103.1 hemicentin-1 [Exaiptasia diaphana]
OG0000010	Stylophora_pistillata_Spis15992 Spis15992 SpisGene15992, Stylophora_pistillata_Spis15994 Spis15994 SpisGene15994, Stylophora_pistillata_Spis23832 Spis23832 SpisGene23832	Exaiptasia_diaphana_XP_028519211.1 XP_028519211.1 neural cell adhesion molecule 1-like_ partial [Exaiptasia diaphana]
OG0000010	Stylophora_pistillata_Spis22051 Spis22051 SpisGene22051	Exaiptasia_diaphana_XP_028517264.1 XP_028517264.1 neural cell adhesion molecule 2 [Exaiptasia diaphana]
OG0000010	Stylophora_pistillata_Spis8363.t1 Spis8363.t1 SpisGene8363	Exaiptasia_diaphana_XP_028518930.1 XP_028518930.1 basement membrane-specific heparan sulfate proteoglycan core protein [Exaiptasia diaphana]
OG0000010	Stylophora_pistillata_Spis20690 Spis20690 SpisGene20690	Exaiptasia_diaphana_XP_028516406.1 XP_028516406.1 zonadhesin [Exaiptasia diaphana]
OG0000010	Stylophora_pistillata_Spis8579 Spis8579 SpisGene8579	Exaiptasia_diaphana_XP_020909932.2 XP_020909932.2 uncharacterized protein LOC110247804_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517563.1 XP_028517563.1 neurogenic locus notch homolog protein 1-like [Exaiptasia diaphana]
OG0000011	Stylophora_pistillata_Spis2040 Spis2040 SpisGene2040	Exaiptasia_diaphana_XP_020895286.2 XP_020895286.2 uncharacterized protein LOC110234259_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513122.1 XP_028513122.1 tyrosine-protein kinase transmembrane receptor Ror2-like isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020894038.2 XP_020894038.2 tyrosine-protein kinase transmembrane receptor Ror2-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513123.1 XP_028513123.1 tyrosine-protein kinase transmembrane receptor Ror2-like isoform X3 [Exaiptasia diaphana]
OG0000011	Stylophora_pistillata_Spis17 Spis17 SpisGene17, Stylophora_pistillata_Spis16 Spis16 SpisGene16	Exaiptasia_diaphana_XP_028516046.1 XP_028516046.1 tyrosine-protein kinase transmembrane receptor ROR2 isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516044.1 XP_028516044.1 uncharacterized protein LOC110242972 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516045.1 XP_028516045.1 uncharacterized protein LOC110242972 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516043.1 XP_028516043.1 uncharacterized protein LOC110242972 isoform X1 [Exaiptasia diaphana]
OG0000011	Stylophora_pistillata_Spis4945 Spis4945 SpisGene4945	Exaiptasia_diaphana_XP_028513255.1 XP_028513255.1 LOW QUALITY PROTEIN_ uncharacterized protein LOC110233543 [Exaiptasia diaphana]
OG0000012	Stylophora_pistillata_Spis8301 Spis8301 SpisGene8301	Exaiptasia_diaphana_XP_028517760.1 XP_028517760.1 mucin-2_ partial [Exaiptasia diaphana]
OG0000012	Stylophora_pistillata_Spis6613 Spis6613 SpisGene6613	Exaiptasia_diaphana_XP_020903410.2 XP_020903410.2 von Willebrand factor-like [Exaiptasia diaphana]
OG0000012	Stylophora_pistillata_Spis11321.t1 Spis11321.t1 SpisGene11321	Exaiptasia_diaphana_XP_020913063.1 XP_020913063.1 kielin_chordin-like protein [Exaiptasia diaphana]
OG0000012	Stylophora_pistillata_Spis3283 Spis3283 SpisGene3283	Exaiptasia_diaphana_XP_020901426.1 XP_020901426.1 uncharacterized protein LOC110239999 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907660.2 XP_020907660.2 uncharacterized protein LOC110245709 [Exaiptasia diaphana]
OG0000012	Stylophora_pistillata_Spis16938 Spis16938 SpisGene16938	Exaiptasia_diaphana_XP_020911414.1 XP_020911414.1 neuropilin-1a [Exaiptasia diaphana]
OG0000013	Stylophora_pistillata_Spis19313 Spis19313 SpisGene19313	Exaiptasia_diaphana_XP_028514350.1 XP_028514350.1 protein Wnt-7b-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514349.1 XP_028514349.1 protein Wnt-4a-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898386.1 XP_020898386.1 protein Wnt-1 [Exaiptasia diaphana]
OG0000013	Stylophora_pistillata_Spis10384 Spis10384 SpisGene10384	Exaiptasia_diaphana_XP_020913045.1 XP_020913045.1 protein Wnt-2-like [Exaiptasia diaphana]
OG0000013	Stylophora_pistillata_Spis10385 Spis10385 SpisGene10385	Exaiptasia_diaphana_XP_020893168.1 XP_020893168.1 protein Wnt-1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893167.1 XP_020893167.1 protein Wnt-1 isoform X1 [Exaiptasia diaphana]
OG0000013	Stylophora_pistillata_Spis10363 Spis10363 SpisGene10363	Exaiptasia_diaphana_XP_020893235.1 XP_020893235.1 protein Wnt-3a [Exaiptasia diaphana]
OG0000013	Stylophora_pistillata_Spis16312 Spis16312 SpisGene16312	Exaiptasia_diaphana_XP_028519476.1 XP_028519476.1 protein Wnt-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519475.1 XP_028519475.1 protein Wnt-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916617.1 XP_020916617.1 protein Wnt-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916616.1 XP_020916616.1 protein Wnt-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519474.1 XP_028519474.1 protein Wnt-4 isoform X1 [Exaiptasia diaphana]
OG0000013	Stylophora_pistillata_Spis3866 Spis3866 SpisGene3866, Stylophora_pistillata_Spis3867 Spis3867 SpisGene3867	Exaiptasia_diaphana_XP_020904203.1 XP_020904203.1 protein Wnt-5b isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904202.1 XP_020904202.1 protein Wnt-5b isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904201.1 XP_020904201.1 protein Wnt-5b isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515919.1 XP_028515919.1 protein Wnt-5b isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904200.1 XP_020904200.1 protein Wnt-5b isoform X1 [Exaiptasia diaphana]
OG0000013	Stylophora_pistillata_Spis1461.t1 Spis1461.t1 SpisGene1461	Exaiptasia_diaphana_XP_020904766.1 XP_020904766.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904744.1 XP_020904744.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904751.1 XP_020904751.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904759.1 XP_020904759.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902344.1 XP_020902344.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902345.1 XP_020902345.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902346.1 XP_020902346.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902347.1 XP_020902347.1 protein Wnt-4 [Exaiptasia diaphana]
OG0000013	Stylophora_pistillata_Spis3868.t1 Spis3868.t1 SpisGene3868	Exaiptasia_diaphana_XP_020904181.2 XP_020904181.2 protein Wnt-7b isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904180.2 XP_020904180.2 protein Wnt-7a isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904179.2 XP_020904179.2 protein Wnt-7a isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904182.1 XP_020904182.1 protein Wnt-7a isoform X4 [Exaiptasia diaphana]
OG0000013	Stylophora_pistillata_Spis825 Spis825 SpisGene825, Stylophora_pistillata_Spis824 Spis824 SpisGene824, Stylophora_pistillata_Spis826 Spis826 SpisGene826	Exaiptasia_diaphana_XP_020895878.1 XP_020895878.1 protein Wnt-2b-A [Exaiptasia diaphana]
OG0000013	Stylophora_pistillata_Spis18607.t1 Spis18607.t1 SpisGene18607, Stylophora_pistillata_Spis727 Spis727 SpisGene727, Stylophora_pistillata_Spis726 Spis726 SpisGene726, Stylophora_pistillata_Spis18606 Spis18606 SpisGene18606	Exaiptasia_diaphana_XP_028514332.1 XP_028514332.1 protein Wnt-8a isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898355.1 XP_020898355.1 protein Wnt-8b [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898335.1 XP_020898335.1 protein Wnt-8b isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898370.1 XP_020898370.1 protein Wnt-8b_ partial [Exaiptasia diaphana]
OG0000013	Stylophora_pistillata_Spis10383 Spis10383 SpisGene10383	Exaiptasia_diaphana_XP_020913046.1 XP_020913046.1 protein Wnt-10a [Exaiptasia diaphana]
OG0000014	Stylophora_pistillata_Spis347 Spis347 SpisGene347	Exaiptasia_diaphana_XP_028519306.1 XP_028519306.1 LOW QUALITY PROTEIN_ thrombospondin type-1 domain-containing protein 4 [Exaiptasia diaphana]
OG0000014	Stylophora_pistillata_Spis18290.t1 Spis18290.t1 SpisGene18290	Exaiptasia_diaphana_XP_020903155.1 XP_020903155.1 A disintegrin and metalloproteinase with thrombospondin motifs 7 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515635.1 XP_028515635.1 A disintegrin and metalloproteinase with thrombospondin motifs 12 isoform X1 [Exaiptasia diaphana]
OG0000014	Stylophora_pistillata_Spis2407 Spis2407 SpisGene2407	Exaiptasia_diaphana_XP_020906187.1 XP_020906187.1 ADAMTS-like protein 2 [Exaiptasia diaphana]
OG0000014	Stylophora_pistillata_Spis12681 Spis12681 SpisGene12681	Exaiptasia_diaphana_XP_028517311.1 XP_028517311.1 A disintegrin and metalloproteinase with thrombospondin motifs 9 [Exaiptasia diaphana]
OG0000014	Stylophora_pistillata_Spis13809.t1 Spis13809.t1 SpisGene13809	Exaiptasia_diaphana_XP_020916248.1 XP_020916248.1 A disintegrin and metalloproteinase with thrombospondin motifs 6 [Exaiptasia diaphana]
OG0000014	Stylophora_pistillata_Spis19692 Spis19692 SpisGene19692, Stylophora_pistillata_Spis19693 Spis19693 SpisGene19693	Exaiptasia_diaphana_XP_020906831.1 XP_020906831.1 A disintegrin and metalloproteinase with thrombospondin motifs 16 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906830.1 XP_020906830.1 A disintegrin and metalloproteinase with thrombospondin motifs 16 [Exaiptasia diaphana]
OG0000014	Stylophora_pistillata_Spis1486 Spis1486 SpisGene1486	Exaiptasia_diaphana_XP_028515757.1 XP_028515757.1 A disintegrin and metalloproteinase with thrombospondin motifs 6 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908001.1 XP_020908001.1 A disintegrin and metalloproteinase with thrombospondin motifs 18 [Exaiptasia diaphana]
OG0000014	Stylophora_pistillata_Spis10967 Spis10967 SpisGene10967	Exaiptasia_diaphana_XP_020908093.1 XP_020908093.1 A disintegrin and metalloproteinase with thrombospondin motifs 18 [Exaiptasia diaphana]
OG0000014	Stylophora_pistillata_Spis1489 Spis1489 SpisGene1489, Stylophora_pistillata_Spis1490 Spis1490 SpisGene1490	Exaiptasia_diaphana_XP_020903567.1 XP_020903567.1 A disintegrin and metalloproteinase with thrombospondin motifs 6 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515755.1 XP_028515755.1 A disintegrin and metalloproteinase with thrombospondin motifs 18-like_ partial [Exaiptasia diaphana]
OG0000014	Stylophora_pistillata_Spis2985 Spis2985 SpisGene2985	Exaiptasia_diaphana_XP_028514067.1 XP_028514067.1 A disintegrin and metalloproteinase with thrombospondin motifs 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512951.1 XP_028512951.1 A disintegrin and metalloproteinase with thrombospondin motifs 18 [Exaiptasia diaphana]
OG0000015	Stylophora_pistillata_Spis13614 Spis13614 SpisGene13614	Exaiptasia_diaphana_XP_020906644.1 XP_020906644.1 CUB and zona pellucida-like domain-containing protein 1 [Exaiptasia diaphana]
OG0000015	Stylophora_pistillata_Spis12670.t1 Spis12670.t1 SpisGene12670	Exaiptasia_diaphana_XP_020895186.1 XP_020895186.1 oncoprotein-induced transcript 3 protein [Exaiptasia diaphana]
