Orthogroup	Cnidaria_Anthozoa_Stylophora_pistillata	Ctenophora_Nuda_Beroe_ovata
OG0000106	Stylophora_pistillata_Spis13266 Spis13266 SpisGene13266	Beroe_ovata_Bova1_4.0273.g10.t1 Bova1_4.0273.g10.t1, Beroe_ovata_Bova1_4.0273.g11.t1 Bova1_4.0273.g11.t1, Beroe_ovata_Bova1_4.0273.g7.t1 Bova1_4.0273.g7.t1, Beroe_ovata_Bova1_4.0269.g12.t1 Bova1_4.0269.g12.t1, Beroe_ovata_Bova1_4.0033.g43.t1 Bova1_4.0033.g43.t1, Beroe_ovata_Bova1_4.0180.g26.t1 Bova1_4.0180.g26.t1, Beroe_ovata_Bova1_4.0112.g46.t1 Bova1_4.0112.g46.t1
OG0000107	Stylophora_pistillata_Spis22278 Spis22278 SpisGene22278, Stylophora_pistillata_Spis19299 Spis19299 SpisGene19299, Stylophora_pistillata_Spis19296 Spis19296 SpisGene19296, Stylophora_pistillata_Spis16933 Spis16933 SpisGene16933, Stylophora_pistillata_Spis19297 Spis19297 SpisGene19297, Stylophora_pistillata_Spis9545 Spis9545 SpisGene9545, Stylophora_pistillata_Spis17361 Spis17361 SpisGene17361	Beroe_ovata_Bova1_4.0361.g7.t1 Bova1_4.0361.g7.t1
OG0000113	Stylophora_pistillata_Spis1485 Spis1485 SpisGene1485	Beroe_ovata_Bova1_4.0104.g16.t1 Bova1_4.0104.g16.t1, Beroe_ovata_Bova1_4.0104.g16.t2 Bova1_4.0104.g16.t2
OG0000114	Stylophora_pistillata_Spis1676 Spis1676 SpisGene1676	Beroe_ovata_Bova1_4.0155.g12.t1 Bova1_4.0155.g12.t1, Beroe_ovata_Bova1_4.0155.g12.t2 Bova1_4.0155.g12.t2
OG0000133	Stylophora_pistillata_Spis7100 Spis7100 SpisGene7100	Beroe_ovata_Bova1_4.0231.g5.t2 Bova1_4.0231.g5.t2, Beroe_ovata_Bova1_4.0231.g5.t1 Bova1_4.0231.g5.t1
OG0000134	Stylophora_pistillata_Spis15413 Spis15413 SpisGene15413, Stylophora_pistillata_Spis19516 Spis19516 SpisGene19516	Beroe_ovata_Bova1_4.0165.g23.t1 Bova1_4.0165.g23.t1, Beroe_ovata_Bova1_4.0165.g23.t2 Bova1_4.0165.g23.t2, Beroe_ovata_Bova1_4.0165.g23.t3 Bova1_4.0165.g23.t3
OG0000138	Stylophora_pistillata_Spis23375 Spis23375 SpisGene23375	Beroe_ovata_Bova1_4.0135.g3.t2 Bova1_4.0135.g3.t2, Beroe_ovata_Bova1_4.0135.g3.t1 Bova1_4.0135.g3.t1, Beroe_ovata_Bova1_4.0135.g3.t4 Bova1_4.0135.g3.t4, Beroe_ovata_Bova1_4.0135.g3.t5 Bova1_4.0135.g3.t5, Beroe_ovata_Bova1_4.0135.g3.t6 Bova1_4.0135.g3.t6
OG0000148	Stylophora_pistillata_Spis17259 Spis17259 SpisGene17259	Beroe_ovata_Bova1_4.0104.g11.t1 Bova1_4.0104.g11.t1
OG0000152	Stylophora_pistillata_Spis11015 Spis11015 SpisGene11015	Beroe_ovata_Bova1_4.0464.g3.t1 Bova1_4.0464.g3.t1
OG0000156	Stylophora_pistillata_Spis944 Spis944 SpisGene944	Beroe_ovata_Bova1_4.0124.g23.t1 Bova1_4.0124.g23.t1
OG0000159	Stylophora_pistillata_Spis19229 Spis19229 SpisGene19229, Stylophora_pistillata_Spis13820 Spis13820 SpisGene13820, Stylophora_pistillata_Spis20878 Spis20878 SpisGene20878	Beroe_ovata_Bova1_4.0003.g170.t1 Bova1_4.0003.g170.t1
OG0000165	Stylophora_pistillata_Spis9482 Spis9482 SpisGene9482, Stylophora_pistillata_Spis19394 Spis19394 SpisGene19394	Beroe_ovata_Bova1_4.0080.g32.t1 Bova1_4.0080.g32.t1, Beroe_ovata_Bova1_4.0080.g31.t1 Bova1_4.0080.g31.t1
OG0000171	Stylophora_pistillata_Spis4618.t1 Spis4618.t1 SpisGene4618, Stylophora_pistillata_Spis4617 Spis4617 SpisGene4617	Beroe_ovata_Bova1_4.0014.g57.t1 Bova1_4.0014.g57.t1
OG0000176	Stylophora_pistillata_Spis9429.t1 Spis9429.t1 SpisGene9429	Beroe_ovata_Bova1_4.0138.g15.t2 Bova1_4.0138.g15.t2, Beroe_ovata_Bova1_4.0138.g15.t1 Bova1_4.0138.g15.t1
OG0000177	Stylophora_pistillata_Spis16587 Spis16587 SpisGene16587	Beroe_ovata_Bova1_4.0025.g79.t1 Bova1_4.0025.g79.t1
OG0000179	Stylophora_pistillata_Spis21317 Spis21317 SpisGene21317, Stylophora_pistillata_Spis22165 Spis22165 SpisGene22165, Stylophora_pistillata_Spis4606 Spis4606 SpisGene4606, Stylophora_pistillata_Spis20491 Spis20491 SpisGene20491, Stylophora_pistillata_Spis932 Spis932 SpisGene932	Beroe_ovata_Bova1_4.0067.g31.t1 Bova1_4.0067.g31.t1
OG0000192	Stylophora_pistillata_Spis3294 Spis3294 SpisGene3294	Beroe_ovata_Bova1_4.0025.g92.t1 Bova1_4.0025.g92.t1, Beroe_ovata_Bova1_4.0025.g94.t1 Bova1_4.0025.g94.t1
OG0000194	Stylophora_pistillata_Spis7867 Spis7867 SpisGene7867	Beroe_ovata_Bova1_4.0138.g26.t1 Bova1_4.0138.g26.t1
OG0000195	Stylophora_pistillata_Spis16217 Spis16217 SpisGene16217	Beroe_ovata_Bova1_4.0190.g12.t1 Bova1_4.0190.g12.t1
OG0000199	Stylophora_pistillata_Spis5428 Spis5428 SpisGene5428	Beroe_ovata_Bova1_4.0026.g82.t1 Bova1_4.0026.g82.t1
OG0000200	Stylophora_pistillata_Spis3925 Spis3925 SpisGene3925	Beroe_ovata_Bova1_4.0002.g138.t1 Bova1_4.0002.g138.t1
OG0000204	Stylophora_pistillata_Spis8062 Spis8062 SpisGene8062	Beroe_ovata_Bova1_4.0059.g16.t1 Bova1_4.0059.g16.t1, Beroe_ovata_Bova1_4.0059.g17.t1 Bova1_4.0059.g17.t1
OG0000210	Stylophora_pistillata_Spis6298 Spis6298 SpisGene6298	Beroe_ovata_Bova1_4.0208.g6.t1 Bova1_4.0208.g6.t1, Beroe_ovata_Bova1_4.0208.g6.t2 Bova1_4.0208.g6.t2
OG0000211	Stylophora_pistillata_Spis17130 Spis17130 SpisGene17130	Beroe_ovata_Bova1_4.0037.g29.t1 Bova1_4.0037.g29.t1
OG0000213	Stylophora_pistillata_Spis10966 Spis10966 SpisGene10966	Beroe_ovata_Bova1_4.0353.g5.t2 Bova1_4.0353.g5.t2, Beroe_ovata_Bova1_4.0353.g5.t1 Bova1_4.0353.g5.t1, Beroe_ovata_Bova1_4.0353.g5.t6 Bova1_4.0353.g5.t6, Beroe_ovata_Bova1_4.0353.g5.t5 Bova1_4.0353.g5.t5, Beroe_ovata_Bova1_4.0353.g5.t3 Bova1_4.0353.g5.t3, Beroe_ovata_Bova1_4.0353.g5.t4 Bova1_4.0353.g5.t4
OG0000214	Stylophora_pistillata_Spis15474 Spis15474 SpisGene15474	Beroe_ovata_Bova1_4.0015.g97.t1 Bova1_4.0015.g97.t1
OG0000219	Stylophora_pistillata_Spis1071 Spis1071 SpisGene1071	Beroe_ovata_Bova1_4.0029.g52.t1 Bova1_4.0029.g52.t1
OG0000237	Stylophora_pistillata_Spis9508 Spis9508 SpisGene9508	Beroe_ovata_Bova1_4.0123.g22.t1 Bova1_4.0123.g22.t1
OG0000240	Stylophora_pistillata_Spis16197 Spis16197 SpisGene16197, Stylophora_pistillata_Spis18709 Spis18709 SpisGene18709	Beroe_ovata_Bova1_4.0090.g1.t1 Bova1_4.0090.g1.t1, Beroe_ovata_Bova1_4.0011.g80.t1 Bova1_4.0011.g80.t1
OG0000277	Stylophora_pistillata_Spis12990 Spis12990 SpisGene12990	Beroe_ovata_Bova1_4.0113.g12.t3 Bova1_4.0113.g12.t3, Beroe_ovata_Bova1_4.0113.g12.t1 Bova1_4.0113.g12.t1, Beroe_ovata_Bova1_4.0113.g12.t2 Bova1_4.0113.g12.t2
OG0000378	Stylophora_pistillata_Spis18619 Spis18619 SpisGene18619, Stylophora_pistillata_Spis11618 Spis11618 SpisGene11618	Beroe_ovata_Bova1_4.0309.g6.t2 Bova1_4.0309.g6.t2
OG0000436	Stylophora_pistillata_Spis16940 Spis16940 SpisGene16940	Beroe_ovata_Bova1_4.0153.g3.t3 Bova1_4.0153.g3.t3, Beroe_ovata_Bova1_4.0153.g3.t1 Bova1_4.0153.g3.t1
OG0000606	Stylophora_pistillata_Spis12957 Spis12957 SpisGene12957	Beroe_ovata_Bova1_4.0072.g23.t1 Bova1_4.0072.g23.t1, Beroe_ovata_Bova1_4.0008.g61.t1 Bova1_4.0008.g61.t1
OG0000701	Stylophora_pistillata_Spis4345.t1 Spis4345.t1 SpisGene4345	Beroe_ovata_Bova1_4.0011.g36.t1 Bova1_4.0011.g36.t1
