Orthogroup	Cnidaria_Anthozoa_Stylophora_pistillata	Insecta_Diptera_Drosophila_melanogaster
OG0000017	Stylophora_pistillata_Spis1531 Spis1531 SpisGene1531, Stylophora_pistillata_Spis5283 Spis5283 SpisGene5283, Stylophora_pistillata_Spis1532 Spis1532 SpisGene1532	Drosophila_melanogaster_tr_Q8MPN6_Q8MPN6_DROME tr|Q8MPN6|Q8MPN6_DROME Serpin 4 OS=Drosophila melanogaster OX=7227 GN=Spn42Da PE=1 SV=1, Drosophila_melanogaster_tr_Q8MPN8_Q8MPN8_DROME tr|Q8MPN8|Q8MPN8_DROME Serpin 4 OS=Drosophila melanogaster OX=7227 GN=Spn42Da PE=1 SV=1, Drosophila_melanogaster_tr_Q8MPN7_Q8MPN7_DROME tr|Q8MPN7|Q8MPN7_DROME GH08104p OS=Drosophila melanogaster OX=7227 GN=Spn42Da PE=1 SV=1, Drosophila_melanogaster_tr_Q8MPN5_Q8MPN5_DROME tr|Q8MPN5|Q8MPN5_DROME Serpin 4 OS=Drosophila melanogaster OX=7227 GN=Spn42Da PE=1 SV=1, Drosophila_melanogaster_tr_Q9U1I5_Q9U1I5_DROME tr|Q9U1I5|Q9U1I5_DROME Serine protease inhibitor _Serpin-4_ OS=Drosophila melanogaster OX=7227 GN=Spn42Da PE=2 SV=1, Drosophila_melanogaster_tr_Q7K8Y3_Q7K8Y3_DROME tr|Q7K8Y3|Q7K8Y3_DROME IP16419p OS=Drosophila melanogaster OX=7227 GN=Spn42Da PE=1 SV=1, Drosophila_melanogaster_tr_Q7K8Y5_Q7K8Y5_DROME tr|Q7K8Y5|Q7K8Y5_DROME Serpin 4 OS=Drosophila melanogaster OX=7227 GN=Spn42Da PE=1 SV=1, Drosophila_melanogaster_tr_Q8MM39_Q8MM39_DROME tr|Q8MM39|Q8MM39_DROME RE31022p OS=Drosophila melanogaster OX=7227 GN=Spn42Da PE=1 SV=1, Drosophila_melanogaster_tr_Q8MM49_Q8MM49_DROME tr|Q8MM49|Q8MM49_DROME Serpin 4 OS=Drosophila melanogaster OX=7227 GN=Spn42Da PE=1 SV=1, Drosophila_melanogaster_tr_Q8T0M5_Q8T0M5_DROME tr|Q8T0M5|Q8T0M5_DROME GH21896p OS=Drosophila melanogaster OX=7227 GN=Spn42Da PE=2 SV=1, Drosophila_melanogaster_tr_Q7JV69_Q7JV69_DROME tr|Q7JV69|Q7JV69_DROME SD11922p OS=Drosophila melanogaster OX=7227 GN=Spn55B PE=1 SV=1, Drosophila_melanogaster_tr_A1Z6R4_A1Z6R4_DROME tr|A1Z6R4|A1Z6R4_DROME Serpin 42Dc_ isoform A OS=Drosophila melanogaster OX=7227 GN=Spn42Dc PE=1 SV=1, Drosophila_melanogaster_tr_Q8T3Z2_Q8T3Z2_DROME tr|Q8T3Z2|Q8T3Z2_DROME AT24862p OS=Drosophila melanogaster OX=7227 GN=Spn42Dc PE=2 SV=1, Drosophila_melanogaster_tr_Q8SZF4_Q8SZF4_DROME tr|Q8SZF4|Q8SZF4_DROME RE02548p OS=Drosophila melanogaster OX=7227 GN=Spn42De PE=2 SV=1, Drosophila_melanogaster_tr_A0A0B4K6Q4_A0A0B4K6Q4_DROME tr|A0A0B4K6Q4|A0A0B4K6Q4_DROME Serpin 42De_ isoform B OS=Drosophila melanogaster OX=7227 GN=Spn42De PE=3 SV=1, Drosophila_melanogaster_tr_Q6V6U3_Q6V6U3_DROME tr|Q6V6U3|Q6V6U3_DROME Spn43Ac _Fragment_ OS=Drosophila melanogaster OX=7227 GN=nec PE=3 SV=1, Drosophila_melanogaster_tr_Q6V6U5_Q6V6U5_DROME tr|Q6V6U5|Q6V6U5_DROME Spn43Ac _Fragment_ OS=Drosophila melanogaster OX=7227 GN=nec PE=3 SV=1, Drosophila_melanogaster_tr_Q6V6U7_Q6V6U7_DROME tr|Q6V6U7|Q6V6U7_DROME Spn43Ac _Fragment_ OS=Drosophila melanogaster OX=7227 GN=nec PE=3 SV=1, Drosophila_melanogaster_tr_Q6V6V0_Q6V6V0_DROME tr|Q6V6V0|Q6V6V0_DROME Spn43Ac _Fragment_ OS=Drosophila melanogaster OX=7227 GN=nec PE=3 SV=1, Drosophila_melanogaster_tr_Q6V6U8_Q6V6U8_DROME tr|Q6V6U8|Q6V6U8_DROME Spn43Ac _Fragment_ OS=Drosophila melanogaster OX=7227 GN=nec PE=3 SV=1, Drosophila_melanogaster_tr_Q6V6U4_Q6V6U4_DROME tr|Q6V6U4|Q6V6U4_DROME Spn43Ac _Fragment_ OS=Drosophila melanogaster OX=7227 GN=nec PE=3 SV=1, Drosophila_melanogaster_tr_Q6V6U2_Q6V6U2_DROME tr|Q6V6U2|Q6V6U2_DROME Spn43Ac _Fragment_ OS=Drosophila melanogaster OX=7227 GN=nec PE=3 SV=1, Drosophila_melanogaster_tr_Q6V6U1_Q6V6U1_DROME tr|Q6V6U1|Q6V6U1_DROME Spn43Ac _Fragment_ OS=Drosophila melanogaster OX=7227 GN=nec PE=3 SV=1, Drosophila_melanogaster_tr_Q6V6U9_Q6V6U9_DROME tr|Q6V6U9|Q6V6U9_DROME Spn43Ac _Fragment_ OS=Drosophila melanogaster OX=7227 GN=nec PE=3 SV=1, Drosophila_melanogaster_tr_Q6V6U6_Q6V6U6_DROME tr|Q6V6U6|Q6V6U6_DROME Spn43Ac _Fragment_ OS=Drosophila melanogaster OX=7227 GN=nec PE=3 SV=1, Drosophila_melanogaster_tr_Q7JWX3_Q7JWX3_DROME tr|Q7JWX3|Q7JWX3_DROME GH10112p OS=Drosophila melanogaster OX=7227 GN=nec PE=1 SV=1, Drosophila_melanogaster_tr_Q9U5W7_Q9U5W7_DROME tr|Q9U5W7|Q9U5W7_DROME Serpin_ putative OS=Drosophila melanogaster OX=7227 GN=nec PE=2 SV=1, Drosophila_melanogaster_tr_Q7KA66_Q7KA66_DROME tr|Q7KA66|Q7KA66_DROME Serpin 43Aa OS=Drosophila melanogaster OX=7227 GN=Spn43Aa PE=1 SV=1, Drosophila_melanogaster_tr_Q8MQZ7_Q8MQZ7_DROME tr|Q8MQZ7|Q8MQZ7_DROME LP08647p _Fragment_ OS=Drosophila melanogaster OX=7227 GN=Spn43Aa PE=2 SV=1, Drosophila_melanogaster_tr_Q0E8V6_Q0E8V6_DROME tr|Q0E8V6|Q0E8V6_DROME Serpin 28Da OS=Drosophila melanogaster OX=7227 GN=Spn28Da PE=3 SV=1, Drosophila_melanogaster_tr_X2JAJ8_X2JAJ8_DROME tr|X2JAJ8|X2JAJ8_DROME Serpin 38F_ isoform B OS=Drosophila melanogaster OX=7227 GN=Spn38F PE=3 SV=1, Drosophila_melanogaster_tr_Q8MSJ3_Q8MSJ3_DROME tr|Q8MSJ3|Q8MSJ3_DROME GH09216p OS=Drosophila melanogaster OX=7227 GN=Spn38F PE=2 SV=1, Drosophila_melanogaster_tr_Q9VII7_Q9VII7_DROME tr|Q9VII7|Q9VII7_DROME Serpin 38F_ isoform A OS=Drosophila melanogaster OX=7227 GN=Spn38F PE=3 SV=3, Drosophila_melanogaster_tr_Q9U1I6_Q9U1I6_DROME tr|Q9U1I6|Q9U1I6_DROME Serine protease inhibitor _Serpin-3_ OS=Drosophila melanogaster OX=7227 GN=Spn38F PE=2 SV=1, Drosophila_melanogaster_tr_Q9VLQ7_Q9VLQ7_DROME tr|Q9VLQ7|Q9VLQ7_DROME Serpin 28F OS=Drosophila melanogaster OX=7227 GN=Spn28F PE=3 SV=2, Drosophila_melanogaster_tr_Q8MSJ4_Q8MSJ4_DROME tr|Q8MSJ4|Q8MSJ4_DROME GH08778p OS=Drosophila melanogaster OX=7227 GN=Spn28F PE=2 SV=1, Drosophila_melanogaster_tr_Q9U1I7_Q9U1I7_DROME tr|Q9U1I7|Q9U1I7_DROME Serine protease inhibitor _Serpin-2_ OS=Drosophila melanogaster OX=7227 GN=Spn28F PE=2 SV=1, Drosophila_melanogaster_tr_Q9VLZ8_Q9VLZ8_DROME tr|Q9VLZ8|Q9VLZ8_DROME Serpin 28B_ isoform A OS=Drosophila melanogaster OX=7227 GN=Spn28B PE=3 SV=2, Drosophila_melanogaster_sp_Q7YTY6_SP42D_DROME sp|Q7YTY6|SP42D_DROME Serine protease inhibitor 42Dd OS=Drosophila melanogaster OX=7227 GN=Spn42Dd PE=2 SV=1
OG0000019	Stylophora_pistillata_Spis6384 Spis6384 SpisGene6384	Drosophila_melanogaster_tr_Q9VQG9_Q9VQG9_DROME tr|Q9VQG9|Q9VQG9_DROME Dawdle_ isoform A OS=Drosophila melanogaster OX=7227 GN=daw PE=2 SV=1
OG0000019	Stylophora_pistillata_Spis20402 Spis20402 SpisGene20402	Drosophila_melanogaster_tr_X2JB15_X2JB15_DROME tr|X2JB15|X2JB15_DROME Screw_ isoform B OS=Drosophila melanogaster OX=7227 GN=scw PE=3 SV=1, Drosophila_melanogaster_sp_P54631_SCW_DROME sp|P54631|SCW_DROME Protein screw OS=Drosophila melanogaster OX=7227 GN=scw PE=2 SV=2, Drosophila_melanogaster_sp_P27091_60A_DROME sp|P27091|60A_DROME Protein 60A OS=Drosophila melanogaster OX=7227 GN=gbb PE=1 SV=1, Drosophila_melanogaster_tr_A0A0B4LGA7_A0A0B4LGA7_DROME tr|A0A0B4LGA7|A0A0B4LGA7_DROME Glass bottom boat_ isoform B OS=Drosophila melanogaster OX=7227 GN=gbb PE=3 SV=1
OG0000019	Stylophora_pistillata_Spis4504 Spis4504 SpisGene4504	Drosophila_melanogaster_sp_P07713_DECA_DROME sp|P07713|DECA_DROME Protein decapentaplegic OS=Drosophila melanogaster OX=7227 GN=dpp PE=1 SV=2
OG0000021	Stylophora_pistillata_Spis9526 Spis9526 SpisGene9526	Drosophila_melanogaster_sp_A1Z877_NDG_DROME sp|A1Z877|NDG_DROME Nidogen OS=Drosophila melanogaster OX=7227 GN=Ndg PE=1 SV=1
OG0000022	Stylophora_pistillata_Spis2403 Spis2403 SpisGene2403, Stylophora_pistillata_Spis2392 Spis2392 SpisGene2392	Drosophila_melanogaster_sp_Q9VXG4_ANX11_DROME sp|Q9VXG4|ANX11_DROME Annexin B11 OS=Drosophila melanogaster OX=7227 GN=AnxB11 PE=2 SV=2, Drosophila_melanogaster_tr_A0A0B4KH34_A0A0B4KH34_DROME tr|A0A0B4KH34|A0A0B4KH34_DROME Annexin OS=Drosophila melanogaster OX=7227 GN=AnxB9 PE=1 SV=1, Drosophila_melanogaster_sp_P22464_ANXB9_DROME sp|P22464|ANXB9_DROME Annexin B9 OS=Drosophila melanogaster OX=7227 GN=AnxB9 PE=1 SV=2, Drosophila_melanogaster_sp_P22465_ANX10_DROME sp|P22465|ANX10_DROME Annexin B10 OS=Drosophila melanogaster OX=7227 GN=AnxB10 PE=2 SV=3
OG0000023	Stylophora_pistillata_Spis8398 Spis8398 SpisGene8398	Drosophila_melanogaster_tr_B7Z0Y2_B7Z0Y2_DROME tr|B7Z0Y2|B7Z0Y2_DROME Mind-meld_ isoform D OS=Drosophila melanogaster OX=7227 GN=mmd PE=4 SV=1, Drosophila_melanogaster_tr_Q9VXL1_Q9VXL1_DROME tr|Q9VXL1|Q9VXL1_DROME Mind-meld_ isoform F OS=Drosophila melanogaster OX=7227 GN=mmd PE=4 SV=6, Drosophila_melanogaster_tr_X2JE21_X2JE21_DROME tr|X2JE21|X2JE21_DROME Mind-meld_ isoform J OS=Drosophila melanogaster OX=7227 GN=mmd PE=4 SV=1, Drosophila_melanogaster_tr_M9PER2_M9PER2_DROME tr|M9PER2|M9PER2_DROME Mind-meld_ isoform H OS=Drosophila melanogaster OX=7227 GN=mmd PE=4 SV=1, Drosophila_melanogaster_tr_M9PH86_M9PH86_DROME tr|M9PH86|M9PH86_DROME Mind-meld_ isoform I OS=Drosophila melanogaster OX=7227 GN=mmd PE=4 SV=1, Drosophila_melanogaster_tr_M9NDY9_M9NDY9_DROME tr|M9NDY9|M9NDY9_DROME Mind-meld_ isoform G OS=Drosophila melanogaster OX=7227 GN=mmd PE=4 SV=1, Drosophila_melanogaster_tr_M9NH46_M9NH46_DROME tr|M9NH46|M9NH46_DROME Mind-meld_ isoform E OS=Drosophila melanogaster OX=7227 GN=mmd PE=4 SV=1, Drosophila_melanogaster_tr_Q7KUY7_Q7KUY7_DROME tr|Q7KUY7|Q7KUY7_DROME Mind-meld_ isoform B OS=Drosophila melanogaster OX=7227 GN=mmd PE=4 SV=2, Drosophila_melanogaster_tr_Q9GZ15_Q9GZ15_DROME tr|Q9GZ15|Q9GZ15_DROME MIND-MELD _Fragment_ OS=Drosophila melanogaster OX=7227 GN=mmd PE=2 SV=1
OG0000024	Stylophora_pistillata_Spis13991 Spis13991 SpisGene13991	Drosophila_melanogaster_tr_A0A0B4KH80_A0A0B4KH80_DROME tr|A0A0B4KH80|A0A0B4KH80_DROME Carrier of wingless_ isoform E OS=Drosophila melanogaster OX=7227 GN=Cow PE=4 SV=1, Drosophila_melanogaster_sp_Q9VCR3_COW_DROME sp|Q9VCR3|COW_DROME Proteoglycan Cow OS=Drosophila melanogaster OX=7227 GN=Cow PE=1 SV=3
OG0000028	Stylophora_pistillata_Spis2632 Spis2632 SpisGene2632	Drosophila_melanogaster_tr_O18407_O18407_DROME tr|O18407|O18407_DROME Collagen type IV alpha 2 OS=Drosophila melanogaster OX=7227 GN=vkg PE=2 SV=1, Drosophila_melanogaster_tr_Q9VMV5_Q9VMV5_DROME tr|Q9VMV5|Q9VMV5_DROME Viking_ isoform A OS=Drosophila melanogaster OX=7227 GN=vkg PE=1 SV=1
OG0000028	Stylophora_pistillata_Spis2634 Spis2634 SpisGene2634	Drosophila_melanogaster_sp_P08120_CO4A1_DROME sp|P08120|CO4A1_DROME Collagen alpha-1_IV_ chain OS=Drosophila melanogaster OX=7227 GN=Col4a1 PE=1 SV=3
OG0000030	Stylophora_pistillata_Spis8205 Spis8205 SpisGene8205	Drosophila_melanogaster_sp_Q9VAC5_ADA17_DROME sp|Q9VAC5|ADA17_DROME ADAM 17-like protease OS=Drosophila melanogaster OX=7227 GN=Tace PE=2 SV=2
OG0000030	Stylophora_pistillata_Spis14458 Spis14458 SpisGene14458, Stylophora_pistillata_Spis18004 Spis18004 SpisGene18004	Drosophila_melanogaster_tr_Q9VAI2_Q9VAI2_DROME tr|Q9VAI2|Q9VAI2_DROME Kuzbanian-like_ isoform A OS=Drosophila melanogaster OX=7227 GN=Kul PE=4 SV=1, Drosophila_melanogaster_tr_A0A0B4LHU2_A0A0B4LHU2_DROME tr|A0A0B4LHU2|A0A0B4LHU2_DROME Kuzbanian-like_ isoform C OS=Drosophila melanogaster OX=7227 GN=Kul PE=4 SV=1, Drosophila_melanogaster_tr_Q59DZ3_Q59DZ3_DROME tr|Q59DZ3|Q59DZ3_DROME FI21209p1 OS=Drosophila melanogaster OX=7227 GN=kuz PE=1 SV=1, Drosophila_melanogaster_tr_A8DZ03_A8DZ03_DROME tr|A8DZ03|A8DZ03_DROME Kuzbanian_ isoform G OS=Drosophila melanogaster OX=7227 GN=kuz PE=1 SV=2, Drosophila_melanogaster_tr_A8DZ02_A8DZ02_DROME tr|A8DZ02|A8DZ02_DROME Kuzbanian_ isoform F OS=Drosophila melanogaster OX=7227 GN=kuz PE=1 SV=2, Drosophila_melanogaster_tr_Q9VJW9_Q9VJW9_DROME tr|Q9VJW9|Q9VJW9_DROME Kuzbanian_ isoform A OS=Drosophila melanogaster OX=7227 GN=kuz PE=1 SV=1, Drosophila_melanogaster_tr_Q94902_Q94902_DROME tr|Q94902|Q94902_DROME Kuzbanian OS=Drosophila melanogaster OX=7227 GN=kuz PE=2 SV=1
OG0000034	Stylophora_pistillata_Spis1480 Spis1480 SpisGene1480	Drosophila_melanogaster_tr_Q9VLT6_Q9VLT6_DROME tr|Q9VLT6|Q9VLT6_DROME Multiple EGF like domains 8_ isoform B OS=Drosophila melanogaster OX=7227 GN=Megf8 PE=4 SV=4, Drosophila_melanogaster_tr_X2J9V1_X2J9V1_DROME tr|X2J9V1|X2J9V1_DROME Multiple EGF like domains 8_ isoform C OS=Drosophila melanogaster OX=7227 GN=Megf8 PE=4 SV=1, Drosophila_melanogaster_tr_Q8T0D8_Q8T0D8_DROME tr|Q8T0D8|Q8T0D8_DROME LD09511p OS=Drosophila melanogaster OX=7227 GN=Megf8 PE=2 SV=1
OG0000036	Stylophora_pistillata_Spis6171 Spis6171 SpisGene6171	Drosophila_melanogaster_tr_Q95RQ1_Q95RQ1_DROME tr|Q95RQ1|Q95RQ1_DROME LD16414p OS=Drosophila melanogaster OX=7227 GN=slow PE=2 SV=1
OG0000044	Stylophora_pistillata_Spis4982 Spis4982 SpisGene4982, Stylophora_pistillata_Spis20352 Spis20352 SpisGene20352, Stylophora_pistillata_Spis4987 Spis4987 SpisGene4987	Drosophila_melanogaster_tr_Q8IPH0_Q8IPH0_DROME tr|Q8IPH0|Q8IPH0_DROME Transglutaminase_ isoform B OS=Drosophila melanogaster OX=7227 GN=Tg PE=1 SV=1, Drosophila_melanogaster_tr_Q9VLU2_Q9VLU2_DROME tr|Q9VLU2|Q9VLU2_DROME RE08173p OS=Drosophila melanogaster OX=7227 GN=Tg PE=2 SV=2
OG0000045	Stylophora_pistillata_Spis6767 Spis6767 SpisGene6767, Stylophora_pistillata_Spis7390 Spis7390 SpisGene7390	Drosophila_melanogaster_sp_Q00174_LAMA_DROME sp|Q00174|LAMA_DROME Laminin subunit alpha OS=Drosophila melanogaster OX=7227 GN=LanA PE=1 SV=2
OG0000047	Stylophora_pistillata_Spis8993 Spis8993 SpisGene8993	Drosophila_melanogaster_tr_X2J8E8_X2J8E8_DROME tr|X2J8E8|X2J8E8_DROME Lethal _2_ 34Fc_ isoform B OS=Drosophila melanogaster OX=7227 GN=l_2_34Fc PE=4 SV=1, Drosophila_melanogaster_sp_Q9V3Y3_DFP_DROME sp|Q9V3Y3|DFP_DROME Defense protein l_2_34Fc OS=Drosophila melanogaster OX=7227 GN=l_2_34Fc PE=2 SV=1
OG0000049	Stylophora_pistillata_Spis6729 Spis6729 SpisGene6729	Drosophila_melanogaster_tr_Q9V491_Q9V491_DROME tr|Q9V491|Q9V491_DROME Plexin A_ isoform A OS=Drosophila melanogaster OX=7227 GN=PlexA PE=1 SV=1, Drosophila_melanogaster_tr_Q7YU07_Q7YU07_DROME tr|Q7YU07|Q7YU07_DROME LD15833p OS=Drosophila melanogaster OX=7227 GN=PlexA PE=2 SV=1, Drosophila_melanogaster_tr_Q0KIF1_Q0KIF1_DROME tr|Q0KIF1|Q0KIF1_DROME Plexin A_ isoform B OS=Drosophila melanogaster OX=7227 GN=PlexA PE=1 SV=1, Drosophila_melanogaster_tr_O96681_O96681_DROME tr|O96681|O96681_DROME Plexin A OS=Drosophila melanogaster OX=7227 GN=PlexA PE=2 SV=1, Drosophila_melanogaster_tr_H9XVP3_H9XVP3_DROME tr|H9XVP3|H9XVP3_DROME Plexin A_ isoform F OS=Drosophila melanogaster OX=7227 GN=PlexA PE=1 SV=1, Drosophila_melanogaster_sp_Q9V4A7_PLXB_DROME sp|Q9V4A7|PLXB_DROME Plexin-B OS=Drosophila melanogaster OX=7227 GN=PlexB PE=1 SV=2, Drosophila_melanogaster_tr_H9XVL5_H9XVL5_DROME tr|H9XVL5|H9XVL5_DROME Plexin B_ isoform B OS=Drosophila melanogaster OX=7227 GN=PlexB PE=3 SV=1
OG0000063	Stylophora_pistillata_Spis5904 Spis5904 SpisGene5904, Stylophora_pistillata_Spis15269 Spis15269 SpisGene15269	Drosophila_melanogaster_sp_Q02936_HH_DROME sp|Q02936|HH_DROME Protein hedgehog OS=Drosophila melanogaster OX=7227 GN=hh PE=1 SV=4
OG0000065	Stylophora_pistillata_Spis8479 Spis8479 SpisGene8479, Stylophora_pistillata_Spis8480 Spis8480 SpisGene8480	Drosophila_melanogaster_tr_Q53XG2_Q53XG2_DROME tr|Q53XG2|Q53XG2_DROME Division abnormally delayed_ isoform B OS=Drosophila melanogaster OX=7227 GN=dally PE=1 SV=1, Drosophila_melanogaster_sp_Q24114_DALY_DROME sp|Q24114|DALY_DROME Division abnormally delayed protein OS=Drosophila melanogaster OX=7227 GN=dally PE=1 SV=1, Drosophila_melanogaster_tr_Q966V5_Q966V5_DROME tr|Q966V5|Q966V5_DROME Dally OS=Drosophila melanogaster OX=7227 GN=dally PE=3 SV=1
OG0000070	Stylophora_pistillata_Spis14637 Spis14637 SpisGene14637	Drosophila_melanogaster_sp_Q9VZZ4_PXDN_DROME sp|Q9VZZ4|PXDN_DROME Peroxidasin OS=Drosophila melanogaster OX=7227 GN=Pxn PE=1 SV=1
OG0000080	Stylophora_pistillata_Spis6044 Spis6044 SpisGene6044, Stylophora_pistillata_Spis855.t1 Spis855.t1 SpisGene855, Stylophora_pistillata_Spis854 Spis854 SpisGene854, Stylophora_pistillata_Spis857 Spis857 SpisGene857, Stylophora_pistillata_Spis7913 Spis7913 SpisGene7913, Stylophora_pistillata_Spis847 Spis847 SpisGene847, Stylophora_pistillata_Spis845 Spis845 SpisGene845, Stylophora_pistillata_Spis846 Spis846 SpisGene846, Stylophora_pistillata_Spis844 Spis844 SpisGene844	Drosophila_melanogaster_sp_Q9VH14_TIMP_DROME sp|Q9VH14|TIMP_DROME Tissue inhibitor of metalloproteinase OS=Drosophila melanogaster OX=7227 GN=Timp PE=1 SV=1
OG0000084	Stylophora_pistillata_Spis20307 Spis20307 SpisGene20307	Drosophila_melanogaster_tr_Q86BH1_Q86BH1_DROME tr|Q86BH1|Q86BH1_DROME Multiplexin_ isoform E OS=Drosophila melanogaster OX=7227 GN=Mp PE=4 SV=1, Drosophila_melanogaster_tr_E1JI50_E1JI50_DROME tr|E1JI50|E1JI50_DROME Multiplexin_ isoform F OS=Drosophila melanogaster OX=7227 GN=Mp PE=4 SV=1, Drosophila_melanogaster_tr_Q8MT89_Q8MT89_DROME tr|Q8MT89|Q8MT89_DROME GH14382p OS=Drosophila melanogaster OX=7227 GN=Mp PE=2 SV=1, Drosophila_melanogaster_tr_X2JGC3_X2JGC3_DROME tr|X2JGC3|X2JGC3_DROME Multiplexin_ isoform S OS=Drosophila melanogaster OX=7227 GN=Mp PE=4 SV=1, Drosophila_melanogaster_tr_E1JI49_E1JI49_DROME tr|E1JI49|E1JI49_DROME Multiplexin_ isoform H OS=Drosophila melanogaster OX=7227 GN=Mp PE=4 SV=1, Drosophila_melanogaster_tr_X2JC42_X2JC42_DROME tr|X2JC42|X2JC42_DROME Multiplexin_ isoform T OS=Drosophila melanogaster OX=7227 GN=Mp PE=4 SV=1, Drosophila_melanogaster_tr_E1JIE0_E1JIE0_DROME tr|E1JIE0|E1JIE0_DROME Multiplexin_ isoform M OS=Drosophila melanogaster OX=7227 GN=Mp PE=4 SV=1, Drosophila_melanogaster_tr_M9ND55_M9ND55_DROME tr|M9ND55|M9ND55_DROME Multiplexin_ isoform R OS=Drosophila melanogaster OX=7227 GN=Mp PE=4 SV=1, Drosophila_melanogaster_tr_E1JIE3_E1JIE3_DROME tr|E1JIE3|E1JIE3_DROME Multiplexin_ isoform O OS=Drosophila melanogaster OX=7227 GN=Mp PE=4 SV=2, Drosophila_melanogaster_tr_E1JID9_E1JID9_DROME tr|E1JID9|E1JID9_DROME Multiplexin_ isoform G OS=Drosophila melanogaster OX=7227 GN=Mp PE=4 SV=1, Drosophila_melanogaster_tr_E1JIE1_E1JIE1_DROME tr|E1JIE1|E1JIE1_DROME Multiplexin_ isoform B OS=Drosophila melanogaster OX=7227 GN=Mp PE=4 SV=1, Drosophila_melanogaster_tr_E1JIE2_E1JIE2_DROME tr|E1JIE2|E1JIE2_DROME Multiplexin_ isoform L OS=Drosophila melanogaster OX=7227 GN=Mp PE=4 SV=1, Drosophila_melanogaster_tr_X2JCL0_X2JCL0_DROME tr|X2JCL0|X2JCL0_DROME Multiplexin_ isoform U OS=Drosophila melanogaster OX=7227 GN=Mp PE=4 SV=1, Drosophila_melanogaster_tr_E1JI52_E1JI52_DROME tr|E1JI52|E1JI52_DROME Multiplexin_ isoform J OS=Drosophila melanogaster OX=7227 GN=Mp PE=4 SV=1
OG0000088	Stylophora_pistillata_Spis17637 Spis17637 SpisGene17637	Drosophila_melanogaster_tr_O02029_O02029_DROME tr|O02029|O02029_DROME M-spondin OS=Drosophila melanogaster OX=7227 GN=mspo PE=2 SV=1, Drosophila_melanogaster_tr_Q7JY80_Q7JY80_DROME tr|Q7JY80|Q7JY80_DROME M-spondin_ isoform A OS=Drosophila melanogaster OX=7227 GN=mspo PE=2 SV=1, Drosophila_melanogaster_tr_Q8T988_Q8T988_DROME tr|Q8T988|Q8T988_DROME SD07907p OS=Drosophila melanogaster OX=7227 GN=CG17740 PE=2 SV=1, Drosophila_melanogaster_tr_A1Z8W6_A1Z8W6_DROME tr|A1Z8W6|A1Z8W6_DROME Spondin-1 OS=Drosophila melanogaster OX=7227 GN=CG17740 PE=2 SV=1, Drosophila_melanogaster_tr_Q3ZAL6_Q3ZAL6_DROME tr|Q3ZAL6|Q3ZAL6_DROME Spondin-1 OS=Drosophila melanogaster OX=7227 GN=CG17740 PE=2 SV=1, Drosophila_melanogaster_tr_Q7K3Y9_Q7K3Y9_DROME tr|Q7K3Y9|Q7K3Y9_DROME Spondin-1 OS=Drosophila melanogaster OX=7227 GN=Dmel\CG17739 PE=2 SV=1, Drosophila_melanogaster_tr_Q95S22_Q95S22_DROME tr|Q95S22|Q95S22_DROME HL01082p OS=Drosophila melanogaster OX=7227 GN=fat-spondin PE=2 SV=1, Drosophila_melanogaster_tr_Q7KN04_Q7KN04_DROME tr|Q7KN04|Q7KN04_DROME Spondin-1 OS=Drosophila melanogaster OX=7227 GN=fat-spondin PE=1 SV=1
OG0000089	Stylophora_pistillata_Spis9074 Spis9074 SpisGene9074	Drosophila_melanogaster_sp_Q24025_SOG_DROME sp|Q24025|SOG_DROME Dorsal-ventral patterning protein Sog OS=Drosophila melanogaster OX=7227 GN=sog PE=1 SV=1, Drosophila_melanogaster_tr_M9PH73_M9PH73_DROME tr|M9PH73|M9PH73_DROME Dorsal-ventral patterning protein Sog OS=Drosophila melanogaster OX=7227 GN=sog PE=3 SV=1
OG0000095	Stylophora_pistillata_Spis6340 Spis6340 SpisGene6340	Drosophila_melanogaster_tr_A4UZB1_A4UZB1_DROME tr|A4UZB1|A4UZB1_DROME Magu_ isoform F OS=Drosophila melanogaster OX=7227 GN=magu PE=4 SV=1, Drosophila_melanogaster_tr_Q95TQ2_Q95TQ2_DROME tr|Q95TQ2|Q95TQ2_DROME LD30894p OS=Drosophila melanogaster OX=7227 GN=magu PE=2 SV=1, Drosophila_melanogaster_tr_Q0E9E0_Q0E9E0_DROME tr|Q0E9E0|Q0E9E0_DROME FI05255p OS=Drosophila melanogaster OX=7227 GN=magu PE=2 SV=1, Drosophila_melanogaster_tr_Q86MK1_Q86MK1_DROME tr|Q86MK1|Q86MK1_DROME CG2264A OS=Drosophila melanogaster OX=7227 GN=magu PE=2 SV=1
OG0000133	Stylophora_pistillata_Spis7100 Spis7100 SpisGene7100	Drosophila_melanogaster_sp_Q9VPF0_ATK_DROME sp|Q9VPF0|ATK_DROME Protein artichoke OS=Drosophila melanogaster OX=7227 GN=atk PE=1 SV=2
OG0000178	Stylophora_pistillata_Spis9622 Spis9622 SpisGene9622, Stylophora_pistillata_Spis9843 Spis9843 SpisGene9843	Drosophila_melanogaster_sp_Q0E908_HIL_DROME sp|Q0E908|HIL_DROME Hillarin OS=Drosophila melanogaster OX=7227 GN=Hil PE=1 SV=1
