Orthogroup	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000016	Stylophora_pistillata_Spis19202 Spis19202 SpisGene19202	Clytia_hemispherica_TCONS_00016718-protein TCONS_00016718-protein
OG0000016	Stylophora_pistillata_Spis18465 Spis18465 SpisGene18465, Stylophora_pistillata_Spis5570 Spis5570 SpisGene5570, Stylophora_pistillata_Spis5569 Spis5569 SpisGene5569, Stylophora_pistillata_Spis5572 Spis5572 SpisGene5572, Stylophora_pistillata_Spis5561 Spis5561 SpisGene5561	Clytia_hemispherica_TCONS_00023824-protein TCONS_00023824-protein, Clytia_hemispherica_TCONS_00010506-protein TCONS_00010506-protein
OG0000018	Stylophora_pistillata_Spis5446 Spis5446 SpisGene5446, Stylophora_pistillata_Spis5444 Spis5444 SpisGene5444, Stylophora_pistillata_Spis5445 Spis5445 SpisGene5445	Clytia_hemispherica_TCONS_00019092-protein TCONS_00019092-protein, Clytia_hemispherica_TCONS_00038451-protein TCONS_00038451-protein, Clytia_hemispherica_TCONS_00053338-protein TCONS_00053338-protein, Clytia_hemispherica_TCONS_00066533-protein TCONS_00066533-protein
OG0000019	Stylophora_pistillata_Spis21490 Spis21490 SpisGene21490, Stylophora_pistillata_Spis16254 Spis16254 SpisGene16254	Clytia_hemispherica_TCONS_00061469-protein TCONS_00061469-protein
OG0000019	Stylophora_pistillata_Spis20402 Spis20402 SpisGene20402	Clytia_hemispherica_TCONS_00010860-protein TCONS_00010860-protein
OG0000019	Stylophora_pistillata_Spis4504 Spis4504 SpisGene4504	Clytia_hemispherica_TCONS_00032606-protein TCONS_00032606-protein
OG0000019	Stylophora_pistillata_Spis8182.t1 Spis8182.t1 SpisGene8182	Clytia_hemispherica_TCONS_00000118-protein TCONS_00000118-protein
OG0000020	Stylophora_pistillata_Spis1905 Spis1905 SpisGene1905	Clytia_hemispherica_TCONS_00047700-protein TCONS_00047700-protein
OG0000020	Stylophora_pistillata_Spis2741 Spis2741 SpisGene2741, Stylophora_pistillata_Spis2737 Spis2737 SpisGene2737, Stylophora_pistillata_Spis14939 Spis14939 SpisGene14939	Clytia_hemispherica_TCONS_00061671-protein TCONS_00061671-protein, Clytia_hemispherica_TCONS_00046920-protein TCONS_00046920-protein, Clytia_hemispherica_TCONS_00046924-protein TCONS_00046924-protein, Clytia_hemispherica_TCONS_00003321-protein TCONS_00003321-protein
OG0000020	Stylophora_pistillata_Spis14195 Spis14195 SpisGene14195, Stylophora_pistillata_Spis3249 Spis3249 SpisGene3249	Clytia_hemispherica_TCONS_00006265-protein TCONS_00006265-protein
OG0000020	Stylophora_pistillata_Spis279 Spis279 SpisGene279	Clytia_hemispherica_TCONS_00072191-protein TCONS_00072191-protein
OG0000021	Stylophora_pistillata_Spis9526 Spis9526 SpisGene9526	Clytia_hemispherica_TCONS_00006428-protein TCONS_00006428-protein
OG0000021	Stylophora_pistillata_Spis15200 Spis15200 SpisGene15200	Clytia_hemispherica_TCONS_00024883-protein TCONS_00024883-protein
OG0000021	Stylophora_pistillata_Spis17567 Spis17567 SpisGene17567	Clytia_hemispherica_TCONS_00061561-protein TCONS_00061561-protein
OG0000021	Stylophora_pistillata_Spis7866 Spis7866 SpisGene7866	Clytia_hemispherica_TCONS_00059183-protein TCONS_00059183-protein
OG0000021	Stylophora_pistillata_Spis24714 Spis24714 SpisGene24714	Clytia_hemispherica_TCONS_00037916-protein TCONS_00037916-protein
OG0000022	Stylophora_pistillata_Spis3665 Spis3665 SpisGene3665	Clytia_hemispherica_TCONS_00055551-protein TCONS_00055551-protein
OG0000023	Stylophora_pistillata_Spis8398 Spis8398 SpisGene8398	Clytia_hemispherica_TCONS_00023962-protein TCONS_00023962-protein, Clytia_hemispherica_TCONS_00030285-protein TCONS_00030285-protein
OG0000024	Stylophora_pistillata_Spis21695 Spis21695 SpisGene21695	Clytia_hemispherica_TCONS_00000826-protein TCONS_00000826-protein
OG0000024	Stylophora_pistillata_Spis1604 Spis1604 SpisGene1604	Clytia_hemispherica_TCONS_00051917-protein TCONS_00051917-protein
OG0000024	Stylophora_pistillata_Spis13991 Spis13991 SpisGene13991	Clytia_hemispherica_TCONS_00018835-protein TCONS_00018835-protein
OG0000026	Stylophora_pistillata_Spis25149 Spis25149 SpisGene25149	Clytia_hemispherica_TCONS_00015262-protein TCONS_00015262-protein
OG0000027	Stylophora_pistillata_Spis15917 Spis15917 SpisGene15917	Clytia_hemispherica_TCONS_00004998-protein TCONS_00004998-protein
OG0000027	Stylophora_pistillata_Spis6884 Spis6884 SpisGene6884, Stylophora_pistillata_Spis22410 Spis22410 SpisGene22410, Stylophora_pistillata_Spis15080 Spis15080 SpisGene15080, Stylophora_pistillata_Spis18131 Spis18131 SpisGene18131, Stylophora_pistillata_Spis13753 Spis13753 SpisGene13753, Stylophora_pistillata_Spis21884 Spis21884 SpisGene21884, Stylophora_pistillata_Spis23526 Spis23526 SpisGene23526, Stylophora_pistillata_Spis9521 Spis9521 SpisGene9521, Stylophora_pistillata_Spis17504 Spis17504 SpisGene17504, Stylophora_pistillata_Spis15083 Spis15083 SpisGene15083, Stylophora_pistillata_Spis15082 Spis15082 SpisGene15082, Stylophora_pistillata_Spis15081 Spis15081 SpisGene15081, Stylophora_pistillata_Spis22409 Spis22409 SpisGene22409, Stylophora_pistillata_Spis266 Spis266 SpisGene266, Stylophora_pistillata_Spis248 Spis248 SpisGene248, Stylophora_pistillata_Spis16334 Spis16334 SpisGene16334, Stylophora_pistillata_Spis16337 Spis16337 SpisGene16337, Stylophora_pistillata_Spis249 Spis249 SpisGene249, Stylophora_pistillata_Spis247 Spis247 SpisGene247, Stylophora_pistillata_Spis20993 Spis20993 SpisGene20993, Stylophora_pistillata_Spis7647 Spis7647 SpisGene7647, Stylophora_pistillata_Spis17030 Spis17030 SpisGene17030	Clytia_hemispherica_TCONS_00008404-protein TCONS_00008404-protein
OG0000028	Stylophora_pistillata_Spis2632 Spis2632 SpisGene2632	Clytia_hemispherica_TCONS_00014070-protein TCONS_00014070-protein
OG0000029	Stylophora_pistillata_Spis14460 Spis14460 SpisGene14460, Stylophora_pistillata_Spis14294 Spis14294 SpisGene14294	Clytia_hemispherica_TCONS_00007483-protein TCONS_00007483-protein
OG0000029	Stylophora_pistillata_Spis14293 Spis14293 SpisGene14293	Clytia_hemispherica_TCONS_00066649-protein TCONS_00066649-protein
OG0000029	Stylophora_pistillata_Spis11924 Spis11924 SpisGene11924	Clytia_hemispherica_TCONS_00003166-protein TCONS_00003166-protein
OG0000029	Stylophora_pistillata_Spis1889 Spis1889 SpisGene1889	Clytia_hemispherica_TCONS_00010654-protein TCONS_00010654-protein, Clytia_hemispherica_TCONS_00010652-protein TCONS_00010652-protein
OG0000030	Stylophora_pistillata_Spis8205 Spis8205 SpisGene8205	Clytia_hemispherica_TCONS_00007497-protein TCONS_00007497-protein, Clytia_hemispherica_TCONS_00007500-protein TCONS_00007500-protein
OG0000030	Stylophora_pistillata_Spis14458 Spis14458 SpisGene14458	Clytia_hemispherica_TCONS_00004356-protein TCONS_00004356-protein
OG0000030	Stylophora_pistillata_Spis18004 Spis18004 SpisGene18004	Clytia_hemispherica_TCONS_00028602-protein TCONS_00028602-protein
OG0000032	Stylophora_pistillata_Spis20530 Spis20530 SpisGene20530	Clytia_hemispherica_TCONS_00034838-protein TCONS_00034838-protein
OG0000033	Stylophora_pistillata_Spis20667 Spis20667 SpisGene20667	Clytia_hemispherica_TCONS_00024963-protein TCONS_00024963-protein
OG0000033	Stylophora_pistillata_Spis20660 Spis20660 SpisGene20660, Stylophora_pistillata_Spis18996 Spis18996 SpisGene18996, Stylophora_pistillata_Spis20662 Spis20662 SpisGene20662, Stylophora_pistillata_Spis20663 Spis20663 SpisGene20663, Stylophora_pistillata_Spis18995 Spis18995 SpisGene18995, Stylophora_pistillata_Spis20665 Spis20665 SpisGene20665, Stylophora_pistillata_Spis20666 Spis20666 SpisGene20666, Stylophora_pistillata_Spis5937 Spis5937 SpisGene5937, Stylophora_pistillata_Spis6139 Spis6139 SpisGene6139, Stylophora_pistillata_Spis10179 Spis10179 SpisGene10179, Stylophora_pistillata_Spis22124 Spis22124 SpisGene22124, Stylophora_pistillata_Spis13256 Spis13256 SpisGene13256, Stylophora_pistillata_Spis13246 Spis13246 SpisGene13246, Stylophora_pistillata_Spis13243 Spis13243 SpisGene13243, Stylophora_pistillata_Spis1740 Spis1740 SpisGene1740, Stylophora_pistillata_Spis10 Spis10 SpisGene10, Stylophora_pistillata_Spis13247 Spis13247 SpisGene13247, Stylophora_pistillata_Spis7304 Spis7304 SpisGene7304, Stylophora_pistillata_Spis7301 Spis7301 SpisGene7301	Clytia_hemispherica_TCONS_00050100-protein TCONS_00050100-protein, Clytia_hemispherica_TCONS_00060254-protein TCONS_00060254-protein, Clytia_hemispherica_TCONS_00060270-protein TCONS_00060270-protein, Clytia_hemispherica_TCONS_00063125-protein TCONS_00063125-protein, Clytia_hemispherica_TCONS_00053701-protein TCONS_00053701-protein, Clytia_hemispherica_TCONS_00039900-protein TCONS_00039900-protein, Clytia_hemispherica_TCONS_00023261-protein TCONS_00023261-protein, Clytia_hemispherica_TCONS_00023250-protein TCONS_00023250-protein, Clytia_hemispherica_TCONS_00025608-protein TCONS_00025608-protein
OG0000034	Stylophora_pistillata_Spis8934.t1 Spis8934.t1 SpisGene8934, Stylophora_pistillata_Spis9650 Spis9650 SpisGene9650	Clytia_hemispherica_TCONS_00051590-protein TCONS_00051590-protein
OG0000034	Stylophora_pistillata_Spis13853 Spis13853 SpisGene13853	Clytia_hemispherica_TCONS_00055927-protein TCONS_00055927-protein
OG0000034	Stylophora_pistillata_Spis1480 Spis1480 SpisGene1480	Clytia_hemispherica_TCONS_00048912-protein TCONS_00048912-protein, Clytia_hemispherica_TCONS_00057683-protein TCONS_00057683-protein
OG0000035	Stylophora_pistillata_Spis3601 Spis3601 SpisGene3601	Clytia_hemispherica_TCONS_00058995-protein TCONS_00058995-protein
OG0000036	Stylophora_pistillata_Spis6171 Spis6171 SpisGene6171	Clytia_hemispherica_TCONS_00019271-protein TCONS_00019271-protein, Clytia_hemispherica_TCONS_00001698-protein TCONS_00001698-protein
OG0000036	Stylophora_pistillata_Spis8101 Spis8101 SpisGene8101, Stylophora_pistillata_Spis734 Spis734 SpisGene734, Stylophora_pistillata_Spis19371 Spis19371 SpisGene19371, Stylophora_pistillata_Spis6169 Spis6169 SpisGene6169, Stylophora_pistillata_Spis6170 Spis6170 SpisGene6170, Stylophora_pistillata_Spis4440 Spis4440 SpisGene4440	Clytia_hemispherica_TCONS_00048163-protein TCONS_00048163-protein
OG0000039	Stylophora_pistillata_Spis13654 Spis13654 SpisGene13654, Stylophora_pistillata_Spis13655 Spis13655 SpisGene13655, Stylophora_pistillata_Spis13656 Spis13656 SpisGene13656, Stylophora_pistillata_Spis15611 Spis15611 SpisGene15611, Stylophora_pistillata_Spis15606 Spis15606 SpisGene15606, Stylophora_pistillata_Spis15608 Spis15608 SpisGene15608, Stylophora_pistillata_Spis15609 Spis15609 SpisGene15609, Stylophora_pistillata_Spis15605 Spis15605 SpisGene15605, Stylophora_pistillata_Spis15613 Spis15613 SpisGene15613	Clytia_hemispherica_TCONS_00014774-protein TCONS_00014774-protein
OG0000040	Stylophora_pistillata_Spis21214 Spis21214 SpisGene21214	Clytia_hemispherica_TCONS_00015477-protein TCONS_00015477-protein
OG0000041	Stylophora_pistillata_Spis1360 Spis1360 SpisGene1360	Clytia_hemispherica_TCONS_00059541-protein TCONS_00059541-protein
OG0000042	Stylophora_pistillata_Spis2347 Spis2347 SpisGene2347	Clytia_hemispherica_TCONS_00005412-protein TCONS_00005412-protein, Clytia_hemispherica_TCONS_00059228-protein TCONS_00059228-protein, Clytia_hemispherica_TCONS_00007470-protein TCONS_00007470-protein
OG0000042	Stylophora_pistillata_Spis15181 Spis15181 SpisGene15181, Stylophora_pistillata_Spis15182 Spis15182 SpisGene15182	Clytia_hemispherica_TCONS_00066637-protein TCONS_00066637-protein, Clytia_hemispherica_TCONS_00072911-protein TCONS_00072911-protein
OG0000044	Stylophora_pistillata_Spis4982 Spis4982 SpisGene4982, Stylophora_pistillata_Spis20352 Spis20352 SpisGene20352, Stylophora_pistillata_Spis4987 Spis4987 SpisGene4987	Clytia_hemispherica_TCONS_00053572-protein TCONS_00053572-protein, Clytia_hemispherica_TCONS_00062853-protein TCONS_00062853-protein, Clytia_hemispherica_TCONS_00033083-protein TCONS_00033083-protein
OG0000045	Stylophora_pistillata_Spis7390 Spis7390 SpisGene7390	Clytia_hemispherica_TCONS_00002813-protein TCONS_00002813-protein
OG0000046	Stylophora_pistillata_Spis20041 Spis20041 SpisGene20041, Stylophora_pistillata_Spis20040 Spis20040 SpisGene20040, Stylophora_pistillata_Spis17822 Spis17822 SpisGene17822, Stylophora_pistillata_Spis20038 Spis20038 SpisGene20038, Stylophora_pistillata_Spis3327 Spis3327 SpisGene3327, Stylophora_pistillata_Spis20037 Spis20037 SpisGene20037, Stylophora_pistillata_Spis2656 Spis2656 SpisGene2656, Stylophora_pistillata_Spis6345 Spis6345 SpisGene6345, Stylophora_pistillata_Spis15919 Spis15919 SpisGene15919, Stylophora_pistillata_Spis12940 Spis12940 SpisGene12940, Stylophora_pistillata_Spis15918 Spis15918 SpisGene15918, Stylophora_pistillata_Spis17216 Spis17216 SpisGene17216, Stylophora_pistillata_Spis24200 Spis24200 SpisGene24200, Stylophora_pistillata_Spis17215 Spis17215 SpisGene17215, Stylophora_pistillata_Spis20129 Spis20129 SpisGene20129, Stylophora_pistillata_Spis17828 Spis17828 SpisGene17828, Stylophora_pistillata_Spis18662 Spis18662 SpisGene18662, Stylophora_pistillata_Spis3592 Spis3592 SpisGene3592	Clytia_hemispherica_TCONS_00050883-protein TCONS_00050883-protein, Clytia_hemispherica_TCONS_00065761-protein TCONS_00065761-protein, Clytia_hemispherica_TCONS_00072914-protein TCONS_00072914-protein, Clytia_hemispherica_TCONS_00003192-protein TCONS_00003192-protein, Clytia_hemispherica_TCONS_00000570-protein TCONS_00000570-protein, Clytia_hemispherica_TCONS_00043112-protein TCONS_00043112-protein, Clytia_hemispherica_TCONS_00043709-protein TCONS_00043709-protein
OG0000049	Stylophora_pistillata_Spis6729 Spis6729 SpisGene6729	Clytia_hemispherica_TCONS_00064915-protein TCONS_00064915-protein
OG0000053	Stylophora_pistillata_Spis13170 Spis13170 SpisGene13170, Stylophora_pistillata_Spis17904 Spis17904 SpisGene17904, Stylophora_pistillata_Spis16422 Spis16422 SpisGene16422	Clytia_hemispherica_TCONS_00069010-protein TCONS_00069010-protein
OG0000054	Stylophora_pistillata_Spis4424.t3 Spis4424.t3 SpisGene4424	Clytia_hemispherica_TCONS_00029751-protein TCONS_00029751-protein
OG0000054	Stylophora_pistillata_Spis725 Spis725 SpisGene725	Clytia_hemispherica_TCONS_00036167-protein TCONS_00036167-protein
OG0000056	Stylophora_pistillata_Spis17017 Spis17017 SpisGene17017	Clytia_hemispherica_TCONS_00054179-protein TCONS_00054179-protein
OG0000061	Stylophora_pistillata_Spis2932 Spis2932 SpisGene2932, Stylophora_pistillata_Spis17364 Spis17364 SpisGene17364	Clytia_hemispherica_TCONS_00050243-protein TCONS_00050243-protein
OG0000061	Stylophora_pistillata_Spis5917.t1 Spis5917.t1 SpisGene5917	Clytia_hemispherica_TCONS_00002099-protein TCONS_00002099-protein, Clytia_hemispherica_TCONS_00005277-protein TCONS_00005277-protein, Clytia_hemispherica_TCONS_00040450-protein TCONS_00040450-protein, Clytia_hemispherica_TCONS_00005276-protein TCONS_00005276-protein
OG0000062	Stylophora_pistillata_Spis8967.t1 Spis8967.t1 SpisGene8967	Clytia_hemispherica_TCONS_00052771-protein TCONS_00052771-protein, Clytia_hemispherica_TCONS_00023638-protein TCONS_00023638-protein
OG0000063	Stylophora_pistillata_Spis5904 Spis5904 SpisGene5904, Stylophora_pistillata_Spis15269 Spis15269 SpisGene15269, Stylophora_pistillata_Spis12545 Spis12545 SpisGene12545, Stylophora_pistillata_Spis3359 Spis3359 SpisGene3359, Stylophora_pistillata_Spis15392 Spis15392 SpisGene15392, Stylophora_pistillata_Spis15386 Spis15386 SpisGene15386, Stylophora_pistillata_Spis13839 Spis13839 SpisGene13839, Stylophora_pistillata_Spis13840 Spis13840 SpisGene13840	Clytia_hemispherica_TCONS_00002634-protein TCONS_00002634-protein, Clytia_hemispherica_TCONS_00002631-protein TCONS_00002631-protein
OG0000070	Stylophora_pistillata_Spis14637 Spis14637 SpisGene14637	Clytia_hemispherica_TCONS_00021784-protein TCONS_00021784-protein
OG0000075	Stylophora_pistillata_Spis21246 Spis21246 SpisGene21246	Clytia_hemispherica_TCONS_00018308-protein TCONS_00018308-protein, Clytia_hemispherica_TCONS_00054794-protein TCONS_00054794-protein
OG0000075	Stylophora_pistillata_Spis25413 Spis25413 SpisGene25413	Clytia_hemispherica_TCONS_00060857-protein TCONS_00060857-protein, Clytia_hemispherica_TCONS_00047983-protein TCONS_00047983-protein
OG0000075	Stylophora_pistillata_Spis11032 Spis11032 SpisGene11032, Stylophora_pistillata_Spis11031 Spis11031 SpisGene11031, Stylophora_pistillata_Spis11029 Spis11029 SpisGene11029	Clytia_hemispherica_TCONS_00047980-protein TCONS_00047980-protein
OG0000080	Stylophora_pistillata_Spis6044 Spis6044 SpisGene6044	Clytia_hemispherica_TCONS_00070986-protein TCONS_00070986-protein
OG0000081	Stylophora_pistillata_Spis9086 Spis9086 SpisGene9086, Stylophora_pistillata_Spis18739 Spis18739 SpisGene18739	Clytia_hemispherica_TCONS_00053462-protein TCONS_00053462-protein
OG0000081	Stylophora_pistillata_Spis17434 Spis17434 SpisGene17434	Clytia_hemispherica_TCONS_00006563-protein TCONS_00006563-protein
OG0000082	Stylophora_pistillata_Spis15657.t1 Spis15657.t1 SpisGene15657, Stylophora_pistillata_Spis14850 Spis14850 SpisGene14850, Stylophora_pistillata_Spis10840 Spis10840 SpisGene10840, Stylophora_pistillata_Spis3953 Spis3953 SpisGene3953, Stylophora_pistillata_Spis25422 Spis25422 SpisGene25422, Stylophora_pistillata_Spis1961 Spis1961 SpisGene1961	Clytia_hemispherica_TCONS_00001201-protein TCONS_00001201-protein
OG0000084	Stylophora_pistillata_Spis20307 Spis20307 SpisGene20307	Clytia_hemispherica_TCONS_00057688-protein TCONS_00057688-protein
OG0000086	Stylophora_pistillata_Spis10976 Spis10976 SpisGene10976, Stylophora_pistillata_Spis20156 Spis20156 SpisGene20156	Clytia_hemispherica_TCONS_00039485-protein TCONS_00039485-protein, Clytia_hemispherica_TCONS_00061995-protein TCONS_00061995-protein, Clytia_hemispherica_TCONS_00068191-protein TCONS_00068191-protein
OG0000087	Stylophora_pistillata_Spis3470 Spis3470 SpisGene3470	Clytia_hemispherica_TCONS_00024126-protein TCONS_00024126-protein
OG0000089	Stylophora_pistillata_Spis6266 Spis6266 SpisGene6266	Clytia_hemispherica_TCONS_00004749-protein TCONS_00004749-protein
OG0000092	Stylophora_pistillata_Spis18097 Spis18097 SpisGene18097, Stylophora_pistillata_Spis3844 Spis3844 SpisGene3844	Clytia_hemispherica_TCONS_00018221-protein TCONS_00018221-protein, Clytia_hemispherica_TCONS_00006966-protein TCONS_00006966-protein, Clytia_hemispherica_TCONS_00006964-protein TCONS_00006964-protein, Clytia_hemispherica_TCONS_00006967-protein TCONS_00006967-protein, Clytia_hemispherica_TCONS_00054784-protein TCONS_00054784-protein, Clytia_hemispherica_TCONS_00007479-protein TCONS_00007479-protein
OG0000094	Stylophora_pistillata_Spis10117 Spis10117 SpisGene10117	Clytia_hemispherica_TCONS_00019291-protein TCONS_00019291-protein
OG0000099	Stylophora_pistillata_Spis9375 Spis9375 SpisGene9375	Clytia_hemispherica_TCONS_00015995-protein TCONS_00015995-protein
OG0000100	Stylophora_pistillata_Spis20501.t1 Spis20501.t1 SpisGene20501	Clytia_hemispherica_TCONS_00062227-protein TCONS_00062227-protein
OG0000100	Stylophora_pistillata_Spis20502.t1 Spis20502.t1 SpisGene20502	Clytia_hemispherica_TCONS_00062230-protein TCONS_00062230-protein
OG0000100	Stylophora_pistillata_Spis20499 Spis20499 SpisGene20499	Clytia_hemispherica_TCONS_00024080-protein TCONS_00024080-protein
OG0000103	Stylophora_pistillata_Spis345 Spis345 SpisGene345	Clytia_hemispherica_TCONS_00012064-protein TCONS_00012064-protein
OG0000106	Stylophora_pistillata_Spis13266 Spis13266 SpisGene13266	Clytia_hemispherica_TCONS_00050547-protein TCONS_00050547-protein, Clytia_hemispherica_TCONS_00050544-protein TCONS_00050544-protein, Clytia_hemispherica_TCONS_00034674-protein TCONS_00034674-protein, Clytia_hemispherica_TCONS_00024961-protein TCONS_00024961-protein, Clytia_hemispherica_TCONS_00037516-protein TCONS_00037516-protein, Clytia_hemispherica_TCONS_00015172-protein TCONS_00015172-protein
OG0000108	Stylophora_pistillata_Spis19217 Spis19217 SpisGene19217, Stylophora_pistillata_Spis24113 Spis24113 SpisGene24113, Stylophora_pistillata_Spis9090 Spis9090 SpisGene9090, Stylophora_pistillata_Spis2597 Spis2597 SpisGene2597, Stylophora_pistillata_Spis20288 Spis20288 SpisGene20288, Stylophora_pistillata_Spis16854 Spis16854 SpisGene16854, Stylophora_pistillata_Spis20289 Spis20289 SpisGene20289	Clytia_hemispherica_TCONS_00000465-protein TCONS_00000465-protein
OG0000111	Stylophora_pistillata_Spis10022 Spis10022 SpisGene10022, Stylophora_pistillata_Spis17894 Spis17894 SpisGene17894, Stylophora_pistillata_Spis4201 Spis4201 SpisGene4201, Stylophora_pistillata_Spis4199.t1 Spis4199.t1 SpisGene4199	Clytia_hemispherica_TCONS_00064231-protein TCONS_00064231-protein
OG0000112	Stylophora_pistillata_Spis17656 Spis17656 SpisGene17656, Stylophora_pistillata_Spis8942 Spis8942 SpisGene8942	Clytia_hemispherica_TCONS_00062070-protein TCONS_00062070-protein
OG0000113	Stylophora_pistillata_Spis1485 Spis1485 SpisGene1485	Clytia_hemispherica_TCONS_00049955-protein TCONS_00049955-protein
OG0000116	Stylophora_pistillata_Spis11354.t1 Spis11354.t1 SpisGene11354, Stylophora_pistillata_Spis11352 Spis11352 SpisGene11352	Clytia_hemispherica_TCONS_00053845-protein TCONS_00053845-protein
OG0000121	Stylophora_pistillata_Spis16744 Spis16744 SpisGene16744	Clytia_hemispherica_TCONS_00000040-protein TCONS_00000040-protein
OG0000121	Stylophora_pistillata_Spis1520 Spis1520 SpisGene1520	Clytia_hemispherica_TCONS_00020121-protein TCONS_00020121-protein
OG0000122	Stylophora_pistillata_Spis13347 Spis13347 SpisGene13347, Stylophora_pistillata_Spis17783 Spis17783 SpisGene17783	Clytia_hemispherica_TCONS_00013994-protein TCONS_00013994-protein
OG0000123	Stylophora_pistillata_Spis10731 Spis10731 SpisGene10731	Clytia_hemispherica_TCONS_00053461-protein TCONS_00053461-protein, Clytia_hemispherica_TCONS_00053464-protein TCONS_00053464-protein
OG0000126	Stylophora_pistillata_Spis15117 Spis15117 SpisGene15117, Stylophora_pistillata_Spis2954.t1 Spis2954.t1 SpisGene2954	Clytia_hemispherica_TCONS_00014329-protein TCONS_00014329-protein, Clytia_hemispherica_TCONS_00069894-protein TCONS_00069894-protein
OG0000129	Stylophora_pistillata_Spis15601 Spis15601 SpisGene15601	Clytia_hemispherica_TCONS_00055545-protein TCONS_00055545-protein
OG0000130	Stylophora_pistillata_Spis18130 Spis18130 SpisGene18130, Stylophora_pistillata_Spis24779 Spis24779 SpisGene24779, Stylophora_pistillata_Spis24988 Spis24988 SpisGene24988, Stylophora_pistillata_Spis22915 Spis22915 SpisGene22915, Stylophora_pistillata_Spis6597 Spis6597 SpisGene6597, Stylophora_pistillata_Spis23184 Spis23184 SpisGene23184, Stylophora_pistillata_Spis24160 Spis24160 SpisGene24160, Stylophora_pistillata_Spis24871 Spis24871 SpisGene24871, Stylophora_pistillata_Spis13761 Spis13761 SpisGene13761, Stylophora_pistillata_Spis18545 Spis18545 SpisGene18545, Stylophora_pistillata_Spis753 Spis753 SpisGene753, Stylophora_pistillata_Spis24142 Spis24142 SpisGene24142, Stylophora_pistillata_Spis19152 Spis19152 SpisGene19152	Clytia_hemispherica_TCONS_00055222-protein TCONS_00055222-protein
OG0000131	Stylophora_pistillata_Spis6119 Spis6119 SpisGene6119, Stylophora_pistillata_Spis6120 Spis6120 SpisGene6120	Clytia_hemispherica_TCONS_00002425-protein TCONS_00002425-protein, Clytia_hemispherica_TCONS_00002495-protein TCONS_00002495-protein
OG0000133	Stylophora_pistillata_Spis7100 Spis7100 SpisGene7100	Clytia_hemispherica_TCONS_00000171-protein TCONS_00000171-protein
OG0000134	Stylophora_pistillata_Spis15413 Spis15413 SpisGene15413	Clytia_hemispherica_TCONS_00009201-protein TCONS_00009201-protein
OG0000138	Stylophora_pistillata_Spis23375 Spis23375 SpisGene23375	Clytia_hemispherica_TCONS_00013674-protein TCONS_00013674-protein
OG0000150	Stylophora_pistillata_Spis1789 Spis1789 SpisGene1789	Clytia_hemispherica_TCONS_00003726-protein TCONS_00003726-protein
OG0000155	Stylophora_pistillata_Spis13704 Spis13704 SpisGene13704	Clytia_hemispherica_TCONS_00008215-protein TCONS_00008215-protein
OG0000156	Stylophora_pistillata_Spis944 Spis944 SpisGene944	Clytia_hemispherica_TCONS_00025665-protein TCONS_00025665-protein
OG0000158	Stylophora_pistillata_Spis12485 Spis12485 SpisGene12485	Clytia_hemispherica_TCONS_00065605-protein TCONS_00065605-protein
OG0000160	Stylophora_pistillata_Spis8876 Spis8876 SpisGene8876, Stylophora_pistillata_Spis8465 Spis8465 SpisGene8465, Stylophora_pistillata_Spis8913 Spis8913 SpisGene8913, Stylophora_pistillata_Spis24763 Spis24763 SpisGene24763	Clytia_hemispherica_TCONS_00064739-protein TCONS_00064739-protein
OG0000171	Stylophora_pistillata_Spis4617 Spis4617 SpisGene4617	Clytia_hemispherica_TCONS_00013906-protein TCONS_00013906-protein
OG0000176	Stylophora_pistillata_Spis9429.t1 Spis9429.t1 SpisGene9429	Clytia_hemispherica_TCONS_00050730-protein TCONS_00050730-protein
OG0000177	Stylophora_pistillata_Spis16587 Spis16587 SpisGene16587	Clytia_hemispherica_TCONS_00003500-protein TCONS_00003500-protein
OG0000178	Stylophora_pistillata_Spis9622 Spis9622 SpisGene9622, Stylophora_pistillata_Spis9843 Spis9843 SpisGene9843	Clytia_hemispherica_TCONS_00050084-protein TCONS_00050084-protein
OG0000182	Stylophora_pistillata_Spis6187 Spis6187 SpisGene6187	Clytia_hemispherica_TCONS_00059231-protein TCONS_00059231-protein
OG0000188	Stylophora_pistillata_Spis8578 Spis8578 SpisGene8578	Clytia_hemispherica_TCONS_00060278-protein TCONS_00060278-protein, Clytia_hemispherica_TCONS_00060280-protein TCONS_00060280-protein
OG0000192	Stylophora_pistillata_Spis3294 Spis3294 SpisGene3294	Clytia_hemispherica_TCONS_00014937-protein TCONS_00014937-protein
OG0000194	Stylophora_pistillata_Spis7867 Spis7867 SpisGene7867	Clytia_hemispherica_TCONS_00071632-protein TCONS_00071632-protein, Clytia_hemispherica_TCONS_00030436-protein TCONS_00030436-protein
OG0000195	Stylophora_pistillata_Spis16217 Spis16217 SpisGene16217	Clytia_hemispherica_TCONS_00066994-protein TCONS_00066994-protein
OG0000197	Stylophora_pistillata_Spis2309.t2 Spis2309.t2 SpisGene2309, Stylophora_pistillata_Spis20951 Spis20951 SpisGene20951	Clytia_hemispherica_TCONS_00051925-protein TCONS_00051925-protein
OG0000199	Stylophora_pistillata_Spis5428 Spis5428 SpisGene5428	Clytia_hemispherica_TCONS_00047808-protein TCONS_00047808-protein
