Orthogroup	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Scyphozoa_Aurelia_aurita
OG0000004	Stylophora_pistillata_Spis13211 Spis13211 SpisGene13211, Stylophora_pistillata_Spis20566 Spis20566 SpisGene20566	Aurelia_aurita_Seg429.6 Seg429.6 transcript_id=Seg429.6_GoldUCD_mRNA.D3Y31 product=Matrilin-2 protein_id=Seg429.6_GoldUCD_D3Y31
OG0000004	Stylophora_pistillata_Spis5789.t1 Spis5789.t1 SpisGene5789	Aurelia_aurita_Seg27.2 Seg27.2 transcript_id=Seg27.2_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 4" protein_id=Seg27.2_GoldUCD_D3Y31
OG0000004	Stylophora_pistillata_Spis22146.t1 Spis22146.t1 SpisGene22146, Stylophora_pistillata_Spis1349 Spis1349 SpisGene1349	Aurelia_aurita_Seg397.33 Seg397.33 transcript_id=Seg397.33_GoldUCD_mRNA.D3Y31 product="Collagen alpha-1 chain" protein_id=Seg397.33_GoldUCD_D3Y31
OG0000004	Stylophora_pistillata_Spis9793 Spis9793 SpisGene9793, Stylophora_pistillata_Spis1413 Spis1413 SpisGene1413	Aurelia_aurita_Seg284.5 Seg284.5 transcript_id=Seg284.5_GoldUCD_mRNA.D3Y31 product=Thrombospondin-1 protein_id=Seg284.5_GoldUCD_D3Y31 partial=true
OG0000004	Stylophora_pistillata_Spis13182 Spis13182 SpisGene13182	Aurelia_aurita_Seg1785.4 Seg1785.4 transcript_id=Seg1785.4_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 4" protein_id=Seg1785.4_GoldUCD_D3Y31
OG0000004	Stylophora_pistillata_Spis11895 Spis11895 SpisGene11895	Aurelia_aurita_Seg1267.6 Seg1267.6 transcript_id=Seg1267.6_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 1" protein_id=Seg1267.6_GoldUCD_D3Y31 partial=true
OG0000004	Stylophora_pistillata_Spis8457 Spis8457 SpisGene8457	Aurelia_aurita_Seg593.6 Seg593.6 transcript_id=Seg593.6_GoldUCD_mRNA.D3Y31 product="Cadherin EGF LAG seven-pass G-type receptor 3" protein_id=Seg593.6_GoldUCD_D3Y31
OG0000004	Stylophora_pistillata_Spis1357 Spis1357 SpisGene1357	Aurelia_aurita_Seg4228.1 Seg4228.1 transcript_id=Seg4228.1_GoldUCD_mRNA.D3Y31 product="Protocadherin beta-8" protein_id=Seg4228.1_GoldUCD_D3Y31
OG0000004	Stylophora_pistillata_Spis8795 Spis8795 SpisGene8795	Aurelia_aurita_Seg6275.1 Seg6275.1 transcript_id=Seg6275.1_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg6275.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1821.6 Seg1821.6 transcript_id=Seg1821.6_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg1821.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1821.5 Seg1821.5 transcript_id=Seg1821.5_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 4" protein_id=Seg1821.5_GoldUCD_D3Y31 partial=true
OG0000005	Stylophora_pistillata_Spis399 Spis399 SpisGene399	Aurelia_aurita_Seg703.1 Seg703.1 transcript_id=Seg703.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg703.1_GoldUCD_D3Y31
OG0000005	Stylophora_pistillata_Spis20849 Spis20849 SpisGene20849, Stylophora_pistillata_Spis20848 Spis20848 SpisGene20848, Stylophora_pistillata_Spis19564 Spis19564 SpisGene19564, Stylophora_pistillata_Spis20850 Spis20850 SpisGene20850	Aurelia_aurita_Seg1361.6 Seg1361.6 transcript_id=Seg1361.6_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg1361.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1361.3 Seg1361.3 transcript_id=Seg1361.3_GoldUCD_mRNA.D3Y31 product="Chymotrypsinogen B2" protein_id=Seg1361.3_GoldUCD_D3Y31, Aurelia_aurita_Seg2370.3 Seg2370.3 transcript_id=Seg2370.3_GoldUCD_mRNA.D3Y31 product="High choriolytic enzyme 1" protein_id=Seg2370.3_GoldUCD_D3Y31, Aurelia_aurita_Seg2418.4 Seg2418.4 transcript_id=Seg2418.4_GoldUCD_mRNA.D3Y31 product="Tolloid-like protein 1" protein_id=Seg2418.4_GoldUCD_D3Y31
OG0000005	Stylophora_pistillata_Spis8406 Spis8406 SpisGene8406	Aurelia_aurita_Seg2002.8 Seg2002.8 transcript_id=Seg2002.8_GoldUCD_mRNA.D3Y31 product="Astacin-like metalloendopeptidase" protein_id=Seg2002.8_GoldUCD_D3Y31, Aurelia_aurita_Seg2754.5 Seg2754.5 transcript_id=Seg2754.5_GoldUCD_mRNA.D3Y31 product="Astacin-like metalloendopeptidase" protein_id=Seg2754.5_GoldUCD_D3Y31
OG0000005	Stylophora_pistillata_Spis6483 Spis6483 SpisGene6483	Aurelia_aurita_Seg353.7 Seg353.7 transcript_id=Seg353.7_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-38" protein_id=Seg353.7_GoldUCD_D3Y31, Aurelia_aurita_Seg1823.2 Seg1823.2 transcript_id=Seg1823.2_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg1823.2_GoldUCD_D3Y31, Aurelia_aurita_Seg5647.1 Seg5647.1 transcript_id=Seg5647.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg5647.1_GoldUCD_D3Y31, Aurelia_aurita_Seg5647.2 Seg5647.2 transcript_id=Seg5647.2_GoldUCD_mRNA.D3Y31 product="Protein SpAN" protein_id=Seg5647.2_GoldUCD_D3Y31
OG0000005	Stylophora_pistillata_Spis8400 Spis8400 SpisGene8400, Stylophora_pistillata_Spis22252 Spis22252 SpisGene22252, Stylophora_pistillata_Spis2313 Spis2313 SpisGene2313	Aurelia_aurita_Seg129.4 Seg129.4 transcript_id=Seg129.4_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg129.4_GoldUCD_D3Y31
OG0000005	Stylophora_pistillata_Spis19565 Spis19565 SpisGene19565, Stylophora_pistillata_Spis19563 Spis19563 SpisGene19563	Aurelia_aurita_Seg3210.1 Seg3210.1 transcript_id=Seg3210.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-6" protein_id=Seg3210.1_GoldUCD_D3Y31
OG0000005	Stylophora_pistillata_Spis9964 Spis9964 SpisGene9964	Aurelia_aurita_Seg5180.1 Seg5180.1 transcript_id=Seg5180.1_GoldUCD_mRNA.D3Y31 product="MAM and LDL-receptor class A domain-containing protein 1" protein_id=Seg5180.1_GoldUCD_D3Y31 partial=true
OG0000005	Stylophora_pistillata_Spis15365 Spis15365 SpisGene15365	Aurelia_aurita_Seg765.1 Seg765.1 transcript_id=Seg765.1_GoldUCD_mRNA.D3Y31 product="Meprin A subunit beta" protein_id=Seg765.1_GoldUCD_D3Y31, Aurelia_aurita_Seg768.6 Seg768.6 transcript_id=Seg768.6_GoldUCD_mRNA.D3Y31 product="Meprin A subunit beta" protein_id=Seg768.6_GoldUCD_D3Y31
OG0000005	Stylophora_pistillata_Spis797 Spis797 SpisGene797	Aurelia_aurita_Seg1488.1 Seg1488.1 transcript_id=Seg1488.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg1488.1_GoldUCD_D3Y31
OG0000005	Stylophora_pistillata_Spis2327 Spis2327 SpisGene2327	Aurelia_aurita_Seg6310.2 Seg6310.2 transcript_id=Seg6310.2_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-15" protein_id=Seg6310.2_GoldUCD_D3Y31
OG0000005	Stylophora_pistillata_Spis13923 Spis13923 SpisGene13923	Aurelia_aurita_Seg1121.12 Seg1121.12 transcript_id=Seg1121.12_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg1121.12_GoldUCD_D3Y31, Aurelia_aurita_Seg3715.2 Seg3715.2 transcript_id=Seg3715.2_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-6" protein_id=Seg3715.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg6310.3 Seg6310.3 transcript_id=Seg6310.3_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-15" protein_id=Seg6310.3_GoldUCD_D3Y31 partial=true
OG0000005	Stylophora_pistillata_Spis1719 Spis1719 SpisGene1719	Aurelia_aurita_Seg1684.7 Seg1684.7 transcript_id=Seg1684.7_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg1684.7_GoldUCD_D3Y31, Aurelia_aurita_Seg2976.2 Seg2976.2 transcript_id=Seg2976.2_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg2976.2_GoldUCD_D3Y31
OG0000006	Stylophora_pistillata_Spis1220 Spis1220 SpisGene1220, Stylophora_pistillata_Spis1242 Spis1242 SpisGene1242, Stylophora_pistillata_Spis1227 Spis1227 SpisGene1227, Stylophora_pistillata_Spis1225.t1 Spis1225.t1 SpisGene1225, Stylophora_pistillata_Spis1216 Spis1216 SpisGene1216, Stylophora_pistillata_Spis16437 Spis16437 SpisGene16437	Aurelia_aurita_Seg6.11 Seg6.11 transcript_id=Seg6.11_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg6.11_GoldUCD_D3Y31
OG0000006	Stylophora_pistillata_Spis18091 Spis18091 SpisGene18091	Aurelia_aurita_Seg1245.6 Seg1245.6 transcript_id=Seg1245.6_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg1245.6_GoldUCD_D3Y31
OG0000006	Stylophora_pistillata_Spis3946 Spis3946 SpisGene3946, Stylophora_pistillata_Spis2512 Spis2512 SpisGene2512	Aurelia_aurita_Seg2577.1 Seg2577.1 transcript_id=Seg2577.1_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg2577.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg274.8 Seg274.8 transcript_id=Seg274.8_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg274.8_GoldUCD_D3Y31 partial=true
OG0000006	Stylophora_pistillata_Spis1234.t1 Spis1234.t1 SpisGene1234	Aurelia_aurita_Seg8820.2 Seg8820.2 transcript_id=Seg8820.2_GoldUCD_mRNA.D3Y31 product="Protein lev-9" protein_id=Seg8820.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg4596.1 Seg4596.1 transcript_id=Seg4596.1_GoldUCD_mRNA.D3Y31 product="CUB and sushi domain-containing protein 3" protein_id=Seg4596.1_GoldUCD_D3Y31, Aurelia_aurita_Seg4426.1 Seg4426.1 transcript_id=Seg4426.1_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg4426.1_GoldUCD_D3Y31
OG0000006	Stylophora_pistillata_Spis10997 Spis10997 SpisGene10997, Stylophora_pistillata_Spis12361 Spis12361 SpisGene12361, Stylophora_pistillata_Spis18333 Spis18333 SpisGene18333, Stylophora_pistillata_Spis12364 Spis12364 SpisGene12364, Stylophora_pistillata_Spis12358 Spis12358 SpisGene12358, Stylophora_pistillata_Spis18334 Spis18334 SpisGene18334, Stylophora_pistillata_Spis21178 Spis21178 SpisGene21178, Stylophora_pistillata_Spis12362 Spis12362 SpisGene12362, Stylophora_pistillata_Spis12355 Spis12355 SpisGene12355, Stylophora_pistillata_Spis18329 Spis18329 SpisGene18329, Stylophora_pistillata_Spis12371 Spis12371 SpisGene12371, Stylophora_pistillata_Spis12372 Spis12372 SpisGene12372, Stylophora_pistillata_Spis18332 Spis18332 SpisGene18332, Stylophora_pistillata_Spis12360 Spis12360 SpisGene12360, Stylophora_pistillata_Spis12356 Spis12356 SpisGene12356, Stylophora_pistillata_Spis12363 Spis12363 SpisGene12363, Stylophora_pistillata_Spis12365 Spis12365 SpisGene12365, Stylophora_pistillata_Spis12370 Spis12370 SpisGene12370, Stylophora_pistillata_Spis10998 Spis10998 SpisGene10998, Stylophora_pistillata_Spis7426 Spis7426 SpisGene7426, Stylophora_pistillata_Spis7882 Spis7882 SpisGene7882	Aurelia_aurita_Seg5645.2 Seg5645.2 transcript_id=Seg5645.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5645.2_GoldUCD_D3Y31 partial=true
OG0000007	Stylophora_pistillata_Spis19279 Spis19279 SpisGene19279, Stylophora_pistillata_Spis23194 Spis23194 SpisGene23194, Stylophora_pistillata_Spis18040 Spis18040 SpisGene18040, Stylophora_pistillata_Spis19874 Spis19874 SpisGene19874, Stylophora_pistillata_Spis18038 Spis18038 SpisGene18038, Stylophora_pistillata_Spis18037 Spis18037 SpisGene18037, Stylophora_pistillata_Spis18041 Spis18041 SpisGene18041, Stylophora_pistillata_Spis23530 Spis23530 SpisGene23530, Stylophora_pistillata_Spis2770 Spis2770 SpisGene2770, Stylophora_pistillata_Spis2764 Spis2764 SpisGene2764, Stylophora_pistillata_Spis16998 Spis16998 SpisGene16998, Stylophora_pistillata_Spis16996 Spis16996 SpisGene16996, Stylophora_pistillata_Spis16440 Spis16440 SpisGene16440, Stylophora_pistillata_Spis16818 Spis16818 SpisGene16818, Stylophora_pistillata_Spis23200 Spis23200 SpisGene23200	Aurelia_aurita_Seg2055.3 Seg2055.3 transcript_id=Seg2055.3_GoldUCD_mRNA.D3Y31 product="Mucin-like protein" protein_id=Seg2055.3_GoldUCD_D3Y31, Aurelia_aurita_Seg6370.1 Seg6370.1 transcript_id=Seg6370.1_GoldUCD_mRNA.D3Y31 product="Mucin-like protein" protein_id=Seg6370.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1379.15 Seg1379.15 transcript_id=Seg1379.15_GoldUCD_mRNA.D3Y31 product="Mucin-like protein" protein_id=Seg1379.15_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1379.13 Seg1379.13 transcript_id=Seg1379.13_GoldUCD_mRNA.D3Y31 product="Mucin-like protein" protein_id=Seg1379.13_GoldUCD_D3Y31 partial=true
OG0000007	Stylophora_pistillata_Spis1859 Spis1859 SpisGene1859	Aurelia_aurita_Seg2947.5 Seg2947.5 transcript_id=Seg2947.5_GoldUCD_mRNA.D3Y31 product="Adhesion G protein-coupled receptor E1" protein_id=Seg2947.5_GoldUCD_D3Y31
OG0000008	Stylophora_pistillata_Spis15891 Spis15891 SpisGene15891	Aurelia_aurita_Seg19.3 Seg19.3 transcript_id=Seg19.3_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg19.3_GoldUCD_D3Y31 partial=true
OG0000008	Stylophora_pistillata_Spis20034 Spis20034 SpisGene20034, Stylophora_pistillata_Spis5997 Spis5997 SpisGene5997	Aurelia_aurita_Seg6790.1 Seg6790.1 transcript_id=Seg6790.1_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg6790.1_GoldUCD_D3Y31 partial=true
OG0000008	Stylophora_pistillata_Spis721 Spis721 SpisGene721, Stylophora_pistillata_Spis719 Spis719 SpisGene719, Stylophora_pistillata_Spis24328 Spis24328 SpisGene24328, Stylophora_pistillata_Spis5995 Spis5995 SpisGene5995, Stylophora_pistillata_Spis9233 Spis9233 SpisGene9233, Stylophora_pistillata_Spis9234 Spis9234 SpisGene9234, Stylophora_pistillata_Spis24510 Spis24510 SpisGene24510, Stylophora_pistillata_Spis12661 Spis12661 SpisGene12661, Stylophora_pistillata_Spis17096 Spis17096 SpisGene17096	Aurelia_aurita_Seg3952.4 Seg3952.4 transcript_id=Seg3952.4_GoldUCD_mRNA.D3Y31 product="Pancreatic secretory granule membrane major glycoprotein GP2" protein_id=Seg3952.4_GoldUCD_D3Y31, Aurelia_aurita_Seg1034.4 Seg1034.4 transcript_id=Seg1034.4_GoldUCD_mRNA.D3Y31 product="Deleted in malignant brain tumors 1 protein" protein_id=Seg1034.4_GoldUCD_D3Y31 partial=true
OG0000008	Stylophora_pistillata_Spis4050.t2 Spis4050.t2 SpisGene4050, Stylophora_pistillata_Spis4060 Spis4060 SpisGene4060	Aurelia_aurita_Seg6445.1 Seg6445.1 transcript_id=Seg6445.1_GoldUCD_mRNA.D3Y31 product="Fibrinogen-like protein A" protein_id=Seg6445.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1927.8 Seg1927.8 transcript_id=Seg1927.8_GoldUCD_mRNA.D3Y31 product=Techylectin-5B protein_id=Seg1927.8_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3270.1 Seg3270.1 transcript_id=Seg3270.1_GoldUCD_mRNA.D3Y31 product="Fibrinogen-like protein A" protein_id=Seg3270.1_GoldUCD_D3Y31
OG0000008	Stylophora_pistillata_Spis19559.t1 Spis19559.t1 SpisGene19559	Aurelia_aurita_Seg1422.7 Seg1422.7 transcript_id=Seg1422.7_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg1422.7_GoldUCD_D3Y31
OG0000008	Stylophora_pistillata_Spis19561 Spis19561 SpisGene19561, Stylophora_pistillata_Spis19562 Spis19562 SpisGene19562, Stylophora_pistillata_Spis19560 Spis19560 SpisGene19560	Aurelia_aurita_Seg1422.8 Seg1422.8 transcript_id=Seg1422.8_GoldUCD_mRNA.D3Y31 product="Neurogenic locus Notch protein" protein_id=Seg1422.8_GoldUCD_D3Y31
OG0000008	Stylophora_pistillata_Spis24858 Spis24858 SpisGene24858	Aurelia_aurita_Seg1422.9 Seg1422.9 transcript_id=Seg1422.9_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg1422.9_GoldUCD_D3Y31 partial=true
OG0000008	Stylophora_pistillata_Spis17124 Spis17124 SpisGene17124	Aurelia_aurita_Seg1977.2 Seg1977.2 transcript_id=Seg1977.2_GoldUCD_mRNA.D3Y31 product="Protein crumbs" protein_id=Seg1977.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2320.10 Seg2320.10 transcript_id=Seg2320.10_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg2320.10_GoldUCD_D3Y31 partial=true
OG0000008	Stylophora_pistillata_Spis22192 Spis22192 SpisGene22192	Aurelia_aurita_Seg3969.1 Seg3969.1 transcript_id=Seg3969.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" pseudo=true protein_id=Seg3969.1_GoldUCD_D3Y31 partial=true
OG0000009	Stylophora_pistillata_Spis744 Spis744 SpisGene744, Stylophora_pistillata_Spis24015 Spis24015 SpisGene24015, Stylophora_pistillata_Spis19195 Spis19195 SpisGene19195	Aurelia_aurita_Seg778.1 Seg778.1 transcript_id=Seg778.1_GoldUCD_mRNA.D3Y31 product="Deleted in malignant brain tumors 1 protein" protein_id=Seg778.1_GoldUCD_D3Y31, Aurelia_aurita_Seg4427.2 Seg4427.2 transcript_id=Seg4427.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" pseudo=true protein_id=Seg4427.2_GoldUCD_D3Y31 partial=true
OG0000009	Stylophora_pistillata_Spis5234 Spis5234 SpisGene5234	Aurelia_aurita_Seg7358.1 Seg7358.1 transcript_id=Seg7358.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" pseudo=true protein_id=Seg7358.1_GoldUCD_D3Y31 partial=true
OG0000009	Stylophora_pistillata_Spis15154 Spis15154 SpisGene15154	Aurelia_aurita_Seg1882.13 Seg1882.13 transcript_id=Seg1882.13_GoldUCD_mRNA.D3Y31 product=Cubilin protein_id=Seg1882.13_GoldUCD_D3Y31
OG0000009	Stylophora_pistillata_Spis16344 Spis16344 SpisGene16344, Stylophora_pistillata_Spis16137 Spis16137 SpisGene16137, Stylophora_pistillata_Spis16138 Spis16138 SpisGene16138, Stylophora_pistillata_Spis16135 Spis16135 SpisGene16135, Stylophora_pistillata_Spis18721 Spis18721 SpisGene18721, Stylophora_pistillata_Spis14789 Spis14789 SpisGene14789, Stylophora_pistillata_Spis14786 Spis14786 SpisGene14786, Stylophora_pistillata_Spis14787 Spis14787 SpisGene14787, Stylophora_pistillata_Spis14785 Spis14785 SpisGene14785, Stylophora_pistillata_Spis18539 Spis18539 SpisGene18539, Stylophora_pistillata_Spis12284 Spis12284 SpisGene12284, Stylophora_pistillata_Spis12283 Spis12283 SpisGene12283, Stylophora_pistillata_Spis18540 Spis18540 SpisGene18540, Stylophora_pistillata_Spis13082 Spis13082 SpisGene13082, Stylophora_pistillata_Spis6688 Spis6688 SpisGene6688, Stylophora_pistillata_Spis24451 Spis24451 SpisGene24451	Aurelia_aurita_Seg369.3 Seg369.3 transcript_id=Seg369.3_GoldUCD_mRNA.D3Y31 product=Cubilin protein_id=Seg369.3_GoldUCD_D3Y31, Aurelia_aurita_Seg369.1 Seg369.1 transcript_id=Seg369.1_GoldUCD_mRNA.D3Y31 product="Tolloid-like protein 2" protein_id=Seg369.1_GoldUCD_D3Y31, Aurelia_aurita_Seg4133.3 Seg4133.3 transcript_id=Seg4133.3_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg4133.3_GoldUCD_D3Y31 partial=true
OG0000009	Stylophora_pistillata_Spis8222 Spis8222 SpisGene8222	Aurelia_aurita_Seg1675.2 Seg1675.2 transcript_id=Seg1675.2_GoldUCD_mRNA.D3Y31 product=Neuropilin-2 protein_id=Seg1675.2_GoldUCD_D3Y31
OG0000009	Stylophora_pistillata_Spis4454 Spis4454 SpisGene4454	Aurelia_aurita_Seg1446.8 Seg1446.8 transcript_id=Seg1446.8_GoldUCD_mRNA.D3Y31 product=Neuropilin-1 protein_id=Seg1446.8_GoldUCD_D3Y31 partial=true
OG0000009	Stylophora_pistillata_Spis7662.t1 Spis7662.t1 SpisGene7662	Aurelia_aurita_Seg5060.2 Seg5060.2 transcript_id=Seg5060.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5060.2_GoldUCD_D3Y31 partial=true
OG0000009	Stylophora_pistillata_Spis19155 Spis19155 SpisGene19155, Stylophora_pistillata_Spis7661.t1 Spis7661.t1 SpisGene7661	Aurelia_aurita_Seg3.11 Seg3.11 transcript_id=Seg3.11_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg3.11_GoldUCD_D3Y31, Aurelia_aurita_Seg2279.2 Seg2279.2 transcript_id=Seg2279.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg2279.2_GoldUCD_D3Y31 partial=true
OG0000009	Stylophora_pistillata_Spis25145 Spis25145 SpisGene25145, Stylophora_pistillata_Spis13653 Spis13653 SpisGene13653	Aurelia_aurita_Seg2195.8 Seg2195.8 transcript_id=Seg2195.8_GoldUCD_mRNA.D3Y31 product=Cubilin protein_id=Seg2195.8_GoldUCD_D3Y31
OG0000010	Stylophora_pistillata_Spis1190 Spis1190 SpisGene1190	Aurelia_aurita_Seg241.1 Seg241.1 transcript_id=Seg241.1_GoldUCD_mRNA.D3Y31 product="Roundabout 1" protein_id=Seg241.1_GoldUCD_D3Y31
OG0000010	Stylophora_pistillata_Spis1256.t1 Spis1256.t1 SpisGene1256	Aurelia_aurita_Seg1913.2 Seg1913.2 transcript_id=Seg1913.2_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg1913.2_GoldUCD_D3Y31
OG0000010	Stylophora_pistillata_Spis19541 Spis19541 SpisGene19541	Aurelia_aurita_Seg919.4 Seg919.4 transcript_id=Seg919.4_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg919.4_GoldUCD_D3Y31
OG0000010	Stylophora_pistillata_Spis2938 Spis2938 SpisGene2938, Stylophora_pistillata_Spis23700 Spis23700 SpisGene23700, Stylophora_pistillata_Spis4991 Spis4991 SpisGene4991	Aurelia_aurita_Seg114.11 Seg114.11 transcript_id=Seg114.11_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg114.11_GoldUCD_D3Y31 partial=true
OG0000010	Stylophora_pistillata_Spis15992 Spis15992 SpisGene15992, Stylophora_pistillata_Spis15994 Spis15994 SpisGene15994, Stylophora_pistillata_Spis23832 Spis23832 SpisGene23832	Aurelia_aurita_Seg1127.5 Seg1127.5 transcript_id=Seg1127.5_GoldUCD_mRNA.D3Y31 product="Protein sax-3" protein_id=Seg1127.5_GoldUCD_D3Y31 partial=true
OG0000010	Stylophora_pistillata_Spis20690 Spis20690 SpisGene20690, Stylophora_pistillata_Spis8579 Spis8579 SpisGene8579	Aurelia_aurita_Seg1962.7 Seg1962.7 transcript_id=Seg1962.7_GoldUCD_mRNA.D3Y31 product=Agrin protein_id=Seg1962.7_GoldUCD_D3Y31
OG0000011	Stylophora_pistillata_Spis4945 Spis4945 SpisGene4945	Aurelia_aurita_Seg1871.3 Seg1871.3 transcript_id=Seg1871.3_GoldUCD_mRNA.D3Y31 product="Transmembrane protease serine 9" protein_id=Seg1871.3_GoldUCD_D3Y31
OG0000012	Stylophora_pistillata_Spis11321.t1 Spis11321.t1 SpisGene11321	Aurelia_aurita_Seg86.3_Seg86.5 Seg86.3_Seg86.5 transcript_id=Seg86.3_Seg86.5_GoldUCD_mRNA.D3Y31 product="BMP-binding endothelial regulator protein" protein_id=Seg86.3_Seg86.5_GoldUCD_D3Y31
OG0000013	Stylophora_pistillata_Spis10384 Spis10384 SpisGene10384	Aurelia_aurita_Seg564.8 Seg564.8 transcript_id=Seg564.8_GoldUCD_mRNA.D3Y31 product="Protein Wnt-6" protein_id=Seg564.8_GoldUCD_D3Y31 partial=true
OG0000013	Stylophora_pistillata_Spis10385 Spis10385 SpisGene10385	Aurelia_aurita_Seg1579.2 Seg1579.2 transcript_id=Seg1579.2_GoldUCD_mRNA.D3Y31 product="Protein Wnt-1" protein_id=Seg1579.2_GoldUCD_D3Y31
OG0000013	Stylophora_pistillata_Spis10363 Spis10363 SpisGene10363	Aurelia_aurita_Seg385.14 Seg385.14 transcript_id=Seg385.14_GoldUCD_mRNA.D3Y31 product="Proto-oncogene Wnt-3" protein_id=Seg385.14_GoldUCD_D3Y31
OG0000013	Stylophora_pistillata_Spis16312 Spis16312 SpisGene16312	Aurelia_aurita_Seg1722.5 Seg1722.5 transcript_id=Seg1722.5_GoldUCD_mRNA.D3Y31 product="Protein Wnt-4" protein_id=Seg1722.5_GoldUCD_D3Y31
OG0000013	Stylophora_pistillata_Spis1461.t1 Spis1461.t1 SpisGene1461	Aurelia_aurita_Seg1688.5 Seg1688.5 transcript_id=Seg1688.5_GoldUCD_mRNA.D3Y31 product="Protein Wnt-11b" protein_id=Seg1688.5_GoldUCD_D3Y31, Aurelia_aurita_Seg13025.1 Seg13025.1 transcript_id=Seg13025.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg13025.1_GoldUCD_D3Y31, Aurelia_aurita_Seg675.38 Seg675.38 transcript_id=Seg675.38_GoldUCD_mRNA.D3Y31 product="Protein Wnt-11" protein_id=Seg675.38_GoldUCD_D3Y31
OG0000013	Stylophora_pistillata_Spis825 Spis825 SpisGene825, Stylophora_pistillata_Spis824 Spis824 SpisGene824, Stylophora_pistillata_Spis826 Spis826 SpisGene826	Aurelia_aurita_Seg145.5 Seg145.5 transcript_id=Seg145.5_GoldUCD_mRNA.D3Y31 product="Protein Wnt-2b" protein_id=Seg145.5_GoldUCD_D3Y31
