Orthogroup	Porifera_Demospongiae_Amphimedon_queenslandica	Chordata_Vertebrata_Coturnix_japonica
OG0000054	Amphimedon_queenslandica_tr_A0A1X7TU95_A0A1X7TU95_AMPQE tr_A0A1X7TU95_A0A1X7TU95_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7STD8_A0A1X7STD8_AMPQE tr_A0A1X7STD8_A0A1X7STD8_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Coturnix_japonica_XP_015728474.1 PREDICTED_ pro-interleukin-16 isoform X2 [Coturnix japonica]
OG0000065	Amphimedon_queenslandica_tr_A0A1X7UR14_A0A1X7UR14_AMPQE tr_A0A1X7UR14_A0A1X7UR14_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=100639280 PE=3 SV=1	Coturnix_japonica_XP_015707026.1 glypican-5 isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015715912.1 glypican-3 isoform X1 [Coturnix japonica]
OG0000068	Amphimedon_queenslandica_tr_A0A1X7ULE1_A0A1X7ULE1_AMPQE tr_A0A1X7ULE1_A0A1X7ULE1_AMPQE Galectin OS=Amphimedon queenslandica OX=400682 GN=109582911 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7ULM3_A0A1X7ULM3_AMPQE tr_A0A1X7ULM3_A0A1X7ULM3_AMPQE Galectin OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UMC5_A0A1X7UMC5_AMPQE tr_A0A1X7UMC5_A0A1X7UMC5_AMPQE Galectin OS=Amphimedon queenslandica OX=400682 GN=105313191 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SYI9_A0A1X7SYI9_AMPQE tr_A0A1X7SYI9_A0A1X7SYI9_AMPQE Galectin OS=Amphimedon queenslandica OX=400682 GN=105315566 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UKR2_A0A1X7UKR2_AMPQE tr_A0A1X7UKR2_A0A1X7UKR2_AMPQE Galectin OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Coturnix_japonica_XP_015718113.1 galectin-2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015718171.1 galectin-1 [Coturnix japonica]
OG0000081	Amphimedon_queenslandica_tr_A0A1X7VRA4_A0A1X7VRA4_AMPQE tr_A0A1X7VRA4_A0A1X7VRA4_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=105314063 PE=3 SV=1	Coturnix_japonica_XP_015730872.1 PREDICTED_ LOW QUALITY PROTEIN_ cysteine-rich with EGF-like domain protein 1 [Coturnix japonica], Coturnix_japonica_XP_015730872.1 PREDICTED_ LOW QUALITY PROTEIN_ cysteine-rich with EGF-like domain protein 1 [Coturnix japonica]
OG0000093	Amphimedon_queenslandica_tr_A0A1X7UAU2_A0A1X7UAU2_AMPQE tr_A0A1X7UAU2_A0A1X7UAU2_AMPQE Cystatin domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105313691 PE=3 SV=1, Amphimedon_queenslandica_tr_A0A1X7T1T4_A0A1X7T1T4_AMPQE tr_A0A1X7T1T4_A0A1X7T1T4_AMPQE Cystatin domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=3 SV=1, Amphimedon_queenslandica_tr_A0A1X7TA88_A0A1X7TA88_AMPQE tr_A0A1X7TA88_A0A1X7TA88_AMPQE Cystatin domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=109589080 PE=3 SV=1, Amphimedon_queenslandica_tr_A0A1X7TR84_A0A1X7TR84_AMPQE tr_A0A1X7TR84_A0A1X7TR84_AMPQE Cystatin domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100636802 PE=3 SV=1, Amphimedon_queenslandica_tr_A0A1X7U0B3_A0A1X7U0B3_AMPQE tr_A0A1X7U0B3_A0A1X7U0B3_AMPQE Cystatin domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100631414 PE=3 SV=1, Amphimedon_queenslandica_tr_A0A1X7U0L3_A0A1X7U0L3_AMPQE tr_A0A1X7U0L3_A0A1X7U0L3_AMPQE Cystatin domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105314120 PE=3 SV=1, Amphimedon_queenslandica_tr_A0A1X7U028_A0A1X7U028_AMPQE tr_A0A1X7U028_A0A1X7U028_AMPQE Cystatin domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100631544 PE=3 SV=1	Coturnix_japonica_XP_015729012.1 leukocyte cysteine proteinase inhibitor 1-like [Coturnix japonica], Coturnix_japonica_XP_015729006.1 cystatin-B-like [Coturnix japonica]
OG0000102	Amphimedon_queenslandica_tr_A0A1X7VB36_A0A1X7VB36_AMPQE tr_A0A1X7VB36_A0A1X7VB36_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Coturnix_japonica_XP_015720830.1 fibulin-5 [Coturnix japonica], Coturnix_japonica_XP_015712283.1 EGF-containing fibulin-like extracellular matrix protein 1 isoform X1 [Coturnix japonica]
OG0000112	Amphimedon_queenslandica_tr_A0A1X7VRL3_A0A1X7VRL3_AMPQE tr_A0A1X7VRL3_A0A1X7VRL3_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=100632989 PE=3 SV=1	Coturnix_japonica_XP_015722579.1 PREDICTED_ inactive heparanase-2 isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015717103.1 PREDICTED_ heparanase isoform X3 [Coturnix japonica]
OG0000114	Amphimedon_queenslandica_tr_A0A1X7VKR2_A0A1X7VKR2_AMPQE tr_A0A1X7VKR2_A0A1X7VKR2_AMPQE Fibronectin type-III domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100639344 PE=4 SV=1	Coturnix_japonica_XP_015719754.1 host cell factor 2 isoform X2 [Coturnix japonica]
OG0000148	Amphimedon_queenslandica_tr_A0A1X7VAP2_A0A1X7VAP2_AMPQE tr_A0A1X7VAP2_A0A1X7VAP2_AMPQE TGF_BETA_2 domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105312053 PE=3 SV=1, Amphimedon_queenslandica_tr_A0A1X7V271_A0A1X7V271_AMPQE tr_A0A1X7V271_A0A1X7V271_AMPQE TGF_BETA_2 domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105312496 PE=3 SV=1	Coturnix_japonica_XP_015720635.1 transforming growth factor beta-3 proprotein [Coturnix japonica], Coturnix_japonica_XP_015712764.1 transforming growth factor beta-2 proprotein [Coturnix japonica], Coturnix_japonica_XP_015706031.1 PREDICTED_ transforming growth factor beta-1 [Coturnix japonica]
OG0000156	Amphimedon_queenslandica_tr_A0A1X7V0B9_A0A1X7V0B9_AMPQE tr_A0A1X7V0B9_A0A1X7V0B9_AMPQE MFAP1 domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105312554 PE=3 SV=1	Coturnix_japonica_XP_015728918.1 microfibrillar-associated protein 1 [Coturnix japonica]
OG0000178	Amphimedon_queenslandica_tr_A0A1X7VB34_A0A1X7VB34_AMPQE tr_A0A1X7VB34_A0A1X7VB34_AMPQE TGc domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Coturnix_japonica_XP_015726790.1 PREDICTED_ kyphoscoliosis peptidase isoform X1 [Coturnix japonica]
OG0000182	Amphimedon_queenslandica_tr_A0A1X7U8Z7_A0A1X7U8Z7_AMPQE tr_A0A1X7U8Z7_A0A1X7U8Z7_AMPQE VWFA domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Coturnix_japonica_XP_015732559.1 von Willebrand factor A domain-containing protein 3A [Coturnix japonica]
OG0000200	Amphimedon_queenslandica_tr_A0A1X7V355_A0A1X7V355_AMPQE tr_A0A1X7V355_A0A1X7V355_AMPQE VWFA domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SZ55_A0A1X7SZ55_AMPQE tr_A0A1X7SZ55_A0A1X7SZ55_AMPQE VWFA domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Coturnix_japonica_XP_015706466.1 PREDICTED_ von Willebrand factor A domain-containing protein 3B isoform X4 [Coturnix japonica]
OG0000202	Amphimedon_queenslandica_tr_A0A1X7V703_A0A1X7V703_AMPQE tr_A0A1X7V703_A0A1X7V703_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=109581159 PE=4 SV=1	Coturnix_japonica_XP_015713179.2 cysteine-rich motor neuron 1 protein isoform X1 [Coturnix japonica]
OG0000243	Amphimedon_queenslandica_tr_A0A1X7VXB1_A0A1X7VXB1_AMPQE tr_A0A1X7VXB1_A0A1X7VXB1_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=3 SV=1	Coturnix_japonica_XP_015707649.1 interleukin-17D [Coturnix japonica], Coturnix_japonica_XP_015715127.1 interleukin-17F-like [Coturnix japonica], Coturnix_japonica_XP_015729710.1 PREDICTED_ interleukin-17C_ partial [Coturnix japonica]
OG0000247	Amphimedon_queenslandica_tr_A0A1X7SRL3_A0A1X7SRL3_AMPQE tr_A0A1X7SRL3_A0A1X7SRL3_AMPQE LRRNT domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Coturnix_japonica_XP_015713449.1 epiphycan [Coturnix japonica], Coturnix_japonica_XP_015740848.1 opticin isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015730161.1 PREDICTED_ mimecan [Coturnix japonica]
OG0000252	Amphimedon_queenslandica_tr_A0A1X7VMM0_A0A1X7VMM0_AMPQE tr_A0A1X7VMM0_A0A1X7VMM0_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=100641327 PE=4 SV=1	Coturnix_japonica_XP_015718918.1 PREDICTED_ protein kinase C-binding protein NELL1 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015710374.1 protein kinase C-binding protein NELL2 [Coturnix japonica]
