Orthogroup	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Cnidaria_Anthozoa_Acropora_digitifera
OG0000008	Calvadosia_cruxmelitensis_Ccrux.Trinity.8389 Ccrux.Trinity.8389, Calvadosia_cruxmelitensis_Ccrux.Trinity.66463 Ccrux.Trinity.66463	Acropora_digitifera_adi_v1.03573 adi_v1.03573, Acropora_digitifera_adi_v1.19697 adi_v1.19697
OG0000008	Calvadosia_cruxmelitensis_Ccrux.Trinity.5957 Ccrux.Trinity.5957	Acropora_digitifera_adi_v1.14620 adi_v1.14620, Acropora_digitifera_adi_v1.14739 adi_v1.14739
OG0000008	Calvadosia_cruxmelitensis_Ccrux.Trinity.11745 Ccrux.Trinity.11745, Calvadosia_cruxmelitensis_Ccrux.Trinity.11744 Ccrux.Trinity.11744	Acropora_digitifera_adi_v1.01978 adi_v1.01978
OG0000008	Calvadosia_cruxmelitensis_Ccrux.Trinity.59185 Ccrux.Trinity.59185	Acropora_digitifera_adi_v1.23462 adi_v1.23462
OG0000008	Calvadosia_cruxmelitensis_Ccrux.Trinity.63801 Ccrux.Trinity.63801	Acropora_digitifera_adi_v1.14878 adi_v1.14878, Acropora_digitifera_adi_v1.10976 adi_v1.10976
OG0000008	Calvadosia_cruxmelitensis_Ccrux.Trinity.17593 Ccrux.Trinity.17593, Calvadosia_cruxmelitensis_Ccrux.Trinity.17592 Ccrux.Trinity.17592	Acropora_digitifera_adi_v1.07797 adi_v1.07797, Acropora_digitifera_adi_v1.05293 adi_v1.05293
OG0000008	Calvadosia_cruxmelitensis_Ccrux.Trinity.69773 Ccrux.Trinity.69773, Calvadosia_cruxmelitensis_Ccrux.Trinity.2941 Ccrux.Trinity.2941, Calvadosia_cruxmelitensis_Ccrux.Trinity.66146 Ccrux.Trinity.66146	Acropora_digitifera_adi_v1.18252 adi_v1.18252
OG0000009	Calvadosia_cruxmelitensis_Ccrux.Trinity.57470 Ccrux.Trinity.57470	Acropora_digitifera_adi_v1.10007 adi_v1.10007, Acropora_digitifera_adi_v1.23659 adi_v1.23659
OG0000009	Calvadosia_cruxmelitensis_Ccrux.Trinity.64953 Ccrux.Trinity.64953, Calvadosia_cruxmelitensis_Ccrux.Trinity.21187 Ccrux.Trinity.21187, Calvadosia_cruxmelitensis_Ccrux.Trinity.21188 Ccrux.Trinity.21188, Calvadosia_cruxmelitensis_Ccrux.Trinity.21184 Ccrux.Trinity.21184	Acropora_digitifera_adi_v1.00989 adi_v1.00989
OG0000009	Calvadosia_cruxmelitensis_Ccrux.Trinity.66832 Ccrux.Trinity.66832, Calvadosia_cruxmelitensis_Ccrux.Trinity.67770 Ccrux.Trinity.67770	Acropora_digitifera_adi_v1.18886 adi_v1.18886, Acropora_digitifera_adi_v1.20204 adi_v1.20204, Acropora_digitifera_adi_v1.20203 adi_v1.20203, Acropora_digitifera_adi_v1.20205 adi_v1.20205, Acropora_digitifera_adi_v1.13170 adi_v1.13170, Acropora_digitifera_adi_v1.18978 adi_v1.18978
OG0000009	Calvadosia_cruxmelitensis_Ccrux.Trinity.70271 Ccrux.Trinity.70271, Calvadosia_cruxmelitensis_Ccrux.Trinity.68255 Ccrux.Trinity.68255	Acropora_digitifera_adi_v1.09663 adi_v1.09663, Acropora_digitifera_adi_v1.19260 adi_v1.19260, Acropora_digitifera_adi_v1.19569 adi_v1.19569
OG0000009	Calvadosia_cruxmelitensis_Ccrux.Trinity.72099 Ccrux.Trinity.72099	Acropora_digitifera_adi_v1.23965 adi_v1.23965
OG0000009	Calvadosia_cruxmelitensis_Ccrux.Trinity.37263 Ccrux.Trinity.37263, Calvadosia_cruxmelitensis_Ccrux.Trinity.37262 Ccrux.Trinity.37262	Acropora_digitifera_adi_v1.11309 adi_v1.11309, Acropora_digitifera_adi_v1.11310 adi_v1.11310, Acropora_digitifera_adi_v1.20169 adi_v1.20169, Acropora_digitifera_adi_v1.16563 adi_v1.16563, Acropora_digitifera_adi_v1.16561 adi_v1.16561, Acropora_digitifera_adi_v1.23168 adi_v1.23168, Acropora_digitifera_adi_v1.02161 adi_v1.02161, Acropora_digitifera_adi_v1.02163 adi_v1.02163
OG0000009	Calvadosia_cruxmelitensis_Ccrux.Trinity.34947 Ccrux.Trinity.34947, Calvadosia_cruxmelitensis_Ccrux.Trinity.34956 Ccrux.Trinity.34956, Calvadosia_cruxmelitensis_Ccrux.Trinity.34949 Ccrux.Trinity.34949	Acropora_digitifera_adi_v1.13554 adi_v1.13554
OG0000009	Calvadosia_cruxmelitensis_Ccrux.Trinity.29736 Ccrux.Trinity.29736	Acropora_digitifera_adi_v1.04391 adi_v1.04391
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.16979 Ccrux.Trinity.16979	Acropora_digitifera_adi_v1.00664 adi_v1.00664
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.42984 Ccrux.Trinity.42984, Calvadosia_cruxmelitensis_Ccrux.Trinity.42985 Ccrux.Trinity.42985, Calvadosia_cruxmelitensis_Ccrux.Trinity.42982 Ccrux.Trinity.42982	Acropora_digitifera_adi_v1.04228 adi_v1.04228
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.43634 Ccrux.Trinity.43634	Acropora_digitifera_adi_v1.06326 adi_v1.06326
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.8581 Ccrux.Trinity.8581	Acropora_digitifera_adi_v1.05562 adi_v1.05562, Acropora_digitifera_adi_v1.07946 adi_v1.07946
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.58517 Ccrux.Trinity.58517, Calvadosia_cruxmelitensis_Ccrux.Trinity.57575 Ccrux.Trinity.57575	Acropora_digitifera_adi_v1.05525 adi_v1.05525
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.67054 Ccrux.Trinity.67054	Acropora_digitifera_adi_v1.20273 adi_v1.20273, Acropora_digitifera_adi_v1.20157 adi_v1.20157
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.6213 Ccrux.Trinity.6213, Calvadosia_cruxmelitensis_Ccrux.Trinity.6216 Ccrux.Trinity.6216	Acropora_digitifera_adi_v1.05424 adi_v1.05424
OG0000011	Calvadosia_cruxmelitensis_Ccrux.Trinity.7391 Ccrux.Trinity.7391	Acropora_digitifera_adi_v1.08937 adi_v1.08937
OG0000011	Calvadosia_cruxmelitensis_Ccrux.Trinity.20207 Ccrux.Trinity.20207	Acropora_digitifera_adi_v1.14221 adi_v1.14221, Acropora_digitifera_adi_v1.14220 adi_v1.14220
OG0000011	Calvadosia_cruxmelitensis_Ccrux.Trinity.55252 Ccrux.Trinity.55252	Acropora_digitifera_adi_v1.22570 adi_v1.22570, Acropora_digitifera_adi_v1.05178 adi_v1.05178
OG0000012	Calvadosia_cruxmelitensis_Ccrux.Trinity.17540 Ccrux.Trinity.17540	Acropora_digitifera_adi_v1.00068 adi_v1.00068, Acropora_digitifera_adi_v1.03852 adi_v1.03852, Acropora_digitifera_adi_v1.00069 adi_v1.00069
OG0000012	Calvadosia_cruxmelitensis_Ccrux.Trinity.71725 Ccrux.Trinity.71725	Acropora_digitifera_adi_v1.12876 adi_v1.12876
OG0000012	Calvadosia_cruxmelitensis_Ccrux.Trinity.43255 Ccrux.Trinity.43255, Calvadosia_cruxmelitensis_Ccrux.Trinity.22673 Ccrux.Trinity.22673, Calvadosia_cruxmelitensis_Ccrux.Trinity.22674 Ccrux.Trinity.22674, Calvadosia_cruxmelitensis_Ccrux.Trinity.24156 Ccrux.Trinity.24156	Acropora_digitifera_adi_v1.00226 adi_v1.00226
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.5481 Ccrux.Trinity.5481	Acropora_digitifera_adi_v1.01147 adi_v1.01147
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.15441 Ccrux.Trinity.15441, Calvadosia_cruxmelitensis_Ccrux.Trinity.15442 Ccrux.Trinity.15442	Acropora_digitifera_adi_v1.17615 adi_v1.17615
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.12887 Ccrux.Trinity.12887, Calvadosia_cruxmelitensis_Ccrux.Trinity.12891 Ccrux.Trinity.12891, Calvadosia_cruxmelitensis_Ccrux.Trinity.12894 Ccrux.Trinity.12894	Acropora_digitifera_adi_v1.13606 adi_v1.13606
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.56830 Ccrux.Trinity.56830, Calvadosia_cruxmelitensis_Ccrux.Trinity.58867 Ccrux.Trinity.58867	Acropora_digitifera_adi_v1.23656 adi_v1.23656, Acropora_digitifera_adi_v1.23655 adi_v1.23655, Acropora_digitifera_adi_v1.23654 adi_v1.23654
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.55161 Ccrux.Trinity.55161, Calvadosia_cruxmelitensis_Ccrux.Trinity.14159 Ccrux.Trinity.14159	Acropora_digitifera_adi_v1.16598 adi_v1.16598
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.26518 Ccrux.Trinity.26518, Calvadosia_cruxmelitensis_Ccrux.Trinity.26520 Ccrux.Trinity.26520, Calvadosia_cruxmelitensis_Ccrux.Trinity.26523 Ccrux.Trinity.26523	Acropora_digitifera_adi_v1.06764 adi_v1.06764
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.65958 Ccrux.Trinity.65958	Acropora_digitifera_adi_v1.02062 adi_v1.02062, Acropora_digitifera_adi_v1.02063 adi_v1.02063
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.5191 Ccrux.Trinity.5191	Acropora_digitifera_adi_v1.13774 adi_v1.13774, Acropora_digitifera_adi_v1.13773 adi_v1.13773, Acropora_digitifera_adi_v1.08272 adi_v1.08272
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.18676 Ccrux.Trinity.18676, Calvadosia_cruxmelitensis_Ccrux.Trinity.18675 Ccrux.Trinity.18675, Calvadosia_cruxmelitensis_Ccrux.Trinity.18677 Ccrux.Trinity.18677	Acropora_digitifera_adi_v1.10799 adi_v1.10799, Acropora_digitifera_adi_v1.14366 adi_v1.14366
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.8580 Ccrux.Trinity.8580	Acropora_digitifera_adi_v1.10968 adi_v1.10968
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.32441 Ccrux.Trinity.32441, Calvadosia_cruxmelitensis_Ccrux.Trinity.32444 Ccrux.Trinity.32444, Calvadosia_cruxmelitensis_Ccrux.Trinity.32433 Ccrux.Trinity.32433, Calvadosia_cruxmelitensis_Ccrux.Trinity.32425 Ccrux.Trinity.32425, Calvadosia_cruxmelitensis_Ccrux.Trinity.32411 Ccrux.Trinity.32411, Calvadosia_cruxmelitensis_Ccrux.Trinity.32439 Ccrux.Trinity.32439, Calvadosia_cruxmelitensis_Ccrux.Trinity.32432 Ccrux.Trinity.32432, Calvadosia_cruxmelitensis_Ccrux.Trinity.32426 Ccrux.Trinity.32426, Calvadosia_cruxmelitensis_Ccrux.Trinity.32445 Ccrux.Trinity.32445	Acropora_digitifera_adi_v1.01169 adi_v1.01169
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.9543 Ccrux.Trinity.9543	Acropora_digitifera_adi_v1.14581 adi_v1.14581
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.40003 Ccrux.Trinity.40003, Calvadosia_cruxmelitensis_Ccrux.Trinity.39999 Ccrux.Trinity.39999, Calvadosia_cruxmelitensis_Ccrux.Trinity.40000 Ccrux.Trinity.40000, Calvadosia_cruxmelitensis_Ccrux.Trinity.40004 Ccrux.Trinity.40004, Calvadosia_cruxmelitensis_Ccrux.Trinity.40001 Ccrux.Trinity.40001, Calvadosia_cruxmelitensis_Ccrux.Trinity.40006 Ccrux.Trinity.40006, Calvadosia_cruxmelitensis_Ccrux.Trinity.40002 Ccrux.Trinity.40002	Acropora_digitifera_adi_v1.06910 adi_v1.06910
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.43564 Ccrux.Trinity.43564, Calvadosia_cruxmelitensis_Ccrux.Trinity.43567 Ccrux.Trinity.43567, Calvadosia_cruxmelitensis_Ccrux.Trinity.43570 Ccrux.Trinity.43570, Calvadosia_cruxmelitensis_Ccrux.Trinity.44 Ccrux.Trinity.44	Acropora_digitifera_adi_v1.16603 adi_v1.16603, Acropora_digitifera_adi_v1.13245 adi_v1.13245, Acropora_digitifera_adi_v1.20449 adi_v1.20449, Acropora_digitifera_adi_v1.05790 adi_v1.05790, Acropora_digitifera_adi_v1.02358 adi_v1.02358, Acropora_digitifera_adi_v1.16964 adi_v1.16964, Acropora_digitifera_adi_v1.13244 adi_v1.13244, Acropora_digitifera_adi_v1.13631 adi_v1.13631
OG0000015	Calvadosia_cruxmelitensis_Ccrux.Trinity.70523 Ccrux.Trinity.70523	Acropora_digitifera_adi_v1.23833 adi_v1.23833, Acropora_digitifera_adi_v1.22393 adi_v1.22393, Acropora_digitifera_adi_v1.10186 adi_v1.10186
OG0000016	Calvadosia_cruxmelitensis_Ccrux.Trinity.25184 Ccrux.Trinity.25184, Calvadosia_cruxmelitensis_Ccrux.Trinity.25182 Ccrux.Trinity.25182, Calvadosia_cruxmelitensis_Ccrux.Trinity.6474 Ccrux.Trinity.6474	Acropora_digitifera_adi_v1.02177 adi_v1.02177, Acropora_digitifera_adi_v1.02174 adi_v1.02174
OG0000016	Calvadosia_cruxmelitensis_Ccrux.Trinity.74105 Ccrux.Trinity.74105	Acropora_digitifera_adi_v1.03032 adi_v1.03032
OG0000016	Calvadosia_cruxmelitensis_Ccrux.Trinity.826 Ccrux.Trinity.826, Calvadosia_cruxmelitensis_Ccrux.Trinity.825 Ccrux.Trinity.825, Calvadosia_cruxmelitensis_Ccrux.Trinity.41542 Ccrux.Trinity.41542, Calvadosia_cruxmelitensis_Ccrux.Trinity.41540 Ccrux.Trinity.41540, Calvadosia_cruxmelitensis_Ccrux.Trinity.41543 Ccrux.Trinity.41543, Calvadosia_cruxmelitensis_Ccrux.Trinity.41541 Ccrux.Trinity.41541, Calvadosia_cruxmelitensis_Ccrux.Trinity.66430 Ccrux.Trinity.66430, Calvadosia_cruxmelitensis_Ccrux.Trinity.60593 Ccrux.Trinity.60593	Acropora_digitifera_adi_v1.03024 adi_v1.03024, Acropora_digitifera_adi_v1.03033 adi_v1.03033
OG0000018	Calvadosia_cruxmelitensis_Ccrux.Trinity.20412 Ccrux.Trinity.20412, Calvadosia_cruxmelitensis_Ccrux.Trinity.20414 Ccrux.Trinity.20414, Calvadosia_cruxmelitensis_Ccrux.Trinity.20413 Ccrux.Trinity.20413	Acropora_digitifera_adi_v1.08251 adi_v1.08251, Acropora_digitifera_adi_v1.08253 adi_v1.08253
OG0000018	Calvadosia_cruxmelitensis_Ccrux.Trinity.22524 Ccrux.Trinity.22524	Acropora_digitifera_adi_v1.18899 adi_v1.18899
OG0000018	Calvadosia_cruxmelitensis_Ccrux.Trinity.1780 Ccrux.Trinity.1780, Calvadosia_cruxmelitensis_Ccrux.Trinity.1782 Ccrux.Trinity.1782	Acropora_digitifera_adi_v1.18502 adi_v1.18502
OG0000019	Calvadosia_cruxmelitensis_Ccrux.Trinity.6352 Ccrux.Trinity.6352, Calvadosia_cruxmelitensis_Ccrux.Trinity.66678 Ccrux.Trinity.66678	Acropora_digitifera_adi_v1.06152 adi_v1.06152, Acropora_digitifera_adi_v1.06153 adi_v1.06153
OG0000019	Calvadosia_cruxmelitensis_Ccrux.Trinity.66596 Ccrux.Trinity.66596	Acropora_digitifera_adi_v1.07696 adi_v1.07696
OG0000019	Calvadosia_cruxmelitensis_Ccrux.Trinity.66348 Ccrux.Trinity.66348	Acropora_digitifera_adi_v1.01025 adi_v1.01025
OG0000019	Calvadosia_cruxmelitensis_Ccrux.Trinity.70789 Ccrux.Trinity.70789	Acropora_digitifera_adi_v1.07728 adi_v1.07728
OG0000019	Calvadosia_cruxmelitensis_Ccrux.Trinity.9787 Ccrux.Trinity.9787	Acropora_digitifera_adi_v1.01570 adi_v1.01570
OG0000020	Calvadosia_cruxmelitensis_Ccrux.Trinity.40283 Ccrux.Trinity.40283	Acropora_digitifera_adi_v1.23219 adi_v1.23219
OG0000020	Calvadosia_cruxmelitensis_Ccrux.Trinity.21880 Ccrux.Trinity.21880, Calvadosia_cruxmelitensis_Ccrux.Trinity.10871 Ccrux.Trinity.10871	Acropora_digitifera_adi_v1.23748 adi_v1.23748, Acropora_digitifera_adi_v1.04537 adi_v1.04537, Acropora_digitifera_adi_v1.23610 adi_v1.23610
OG0000020	Calvadosia_cruxmelitensis_Ccrux.Trinity.38265 Ccrux.Trinity.38265, Calvadosia_cruxmelitensis_Ccrux.Trinity.38267 Ccrux.Trinity.38267	Acropora_digitifera_adi_v1.09052 adi_v1.09052
OG0000021	Calvadosia_cruxmelitensis_Ccrux.Trinity.30901 Ccrux.Trinity.30901, Calvadosia_cruxmelitensis_Ccrux.Trinity.30902 Ccrux.Trinity.30902	Acropora_digitifera_adi_v1.16464 adi_v1.16464, Acropora_digitifera_adi_v1.16465 adi_v1.16465
OG0000021	Calvadosia_cruxmelitensis_Ccrux.Trinity.28083 Ccrux.Trinity.28083, Calvadosia_cruxmelitensis_Ccrux.Trinity.28085 Ccrux.Trinity.28085	Acropora_digitifera_adi_v1.00468 adi_v1.00468
OG0000022	Calvadosia_cruxmelitensis_Ccrux.Trinity.62820 Ccrux.Trinity.62820	Acropora_digitifera_adi_v1.17095 adi_v1.17095
OG0000022	Calvadosia_cruxmelitensis_Ccrux.Trinity.25378 Ccrux.Trinity.25378, Calvadosia_cruxmelitensis_Ccrux.Trinity.25383 Ccrux.Trinity.25383, Calvadosia_cruxmelitensis_Ccrux.Trinity.25387 Ccrux.Trinity.25387	Acropora_digitifera_adi_v1.08755 adi_v1.08755
OG0000023	Calvadosia_cruxmelitensis_Ccrux.Trinity.38278 Ccrux.Trinity.38278, Calvadosia_cruxmelitensis_Ccrux.Trinity.38288 Ccrux.Trinity.38288, Calvadosia_cruxmelitensis_Ccrux.Trinity.38282 Ccrux.Trinity.38282, Calvadosia_cruxmelitensis_Ccrux.Trinity.38277 Ccrux.Trinity.38277	Acropora_digitifera_adi_v1.19445 adi_v1.19445
OG0000024	Calvadosia_cruxmelitensis_Ccrux.Trinity.60000 Ccrux.Trinity.60000	Acropora_digitifera_adi_v1.05361 adi_v1.05361, Acropora_digitifera_adi_v1.10598 adi_v1.10598, Acropora_digitifera_adi_v1.05363 adi_v1.05363, Acropora_digitifera_adi_v1.05362 adi_v1.05362
OG0000024	Calvadosia_cruxmelitensis_Ccrux.Trinity.1042 Ccrux.Trinity.1042	Acropora_digitifera_adi_v1.21193 adi_v1.21193
OG0000027	Calvadosia_cruxmelitensis_Ccrux.Trinity.31956 Ccrux.Trinity.31956, Calvadosia_cruxmelitensis_Ccrux.Trinity.31954 Ccrux.Trinity.31954	Acropora_digitifera_adi_v1.09915 adi_v1.09915, Acropora_digitifera_adi_v1.00758 adi_v1.00758
OG0000028	Calvadosia_cruxmelitensis_Ccrux.Trinity.12863 Ccrux.Trinity.12863, Calvadosia_cruxmelitensis_Ccrux.Trinity.12860 Ccrux.Trinity.12860	Acropora_digitifera_adi_v1.22704 adi_v1.22704
OG0000029	Calvadosia_cruxmelitensis_Ccrux.Trinity.70429 Ccrux.Trinity.70429	Acropora_digitifera_adi_v1.05908 adi_v1.05908, Acropora_digitifera_adi_v1.23964 adi_v1.23964
OG0000029	Calvadosia_cruxmelitensis_Ccrux.Trinity.27315 Ccrux.Trinity.27315, Calvadosia_cruxmelitensis_Ccrux.Trinity.10010 Ccrux.Trinity.10010, Calvadosia_cruxmelitensis_Ccrux.Trinity.66722 Ccrux.Trinity.66722	Acropora_digitifera_adi_v1.06123 adi_v1.06123, Acropora_digitifera_adi_v1.06122 adi_v1.06122, Acropora_digitifera_adi_v1.15580 adi_v1.15580, Acropora_digitifera_adi_v1.18528 adi_v1.18528, Acropora_digitifera_adi_v1.24512 adi_v1.24512
OG0000030	Calvadosia_cruxmelitensis_Ccrux.Trinity.10006 Ccrux.Trinity.10006, Calvadosia_cruxmelitensis_Ccrux.Trinity.10008 Ccrux.Trinity.10008, Calvadosia_cruxmelitensis_Ccrux.Trinity.10007 Ccrux.Trinity.10007	Acropora_digitifera_adi_v1.13106 adi_v1.13106
OG0000030	Calvadosia_cruxmelitensis_Ccrux.Trinity.26176 Ccrux.Trinity.26176, Calvadosia_cruxmelitensis_Ccrux.Trinity.26172 Ccrux.Trinity.26172	Acropora_digitifera_adi_v1.02168 adi_v1.02168
OG0000030	Calvadosia_cruxmelitensis_Ccrux.Trinity.55193 Ccrux.Trinity.55193	Acropora_digitifera_adi_v1.09623 adi_v1.09623
OG0000031	Calvadosia_cruxmelitensis_Ccrux.Trinity.15334 Ccrux.Trinity.15334	Acropora_digitifera_adi_v1.15338 adi_v1.15338
OG0000034	Calvadosia_cruxmelitensis_Ccrux.Trinity.35334 Ccrux.Trinity.35334, Calvadosia_cruxmelitensis_Ccrux.Trinity.35336 Ccrux.Trinity.35336	Acropora_digitifera_adi_v1.08610 adi_v1.08610
OG0000034	Calvadosia_cruxmelitensis_Ccrux.Trinity.47132 Ccrux.Trinity.47132, Calvadosia_cruxmelitensis_Ccrux.Trinity.47134 Ccrux.Trinity.47134, Calvadosia_cruxmelitensis_Ccrux.Trinity.47135 Ccrux.Trinity.47135, Calvadosia_cruxmelitensis_Ccrux.Trinity.47131 Ccrux.Trinity.47131	Acropora_digitifera_adi_v1.13495 adi_v1.13495
OG0000035	Calvadosia_cruxmelitensis_Ccrux.Trinity.23678 Ccrux.Trinity.23678	Acropora_digitifera_adi_v1.00964 adi_v1.00964, Acropora_digitifera_adi_v1.01652 adi_v1.01652
OG0000036	Calvadosia_cruxmelitensis_Ccrux.Trinity.539 Ccrux.Trinity.539, Calvadosia_cruxmelitensis_Ccrux.Trinity.355 Ccrux.Trinity.355	Acropora_digitifera_adi_v1.11172 adi_v1.11172
OG0000037	Calvadosia_cruxmelitensis_Ccrux.Trinity.8137 Ccrux.Trinity.8137, Calvadosia_cruxmelitensis_Ccrux.Trinity.9835 Ccrux.Trinity.9835, Calvadosia_cruxmelitensis_Ccrux.Trinity.9838 Ccrux.Trinity.9838, Calvadosia_cruxmelitensis_Ccrux.Trinity.9837 Ccrux.Trinity.9837, Calvadosia_cruxmelitensis_Ccrux.Trinity.9839 Ccrux.Trinity.9839, Calvadosia_cruxmelitensis_Ccrux.Trinity.9836 Ccrux.Trinity.9836, Calvadosia_cruxmelitensis_Ccrux.Trinity.9834 Ccrux.Trinity.9834	Acropora_digitifera_adi_v1.12940 adi_v1.12940, Acropora_digitifera_adi_v1.22657 adi_v1.22657
OG0000038	Calvadosia_cruxmelitensis_Ccrux.Trinity.66762 Ccrux.Trinity.66762, Calvadosia_cruxmelitensis_Ccrux.Trinity.6647 Ccrux.Trinity.6647	Acropora_digitifera_adi_v1.21776 adi_v1.21776, Acropora_digitifera_adi_v1.17595 adi_v1.17595, Acropora_digitifera_adi_v1.01701 adi_v1.01701, Acropora_digitifera_adi_v1.02274 adi_v1.02274, Acropora_digitifera_adi_v1.14625 adi_v1.14625, Acropora_digitifera_adi_v1.01699 adi_v1.01699, Acropora_digitifera_adi_v1.06643 adi_v1.06643
OG0000038	Calvadosia_cruxmelitensis_Ccrux.Trinity.62395 Ccrux.Trinity.62395	Acropora_digitifera_adi_v1.24713 adi_v1.24713
OG0000040	Calvadosia_cruxmelitensis_Ccrux.Trinity.51979 Ccrux.Trinity.51979	Acropora_digitifera_adi_v1.10909 adi_v1.10909, Acropora_digitifera_adi_v1.09775 adi_v1.09775
OG0000041	Calvadosia_cruxmelitensis_Ccrux.Trinity.59000 Ccrux.Trinity.59000	Acropora_digitifera_adi_v1.21179 adi_v1.21179
OG0000041	Calvadosia_cruxmelitensis_Ccrux.Trinity.32466 Ccrux.Trinity.32466, Calvadosia_cruxmelitensis_Ccrux.Trinity.32467 Ccrux.Trinity.32467	Acropora_digitifera_adi_v1.12520 adi_v1.12520, Acropora_digitifera_adi_v1.02837 adi_v1.02837
OG0000042	Calvadosia_cruxmelitensis_Ccrux.Trinity.55570 Ccrux.Trinity.55570, Calvadosia_cruxmelitensis_Ccrux.Trinity.70672 Ccrux.Trinity.70672	Acropora_digitifera_adi_v1.15502 adi_v1.15502
OG0000042	Calvadosia_cruxmelitensis_Ccrux.Trinity.55631 Ccrux.Trinity.55631, Calvadosia_cruxmelitensis_Ccrux.Trinity.72827 Ccrux.Trinity.72827	Acropora_digitifera_adi_v1.01395 adi_v1.01395
OG0000042	Calvadosia_cruxmelitensis_Ccrux.Trinity.42236 Ccrux.Trinity.42236, Calvadosia_cruxmelitensis_Ccrux.Trinity.1218 Ccrux.Trinity.1218, Calvadosia_cruxmelitensis_Ccrux.Trinity.1219 Ccrux.Trinity.1219, Calvadosia_cruxmelitensis_Ccrux.Trinity.69012 Ccrux.Trinity.69012, Calvadosia_cruxmelitensis_Ccrux.Trinity.8037 Ccrux.Trinity.8037	Acropora_digitifera_adi_v1.15503 adi_v1.15503, Acropora_digitifera_adi_v1.15501 adi_v1.15501
OG0000044	Calvadosia_cruxmelitensis_Ccrux.Trinity.11028 Ccrux.Trinity.11028, Calvadosia_cruxmelitensis_Ccrux.Trinity.11029 Ccrux.Trinity.11029, Calvadosia_cruxmelitensis_Ccrux.Trinity.31172 Ccrux.Trinity.31172, Calvadosia_cruxmelitensis_Ccrux.Trinity.31175 Ccrux.Trinity.31175, Calvadosia_cruxmelitensis_Ccrux.Trinity.31178 Ccrux.Trinity.31178, Calvadosia_cruxmelitensis_Ccrux.Trinity.31183 Ccrux.Trinity.31183	Acropora_digitifera_adi_v1.17869 adi_v1.17869, Acropora_digitifera_adi_v1.01279 adi_v1.01279, Acropora_digitifera_adi_v1.01276 adi_v1.01276, Acropora_digitifera_adi_v1.01277 adi_v1.01277
OG0000045	Calvadosia_cruxmelitensis_Ccrux.Trinity.3251 Ccrux.Trinity.3251	Acropora_digitifera_adi_v1.09586 adi_v1.09586
OG0000045	Calvadosia_cruxmelitensis_Ccrux.Trinity.9796 Ccrux.Trinity.9796, Calvadosia_cruxmelitensis_Ccrux.Trinity.2314 Ccrux.Trinity.2314	Acropora_digitifera_adi_v1.23198 adi_v1.23198
OG0000049	Calvadosia_cruxmelitensis_Ccrux.Trinity.36955 Ccrux.Trinity.36955, Calvadosia_cruxmelitensis_Ccrux.Trinity.36954 Ccrux.Trinity.36954	Acropora_digitifera_adi_v1.00526 adi_v1.00526
OG0000051	Calvadosia_cruxmelitensis_Ccrux.Trinity.43175 Ccrux.Trinity.43175, Calvadosia_cruxmelitensis_Ccrux.Trinity.43176 Ccrux.Trinity.43176, Calvadosia_cruxmelitensis_Ccrux.Trinity.5294 Ccrux.Trinity.5294	Acropora_digitifera_adi_v1.17811 adi_v1.17811
OG0000052	Calvadosia_cruxmelitensis_Ccrux.Trinity.21180 Ccrux.Trinity.21180, Calvadosia_cruxmelitensis_Ccrux.Trinity.20610 Ccrux.Trinity.20610	Acropora_digitifera_adi_v1.18882 adi_v1.18882, Acropora_digitifera_adi_v1.16615 adi_v1.16615, Acropora_digitifera_adi_v1.22447 adi_v1.22447, Acropora_digitifera_adi_v1.03642 adi_v1.03642, Acropora_digitifera_adi_v1.21147 adi_v1.21147, Acropora_digitifera_adi_v1.21604 adi_v1.21604, Acropora_digitifera_adi_v1.21148 adi_v1.21148, Acropora_digitifera_adi_v1.17997 adi_v1.17997, Acropora_digitifera_adi_v1.21832 adi_v1.21832, Acropora_digitifera_adi_v1.11491 adi_v1.11491
