Orthogroup	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.55366 Ccrux.Trinity.55366	Clytia_hemispherica_TCONS_00012696-protein TCONS_00012696-protein
OG0000006	Calvadosia_cruxmelitensis_Ccrux.Trinity.51861 Ccrux.Trinity.51861	Clytia_hemispherica_TCONS_00068279-protein TCONS_00068279-protein
OG0000006	Calvadosia_cruxmelitensis_Ccrux.Trinity.25117 Ccrux.Trinity.25117	Clytia_hemispherica_TCONS_00054268-protein TCONS_00054268-protein
OG0000006	Calvadosia_cruxmelitensis_Ccrux.Trinity.45666 Ccrux.Trinity.45666, Calvadosia_cruxmelitensis_Ccrux.Trinity.45665 Ccrux.Trinity.45665, Calvadosia_cruxmelitensis_Ccrux.Trinity.45664 Ccrux.Trinity.45664	Clytia_hemispherica_TCONS_00017431-protein TCONS_00017431-protein
OG0000006	Calvadosia_cruxmelitensis_Ccrux.Trinity.43303 Ccrux.Trinity.43303, Calvadosia_cruxmelitensis_Ccrux.Trinity.12212 Ccrux.Trinity.12212, Calvadosia_cruxmelitensis_Ccrux.Trinity.12211 Ccrux.Trinity.12211	Clytia_hemispherica_TCONS_00046199-protein TCONS_00046199-protein
OG0000006	Calvadosia_cruxmelitensis_Ccrux.Trinity.8194 Ccrux.Trinity.8194, Calvadosia_cruxmelitensis_Ccrux.Trinity.8193 Ccrux.Trinity.8193	Clytia_hemispherica_TCONS_00019049-protein TCONS_00019049-protein
OG0000006	Calvadosia_cruxmelitensis_Ccrux.Trinity.41015 Ccrux.Trinity.41015, Calvadosia_cruxmelitensis_Ccrux.Trinity.41008 Ccrux.Trinity.41008, Calvadosia_cruxmelitensis_Ccrux.Trinity.41010 Ccrux.Trinity.41010, Calvadosia_cruxmelitensis_Ccrux.Trinity.41013 Ccrux.Trinity.41013, Calvadosia_cruxmelitensis_Ccrux.Trinity.22552 Ccrux.Trinity.22552, Calvadosia_cruxmelitensis_Ccrux.Trinity.16427 Ccrux.Trinity.16427	Clytia_hemispherica_TCONS_00055514-protein TCONS_00055514-protein, Clytia_hemispherica_TCONS_00001195-protein TCONS_00001195-protein
OG0000007	Calvadosia_cruxmelitensis_Ccrux.Trinity.58492 Ccrux.Trinity.58492	Clytia_hemispherica_TCONS_00028848-protein TCONS_00028848-protein
OG0000007	Calvadosia_cruxmelitensis_Ccrux.Trinity.48895 Ccrux.Trinity.48895	Clytia_hemispherica_TCONS_00022735-protein TCONS_00022735-protein
OG0000007	Calvadosia_cruxmelitensis_Ccrux.Trinity.48645 Ccrux.Trinity.48645	Clytia_hemispherica_TCONS_00030157-protein TCONS_00030157-protein
OG0000008	Calvadosia_cruxmelitensis_Ccrux.Trinity.338 Ccrux.Trinity.338	Clytia_hemispherica_TCONS_00010866-protein TCONS_00010866-protein
OG0000008	Calvadosia_cruxmelitensis_Ccrux.Trinity.12174 Ccrux.Trinity.12174	Clytia_hemispherica_TCONS_00016456-protein TCONS_00016456-protein
OG0000008	Calvadosia_cruxmelitensis_Ccrux.Trinity.73451 Ccrux.Trinity.73451	Clytia_hemispherica_TCONS_00059356-protein TCONS_00059356-protein
OG0000008	Calvadosia_cruxmelitensis_Ccrux.Trinity.67324 Ccrux.Trinity.67324	Clytia_hemispherica_TCONS_00016471-protein TCONS_00016471-protein
OG0000008	Calvadosia_cruxmelitensis_Ccrux.Trinity.56901 Ccrux.Trinity.56901	Clytia_hemispherica_TCONS_00049590-protein TCONS_00049590-protein, Clytia_hemispherica_TCONS_00017168-protein TCONS_00017168-protein, Clytia_hemispherica_TCONS_00017172-protein TCONS_00017172-protein, Clytia_hemispherica_TCONS_00017148-protein TCONS_00017148-protein
OG0000008	Calvadosia_cruxmelitensis_Ccrux.Trinity.8389 Ccrux.Trinity.8389, Calvadosia_cruxmelitensis_Ccrux.Trinity.66463 Ccrux.Trinity.66463	Clytia_hemispherica_TCONS_00009711-protein TCONS_00009711-protein
OG0000008	Calvadosia_cruxmelitensis_Ccrux.Trinity.71778 Ccrux.Trinity.71778	Clytia_hemispherica_TCONS_00049605-protein TCONS_00049605-protein
OG0000008	Calvadosia_cruxmelitensis_Ccrux.Trinity.20542 Ccrux.Trinity.20542, Calvadosia_cruxmelitensis_Ccrux.Trinity.31245 Ccrux.Trinity.31245	Clytia_hemispherica_TCONS_00052901-protein TCONS_00052901-protein, Clytia_hemispherica_TCONS_00025445-protein TCONS_00025445-protein
OG0000008	Calvadosia_cruxmelitensis_Ccrux.Trinity.11745 Ccrux.Trinity.11745, Calvadosia_cruxmelitensis_Ccrux.Trinity.11744 Ccrux.Trinity.11744	Clytia_hemispherica_TCONS_00024185-protein TCONS_00024185-protein
OG0000008	Calvadosia_cruxmelitensis_Ccrux.Trinity.59185 Ccrux.Trinity.59185	Clytia_hemispherica_TCONS_00026307-protein TCONS_00026307-protein
OG0000008	Calvadosia_cruxmelitensis_Ccrux.Trinity.73081 Ccrux.Trinity.73081	Clytia_hemispherica_TCONS_00071623-protein TCONS_00071623-protein
OG0000008	Calvadosia_cruxmelitensis_Ccrux.Trinity.63801 Ccrux.Trinity.63801	Clytia_hemispherica_TCONS_00073668-protein TCONS_00073668-protein
OG0000008	Calvadosia_cruxmelitensis_Ccrux.Trinity.17593 Ccrux.Trinity.17593, Calvadosia_cruxmelitensis_Ccrux.Trinity.17592 Ccrux.Trinity.17592	Clytia_hemispherica_TCONS_00054240-protein TCONS_00054240-protein
OG0000008	Calvadosia_cruxmelitensis_Ccrux.Trinity.66398 Ccrux.Trinity.66398	Clytia_hemispherica_TCONS_00073669-protein TCONS_00073669-protein
OG0000009	Calvadosia_cruxmelitensis_Ccrux.Trinity.64953 Ccrux.Trinity.64953	Clytia_hemispherica_TCONS_00055242-protein TCONS_00055242-protein
OG0000009	Calvadosia_cruxmelitensis_Ccrux.Trinity.21187 Ccrux.Trinity.21187, Calvadosia_cruxmelitensis_Ccrux.Trinity.21188 Ccrux.Trinity.21188, Calvadosia_cruxmelitensis_Ccrux.Trinity.21184 Ccrux.Trinity.21184	Clytia_hemispherica_TCONS_00053164-protein TCONS_00053164-protein
OG0000009	Calvadosia_cruxmelitensis_Ccrux.Trinity.47416 Ccrux.Trinity.47416, Calvadosia_cruxmelitensis_Ccrux.Trinity.47411 Ccrux.Trinity.47411, Calvadosia_cruxmelitensis_Ccrux.Trinity.47413 Ccrux.Trinity.47413, Calvadosia_cruxmelitensis_Ccrux.Trinity.47403 Ccrux.Trinity.47403, Calvadosia_cruxmelitensis_Ccrux.Trinity.47404 Ccrux.Trinity.47404	Clytia_hemispherica_TCONS_00046196-protein TCONS_00046196-protein
OG0000009	Calvadosia_cruxmelitensis_Ccrux.Trinity.7534 Ccrux.Trinity.7534, Calvadosia_cruxmelitensis_Ccrux.Trinity.7547 Ccrux.Trinity.7547	Clytia_hemispherica_TCONS_00044068-protein TCONS_00044068-protein, Clytia_hemispherica_TCONS_00008272-protein TCONS_00008272-protein
OG0000009	Calvadosia_cruxmelitensis_Ccrux.Trinity.37263 Ccrux.Trinity.37263, Calvadosia_cruxmelitensis_Ccrux.Trinity.37262 Ccrux.Trinity.37262	Clytia_hemispherica_TCONS_00071034-protein TCONS_00071034-protein
OG0000009	Calvadosia_cruxmelitensis_Ccrux.Trinity.34947 Ccrux.Trinity.34947, Calvadosia_cruxmelitensis_Ccrux.Trinity.34956 Ccrux.Trinity.34956, Calvadosia_cruxmelitensis_Ccrux.Trinity.34949 Ccrux.Trinity.34949	Clytia_hemispherica_TCONS_00067570-protein TCONS_00067570-protein
OG0000009	Calvadosia_cruxmelitensis_Ccrux.Trinity.29736 Ccrux.Trinity.29736	Clytia_hemispherica_TCONS_00072702-protein TCONS_00072702-protein
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.35596 Ccrux.Trinity.35596, Calvadosia_cruxmelitensis_Ccrux.Trinity.35592 Ccrux.Trinity.35592	Clytia_hemispherica_TCONS_00059787-protein TCONS_00059787-protein
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.16979 Ccrux.Trinity.16979	Clytia_hemispherica_TCONS_00011086-protein TCONS_00011086-protein
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.42984 Ccrux.Trinity.42984, Calvadosia_cruxmelitensis_Ccrux.Trinity.42985 Ccrux.Trinity.42985, Calvadosia_cruxmelitensis_Ccrux.Trinity.42982 Ccrux.Trinity.42982	Clytia_hemispherica_TCONS_00068957-protein TCONS_00068957-protein
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.37586 Ccrux.Trinity.37586, Calvadosia_cruxmelitensis_Ccrux.Trinity.37581 Ccrux.Trinity.37581, Calvadosia_cruxmelitensis_Ccrux.Trinity.37570 Ccrux.Trinity.37570, Calvadosia_cruxmelitensis_Ccrux.Trinity.37568 Ccrux.Trinity.37568, Calvadosia_cruxmelitensis_Ccrux.Trinity.37565 Ccrux.Trinity.37565, Calvadosia_cruxmelitensis_Ccrux.Trinity.37577 Ccrux.Trinity.37577, Calvadosia_cruxmelitensis_Ccrux.Trinity.37588 Ccrux.Trinity.37588	Clytia_hemispherica_TCONS_00064588-protein TCONS_00064588-protein
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.58517 Ccrux.Trinity.58517	Clytia_hemispherica_TCONS_00073670-protein TCONS_00073670-protein
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.57575 Ccrux.Trinity.57575	Clytia_hemispherica_TCONS_00073671-protein TCONS_00073671-protein
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.42201 Ccrux.Trinity.42201	Clytia_hemispherica_TCONS_00060277-protein TCONS_00060277-protein
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.6213 Ccrux.Trinity.6213, Calvadosia_cruxmelitensis_Ccrux.Trinity.6216 Ccrux.Trinity.6216	Clytia_hemispherica_TCONS_00009152-protein TCONS_00009152-protein
OG0000012	Calvadosia_cruxmelitensis_Ccrux.Trinity.17540 Ccrux.Trinity.17540	Clytia_hemispherica_TCONS_00069193-protein TCONS_00069193-protein
OG0000012	Calvadosia_cruxmelitensis_Ccrux.Trinity.18442 Ccrux.Trinity.18442	Clytia_hemispherica_TCONS_00021868-protein TCONS_00021868-protein
OG0000012	Calvadosia_cruxmelitensis_Ccrux.Trinity.71725 Ccrux.Trinity.71725	Clytia_hemispherica_TCONS_00003443-protein TCONS_00003443-protein
OG0000012	Calvadosia_cruxmelitensis_Ccrux.Trinity.67526 Ccrux.Trinity.67526	Clytia_hemispherica_TCONS_00021872-protein TCONS_00021872-protein
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.15441 Ccrux.Trinity.15441, Calvadosia_cruxmelitensis_Ccrux.Trinity.15442 Ccrux.Trinity.15442	Clytia_hemispherica_TCONS_00012270-protein TCONS_00012270-protein
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.12887 Ccrux.Trinity.12887, Calvadosia_cruxmelitensis_Ccrux.Trinity.12891 Ccrux.Trinity.12891, Calvadosia_cruxmelitensis_Ccrux.Trinity.12894 Ccrux.Trinity.12894	Clytia_hemispherica_TCONS_00056741-protein TCONS_00056741-protein
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.69596 Ccrux.Trinity.69596, Calvadosia_cruxmelitensis_Ccrux.Trinity.69595 Ccrux.Trinity.69595	Clytia_hemispherica_TCONS_00027333-protein TCONS_00027333-protein, Clytia_hemispherica_TCONS_00027371-protein TCONS_00027371-protein
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.52696 Ccrux.Trinity.52696, Calvadosia_cruxmelitensis_Ccrux.Trinity.52694 Ccrux.Trinity.52694	Clytia_hemispherica_TCONS_00003473-protein TCONS_00003473-protein
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.56830 Ccrux.Trinity.56830, Calvadosia_cruxmelitensis_Ccrux.Trinity.58867 Ccrux.Trinity.58867	Clytia_hemispherica_TCONS_00065525-protein TCONS_00065525-protein
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.26517 Ccrux.Trinity.26517, Calvadosia_cruxmelitensis_Ccrux.Trinity.26521 Ccrux.Trinity.26521, Calvadosia_cruxmelitensis_Ccrux.Trinity.26524 Ccrux.Trinity.26524	Clytia_hemispherica_TCONS_00047033-protein TCONS_00047033-protein, Clytia_hemispherica_TCONS_00001198-protein TCONS_00001198-protein
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.55161 Ccrux.Trinity.55161, Calvadosia_cruxmelitensis_Ccrux.Trinity.14159 Ccrux.Trinity.14159	Clytia_hemispherica_TCONS_00005153-protein TCONS_00005153-protein
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.65958 Ccrux.Trinity.65958	Clytia_hemispherica_TCONS_00050019-protein TCONS_00050019-protein
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.5191 Ccrux.Trinity.5191	Clytia_hemispherica_TCONS_00073720-protein TCONS_00073720-protein
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.18676 Ccrux.Trinity.18676, Calvadosia_cruxmelitensis_Ccrux.Trinity.18675 Ccrux.Trinity.18675, Calvadosia_cruxmelitensis_Ccrux.Trinity.18677 Ccrux.Trinity.18677	Clytia_hemispherica_TCONS_00022833-protein TCONS_00022833-protein
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.8580 Ccrux.Trinity.8580	Clytia_hemispherica_TCONS_00019992-protein TCONS_00019992-protein
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.6999 Ccrux.Trinity.6999, Calvadosia_cruxmelitensis_Ccrux.Trinity.7004 Ccrux.Trinity.7004, Calvadosia_cruxmelitensis_Ccrux.Trinity.7007 Ccrux.Trinity.7007	Clytia_hemispherica_TCONS_00008326-protein TCONS_00008326-protein
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.9543 Ccrux.Trinity.9543	Clytia_hemispherica_TCONS_00055972-protein TCONS_00055972-protein
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.40003 Ccrux.Trinity.40003, Calvadosia_cruxmelitensis_Ccrux.Trinity.39999 Ccrux.Trinity.39999, Calvadosia_cruxmelitensis_Ccrux.Trinity.40000 Ccrux.Trinity.40000, Calvadosia_cruxmelitensis_Ccrux.Trinity.40004 Ccrux.Trinity.40004, Calvadosia_cruxmelitensis_Ccrux.Trinity.40001 Ccrux.Trinity.40001, Calvadosia_cruxmelitensis_Ccrux.Trinity.40006 Ccrux.Trinity.40006, Calvadosia_cruxmelitensis_Ccrux.Trinity.40002 Ccrux.Trinity.40002	Clytia_hemispherica_TCONS_00024369-protein TCONS_00024369-protein, Clytia_hemispherica_TCONS_00024371-protein TCONS_00024371-protein
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.7002 Ccrux.Trinity.7002	Clytia_hemispherica_TCONS_00024372-protein TCONS_00024372-protein
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.2396 Ccrux.Trinity.2396	Clytia_hemispherica_TCONS_00004887-protein TCONS_00004887-protein
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.32556 Ccrux.Trinity.32556	Clytia_hemispherica_TCONS_00027721-protein TCONS_00027721-protein
OG0000015	Calvadosia_cruxmelitensis_Ccrux.Trinity.2550 Ccrux.Trinity.2550	Clytia_hemispherica_TCONS_00007096-protein TCONS_00007096-protein, Clytia_hemispherica_TCONS_00020689-protein TCONS_00020689-protein
OG0000015	Calvadosia_cruxmelitensis_Ccrux.Trinity.58363 Ccrux.Trinity.58363	Clytia_hemispherica_TCONS_00003290-protein TCONS_00003290-protein
OG0000015	Calvadosia_cruxmelitensis_Ccrux.Trinity.70523 Ccrux.Trinity.70523	Clytia_hemispherica_TCONS_00071047-protein TCONS_00071047-protein
OG0000016	Calvadosia_cruxmelitensis_Ccrux.Trinity.6474 Ccrux.Trinity.6474	Clytia_hemispherica_TCONS_00068527-protein TCONS_00068527-protein, Clytia_hemispherica_TCONS_00055310-protein TCONS_00055310-protein, Clytia_hemispherica_TCONS_00029219-protein TCONS_00029219-protein, Clytia_hemispherica_TCONS_00070408-protein TCONS_00070408-protein
OG0000016	Calvadosia_cruxmelitensis_Ccrux.Trinity.31635 Ccrux.Trinity.31635, Calvadosia_cruxmelitensis_Ccrux.Trinity.31638 Ccrux.Trinity.31638	Clytia_hemispherica_TCONS_00002797-protein TCONS_00002797-protein, Clytia_hemispherica_TCONS_00051485-protein TCONS_00051485-protein, Clytia_hemispherica_TCONS_00030305-protein TCONS_00030305-protein
OG0000016	Calvadosia_cruxmelitensis_Ccrux.Trinity.71853 Ccrux.Trinity.71853	Clytia_hemispherica_TCONS_00029218-protein TCONS_00029218-protein
OG0000016	Calvadosia_cruxmelitensis_Ccrux.Trinity.826 Ccrux.Trinity.826, Calvadosia_cruxmelitensis_Ccrux.Trinity.825 Ccrux.Trinity.825, Calvadosia_cruxmelitensis_Ccrux.Trinity.41542 Ccrux.Trinity.41542, Calvadosia_cruxmelitensis_Ccrux.Trinity.41540 Ccrux.Trinity.41540, Calvadosia_cruxmelitensis_Ccrux.Trinity.41543 Ccrux.Trinity.41543, Calvadosia_cruxmelitensis_Ccrux.Trinity.41541 Ccrux.Trinity.41541, Calvadosia_cruxmelitensis_Ccrux.Trinity.66430 Ccrux.Trinity.66430, Calvadosia_cruxmelitensis_Ccrux.Trinity.60593 Ccrux.Trinity.60593	Clytia_hemispherica_TCONS_00023824-protein TCONS_00023824-protein, Clytia_hemispherica_TCONS_00010506-protein TCONS_00010506-protein
OG0000017	Calvadosia_cruxmelitensis_Ccrux.Trinity.58320 Ccrux.Trinity.58320	Clytia_hemispherica_TCONS_00067951-protein TCONS_00067951-protein
OG0000018	Calvadosia_cruxmelitensis_Ccrux.Trinity.20412 Ccrux.Trinity.20412, Calvadosia_cruxmelitensis_Ccrux.Trinity.20414 Ccrux.Trinity.20414, Calvadosia_cruxmelitensis_Ccrux.Trinity.20413 Ccrux.Trinity.20413	Clytia_hemispherica_TCONS_00066533-protein TCONS_00066533-protein
OG0000019	Calvadosia_cruxmelitensis_Ccrux.Trinity.55515 Ccrux.Trinity.55515, Calvadosia_cruxmelitensis_Ccrux.Trinity.56665 Ccrux.Trinity.56665, Calvadosia_cruxmelitensis_Ccrux.Trinity.63047 Ccrux.Trinity.63047	Clytia_hemispherica_TCONS_00061469-protein TCONS_00061469-protein
OG0000019	Calvadosia_cruxmelitensis_Ccrux.Trinity.2304 Ccrux.Trinity.2304	Clytia_hemispherica_TCONS_00002859-protein TCONS_00002859-protein
OG0000019	Calvadosia_cruxmelitensis_Ccrux.Trinity.66596 Ccrux.Trinity.66596	Clytia_hemispherica_TCONS_00010860-protein TCONS_00010860-protein
OG0000019	Calvadosia_cruxmelitensis_Ccrux.Trinity.66348 Ccrux.Trinity.66348	Clytia_hemispherica_TCONS_00032606-protein TCONS_00032606-protein
OG0000019	Calvadosia_cruxmelitensis_Ccrux.Trinity.70789 Ccrux.Trinity.70789	Clytia_hemispherica_TCONS_00000118-protein TCONS_00000118-protein
OG0000020	Calvadosia_cruxmelitensis_Ccrux.Trinity.40283 Ccrux.Trinity.40283	Clytia_hemispherica_TCONS_00047700-protein TCONS_00047700-protein
OG0000020	Calvadosia_cruxmelitensis_Ccrux.Trinity.21880 Ccrux.Trinity.21880	Clytia_hemispherica_TCONS_00061671-protein TCONS_00061671-protein
OG0000020	Calvadosia_cruxmelitensis_Ccrux.Trinity.10871 Ccrux.Trinity.10871	Clytia_hemispherica_TCONS_00003321-protein TCONS_00003321-protein
OG0000020	Calvadosia_cruxmelitensis_Ccrux.Trinity.38265 Ccrux.Trinity.38265, Calvadosia_cruxmelitensis_Ccrux.Trinity.38267 Ccrux.Trinity.38267	Clytia_hemispherica_TCONS_00006265-protein TCONS_00006265-protein
OG0000020	Calvadosia_cruxmelitensis_Ccrux.Trinity.27073 Ccrux.Trinity.27073	Clytia_hemispherica_TCONS_00072191-protein TCONS_00072191-protein
OG0000021	Calvadosia_cruxmelitensis_Ccrux.Trinity.30901 Ccrux.Trinity.30901, Calvadosia_cruxmelitensis_Ccrux.Trinity.30902 Ccrux.Trinity.30902	Clytia_hemispherica_TCONS_00006428-protein TCONS_00006428-protein
OG0000021	Calvadosia_cruxmelitensis_Ccrux.Trinity.33978 Ccrux.Trinity.33978, Calvadosia_cruxmelitensis_Ccrux.Trinity.33977 Ccrux.Trinity.33977	Clytia_hemispherica_TCONS_00024883-protein TCONS_00024883-protein
OG0000021	Calvadosia_cruxmelitensis_Ccrux.Trinity.37025 Ccrux.Trinity.37025	Clytia_hemispherica_TCONS_00061561-protein TCONS_00061561-protein
OG0000021	Calvadosia_cruxmelitensis_Ccrux.Trinity.28083 Ccrux.Trinity.28083, Calvadosia_cruxmelitensis_Ccrux.Trinity.28085 Ccrux.Trinity.28085	Clytia_hemispherica_TCONS_00059183-protein TCONS_00059183-protein
OG0000022	Calvadosia_cruxmelitensis_Ccrux.Trinity.16893 Ccrux.Trinity.16893, Calvadosia_cruxmelitensis_Ccrux.Trinity.16889 Ccrux.Trinity.16889, Calvadosia_cruxmelitensis_Ccrux.Trinity.16885 Ccrux.Trinity.16885, Calvadosia_cruxmelitensis_Ccrux.Trinity.16879 Ccrux.Trinity.16879, Calvadosia_cruxmelitensis_Ccrux.Trinity.1025 Ccrux.Trinity.1025, Calvadosia_cruxmelitensis_Ccrux.Trinity.1024 Ccrux.Trinity.1024	Clytia_hemispherica_TCONS_00007569-protein TCONS_00007569-protein
OG0000022	Calvadosia_cruxmelitensis_Ccrux.Trinity.62820 Ccrux.Trinity.62820	Clytia_hemispherica_TCONS_00055551-protein TCONS_00055551-protein
OG0000023	Calvadosia_cruxmelitensis_Ccrux.Trinity.55494 Ccrux.Trinity.55494	Clytia_hemispherica_TCONS_00062427-protein TCONS_00062427-protein, Clytia_hemispherica_TCONS_00051806-protein TCONS_00051806-protein, Clytia_hemispherica_TCONS_00052344-protein TCONS_00052344-protein, Clytia_hemispherica_TCONS_00019578-protein TCONS_00019578-protein
OG0000023	Calvadosia_cruxmelitensis_Ccrux.Trinity.38278 Ccrux.Trinity.38278, Calvadosia_cruxmelitensis_Ccrux.Trinity.38288 Ccrux.Trinity.38288, Calvadosia_cruxmelitensis_Ccrux.Trinity.38282 Ccrux.Trinity.38282, Calvadosia_cruxmelitensis_Ccrux.Trinity.38277 Ccrux.Trinity.38277	Clytia_hemispherica_TCONS_00023962-protein TCONS_00023962-protein, Clytia_hemispherica_TCONS_00030285-protein TCONS_00030285-protein
OG0000024	Calvadosia_cruxmelitensis_Ccrux.Trinity.70291 Ccrux.Trinity.70291, Calvadosia_cruxmelitensis_Ccrux.Trinity.24636 Ccrux.Trinity.24636	Clytia_hemispherica_TCONS_00000826-protein TCONS_00000826-protein
OG0000024	Calvadosia_cruxmelitensis_Ccrux.Trinity.60000 Ccrux.Trinity.60000	Clytia_hemispherica_TCONS_00051917-protein TCONS_00051917-protein
OG0000024	Calvadosia_cruxmelitensis_Ccrux.Trinity.10890 Ccrux.Trinity.10890, Calvadosia_cruxmelitensis_Ccrux.Trinity.3789 Ccrux.Trinity.3789	Clytia_hemispherica_TCONS_00016849-protein TCONS_00016849-protein
OG0000024	Calvadosia_cruxmelitensis_Ccrux.Trinity.24060 Ccrux.Trinity.24060, Calvadosia_cruxmelitensis_Ccrux.Trinity.24062 Ccrux.Trinity.24062	Clytia_hemispherica_TCONS_00005637-protein TCONS_00005637-protein
OG0000024	Calvadosia_cruxmelitensis_Ccrux.Trinity.1042 Ccrux.Trinity.1042	Clytia_hemispherica_TCONS_00018835-protein TCONS_00018835-protein
OG0000024	Calvadosia_cruxmelitensis_Ccrux.Trinity.24059 Ccrux.Trinity.24059, Calvadosia_cruxmelitensis_Ccrux.Trinity.24064 Ccrux.Trinity.24064, Calvadosia_cruxmelitensis_Ccrux.Trinity.24056 Ccrux.Trinity.24056	Clytia_hemispherica_TCONS_00055942-protein TCONS_00055942-protein
OG0000027	Calvadosia_cruxmelitensis_Ccrux.Trinity.31956 Ccrux.Trinity.31956, Calvadosia_cruxmelitensis_Ccrux.Trinity.31954 Ccrux.Trinity.31954	Clytia_hemispherica_TCONS_00004998-protein TCONS_00004998-protein
OG0000028	Calvadosia_cruxmelitensis_Ccrux.Trinity.12863 Ccrux.Trinity.12863, Calvadosia_cruxmelitensis_Ccrux.Trinity.12860 Ccrux.Trinity.12860	Clytia_hemispherica_TCONS_00014070-protein TCONS_00014070-protein
OG0000028	Calvadosia_cruxmelitensis_Ccrux.Trinity.31808 Ccrux.Trinity.31808	Clytia_hemispherica_TCONS_00014047-protein TCONS_00014047-protein, Clytia_hemispherica_TCONS_00015680-protein TCONS_00015680-protein, Clytia_hemispherica_TCONS_00005375-protein TCONS_00005375-protein
OG0000029	Calvadosia_cruxmelitensis_Ccrux.Trinity.14967 Ccrux.Trinity.14967	Clytia_hemispherica_TCONS_00019037-protein TCONS_00019037-protein
OG0000029	Calvadosia_cruxmelitensis_Ccrux.Trinity.70429 Ccrux.Trinity.70429	Clytia_hemispherica_TCONS_00007483-protein TCONS_00007483-protein
OG0000029	Calvadosia_cruxmelitensis_Ccrux.Trinity.27315 Ccrux.Trinity.27315, Calvadosia_cruxmelitensis_Ccrux.Trinity.10010 Ccrux.Trinity.10010, Calvadosia_cruxmelitensis_Ccrux.Trinity.66722 Ccrux.Trinity.66722	Clytia_hemispherica_TCONS_00010654-protein TCONS_00010654-protein, Clytia_hemispherica_TCONS_00010652-protein TCONS_00010652-protein
OG0000030	Calvadosia_cruxmelitensis_Ccrux.Trinity.10006 Ccrux.Trinity.10006, Calvadosia_cruxmelitensis_Ccrux.Trinity.10008 Ccrux.Trinity.10008, Calvadosia_cruxmelitensis_Ccrux.Trinity.10007 Ccrux.Trinity.10007	Clytia_hemispherica_TCONS_00007497-protein TCONS_00007497-protein, Clytia_hemispherica_TCONS_00007500-protein TCONS_00007500-protein
OG0000030	Calvadosia_cruxmelitensis_Ccrux.Trinity.26176 Ccrux.Trinity.26176, Calvadosia_cruxmelitensis_Ccrux.Trinity.26172 Ccrux.Trinity.26172	Clytia_hemispherica_TCONS_00004356-protein TCONS_00004356-protein
OG0000030	Calvadosia_cruxmelitensis_Ccrux.Trinity.55193 Ccrux.Trinity.55193	Clytia_hemispherica_TCONS_00028602-protein TCONS_00028602-protein
OG0000031	Calvadosia_cruxmelitensis_Ccrux.Trinity.64795 Ccrux.Trinity.64795	Clytia_hemispherica_TCONS_00010074-protein TCONS_00010074-protein, Clytia_hemispherica_TCONS_00010109-protein TCONS_00010109-protein, Clytia_hemispherica_TCONS_00020839-protein TCONS_00020839-protein, Clytia_hemispherica_TCONS_00059252-protein TCONS_00059252-protein, Clytia_hemispherica_TCONS_00048987-protein TCONS_00048987-protein, Clytia_hemispherica_TCONS_00026252-protein TCONS_00026252-protein, Clytia_hemispherica_TCONS_00026243-protein TCONS_00026243-protein, Clytia_hemispherica_TCONS_00036835-protein TCONS_00036835-protein, Clytia_hemispherica_TCONS_00026227-protein TCONS_00026227-protein, Clytia_hemispherica_TCONS_00033804-protein TCONS_00033804-protein
OG0000032	Calvadosia_cruxmelitensis_Ccrux.Trinity.57700 Ccrux.Trinity.57700	Clytia_hemispherica_TCONS_00034838-protein TCONS_00034838-protein
OG0000034	Calvadosia_cruxmelitensis_Ccrux.Trinity.35334 Ccrux.Trinity.35334, Calvadosia_cruxmelitensis_Ccrux.Trinity.35336 Ccrux.Trinity.35336	Clytia_hemispherica_TCONS_00051590-protein TCONS_00051590-protein
