Orthogroup	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Cnidaria_Scyphozoa_Aurelia_aurita
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.66227 Ccrux.Trinity.66227	Aurelia_aurita_Seg1881.5 Seg1881.5 transcript_id=Seg1881.5_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg1881.5_GoldUCD_D3Y31, Aurelia_aurita_Seg4590.1 Seg4590.1 transcript_id=Seg4590.1_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg4590.1_GoldUCD_D3Y31, Aurelia_aurita_Seg979.1 Seg979.1 transcript_id=Seg979.1_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg979.1_GoldUCD_D3Y31 partial=true
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.72973 Ccrux.Trinity.72973	Aurelia_aurita_Seg3290.3 Seg3290.3 transcript_id=Seg3290.3_GoldUCD_mRNA.D3Y31 product=Thrombospondin-1 protein_id=Seg3290.3_GoldUCD_D3Y31 partial=true
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.52176 Ccrux.Trinity.52176	Aurelia_aurita_Seg5572.2 Seg5572.2 transcript_id=Seg5572.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5572.2_GoldUCD_D3Y31 partial=true
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.16460 Ccrux.Trinity.16460, Calvadosia_cruxmelitensis_Ccrux.Trinity.16459 Ccrux.Trinity.16459, Calvadosia_cruxmelitensis_Ccrux.Trinity.16464 Ccrux.Trinity.16464, Calvadosia_cruxmelitensis_Ccrux.Trinity.16465 Ccrux.Trinity.16465, Calvadosia_cruxmelitensis_Ccrux.Trinity.16461 Ccrux.Trinity.16461	Aurelia_aurita_Seg53.7 Seg53.7 transcript_id=Seg53.7_GoldUCD_mRNA.D3Y31 product="C-type mannose receptor 2" protein_id=Seg53.7_GoldUCD_D3Y31
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.73549 Ccrux.Trinity.73549	Aurelia_aurita_Seg2343.5 Seg2343.5 transcript_id=Seg2343.5_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg2343.5_GoldUCD_D3Y31, Aurelia_aurita_Seg3108.1 Seg3108.1 transcript_id=Seg3108.1_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg3108.1_GoldUCD_D3Y31 partial=true
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.8190 Ccrux.Trinity.8190, Calvadosia_cruxmelitensis_Ccrux.Trinity.8191 Ccrux.Trinity.8191	Aurelia_aurita_Seg929.1 Seg929.1 transcript_id=Seg929.1_GoldUCD_mRNA.D3Y31 product="C-type mannose receptor 2" protein_id=Seg929.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg4523.1 Seg4523.1 transcript_id=Seg4523.1_GoldUCD_mRNA.D3Y31 product="Macrophage mannose receptor 1" pseudo=true protein_id=Seg4523.1_GoldUCD_D3Y31 partial=true
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.63471 Ccrux.Trinity.63471	Aurelia_aurita_Seg432.9 Seg432.9 transcript_id=Seg432.9_GoldUCD_mRNA.D3Y31 product="CD209 antigen-like protein A" protein_id=Seg432.9_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1086.6 Seg1086.6 transcript_id=Seg1086.6_GoldUCD_mRNA.D3Y31 product="Hepatic lectin" protein_id=Seg1086.6_GoldUCD_D3Y31
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.55921 Ccrux.Trinity.55921	Aurelia_aurita_Seg2902.3 Seg2902.3 transcript_id=Seg2902.3_GoldUCD_mRNA.D3Y31 product="Neurocan core protein" protein_id=Seg2902.3_GoldUCD_D3Y31
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.15969 Ccrux.Trinity.15969	Aurelia_aurita_Seg230.12 Seg230.12 transcript_id=Seg230.12_GoldUCD_mRNA.D3Y31 product="Golgi-associated plant pathogenesis-related protein 1" protein_id=Seg230.12_GoldUCD_D3Y31
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.15495 Ccrux.Trinity.15495	Aurelia_aurita_Seg2124.6 Seg2124.6 transcript_id=Seg2124.6_GoldUCD_mRNA.D3Y31 product="C-type lectin domain family 4 member M" protein_id=Seg2124.6_GoldUCD_D3Y31 partial=true
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.68657 Ccrux.Trinity.68657	Aurelia_aurita_Seg217.6 Seg217.6 transcript_id=Seg217.6_GoldUCD_mRNA.D3Y31 product="Aggrecan core protein" protein_id=Seg217.6_GoldUCD_D3Y31 partial=true
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.3563 Ccrux.Trinity.3563, Calvadosia_cruxmelitensis_Ccrux.Trinity.3561 Ccrux.Trinity.3561, Calvadosia_cruxmelitensis_Ccrux.Trinity.3565 Ccrux.Trinity.3565	Aurelia_aurita_Seg1550.2 Seg1550.2 transcript_id=Seg1550.2_GoldUCD_mRNA.D3Y31 product="Secretory phospholipase A2 receptor" pseudo=true protein_id=Seg1550.2_GoldUCD_D3Y31
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.62691 Ccrux.Trinity.62691, Calvadosia_cruxmelitensis_Ccrux.Trinity.8809 Ccrux.Trinity.8809	Aurelia_aurita_Seg729.5 Seg729.5 transcript_id=Seg729.5_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg729.5_GoldUCD_D3Y31 partial=true
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.67573 Ccrux.Trinity.67573	Aurelia_aurita_Seg2695.2 Seg2695.2 transcript_id=Seg2695.2_GoldUCD_mRNA.D3Y31 product=Fibrillin-3 protein_id=Seg2695.2_GoldUCD_D3Y31
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.72435 Ccrux.Trinity.72435	Aurelia_aurita_Seg4940.1 Seg4940.1 transcript_id=Seg4940.1_GoldUCD_mRNA.D3Y31 product="Neurogenic locus notch protein 2" protein_id=Seg4940.1_GoldUCD_D3Y31 partial=true
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.74546 Ccrux.Trinity.74546, Calvadosia_cruxmelitensis_Ccrux.Trinity.24225 Ccrux.Trinity.24225	Aurelia_aurita_Seg7911.1 Seg7911.1 transcript_id=Seg7911.1_GoldUCD_mRNA.D3Y31 product=Fibrillin-2 protein_id=Seg7911.1_GoldUCD_D3Y31 partial=true
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.16785 Ccrux.Trinity.16785	Aurelia_aurita_Seg1379.12 Seg1379.12 transcript_id=Seg1379.12_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1379.12_GoldUCD_D3Y31, Aurelia_aurita_Seg919.2 Seg919.2 transcript_id=Seg919.2_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg919.2_GoldUCD_D3Y31, Aurelia_aurita_Seg1379.14 Seg1379.14 transcript_id=Seg1379.14_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg1379.14_GoldUCD_D3Y31 partial=true
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.56752 Ccrux.Trinity.56752	Aurelia_aurita_Seg288.6 Seg288.6 transcript_id=Seg288.6_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg288.6_GoldUCD_D3Y31 partial=true
OG0000004	Calvadosia_cruxmelitensis_Ccrux.Trinity.42202 Ccrux.Trinity.42202	Aurelia_aurita_Seg5081.1 Seg5081.1 transcript_id=Seg5081.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5081.1_GoldUCD_D3Y31 partial=true
OG0000004	Calvadosia_cruxmelitensis_Ccrux.Trinity.63276 Ccrux.Trinity.63276	Aurelia_aurita_Seg5314.2 Seg5314.2 transcript_id=Seg5314.2_GoldUCD_mRNA.D3Y31 product=Matrilin-4 protein_id=Seg5314.2_GoldUCD_D3Y31 partial=true
OG0000004	Calvadosia_cruxmelitensis_Ccrux.Trinity.26918 Ccrux.Trinity.26918, Calvadosia_cruxmelitensis_Ccrux.Trinity.15452 Ccrux.Trinity.15452	Aurelia_aurita_Seg5314.1 Seg5314.1 transcript_id=Seg5314.1_GoldUCD_mRNA.D3Y31 product="Collagen alpha-3 chain" protein_id=Seg5314.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg670.10 Seg670.10 transcript_id=Seg670.10_GoldUCD_mRNA.D3Y31 product="Collagen alpha-6 chain" protein_id=Seg670.10_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3985.2 Seg3985.2 transcript_id=Seg3985.2_GoldUCD_mRNA.D3Y31 product="Collagen alpha-6 chain" protein_id=Seg3985.2_GoldUCD_D3Y31 partial=true
OG0000004	Calvadosia_cruxmelitensis_Ccrux.Trinity.59759 Ccrux.Trinity.59759	Aurelia_aurita_Seg1645.9 Seg1645.9 transcript_id=Seg1645.9_GoldUCD_mRNA.D3Y31 product="Collagen alpha-5" protein_id=Seg1645.9_GoldUCD_D3Y31
OG0000004	Calvadosia_cruxmelitensis_Ccrux.Trinity.17732 Ccrux.Trinity.17732	Aurelia_aurita_Seg2797.7 Seg2797.7 transcript_id=Seg2797.7_GoldUCD_mRNA.D3Y31 product="von Willebrand factor A domain-containing protein 2" protein_id=Seg2797.7_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg6483.2 Seg6483.2 transcript_id=Seg6483.2_GoldUCD_mRNA.D3Y31 product="von Willebrand factor A domain-containing protein 2" protein_id=Seg6483.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2869.2 Seg2869.2 transcript_id=Seg2869.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" pseudo=true protein_id=Seg2869.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1649.3 Seg1649.3 transcript_id=Seg1649.3_GoldUCD_mRNA.D3Y31 product="Collagen alpha-3 chain" protein_id=Seg1649.3_GoldUCD_D3Y31, Aurelia_aurita_Seg1649.2 Seg1649.2 transcript_id=Seg1649.2_GoldUCD_mRNA.D3Y31 product="Collagen alpha-4 chain" protein_id=Seg1649.2_GoldUCD_D3Y31
OG0000004	Calvadosia_cruxmelitensis_Ccrux.Trinity.58799 Ccrux.Trinity.58799	Aurelia_aurita_Seg1634.9 Seg1634.9 transcript_id=Seg1634.9_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1634.9_GoldUCD_D3Y31
OG0000004	Calvadosia_cruxmelitensis_Ccrux.Trinity.53258 Ccrux.Trinity.53258, Calvadosia_cruxmelitensis_Ccrux.Trinity.16828 Ccrux.Trinity.16828	Aurelia_aurita_Seg27.2 Seg27.2 transcript_id=Seg27.2_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 4" protein_id=Seg27.2_GoldUCD_D3Y31
OG0000004	Calvadosia_cruxmelitensis_Ccrux.Trinity.28659 Ccrux.Trinity.28659, Calvadosia_cruxmelitensis_Ccrux.Trinity.28658 Ccrux.Trinity.28658	Aurelia_aurita_Seg1267.6 Seg1267.6 transcript_id=Seg1267.6_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 1" protein_id=Seg1267.6_GoldUCD_D3Y31 partial=true
OG0000004	Calvadosia_cruxmelitensis_Ccrux.Trinity.53571 Ccrux.Trinity.53571	Aurelia_aurita_Seg593.6 Seg593.6 transcript_id=Seg593.6_GoldUCD_mRNA.D3Y31 product="Cadherin EGF LAG seven-pass G-type receptor 3" protein_id=Seg593.6_GoldUCD_D3Y31
OG0000004	Calvadosia_cruxmelitensis_Ccrux.Trinity.63212 Ccrux.Trinity.63212	Aurelia_aurita_Seg1797.2 Seg1797.2 transcript_id=Seg1797.2_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 4" protein_id=Seg1797.2_GoldUCD_D3Y31
OG0000004	Calvadosia_cruxmelitensis_Ccrux.Trinity.33371 Ccrux.Trinity.33371	Aurelia_aurita_Seg4228.1 Seg4228.1 transcript_id=Seg4228.1_GoldUCD_mRNA.D3Y31 product="Protocadherin beta-8" protein_id=Seg4228.1_GoldUCD_D3Y31
OG0000004	Calvadosia_cruxmelitensis_Ccrux.Trinity.41056 Ccrux.Trinity.41056, Calvadosia_cruxmelitensis_Ccrux.Trinity.41083 Ccrux.Trinity.41083, Calvadosia_cruxmelitensis_Ccrux.Trinity.41074 Ccrux.Trinity.41074, Calvadosia_cruxmelitensis_Ccrux.Trinity.41080 Ccrux.Trinity.41080, Calvadosia_cruxmelitensis_Ccrux.Trinity.41065 Ccrux.Trinity.41065, Calvadosia_cruxmelitensis_Ccrux.Trinity.41060 Ccrux.Trinity.41060, Calvadosia_cruxmelitensis_Ccrux.Trinity.41047 Ccrux.Trinity.41047	Aurelia_aurita_Seg6275.1 Seg6275.1 transcript_id=Seg6275.1_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg6275.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1821.6 Seg1821.6 transcript_id=Seg1821.6_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg1821.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1821.5 Seg1821.5 transcript_id=Seg1821.5_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 4" protein_id=Seg1821.5_GoldUCD_D3Y31 partial=true
OG0000004	Calvadosia_cruxmelitensis_Ccrux.Trinity.9483 Ccrux.Trinity.9483	Aurelia_aurita_Seg6275.2 Seg6275.2 transcript_id=Seg6275.2_GoldUCD_mRNA.D3Y31 product="Adhesion G protein-coupled receptor B2" protein_id=Seg6275.2_GoldUCD_D3Y31 partial=true
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.56607 Ccrux.Trinity.56607	Aurelia_aurita_Seg703.1 Seg703.1 transcript_id=Seg703.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg703.1_GoldUCD_D3Y31
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.65603 Ccrux.Trinity.65603	Aurelia_aurita_Seg1361.6 Seg1361.6 transcript_id=Seg1361.6_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg1361.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1361.3 Seg1361.3 transcript_id=Seg1361.3_GoldUCD_mRNA.D3Y31 product="Chymotrypsinogen B2" protein_id=Seg1361.3_GoldUCD_D3Y31, Aurelia_aurita_Seg2370.3 Seg2370.3 transcript_id=Seg2370.3_GoldUCD_mRNA.D3Y31 product="High choriolytic enzyme 1" protein_id=Seg2370.3_GoldUCD_D3Y31, Aurelia_aurita_Seg2418.4 Seg2418.4 transcript_id=Seg2418.4_GoldUCD_mRNA.D3Y31 product="Tolloid-like protein 1" protein_id=Seg2418.4_GoldUCD_D3Y31
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.18101 Ccrux.Trinity.18101	Aurelia_aurita_Seg2002.8 Seg2002.8 transcript_id=Seg2002.8_GoldUCD_mRNA.D3Y31 product="Astacin-like metalloendopeptidase" protein_id=Seg2002.8_GoldUCD_D3Y31, Aurelia_aurita_Seg2754.5 Seg2754.5 transcript_id=Seg2754.5_GoldUCD_mRNA.D3Y31 product="Astacin-like metalloendopeptidase" protein_id=Seg2754.5_GoldUCD_D3Y31
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.59659 Ccrux.Trinity.59659	Aurelia_aurita_Seg3177.4 Seg3177.4 transcript_id=Seg3177.4_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg3177.4_GoldUCD_D3Y31 partial=true
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.5896 Ccrux.Trinity.5896, Calvadosia_cruxmelitensis_Ccrux.Trinity.5895 Ccrux.Trinity.5895, Calvadosia_cruxmelitensis_Ccrux.Trinity.74208 Ccrux.Trinity.74208, Calvadosia_cruxmelitensis_Ccrux.Trinity.74207 Ccrux.Trinity.74207, Calvadosia_cruxmelitensis_Ccrux.Trinity.39244 Ccrux.Trinity.39244, Calvadosia_cruxmelitensis_Ccrux.Trinity.39245 Ccrux.Trinity.39245	Aurelia_aurita_Seg3210.1 Seg3210.1 transcript_id=Seg3210.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-6" protein_id=Seg3210.1_GoldUCD_D3Y31
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.51911 Ccrux.Trinity.51911, Calvadosia_cruxmelitensis_Ccrux.Trinity.13820 Ccrux.Trinity.13820, Calvadosia_cruxmelitensis_Ccrux.Trinity.13831 Ccrux.Trinity.13831	Aurelia_aurita_Seg2768.4 Seg2768.4 transcript_id=Seg2768.4_GoldUCD_mRNA.D3Y31 product="Myelin expression factor 2" protein_id=Seg2768.4_GoldUCD_D3Y31
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.62581 Ccrux.Trinity.62581	Aurelia_aurita_Seg1913.8 Seg1913.8 transcript_id=Seg1913.8_GoldUCD_mRNA.D3Y31 product="DNA repair protein RAD50" protein_id=Seg1913.8_GoldUCD_D3Y31, Aurelia_aurita_Seg2635.7 Seg2635.7 transcript_id=Seg2635.7_GoldUCD_mRNA.D3Y31 product="High choriolytic enzyme 1" protein_id=Seg2635.7_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2484.1 Seg2484.1 transcript_id=Seg2484.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-14" protein_id=Seg2484.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3324.2 Seg3324.2 transcript_id=Seg3324.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg3324.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1899.3 Seg1899.3 transcript_id=Seg1899.3_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-15" protein_id=Seg1899.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2282.1 Seg2282.1 transcript_id=Seg2282.1_GoldUCD_mRNA.D3Y31 product="MAM and LDL-receptor class A domain-containing protein 2" protein_id=Seg2282.1_GoldUCD_D3Y31 partial=true
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.14047 Ccrux.Trinity.14047, Calvadosia_cruxmelitensis_Ccrux.Trinity.66086 Ccrux.Trinity.66086, Calvadosia_cruxmelitensis_Ccrux.Trinity.10989 Ccrux.Trinity.10989, Calvadosia_cruxmelitensis_Ccrux.Trinity.26639 Ccrux.Trinity.26639, Calvadosia_cruxmelitensis_Ccrux.Trinity.26633 Ccrux.Trinity.26633, Calvadosia_cruxmelitensis_Ccrux.Trinity.26635 Ccrux.Trinity.26635, Calvadosia_cruxmelitensis_Ccrux.Trinity.26647 Ccrux.Trinity.26647, Calvadosia_cruxmelitensis_Ccrux.Trinity.26641 Ccrux.Trinity.26641, Calvadosia_cruxmelitensis_Ccrux.Trinity.11511 Ccrux.Trinity.11511	Aurelia_aurita_Seg5180.1 Seg5180.1 transcript_id=Seg5180.1_GoldUCD_mRNA.D3Y31 product="MAM and LDL-receptor class A domain-containing protein 1" protein_id=Seg5180.1_GoldUCD_D3Y31 partial=true
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.15917 Ccrux.Trinity.15917	Aurelia_aurita_Seg765.1 Seg765.1 transcript_id=Seg765.1_GoldUCD_mRNA.D3Y31 product="Meprin A subunit beta" protein_id=Seg765.1_GoldUCD_D3Y31, Aurelia_aurita_Seg768.6 Seg768.6 transcript_id=Seg768.6_GoldUCD_mRNA.D3Y31 product="Meprin A subunit beta" protein_id=Seg768.6_GoldUCD_D3Y31
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.56208 Ccrux.Trinity.56208, Calvadosia_cruxmelitensis_Ccrux.Trinity.64070 Ccrux.Trinity.64070	Aurelia_aurita_Seg1823.3 Seg1823.3 transcript_id=Seg1823.3_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg1823.3_GoldUCD_D3Y31
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.19787 Ccrux.Trinity.19787	Aurelia_aurita_Seg1488.1 Seg1488.1 transcript_id=Seg1488.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg1488.1_GoldUCD_D3Y31
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.24982 Ccrux.Trinity.24982	Aurelia_aurita_Seg98.3 Seg98.3 transcript_id=Seg98.3_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg98.3_GoldUCD_D3Y31, Aurelia_aurita_Seg3064.3 Seg3064.3 transcript_id=Seg3064.3_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-15" protein_id=Seg3064.3_GoldUCD_D3Y31, Aurelia_aurita_Seg910.13 Seg910.13 transcript_id=Seg910.13_GoldUCD_mRNA.D3Y31 product="Methylmalonic aciduria type A-like mitochondrial" protein_id=Seg910.13_GoldUCD_D3Y31, Aurelia_aurita_Seg4360.3 Seg4360.3 transcript_id=Seg4360.3_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-6" protein_id=Seg4360.3_GoldUCD_D3Y31, Aurelia_aurita_Seg7750.2 Seg7750.2 transcript_id=Seg7750.2_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg7750.2_GoldUCD_D3Y31, Aurelia_aurita_Seg557.4 Seg557.4 transcript_id=Seg557.4_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-6" protein_id=Seg557.4_GoldUCD_D3Y31, Aurelia_aurita_Seg557.2 Seg557.2 transcript_id=Seg557.2_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg557.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg910.15 Seg910.15 transcript_id=Seg910.15_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg910.15_GoldUCD_D3Y31, Aurelia_aurita_Seg7750.1 Seg7750.1 transcript_id=Seg7750.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-6" protein_id=Seg7750.1_GoldUCD_D3Y31, Aurelia_aurita_Seg557.3 Seg557.3 transcript_id=Seg557.3_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-6" protein_id=Seg557.3_GoldUCD_D3Y31, Aurelia_aurita_Seg3064.2 Seg3064.2 transcript_id=Seg3064.2_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg3064.2_GoldUCD_D3Y31, Aurelia_aurita_Seg910.14 Seg910.14 transcript_id=Seg910.14_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg910.14_GoldUCD_D3Y31
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.70693 Ccrux.Trinity.70693	Aurelia_aurita_Seg876.1 Seg876.1 transcript_id=Seg876.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-15" protein_id=Seg876.1_GoldUCD_D3Y31 partial=true
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.3352 Ccrux.Trinity.3352	Aurelia_aurita_Seg1491.8 Seg1491.8 transcript_id=Seg1491.8_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg1491.8_GoldUCD_D3Y31, Aurelia_aurita_Seg1491.9 Seg1491.9 transcript_id=Seg1491.9_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-15" protein_id=Seg1491.9_GoldUCD_D3Y31
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.59261 Ccrux.Trinity.59261, Calvadosia_cruxmelitensis_Ccrux.Trinity.14400 Ccrux.Trinity.14400, Calvadosia_cruxmelitensis_Ccrux.Trinity.17343 Ccrux.Trinity.17343, Calvadosia_cruxmelitensis_Ccrux.Trinity.17344 Ccrux.Trinity.17344, Calvadosia_cruxmelitensis_Ccrux.Trinity.17342 Ccrux.Trinity.17342	Aurelia_aurita_Seg1121.12 Seg1121.12 transcript_id=Seg1121.12_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg1121.12_GoldUCD_D3Y31, Aurelia_aurita_Seg3715.2 Seg3715.2 transcript_id=Seg3715.2_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-6" protein_id=Seg3715.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg6310.3 Seg6310.3 transcript_id=Seg6310.3_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-15" protein_id=Seg6310.3_GoldUCD_D3Y31 partial=true
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.55366 Ccrux.Trinity.55366	Aurelia_aurita_Seg1684.7 Seg1684.7 transcript_id=Seg1684.7_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg1684.7_GoldUCD_D3Y31, Aurelia_aurita_Seg2976.2 Seg2976.2 transcript_id=Seg2976.2_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg2976.2_GoldUCD_D3Y31
OG0000006	Calvadosia_cruxmelitensis_Ccrux.Trinity.51861 Ccrux.Trinity.51861	Aurelia_aurita_Seg6.11 Seg6.11 transcript_id=Seg6.11_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg6.11_GoldUCD_D3Y31
OG0000006	Calvadosia_cruxmelitensis_Ccrux.Trinity.43303 Ccrux.Trinity.43303, Calvadosia_cruxmelitensis_Ccrux.Trinity.12212 Ccrux.Trinity.12212, Calvadosia_cruxmelitensis_Ccrux.Trinity.12211 Ccrux.Trinity.12211, Calvadosia_cruxmelitensis_Ccrux.Trinity.62582 Ccrux.Trinity.62582, Calvadosia_cruxmelitensis_Ccrux.Trinity.5644 Ccrux.Trinity.5644, Calvadosia_cruxmelitensis_Ccrux.Trinity.5643 Ccrux.Trinity.5643	Aurelia_aurita_Seg2577.1 Seg2577.1 transcript_id=Seg2577.1_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg2577.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg274.8 Seg274.8 transcript_id=Seg274.8_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg274.8_GoldUCD_D3Y31 partial=true
OG0000006	Calvadosia_cruxmelitensis_Ccrux.Trinity.46513 Ccrux.Trinity.46513, Calvadosia_cruxmelitensis_Ccrux.Trinity.46509 Ccrux.Trinity.46509	Aurelia_aurita_Seg8820.2 Seg8820.2 transcript_id=Seg8820.2_GoldUCD_mRNA.D3Y31 product="Protein lev-9" protein_id=Seg8820.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg4596.1 Seg4596.1 transcript_id=Seg4596.1_GoldUCD_mRNA.D3Y31 product="CUB and sushi domain-containing protein 3" protein_id=Seg4596.1_GoldUCD_D3Y31
