Orthogroup	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Cnidaria_Cubozoa_Morbakka_virulenta
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.12666 Ccrux.Trinity.12666, Calvadosia_cruxmelitensis_Ccrux.Trinity.12667 Ccrux.Trinity.12667, Calvadosia_cruxmelitensis_Ccrux.Trinity.49177 Ccrux.Trinity.49177, Calvadosia_cruxmelitensis_Ccrux.Trinity.49173 Ccrux.Trinity.49173, Calvadosia_cruxmelitensis_Ccrux.Trinity.49182 Ccrux.Trinity.49182	Morbakka_virulenta_scaffold99.g7.t2 scaffold99.g7.t2, Morbakka_virulenta_scaffold99.g7.t1 scaffold99.g7.t1
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.51911 Ccrux.Trinity.51911, Calvadosia_cruxmelitensis_Ccrux.Trinity.13820 Ccrux.Trinity.13820, Calvadosia_cruxmelitensis_Ccrux.Trinity.13831 Ccrux.Trinity.13831	Morbakka_virulenta_scaffold44.g41.t2 scaffold44.g41.t2, Morbakka_virulenta_scaffold44.g41.t1 scaffold44.g41.t1
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.14047 Ccrux.Trinity.14047, Calvadosia_cruxmelitensis_Ccrux.Trinity.66086 Ccrux.Trinity.66086, Calvadosia_cruxmelitensis_Ccrux.Trinity.10989 Ccrux.Trinity.10989, Calvadosia_cruxmelitensis_Ccrux.Trinity.26639 Ccrux.Trinity.26639, Calvadosia_cruxmelitensis_Ccrux.Trinity.26633 Ccrux.Trinity.26633, Calvadosia_cruxmelitensis_Ccrux.Trinity.26635 Ccrux.Trinity.26635, Calvadosia_cruxmelitensis_Ccrux.Trinity.26647 Ccrux.Trinity.26647, Calvadosia_cruxmelitensis_Ccrux.Trinity.26641 Ccrux.Trinity.26641, Calvadosia_cruxmelitensis_Ccrux.Trinity.11511 Ccrux.Trinity.11511	Morbakka_virulenta_scaffold82.g11.t1 scaffold82.g11.t1
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.15917 Ccrux.Trinity.15917	Morbakka_virulenta_scaffold376.g5.t1 scaffold376.g5.t1
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.56208 Ccrux.Trinity.56208, Calvadosia_cruxmelitensis_Ccrux.Trinity.64070 Ccrux.Trinity.64070	Morbakka_virulenta_scaffold4121.g1.t1 scaffold4121.g1.t1
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.52298 Ccrux.Trinity.52298	Morbakka_virulenta_scaffold195.g42.t1 scaffold195.g42.t1
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.19787 Ccrux.Trinity.19787	Morbakka_virulenta_scaffold39.g61.t1 scaffold39.g61.t1
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.24982 Ccrux.Trinity.24982	Morbakka_virulenta_scaffold27.g77.t1 scaffold27.g77.t1, Morbakka_virulenta_scaffold377.g16.t1 scaffold377.g16.t1
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.70693 Ccrux.Trinity.70693	Morbakka_virulenta_scaffold1609.g1.t1 scaffold1609.g1.t1
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.57017 Ccrux.Trinity.57017	Morbakka_virulenta_scaffold17.g2.t1 scaffold17.g2.t1, Morbakka_virulenta_scaffold17.g3.t1 scaffold17.g3.t1
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.3352 Ccrux.Trinity.3352	Morbakka_virulenta_scaffold255.g8.t1 scaffold255.g8.t1
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.59261 Ccrux.Trinity.59261, Calvadosia_cruxmelitensis_Ccrux.Trinity.14400 Ccrux.Trinity.14400, Calvadosia_cruxmelitensis_Ccrux.Trinity.17343 Ccrux.Trinity.17343, Calvadosia_cruxmelitensis_Ccrux.Trinity.17344 Ccrux.Trinity.17344, Calvadosia_cruxmelitensis_Ccrux.Trinity.17342 Ccrux.Trinity.17342, Calvadosia_cruxmelitensis_Ccrux.Trinity.51739 Ccrux.Trinity.51739, Calvadosia_cruxmelitensis_Ccrux.Trinity.25433 Ccrux.Trinity.25433, Calvadosia_cruxmelitensis_Ccrux.Trinity.55128 Ccrux.Trinity.55128	Morbakka_virulenta_scaffold71.g45.t2 scaffold71.g45.t2, Morbakka_virulenta_scaffold71.g45.t1 scaffold71.g45.t1
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.55366 Ccrux.Trinity.55366	Morbakka_virulenta_scaffold925.g1.t1 scaffold925.g1.t1, Morbakka_virulenta_scaffold94.g19.t1 scaffold94.g19.t1
OG0000006	Calvadosia_cruxmelitensis_Ccrux.Trinity.51861 Ccrux.Trinity.51861	Morbakka_virulenta_scaffold93.g18.t1 scaffold93.g18.t1
OG0000006	Calvadosia_cruxmelitensis_Ccrux.Trinity.25117 Ccrux.Trinity.25117	Morbakka_virulenta_scaffold315.g6.t1 scaffold315.g6.t1
OG0000006	Calvadosia_cruxmelitensis_Ccrux.Trinity.45666 Ccrux.Trinity.45666, Calvadosia_cruxmelitensis_Ccrux.Trinity.45665 Ccrux.Trinity.45665, Calvadosia_cruxmelitensis_Ccrux.Trinity.45664 Ccrux.Trinity.45664	Morbakka_virulenta_scaffold6.g93.t1 scaffold6.g93.t1
OG0000006	Calvadosia_cruxmelitensis_Ccrux.Trinity.43303 Ccrux.Trinity.43303, Calvadosia_cruxmelitensis_Ccrux.Trinity.12212 Ccrux.Trinity.12212, Calvadosia_cruxmelitensis_Ccrux.Trinity.12211 Ccrux.Trinity.12211, Calvadosia_cruxmelitensis_Ccrux.Trinity.62582 Ccrux.Trinity.62582, Calvadosia_cruxmelitensis_Ccrux.Trinity.5644 Ccrux.Trinity.5644, Calvadosia_cruxmelitensis_Ccrux.Trinity.5643 Ccrux.Trinity.5643	Morbakka_virulenta_scaffold193.g36.t1 scaffold193.g36.t1
OG0000006	Calvadosia_cruxmelitensis_Ccrux.Trinity.46513 Ccrux.Trinity.46513, Calvadosia_cruxmelitensis_Ccrux.Trinity.46509 Ccrux.Trinity.46509	Morbakka_virulenta_scaffold94.g59.t1 scaffold94.g59.t1
OG0000006	Calvadosia_cruxmelitensis_Ccrux.Trinity.8194 Ccrux.Trinity.8194, Calvadosia_cruxmelitensis_Ccrux.Trinity.8193 Ccrux.Trinity.8193	Morbakka_virulenta_scaffold71.g47.t1 scaffold71.g47.t1
OG0000006	Calvadosia_cruxmelitensis_Ccrux.Trinity.30116 Ccrux.Trinity.30116	Morbakka_virulenta_scaffold315.g11.t2 scaffold315.g11.t2
OG0000006	Calvadosia_cruxmelitensis_Ccrux.Trinity.41015 Ccrux.Trinity.41015, Calvadosia_cruxmelitensis_Ccrux.Trinity.41008 Ccrux.Trinity.41008, Calvadosia_cruxmelitensis_Ccrux.Trinity.41010 Ccrux.Trinity.41010, Calvadosia_cruxmelitensis_Ccrux.Trinity.41013 Ccrux.Trinity.41013, Calvadosia_cruxmelitensis_Ccrux.Trinity.22552 Ccrux.Trinity.22552, Calvadosia_cruxmelitensis_Ccrux.Trinity.16427 Ccrux.Trinity.16427	Morbakka_virulenta_scaffold337.g6.t3 scaffold337.g6.t3, Morbakka_virulenta_scaffold337.g6.t1 scaffold337.g6.t1, Morbakka_virulenta_scaffold337.g6.t2 scaffold337.g6.t2, Morbakka_virulenta_scaffold247.g18.t2 scaffold247.g18.t2, Morbakka_virulenta_scaffold247.g18.t1 scaffold247.g18.t1, Morbakka_virulenta_scaffold247.g23.t1 scaffold247.g23.t1, Morbakka_virulenta_scaffold247.g14.t1 scaffold247.g14.t1
OG0000007	Calvadosia_cruxmelitensis_Ccrux.Trinity.58492 Ccrux.Trinity.58492	Morbakka_virulenta_scaffold123.g34.t1 scaffold123.g34.t1
OG0000007	Calvadosia_cruxmelitensis_Ccrux.Trinity.12213 Ccrux.Trinity.12213	Morbakka_virulenta_scaffold38.g84.t1 scaffold38.g84.t1
OG0000007	Calvadosia_cruxmelitensis_Ccrux.Trinity.58151 Ccrux.Trinity.58151	Morbakka_virulenta_scaffold27.g28.t1 scaffold27.g28.t1
OG0000008	Calvadosia_cruxmelitensis_Ccrux.Trinity.338 Ccrux.Trinity.338	Morbakka_virulenta_scaffold100.g41.t1 scaffold100.g41.t1
OG0000008	Calvadosia_cruxmelitensis_Ccrux.Trinity.12174 Ccrux.Trinity.12174	Morbakka_virulenta_scaffold478.g17.t2 scaffold478.g17.t2, Morbakka_virulenta_scaffold478.g17.t1 scaffold478.g17.t1
OG0000008	Calvadosia_cruxmelitensis_Ccrux.Trinity.58418 Ccrux.Trinity.58418	Morbakka_virulenta_scaffold37.g88.t1 scaffold37.g88.t1
OG0000008	Calvadosia_cruxmelitensis_Ccrux.Trinity.73451 Ccrux.Trinity.73451	Morbakka_virulenta_scaffold100.g35.t1 scaffold100.g35.t1
OG0000008	Calvadosia_cruxmelitensis_Ccrux.Trinity.67324 Ccrux.Trinity.67324	Morbakka_virulenta_scaffold100.g44.t1 scaffold100.g44.t1
OG0000008	Calvadosia_cruxmelitensis_Ccrux.Trinity.56901 Ccrux.Trinity.56901	Morbakka_virulenta_scaffold100.g39.t1 scaffold100.g39.t1, Morbakka_virulenta_scaffold100.g37.t2 scaffold100.g37.t2, Morbakka_virulenta_scaffold100.g37.t1 scaffold100.g37.t1
OG0000008	Calvadosia_cruxmelitensis_Ccrux.Trinity.8389 Ccrux.Trinity.8389, Calvadosia_cruxmelitensis_Ccrux.Trinity.66463 Ccrux.Trinity.66463	Morbakka_virulenta_scaffold100.g34.t4 scaffold100.g34.t4, Morbakka_virulenta_scaffold100.g34.t1 scaffold100.g34.t1, Morbakka_virulenta_scaffold100.g34.t2 scaffold100.g34.t2, Morbakka_virulenta_scaffold100.g34.t3 scaffold100.g34.t3
OG0000008	Calvadosia_cruxmelitensis_Ccrux.Trinity.70858 Ccrux.Trinity.70858, Calvadosia_cruxmelitensis_Ccrux.Trinity.74504 Ccrux.Trinity.74504, Calvadosia_cruxmelitensis_Ccrux.Trinity.71778 Ccrux.Trinity.71778, Calvadosia_cruxmelitensis_Ccrux.Trinity.5259 Ccrux.Trinity.5259	Morbakka_virulenta_scaffold100.g40.t2 scaffold100.g40.t2, Morbakka_virulenta_scaffold100.g40.t1 scaffold100.g40.t1
OG0000008	Calvadosia_cruxmelitensis_Ccrux.Trinity.11745 Ccrux.Trinity.11745, Calvadosia_cruxmelitensis_Ccrux.Trinity.11744 Ccrux.Trinity.11744	Morbakka_virulenta_scaffold35.g73.t1 scaffold35.g73.t1
OG0000009	Calvadosia_cruxmelitensis_Ccrux.Trinity.64953 Ccrux.Trinity.64953	Morbakka_virulenta_scaffold17.g59.t1 scaffold17.g59.t1
OG0000009	Calvadosia_cruxmelitensis_Ccrux.Trinity.21187 Ccrux.Trinity.21187, Calvadosia_cruxmelitensis_Ccrux.Trinity.21188 Ccrux.Trinity.21188, Calvadosia_cruxmelitensis_Ccrux.Trinity.21184 Ccrux.Trinity.21184	Morbakka_virulenta_scaffold585.g3.t1 scaffold585.g3.t1, Morbakka_virulenta_scaffold585.g3.t2 scaffold585.g3.t2
OG0000009	Calvadosia_cruxmelitensis_Ccrux.Trinity.47416 Ccrux.Trinity.47416, Calvadosia_cruxmelitensis_Ccrux.Trinity.47411 Ccrux.Trinity.47411, Calvadosia_cruxmelitensis_Ccrux.Trinity.47413 Ccrux.Trinity.47413, Calvadosia_cruxmelitensis_Ccrux.Trinity.47403 Ccrux.Trinity.47403, Calvadosia_cruxmelitensis_Ccrux.Trinity.47404 Ccrux.Trinity.47404	Morbakka_virulenta_scaffold112.g2.t1 scaffold112.g2.t1, Morbakka_virulenta_scaffold112.g2.t2 scaffold112.g2.t2
OG0000009	Calvadosia_cruxmelitensis_Ccrux.Trinity.60099 Ccrux.Trinity.60099, Calvadosia_cruxmelitensis_Ccrux.Trinity.60098 Ccrux.Trinity.60098	Morbakka_virulenta_scaffold30.g63.t1 scaffold30.g63.t1
OG0000009	Calvadosia_cruxmelitensis_Ccrux.Trinity.66832 Ccrux.Trinity.66832	Morbakka_virulenta_scaffold2220.g1.t1 scaffold2220.g1.t1
OG0000009	Calvadosia_cruxmelitensis_Ccrux.Trinity.70271 Ccrux.Trinity.70271, Calvadosia_cruxmelitensis_Ccrux.Trinity.68255 Ccrux.Trinity.68255	Morbakka_virulenta_scaffold574.g3.t1 scaffold574.g3.t1
OG0000009	Calvadosia_cruxmelitensis_Ccrux.Trinity.72099 Ccrux.Trinity.72099	Morbakka_virulenta_scaffold195.g26.t2 scaffold195.g26.t2
OG0000009	Calvadosia_cruxmelitensis_Ccrux.Trinity.37263 Ccrux.Trinity.37263, Calvadosia_cruxmelitensis_Ccrux.Trinity.37262 Ccrux.Trinity.37262	Morbakka_virulenta_scaffold70.g34.t2 scaffold70.g34.t2, Morbakka_virulenta_scaffold70.g34.t1 scaffold70.g34.t1
OG0000009	Calvadosia_cruxmelitensis_Ccrux.Trinity.34947 Ccrux.Trinity.34947, Calvadosia_cruxmelitensis_Ccrux.Trinity.34956 Ccrux.Trinity.34956, Calvadosia_cruxmelitensis_Ccrux.Trinity.34949 Ccrux.Trinity.34949	Morbakka_virulenta_scaffold397.g10.t2 scaffold397.g10.t2, Morbakka_virulenta_scaffold397.g10.t3 scaffold397.g10.t3, Morbakka_virulenta_scaffold397.g10.t1 scaffold397.g10.t1
OG0000009	Calvadosia_cruxmelitensis_Ccrux.Trinity.29736 Ccrux.Trinity.29736	Morbakka_virulenta_scaffold171.g6.t1 scaffold171.g6.t1
OG0000009	Calvadosia_cruxmelitensis_Ccrux.Trinity.69203 Ccrux.Trinity.69203	Morbakka_virulenta_scaffold116.g38.t1 scaffold116.g38.t1, Morbakka_virulenta_scaffold356.g7.t1 scaffold356.g7.t1
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.16979 Ccrux.Trinity.16979	Morbakka_virulenta_scaffold467.g4.t1 scaffold467.g4.t1, Morbakka_virulenta_scaffold467.g4.t2 scaffold467.g4.t2
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.42984 Ccrux.Trinity.42984, Calvadosia_cruxmelitensis_Ccrux.Trinity.42985 Ccrux.Trinity.42985, Calvadosia_cruxmelitensis_Ccrux.Trinity.42982 Ccrux.Trinity.42982	Morbakka_virulenta_scaffold317.g5.t2 scaffold317.g5.t2, Morbakka_virulenta_scaffold317.g5.t1 scaffold317.g5.t1
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.43634 Ccrux.Trinity.43634	Morbakka_virulenta_scaffold425.g3.t1 scaffold425.g3.t1, Morbakka_virulenta_scaffold425.g3.t2 scaffold425.g3.t2
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.34801 Ccrux.Trinity.34801, Calvadosia_cruxmelitensis_Ccrux.Trinity.34794 Ccrux.Trinity.34794, Calvadosia_cruxmelitensis_Ccrux.Trinity.34809 Ccrux.Trinity.34809	Morbakka_virulenta_scaffold44.g75.t1 scaffold44.g75.t1
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.37586 Ccrux.Trinity.37586, Calvadosia_cruxmelitensis_Ccrux.Trinity.37581 Ccrux.Trinity.37581, Calvadosia_cruxmelitensis_Ccrux.Trinity.37570 Ccrux.Trinity.37570, Calvadosia_cruxmelitensis_Ccrux.Trinity.37568 Ccrux.Trinity.37568, Calvadosia_cruxmelitensis_Ccrux.Trinity.37565 Ccrux.Trinity.37565, Calvadosia_cruxmelitensis_Ccrux.Trinity.37577 Ccrux.Trinity.37577, Calvadosia_cruxmelitensis_Ccrux.Trinity.37588 Ccrux.Trinity.37588	Morbakka_virulenta_scaffold13.g19.t2 scaffold13.g19.t2, Morbakka_virulenta_scaffold13.g19.t3 scaffold13.g19.t3, Morbakka_virulenta_scaffold13.g19.t1 scaffold13.g19.t1
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.50075 Ccrux.Trinity.50075	Morbakka_virulenta_scaffold2.g140.t1 scaffold2.g140.t1, Morbakka_virulenta_scaffold145.g1.t1 scaffold145.g1.t1, Morbakka_virulenta_scaffold192.g9.t1 scaffold192.g9.t1
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.45857 Ccrux.Trinity.45857, Calvadosia_cruxmelitensis_Ccrux.Trinity.45858 Ccrux.Trinity.45858, Calvadosia_cruxmelitensis_Ccrux.Trinity.45852 Ccrux.Trinity.45852, Calvadosia_cruxmelitensis_Ccrux.Trinity.66018 Ccrux.Trinity.66018	Morbakka_virulenta_scaffold47.g97.t1 scaffold47.g97.t1
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.58517 Ccrux.Trinity.58517, Calvadosia_cruxmelitensis_Ccrux.Trinity.57575 Ccrux.Trinity.57575	Morbakka_virulenta_scaffold535.g12.t1 scaffold535.g12.t1
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.36547 Ccrux.Trinity.36547, Calvadosia_cruxmelitensis_Ccrux.Trinity.36546 Ccrux.Trinity.36546	Morbakka_virulenta_scaffold149.g12.t1 scaffold149.g12.t1, Morbakka_virulenta_scaffold149.g12.t2 scaffold149.g12.t2
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.29340 Ccrux.Trinity.29340, Calvadosia_cruxmelitensis_Ccrux.Trinity.2222 Ccrux.Trinity.2222, Calvadosia_cruxmelitensis_Ccrux.Trinity.2223 Ccrux.Trinity.2223, Calvadosia_cruxmelitensis_Ccrux.Trinity.67054 Ccrux.Trinity.67054	Morbakka_virulenta_scaffold60.g6.t2 scaffold60.g6.t2, Morbakka_virulenta_scaffold60.g6.t3 scaffold60.g6.t3, Morbakka_virulenta_scaffold60.g6.t1 scaffold60.g6.t1
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.42201 Ccrux.Trinity.42201	Morbakka_virulenta_scaffold16.g68.t2 scaffold16.g68.t2, Morbakka_virulenta_scaffold16.g68.t1 scaffold16.g68.t1
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.6213 Ccrux.Trinity.6213, Calvadosia_cruxmelitensis_Ccrux.Trinity.6216 Ccrux.Trinity.6216	Morbakka_virulenta_scaffold386.g7.t1 scaffold386.g7.t1, Morbakka_virulenta_scaffold386.g7.t2 scaffold386.g7.t2, Morbakka_virulenta_scaffold386.g12.t1 scaffold386.g12.t1
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.9249 Ccrux.Trinity.9249, Calvadosia_cruxmelitensis_Ccrux.Trinity.9248 Ccrux.Trinity.9248	Morbakka_virulenta_scaffold61.g42.t2 scaffold61.g42.t2, Morbakka_virulenta_scaffold40.g13.t1 scaffold40.g13.t1
OG0000012	Calvadosia_cruxmelitensis_Ccrux.Trinity.18442 Ccrux.Trinity.18442	Morbakka_virulenta_scaffold150.g44.t1 scaffold150.g44.t1
OG0000012	Calvadosia_cruxmelitensis_Ccrux.Trinity.71725 Ccrux.Trinity.71725	Morbakka_virulenta_scaffold155.g40.t1 scaffold155.g40.t1, Morbakka_virulenta_scaffold155.g40.t2 scaffold155.g40.t2
OG0000012	Calvadosia_cruxmelitensis_Ccrux.Trinity.67526 Ccrux.Trinity.67526	Morbakka_virulenta_scaffold150.g43.t1 scaffold150.g43.t1
OG0000012	Calvadosia_cruxmelitensis_Ccrux.Trinity.53296 Ccrux.Trinity.53296	Morbakka_virulenta_scaffold307.g17.t1 scaffold307.g17.t1
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.15441 Ccrux.Trinity.15441, Calvadosia_cruxmelitensis_Ccrux.Trinity.15442 Ccrux.Trinity.15442	Morbakka_virulenta_scaffold383.g6.t1 scaffold383.g6.t1
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.12887 Ccrux.Trinity.12887, Calvadosia_cruxmelitensis_Ccrux.Trinity.12891 Ccrux.Trinity.12891, Calvadosia_cruxmelitensis_Ccrux.Trinity.12894 Ccrux.Trinity.12894	Morbakka_virulenta_scaffold120.g22.t1 scaffold120.g22.t1
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.69596 Ccrux.Trinity.69596, Calvadosia_cruxmelitensis_Ccrux.Trinity.69595 Ccrux.Trinity.69595	Morbakka_virulenta_scaffold120.g23.t2 scaffold120.g23.t2, Morbakka_virulenta_scaffold1708.g1.t1 scaffold1708.g1.t1, Morbakka_virulenta_scaffold120.g23.t1 scaffold120.g23.t1
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.52696 Ccrux.Trinity.52696, Calvadosia_cruxmelitensis_Ccrux.Trinity.52694 Ccrux.Trinity.52694	Morbakka_virulenta_scaffold3.g1.t1 scaffold3.g1.t1
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.56830 Ccrux.Trinity.56830, Calvadosia_cruxmelitensis_Ccrux.Trinity.58867 Ccrux.Trinity.58867	Morbakka_virulenta_scaffold426.g7.t1 scaffold426.g7.t1
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.26517 Ccrux.Trinity.26517, Calvadosia_cruxmelitensis_Ccrux.Trinity.26521 Ccrux.Trinity.26521, Calvadosia_cruxmelitensis_Ccrux.Trinity.26524 Ccrux.Trinity.26524	Morbakka_virulenta_scaffold173.g13.t1 scaffold173.g13.t1, Morbakka_virulenta_scaffold173.g13.t2 scaffold173.g13.t2
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.55161 Ccrux.Trinity.55161	Morbakka_virulenta_scaffold18.g46.t1 scaffold18.g46.t1
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.14159 Ccrux.Trinity.14159	Morbakka_virulenta_scaffold18.g51.t1 scaffold18.g51.t1
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.65958 Ccrux.Trinity.65958	Morbakka_virulenta_scaffold12.g86.t1 scaffold12.g86.t1
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.5191 Ccrux.Trinity.5191	Morbakka_virulenta_scaffold536.g7.t1 scaffold536.g7.t1
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.66323 Ccrux.Trinity.66323	Morbakka_virulenta_scaffold86.g22.t1 scaffold86.g22.t1
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.18676 Ccrux.Trinity.18676, Calvadosia_cruxmelitensis_Ccrux.Trinity.18675 Ccrux.Trinity.18675, Calvadosia_cruxmelitensis_Ccrux.Trinity.18677 Ccrux.Trinity.18677	Morbakka_virulenta_scaffold67.g21.t1 scaffold67.g21.t1
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.32441 Ccrux.Trinity.32441, Calvadosia_cruxmelitensis_Ccrux.Trinity.32444 Ccrux.Trinity.32444, Calvadosia_cruxmelitensis_Ccrux.Trinity.32433 Ccrux.Trinity.32433, Calvadosia_cruxmelitensis_Ccrux.Trinity.32425 Ccrux.Trinity.32425, Calvadosia_cruxmelitensis_Ccrux.Trinity.32411 Ccrux.Trinity.32411	Morbakka_virulenta_scaffold2.g203.t4 scaffold2.g203.t4, Morbakka_virulenta_scaffold2.g203.t2 scaffold2.g203.t2
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.32439 Ccrux.Trinity.32439, Calvadosia_cruxmelitensis_Ccrux.Trinity.32432 Ccrux.Trinity.32432, Calvadosia_cruxmelitensis_Ccrux.Trinity.32426 Ccrux.Trinity.32426, Calvadosia_cruxmelitensis_Ccrux.Trinity.32445 Ccrux.Trinity.32445	Morbakka_virulenta_scaffold2.g203.t3 scaffold2.g203.t3, Morbakka_virulenta_scaffold2.g203.t1 scaffold2.g203.t1
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.6999 Ccrux.Trinity.6999, Calvadosia_cruxmelitensis_Ccrux.Trinity.7004 Ccrux.Trinity.7004, Calvadosia_cruxmelitensis_Ccrux.Trinity.7007 Ccrux.Trinity.7007	Morbakka_virulenta_scaffold164.g20.t1 scaffold164.g20.t1
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.9543 Ccrux.Trinity.9543	Morbakka_virulenta_scaffold105.g40.t1 scaffold105.g40.t1
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.70705 Ccrux.Trinity.70705	Morbakka_virulenta_scaffold175.g51.t1 scaffold175.g51.t1
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.40003 Ccrux.Trinity.40003, Calvadosia_cruxmelitensis_Ccrux.Trinity.39999 Ccrux.Trinity.39999, Calvadosia_cruxmelitensis_Ccrux.Trinity.40000 Ccrux.Trinity.40000, Calvadosia_cruxmelitensis_Ccrux.Trinity.40004 Ccrux.Trinity.40004, Calvadosia_cruxmelitensis_Ccrux.Trinity.40001 Ccrux.Trinity.40001, Calvadosia_cruxmelitensis_Ccrux.Trinity.40006 Ccrux.Trinity.40006, Calvadosia_cruxmelitensis_Ccrux.Trinity.40002 Ccrux.Trinity.40002	Morbakka_virulenta_scaffold269.g24.t1 scaffold269.g24.t1
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.13837 Ccrux.Trinity.13837, Calvadosia_cruxmelitensis_Ccrux.Trinity.13838 Ccrux.Trinity.13838, Calvadosia_cruxmelitensis_Ccrux.Trinity.13836 Ccrux.Trinity.13836	Morbakka_virulenta_scaffold116.g38.t2 scaffold116.g38.t2, Morbakka_virulenta_scaffold116.g38.t3 scaffold116.g38.t3
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.2396 Ccrux.Trinity.2396	Morbakka_virulenta_scaffold116.g39.t1 scaffold116.g39.t1
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.32556 Ccrux.Trinity.32556	Morbakka_virulenta_scaffold257.g6.t2 scaffold257.g6.t2, Morbakka_virulenta_scaffold257.g6.t1 scaffold257.g6.t1
OG0000015	Calvadosia_cruxmelitensis_Ccrux.Trinity.58363 Ccrux.Trinity.58363	Morbakka_virulenta_scaffold147.g49.t1 scaffold147.g49.t1, Morbakka_virulenta_scaffold147.g50.t1 scaffold147.g50.t1, Morbakka_virulenta_scaffold147.g50.t2 scaffold147.g50.t2
OG0000015	Calvadosia_cruxmelitensis_Ccrux.Trinity.70444 Ccrux.Trinity.70444	Morbakka_virulenta_scaffold276.g24.t3 scaffold276.g24.t3, Morbakka_virulenta_scaffold276.g24.t4 scaffold276.g24.t4, Morbakka_virulenta_scaffold276.g24.t1 scaffold276.g24.t1, Morbakka_virulenta_scaffold276.g24.t2 scaffold276.g24.t2
OG0000015	Calvadosia_cruxmelitensis_Ccrux.Trinity.70523 Ccrux.Trinity.70523	Morbakka_virulenta_scaffold70.g1.t1 scaffold70.g1.t1
OG0000016	Calvadosia_cruxmelitensis_Ccrux.Trinity.6474 Ccrux.Trinity.6474	Morbakka_virulenta_scaffold88.g16.t1 scaffold88.g16.t1, Morbakka_virulenta_scaffold69.g105.t1 scaffold69.g105.t1, Morbakka_virulenta_scaffold69.g105.t2 scaffold69.g105.t2, Morbakka_virulenta_scaffold45.g73.t1 scaffold45.g73.t1, Morbakka_virulenta_scaffold45.g74.t1 scaffold45.g74.t1
OG0000016	Calvadosia_cruxmelitensis_Ccrux.Trinity.31635 Ccrux.Trinity.31635, Calvadosia_cruxmelitensis_Ccrux.Trinity.31638 Ccrux.Trinity.31638	Morbakka_virulenta_scaffold87.g11.t1 scaffold87.g11.t1, Morbakka_virulenta_scaffold87.g9.t1 scaffold87.g9.t1, Morbakka_virulenta_scaffold87.g10.t1 scaffold87.g10.t1
