Orthogroup	Chordata_Amphioxiformes_Branchiostoma_lanceolatum	Cnidaria_Anthozoa_Exaiptasia_diaphana
OG0000007	Branchiostoma_lanceolatum_tr_A0A8K0AAS3_A0A8K0AAS3_BRALA tr|A0A8K0AAS3|A0A8K0AAS3_BRALA SUSD2 protein OS=Branchiostoma lanceolatum OX=7740 GN=SUSD2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZSI1_A0A8J9ZSI1_BRALA tr|A0A8J9ZSI1|A0A8J9ZSI1_BRALA SUSD2 protein OS=Branchiostoma lanceolatum OX=7740 GN=SUSD2 PE=4 SV=1	Exaiptasia_diaphana_XP_028513923.1 XP_028513923.1 sushi domain-containing protein 2 [Exaiptasia diaphana]
OG0000007	Branchiostoma_lanceolatum_tr_A0A8K0EEE0_A0A8K0EEE0_BRALA tr|A0A8K0EEE0|A0A8K0EEE0_BRALA SCUBE1 protein OS=Branchiostoma lanceolatum OX=7740 GN=SCUBE1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YMW5_A0A8J9YMW5_BRALA tr|A0A8J9YMW5|A0A8J9YMW5_BRALA FBLN2 protein OS=Branchiostoma lanceolatum OX=7740 GN=FBLN2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YN27_A0A8J9YN27_BRALA tr|A0A8J9YN27|A0A8J9YN27_BRALA MUC4 protein OS=Branchiostoma lanceolatum OX=7740 GN=MUC4 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8S4MPR8_A0A8S4MPR8_BRALA tr|A0A8S4MPR8|A0A8S4MPR8_BRALA MUC4 protein OS=Branchiostoma lanceolatum OX=7740 GN=MUC4 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZWA2_A0A8J9ZWA2_BRALA tr|A0A8J9ZWA2|A0A8J9ZWA2_BRALA MUC4 protein OS=Branchiostoma lanceolatum OX=7740 GN=MUC4 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZFN5_A0A8J9ZFN5_BRALA tr|A0A8J9ZFN5|A0A8J9ZFN5_BRALA MUC4 protein OS=Branchiostoma lanceolatum OX=7740 GN=MUC4 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VX38_A0A8J9VX38_BRALA tr|A0A8J9VX38|A0A8J9VX38_BRALA SUSD2 protein OS=Branchiostoma lanceolatum OX=7740 GN=SUSD2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VX32_A0A8J9VX32_BRALA tr|A0A8J9VX32|A0A8J9VX32_BRALA HMCN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=HMCN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9WBJ0_A0A8J9WBJ0_BRALA tr|A0A8J9WBJ0|A0A8J9WBJ0_BRALA HMCN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=HMCN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9V674_A0A8J9V674_BRALA tr|A0A8J9V674|A0A8J9V674_BRALA MUC4 protein OS=Branchiostoma lanceolatum OX=7740 GN=MUC4 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A5J4_A0A8K0A5J4_BRALA tr|A0A8K0A5J4|A0A8K0A5J4_BRALA MUC4 protein OS=Branchiostoma lanceolatum OX=7740 GN=MUC4 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A4A1_A0A8K0A4A1_BRALA tr|A0A8K0A4A1|A0A8K0A4A1_BRALA MUC4 protein OS=Branchiostoma lanceolatum OX=7740 GN=MUC4 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YPB0_A0A8J9YPB0_BRALA tr|A0A8J9YPB0|A0A8J9YPB0_BRALA MUC4 protein OS=Branchiostoma lanceolatum OX=7740 GN=MUC4 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZU91_A0A8J9ZU91_BRALA tr|A0A8J9ZU91|A0A8J9ZU91_BRALA MUC4 protein OS=Branchiostoma lanceolatum OX=7740 GN=MUC4 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YJ63_A0A8J9YJ63_BRALA tr|A0A8J9YJ63|A0A8J9YJ63_BRALA SCUBE3 protein OS=Branchiostoma lanceolatum OX=7740 GN=SCUBE3 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ENQ7_A0A8K0ENQ7_BRALA tr|A0A8K0ENQ7|A0A8K0ENQ7_BRALA NOTCH2 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EL69_A0A8K0EL69_BRALA tr|A0A8K0EL69|A0A8K0EL69_BRALA NOTCH2 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EL95_A0A8K0EL95_BRALA tr|A0A8K0EL95|A0A8K0EL95_BRALA NOTCH2 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EJ85_A0A8K0EJ85_BRALA tr|A0A8K0EJ85|A0A8K0EJ85_BRALA NOTCH2 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZKP4_A0A8J9ZKP4_BRALA tr|A0A8J9ZKP4|A0A8J9ZKP4_BRALA NOTCH2 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZM19_A0A8J9ZM19_BRALA tr|A0A8J9ZM19|A0A8J9ZM19_BRALA NOTCH2 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EP79_A0A8K0EP79_BRALA tr|A0A8K0EP79|A0A8K0EP79_BRALA NOTCH2 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZKQ0_A0A8J9ZKQ0_BRALA tr|A0A8J9ZKQ0|A0A8J9ZKQ0_BRALA NOTCH2 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZLH3_A0A8J9ZLH3_BRALA tr|A0A8J9ZLH3|A0A8J9ZLH3_BRALA NOTCH2 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EX11_A0A8K0EX11_BRALA tr|A0A8K0EX11|A0A8K0EX11_BRALA MUC4 protein OS=Branchiostoma lanceolatum OX=7740 GN=MUC4 PE=4 SV=1	Exaiptasia_diaphana_XP_028517538.1 XP_028517538.1 mucin-like protein_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518064.1 XP_028518064.1 mucin-like protein_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518950.1 XP_028518950.1 mucin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893670.2 XP_020893670.2 mucin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517536.1 XP_028517536.1 mucin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902301.1 XP_020902301.1 mucin-like protein_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515682.1 XP_028515682.1 uncharacterized protein LOC110241747 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513418.1 XP_028513418.1 uncharacterized protein LOC110234357 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915371.2 XP_020915371.2 mucin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915241.1 XP_020915241.1 mucin-like protein_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514098.1 XP_028514098.1 mucin-like protein_ partial [Exaiptasia diaphana]
OG0000008	Branchiostoma_lanceolatum_tr_A0A8J9VGQ0_A0A8J9VGQ0_BRALA tr|A0A8J9VGQ0|A0A8J9VGQ0_BRALA UMOD protein OS=Branchiostoma lanceolatum OX=7740 GN=UMOD PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VF20_A0A8J9VF20_BRALA tr|A0A8J9VF20|A0A8J9VF20_BRALA UMOD protein OS=Branchiostoma lanceolatum OX=7740 GN=UMOD PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VJX1_A0A8J9VJX1_BRALA tr|A0A8J9VJX1|A0A8J9VJX1_BRALA OIT3 protein OS=Branchiostoma lanceolatum OX=7740 GN=OIT3 PE=4 SV=1	Exaiptasia_diaphana_XP_020896870.2 XP_020896870.2 putative uncharacterized protein DDB_G0290521 [Exaiptasia diaphana]
OG0000008	Branchiostoma_lanceolatum_tr_A0A8K0ACV0_A0A8K0ACV0_BRALA tr|A0A8K0ACV0|A0A8K0ACV0_BRALA CRB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=CRB1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F2Q6_A0A8K0F2Q6_BRALA tr|A0A8K0F2Q6|A0A8K0F2Q6_BRALA CRB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=CRB1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EZT3_A0A8K0EZT3_BRALA tr|A0A8K0EZT3|A0A8K0EZT3_BRALA CRB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=CRB1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F285_A0A8K0F285_BRALA tr|A0A8K0F285|A0A8K0F285_BRALA CRB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=CRB1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EX27_A0A8K0EX27_BRALA tr|A0A8K0EX27|A0A8K0EX27_BRALA CRB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=CRB1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EZC6_A0A8K0EZC6_BRALA tr|A0A8K0EZC6|A0A8K0EZC6_BRALA CRB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=CRB1 PE=4 SV=1	Exaiptasia_diaphana_XP_028518339.1 XP_028518339.1 protein crumbs homolog 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517733.1 XP_028517733.1 neurogenic locus notch homolog protein 1 [Exaiptasia diaphana]
OG0000008	Branchiostoma_lanceolatum_tr_A0A8K0EJB1_A0A8K0EJB1_BRALA tr|A0A8K0EJB1|A0A8K0EJB1_BRALA chitinase OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH2 PE=4 SV=1	Exaiptasia_diaphana_XP_028516250.1 XP_028516250.1 fibropellin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907949.1 XP_020907949.1 fibropellin-1_ partial [Exaiptasia diaphana]
OG0000009	Branchiostoma_lanceolatum_tr_A0A8K0EA43_A0A8K0EA43_BRALA tr|A0A8K0EA43|A0A8K0EA43_BRALA TLL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=TLL1 PE=4 SV=1	Exaiptasia_diaphana_XP_020913508.1 XP_020913508.1 tolloid-like protein 2 [Exaiptasia diaphana]
OG0000009	Branchiostoma_lanceolatum_tr_A0A8K0EEX7_A0A8K0EEX7_BRALA tr|A0A8K0EEX7|A0A8K0EEX7_BRALA Metalloendopeptidase OS=Branchiostoma lanceolatum OX=7740 GN=BMP1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EHJ5_A0A8K0EHJ5_BRALA tr|A0A8K0EHJ5|A0A8K0EHJ5_BRALA Metalloendopeptidase OS=Branchiostoma lanceolatum OX=7740 GN=BMP1 PE=4 SV=1	Exaiptasia_diaphana_XP_020902137.1 XP_020902137.1 nematocyst expressed protein 6 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020891852.1 XP_020891852.1 uncharacterized protein LOC110231209 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512500.1 XP_028512500.1 uncharacterized protein LOC110231209 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512501.1 XP_028512501.1 uncharacterized protein LOC110231209 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512503.1 XP_028512503.1 uncharacterized protein LOC110231209 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512502.1 XP_028512502.1 uncharacterized protein LOC110231209 isoform X3 [Exaiptasia diaphana]
OG0000009	Branchiostoma_lanceolatum_tr_A0A8K0EAQ2_A0A8K0EAQ2_BRALA tr|A0A8K0EAQ2|A0A8K0EAQ2_BRALA MFRP protein OS=Branchiostoma lanceolatum OX=7740 GN=MFRP PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EGF9_A0A8K0EGF9_BRALA tr|A0A8K0EGF9|A0A8K0EGF9_BRALA NRP2 protein OS=Branchiostoma lanceolatum OX=7740 GN=NRP2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ABF7_A0A8K0ABF7_BRALA tr|A0A8K0ABF7|A0A8K0ABF7_BRALA BMP1 protein OS=Branchiostoma lanceolatum OX=7740 GN=BMP1 PE=4 SV=1	Exaiptasia_diaphana_XP_028515415.1 XP_028515415.1 CUB and peptidase domain-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515413.1 XP_028515413.1 ribosome-binding protein 1-like [Exaiptasia diaphana]
OG0000009	Branchiostoma_lanceolatum_tr_A0A8J9ZM43_A0A8J9ZM43_BRALA tr|A0A8J9ZM43|A0A8J9ZM43_BRALA PRX protein OS=Branchiostoma lanceolatum OX=7740 GN=PRX PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZIM1_A0A8J9ZIM1_BRALA tr|A0A8J9ZIM1|A0A8J9ZIM1_BRALA CSMD3 protein OS=Branchiostoma lanceolatum OX=7740 GN=CSMD3 PE=3 SV=1	Exaiptasia_diaphana_XP_028518737.1 XP_028518737.1 protein SpAN [Exaiptasia diaphana]
OG0000009	Branchiostoma_lanceolatum_tr_A0A8J9YT45_A0A8J9YT45_BRALA tr|A0A8J9YT45|A0A8J9YT45_BRALA CUBN protein OS=Branchiostoma lanceolatum OX=7740 GN=CUBN PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0E9B4_A0A8K0E9B4_BRALA tr|A0A8K0E9B4|A0A8K0E9B4_BRALA CUBN protein OS=Branchiostoma lanceolatum OX=7740 GN=CUBN PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0E385_A0A8K0E385_BRALA tr|A0A8K0E385|A0A8K0E385_BRALA CUBN protein OS=Branchiostoma lanceolatum OX=7740 GN=CUBN PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z7A3_A0A8J9Z7A3_BRALA tr|A0A8J9Z7A3|A0A8J9Z7A3_BRALA TLL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=TLL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z8V5_A0A8J9Z8V5_BRALA tr|A0A8J9Z8V5|A0A8J9Z8V5_BRALA BMP1 protein OS=Branchiostoma lanceolatum OX=7740 GN=BMP1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z8G0_A0A8J9Z8G0_BRALA tr|A0A8J9Z8G0|A0A8J9Z8G0_BRALA TLL2 protein OS=Branchiostoma lanceolatum OX=7740 GN=TLL2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z8L8_A0A8J9Z8L8_BRALA tr|A0A8J9Z8L8|A0A8J9Z8L8_BRALA TNFAIP6 protein OS=Branchiostoma lanceolatum OX=7740 GN=TNFAIP6 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EFH3_A0A8K0EFH3_BRALA tr|A0A8K0EFH3|A0A8K0EFH3_BRALA TLL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=TLL1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EDM0_A0A8K0EDM0_BRALA tr|A0A8K0EDM0|A0A8K0EDM0_BRALA TLL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=TLL1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EBH7_A0A8K0EBH7_BRALA tr|A0A8K0EBH7|A0A8K0EBH7_BRALA TLL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=TLL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EFW4_A0A8K0EFW4_BRALA tr|A0A8K0EFW4|A0A8K0EFW4_BRALA TLL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=TLL1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z4J0_A0A8J9Z4J0_BRALA tr|A0A8J9Z4J0|A0A8J9Z4J0_BRALA TLL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=TLL1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z3H4_A0A8J9Z3H4_BRALA tr|A0A8J9Z3H4|A0A8J9Z3H4_BRALA TLL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=TLL1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z441_A0A8J9Z441_BRALA tr|A0A8J9Z441|A0A8J9Z441_BRALA TLL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=TLL1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z4F3_A0A8J9Z4F3_BRALA tr|A0A8J9Z4F3|A0A8J9Z4F3_BRALA TLL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=TLL1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z3F8_A0A8J9Z3F8_BRALA tr|A0A8J9Z3F8|A0A8J9Z3F8_BRALA TLL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=TLL1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z4Q2_A0A8J9Z4Q2_BRALA tr|A0A8J9Z4Q2|A0A8J9Z4Q2_BRALA TLL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=TLL1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z3J8_A0A8J9Z3J8_BRALA tr|A0A8J9Z3J8|A0A8J9Z3J8_BRALA TLL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=TLL1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ECK1_A0A8K0ECK1_BRALA tr|A0A8K0ECK1|A0A8K0ECK1_BRALA TLL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=TLL1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z4D5_A0A8J9Z4D5_BRALA tr|A0A8J9Z4D5|A0A8J9Z4D5_BRALA TLL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=TLL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z3W8_A0A8J9Z3W8_BRALA tr|A0A8J9Z3W8|A0A8J9Z3W8_BRALA TLL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=TLL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EBI3_A0A8K0EBI3_BRALA tr|A0A8K0EBI3|A0A8K0EBI3_BRALA TLL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=TLL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VX54_A0A8J9VX54_BRALA tr|A0A8J9VX54|A0A8J9VX54_BRALA TLL2 protein OS=Branchiostoma lanceolatum OX=7740 GN=TLL2 PE=4 SV=1	Exaiptasia_diaphana_XP_020905815.1 XP_020905815.1 tolloid-like protein 2_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905817.2 XP_020905817.2 tolloid-like protein 2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905818.2 XP_020905818.2 protein shisa-5-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905821.1 XP_020905821.1 tolloid-like protein 2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905820.1 XP_020905820.1 tolloid-like protein 2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518116.1 XP_028518116.1 cubilin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911687.2 XP_020911687.2 cubilin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902050.1 XP_020902050.1 tolloid-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914019.1 XP_020914019.1 tolloid-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905197.1 XP_020905197.1 tolloid-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913976.1 XP_020913976.1 cubilin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913978.1 XP_020913978.1 dorsal-ventral patterning tolloid-like protein 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913979.1 XP_020913979.1 dorsal-ventral patterning tolloid-like protein 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909071.1 XP_020909071.1 tolloid-like protein 1 [Exaiptasia diaphana]
OG0000010	Branchiostoma_lanceolatum_tr_A0A8J9ZYL3_A0A8J9ZYL3_BRALA tr|A0A8J9ZYL3|A0A8J9ZYL3_BRALA ROBO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ROBO1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EP94_A0A8K0EP94_BRALA tr|A0A8K0EP94|A0A8K0EP94_BRALA ROBO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ROBO1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EP99_A0A8K0EP99_BRALA tr|A0A8K0EP99|A0A8K0EP99_BRALA ROBO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ROBO1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZWK6_A0A8J9ZWK6_BRALA tr|A0A8J9ZWK6|A0A8J9ZWK6_BRALA ROBO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ROBO1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZVE1_A0A8J9ZVE1_BRALA tr|A0A8J9ZVE1|A0A8J9ZVE1_BRALA ROBO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ROBO1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ERN2_A0A8K0ERN2_BRALA tr|A0A8K0ERN2|A0A8K0ERN2_BRALA ROBO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ROBO1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EUT7_A0A8K0EUT7_BRALA tr|A0A8K0EUT7|A0A8K0EUT7_BRALA ROBO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ROBO1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EUU3_A0A8K0EUU3_BRALA tr|A0A8K0EUU3|A0A8K0EUU3_BRALA ROBO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ROBO1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZTW2_A0A8J9ZTW2_BRALA tr|A0A8J9ZTW2|A0A8J9ZTW2_BRALA ROBO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ROBO1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZTW9_A0A8J9ZTW9_BRALA tr|A0A8J9ZTW9|A0A8J9ZTW9_BRALA ROBO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ROBO1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ERE0_A0A8K0ERE0_BRALA tr|A0A8K0ERE0|A0A8K0ERE0_BRALA ROBO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ROBO1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZWY7_A0A8J9ZWY7_BRALA tr|A0A8J9ZWY7|A0A8J9ZWY7_BRALA ROBO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ROBO1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZWL9_A0A8J9ZWL9_BRALA tr|A0A8J9ZWL9|A0A8J9ZWL9_BRALA ROBO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ROBO1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZWR3_A0A8J9ZWR3_BRALA tr|A0A8J9ZWR3|A0A8J9ZWR3_BRALA ROBO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ROBO1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZWL1_A0A8J9ZWL1_BRALA tr|A0A8J9ZWL1|A0A8J9ZWL1_BRALA ROBO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ROBO1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZUD0_A0A8J9ZUD0_BRALA tr|A0A8J9ZUD0|A0A8J9ZUD0_BRALA ROBO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ROBO1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ERM7_A0A8K0ERM7_BRALA tr|A0A8K0ERM7|A0A8K0ERM7_BRALA ROBO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ROBO1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EU69_A0A8K0EU69_BRALA tr|A0A8K0EU69|A0A8K0EU69_BRALA ROBO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ROBO1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZTY6_A0A8J9ZTY6_BRALA tr|A0A8J9ZTY6|A0A8J9ZTY6_BRALA ROBO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ROBO1 PE=4 SV=1	Exaiptasia_diaphana_XP_020899237.1 XP_020899237.1 roundabout homolog 1 isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514562.1 XP_028514562.1 roundabout homolog 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899232.1 XP_020899232.1 roundabout homolog 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899235.1 XP_020899235.1 roundabout homolog 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899236.1 XP_020899236.1 roundabout homolog 1 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899238.1 XP_020899238.1 roundabout homolog 1 isoform X5 [Exaiptasia diaphana]
OG0000010	Branchiostoma_lanceolatum_tr_A0A8J9Z3H8_A0A8J9Z3H8_BRALA tr|A0A8J9Z3H8|A0A8J9Z3H8_BRALA HMCN2 protein OS=Branchiostoma lanceolatum OX=7740 GN=HMCN2 PE=4 SV=1	Exaiptasia_diaphana_XP_028519700.1 XP_028519700.1 hemicentin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020917370.1 XP_020917370.1 hemicentin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020917369.1 XP_020917369.1 hemicentin-2 [Exaiptasia diaphana]
OG0000010	Branchiostoma_lanceolatum_tr_A0A8K0AF24_A0A8K0AF24_BRALA tr|A0A8K0AF24|A0A8K0AF24_BRALA HMCN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=HMCN1 PE=4 SV=1	Exaiptasia_diaphana_XP_020912327.1 XP_020912327.1 Down syndrome cell adhesion molecule [Exaiptasia diaphana]
