Orthogroup	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Anthozoa_Nematostella_vectensis
OG0000008	Acropora_digitifera_adi_v1.23804 adi_v1.23804, Acropora_digitifera_adi_v1.20455 adi_v1.20455	Nematostella_vectensis_NV2t017065001.1 NV2t017065001.1, Nematostella_vectensis_NV2t017065002.1 NV2t017065002.1
OG0000008	Acropora_digitifera_adi_v1.09584 adi_v1.09584	Nematostella_vectensis_NV2t005917001.1 NV2t005917001.1
OG0000008	Acropora_digitifera_adi_v1.14084 adi_v1.14084	Nematostella_vectensis_NV2t006439001.1 NV2t006439001.1
OG0000008	Acropora_digitifera_adi_v1.09582 adi_v1.09582	Nematostella_vectensis_NV2t006022001.1 NV2t006022001.1
OG0000008	Acropora_digitifera_adi_v1.09583 adi_v1.09583	Nematostella_vectensis_NV2t006021001.1 NV2t006021001.1
OG0000008	Acropora_digitifera_adi_v1.03573 adi_v1.03573, Acropora_digitifera_adi_v1.19697 adi_v1.19697	Nematostella_vectensis_NV2t005916001.1 NV2t005916001.1
OG0000008	Acropora_digitifera_adi_v1.14620 adi_v1.14620, Acropora_digitifera_adi_v1.14739 adi_v1.14739	Nematostella_vectensis_NV2t006444001.1 NV2t006444001.1
OG0000008	Acropora_digitifera_adi_v1.01978 adi_v1.01978	Nematostella_vectensis_NV2t025661003.1 NV2t025661003.1, Nematostella_vectensis_NV2t025661002.1 NV2t025661002.1, Nematostella_vectensis_NV2t025659003.1 NV2t025659003.1, Nematostella_vectensis_NV2t025659001.1 NV2t025659001.1, Nematostella_vectensis_NV2t025659004.1 NV2t025659004.1, Nematostella_vectensis_NV2t025659002.1 NV2t025659002.1, Nematostella_vectensis_NV2t025658001.1 NV2t025658001.1
OG0000008	Acropora_digitifera_adi_v1.14878 adi_v1.14878, Acropora_digitifera_adi_v1.10976 adi_v1.10976	Nematostella_vectensis_NV2t010370001.1 NV2t010370001.1, Nematostella_vectensis_NV2t010398001.1 NV2t010398001.1, Nematostella_vectensis_NV2t010398002.1 NV2t010398002.1
OG0000009	Acropora_digitifera_adi_v1.10007 adi_v1.10007, Acropora_digitifera_adi_v1.23659 adi_v1.23659	Nematostella_vectensis_NV2t013293002.1 NV2t013293002.1, Nematostella_vectensis_NV2t013293001.1 NV2t013293001.1
OG0000009	Acropora_digitifera_adi_v1.00989 adi_v1.00989	Nematostella_vectensis_NV2t003100001.1 NV2t003100001.1, Nematostella_vectensis_NV2t021954001.1 NV2t021954001.1, Nematostella_vectensis_NV2t014830001.1 NV2t014830001.1, Nematostella_vectensis_NV2t014830002.1 NV2t014830002.1, Nematostella_vectensis_NV2t014356001.1 NV2t014356001.1
OG0000009	Acropora_digitifera_adi_v1.18886 adi_v1.18886, Acropora_digitifera_adi_v1.20204 adi_v1.20204, Acropora_digitifera_adi_v1.20203 adi_v1.20203, Acropora_digitifera_adi_v1.20205 adi_v1.20205, Acropora_digitifera_adi_v1.13170 adi_v1.13170, Acropora_digitifera_adi_v1.18978 adi_v1.18978	Nematostella_vectensis_NV2t014699001.1 NV2t014699001.1
OG0000009	Acropora_digitifera_adi_v1.09663 adi_v1.09663, Acropora_digitifera_adi_v1.19260 adi_v1.19260, Acropora_digitifera_adi_v1.19569 adi_v1.19569	Nematostella_vectensis_NV2t003169001.1 NV2t003169001.1
OG0000009	Acropora_digitifera_adi_v1.19086 adi_v1.19086	Nematostella_vectensis_NV2t003026001.1 NV2t003026001.1, Nematostella_vectensis_NV2t002825001.1 NV2t002825001.1
OG0000009	Acropora_digitifera_adi_v1.11309 adi_v1.11309, Acropora_digitifera_adi_v1.11310 adi_v1.11310	Nematostella_vectensis_NV2t003625001.1 NV2t003625001.1
OG0000009	Acropora_digitifera_adi_v1.20169 adi_v1.20169, Acropora_digitifera_adi_v1.16563 adi_v1.16563, Acropora_digitifera_adi_v1.16561 adi_v1.16561, Acropora_digitifera_adi_v1.23168 adi_v1.23168	Nematostella_vectensis_NV2t005224001.1 NV2t005224001.1
OG0000009	Acropora_digitifera_adi_v1.02161 adi_v1.02161	Nematostella_vectensis_NV2t003698001.1 NV2t003698001.1
OG0000009	Acropora_digitifera_adi_v1.02163 adi_v1.02163	Nematostella_vectensis_NV2t014373001.1 NV2t014373001.1
OG0000009	Acropora_digitifera_adi_v1.13554 adi_v1.13554	Nematostella_vectensis_NV2t001391003.1 NV2t001391003.1, Nematostella_vectensis_NV2t001391002.1 NV2t001391002.1, Nematostella_vectensis_NV2t001391001.1 NV2t001391001.1
OG0000009	Acropora_digitifera_adi_v1.13189 adi_v1.13189	Nematostella_vectensis_NV2t003735001.1 NV2t003735001.1
OG0000010	Acropora_digitifera_adi_v1.00664 adi_v1.00664	Nematostella_vectensis_NV2t014905001.1 NV2t014905001.1, Nematostella_vectensis_NV2t014905002.1 NV2t014905002.1, Nematostella_vectensis_NV2t014905003.1 NV2t014905003.1
OG0000010	Acropora_digitifera_adi_v1.04228 adi_v1.04228	Nematostella_vectensis_NV2t021353001.1 NV2t021353001.1, Nematostella_vectensis_NV2t021353003.1 NV2t021353003.1
OG0000010	Acropora_digitifera_adi_v1.21127 adi_v1.21127	Nematostella_vectensis_NV2t001116001.1 NV2t001116001.1
OG0000010	Acropora_digitifera_adi_v1.06326 adi_v1.06326	Nematostella_vectensis_NV2t025565001.1 NV2t025565001.1
OG0000010	Acropora_digitifera_adi_v1.05562 adi_v1.05562, Acropora_digitifera_adi_v1.07946 adi_v1.07946	Nematostella_vectensis_NV2t023125001.1 NV2t023125001.1
OG0000010	Acropora_digitifera_adi_v1.16141 adi_v1.16141	Nematostella_vectensis_NV2t005728003.1 NV2t005728003.1
OG0000010	Acropora_digitifera_adi_v1.02202 adi_v1.02202	Nematostella_vectensis_NV2t022783003.1 NV2t022783003.1, Nematostella_vectensis_NV2t022783004.1 NV2t022783004.1, Nematostella_vectensis_NV2t022783001.1 NV2t022783001.1, Nematostella_vectensis_NV2t022783005.1 NV2t022783005.1, Nematostella_vectensis_NV2t022783002.1 NV2t022783002.1
OG0000010	Acropora_digitifera_adi_v1.04096 adi_v1.04096	Nematostella_vectensis_NV2t022081001.1 NV2t022081001.1
OG0000010	Acropora_digitifera_adi_v1.05525 adi_v1.05525	Nematostella_vectensis_NV2t006047001.1 NV2t006047001.1
OG0000010	Acropora_digitifera_adi_v1.18396 adi_v1.18396	Nematostella_vectensis_NV2t014904001.1 NV2t014904001.1
OG0000010	Acropora_digitifera_adi_v1.20273 adi_v1.20273	Nematostella_vectensis_NV2t013423001.1 NV2t013423001.1
OG0000010	Acropora_digitifera_adi_v1.20157 adi_v1.20157	Nematostella_vectensis_NV2t014092001.1 NV2t014092001.1
OG0000010	Acropora_digitifera_adi_v1.05424 adi_v1.05424	Nematostella_vectensis_NV2t023832001.1 NV2t023832001.1
OG0000011	Acropora_digitifera_adi_v1.14221 adi_v1.14221, Acropora_digitifera_adi_v1.14220 adi_v1.14220	Nematostella_vectensis_NV2t012077002.1 NV2t012077002.1, Nematostella_vectensis_NV2t006768001.1 NV2t006768001.1
OG0000012	Acropora_digitifera_adi_v1.00068 adi_v1.00068, Acropora_digitifera_adi_v1.03852 adi_v1.03852, Acropora_digitifera_adi_v1.00069 adi_v1.00069	Nematostella_vectensis_NV2t012902001.1 NV2t012902001.1
OG0000012	Acropora_digitifera_adi_v1.12876 adi_v1.12876	Nematostella_vectensis_NV2t012730001.1 NV2t012730001.1
OG0000012	Acropora_digitifera_adi_v1.08393 adi_v1.08393	Nematostella_vectensis_NV2t006919001.1 NV2t006919001.1
OG0000012	Acropora_digitifera_adi_v1.00226 adi_v1.00226	Nematostella_vectensis_NV2t019905001.1 NV2t019905001.1
OG0000013	Acropora_digitifera_adi_v1.01147 adi_v1.01147	Nematostella_vectensis_NV2t002707001.1 NV2t002707001.1
OG0000013	Acropora_digitifera_adi_v1.17615 adi_v1.17615	Nematostella_vectensis_NV2t023407003.1 NV2t023407003.1, Nematostella_vectensis_NV2t023407002.1 NV2t023407002.1, Nematostella_vectensis_NV2t023407001.1 NV2t023407001.1
OG0000013	Acropora_digitifera_adi_v1.13606 adi_v1.13606	Nematostella_vectensis_NV2t011033001.1 NV2t011033001.1
OG0000013	Acropora_digitifera_adi_v1.06399 adi_v1.06399	Nematostella_vectensis_NV2t003611004.1 NV2t003611004.1, Nematostella_vectensis_NV2t003611002.1 NV2t003611002.1, Nematostella_vectensis_NV2t003611005.1 NV2t003611005.1, Nematostella_vectensis_NV2t003611001.1 NV2t003611001.1, Nematostella_vectensis_NV2t003611003.1 NV2t003611003.1
OG0000013	Acropora_digitifera_adi_v1.16598 adi_v1.16598	Nematostella_vectensis_NV2t022664005.1 NV2t022664005.1, Nematostella_vectensis_NV2t022664004.1 NV2t022664004.1, Nematostella_vectensis_NV2t022664001.1 NV2t022664001.1, Nematostella_vectensis_NV2t022664003.1 NV2t022664003.1, Nematostella_vectensis_NV2t022664006.1 NV2t022664006.1, Nematostella_vectensis_NV2t022664002.1 NV2t022664002.1
OG0000013	Acropora_digitifera_adi_v1.06764 adi_v1.06764	Nematostella_vectensis_NV2t003609002.1 NV2t003609002.1, Nematostella_vectensis_NV2t003609001.1 NV2t003609001.1
OG0000013	Acropora_digitifera_adi_v1.02062 adi_v1.02062, Acropora_digitifera_adi_v1.02063 adi_v1.02063	Nematostella_vectensis_NV2t003168003.1 NV2t003168003.1, Nematostella_vectensis_NV2t003168001.1 NV2t003168001.1, Nematostella_vectensis_NV2t003168002.1 NV2t003168002.1
OG0000013	Acropora_digitifera_adi_v1.13774 adi_v1.13774, Acropora_digitifera_adi_v1.13773 adi_v1.13773, Acropora_digitifera_adi_v1.08272 adi_v1.08272	Nematostella_vectensis_NV2t003689001.1 NV2t003689001.1, Nematostella_vectensis_NV2t004522001.1 NV2t004522001.1, Nematostella_vectensis_NV2t005661001.1 NV2t005661001.1
OG0000013	Acropora_digitifera_adi_v1.13607 adi_v1.13607	Nematostella_vectensis_NV2t011032001.1 NV2t011032001.1
OG0000014	Acropora_digitifera_adi_v1.10799 adi_v1.10799, Acropora_digitifera_adi_v1.14366 adi_v1.14366	Nematostella_vectensis_NV2t022999001.1 NV2t022999001.1
OG0000014	Acropora_digitifera_adi_v1.01169 adi_v1.01169	Nematostella_vectensis_NV2t024253001.1 NV2t024253001.1
OG0000014	Acropora_digitifera_adi_v1.14581 adi_v1.14581	Nematostella_vectensis_NV2t020821001.1 NV2t020821001.1
OG0000014	Acropora_digitifera_adi_v1.06910 adi_v1.06910	Nematostella_vectensis_NV2t000088001.1 NV2t000088001.1, Nematostella_vectensis_NV2t000087001.1 NV2t000087001.1
OG0000014	Acropora_digitifera_adi_v1.01444 adi_v1.01444, Acropora_digitifera_adi_v1.22993 adi_v1.22993, Acropora_digitifera_adi_v1.22282 adi_v1.22282, Acropora_digitifera_adi_v1.16116 adi_v1.16116, Acropora_digitifera_adi_v1.14772 adi_v1.14772	Nematostella_vectensis_NV2t017494001.1 NV2t017494001.1
OG0000014	Acropora_digitifera_adi_v1.13245 adi_v1.13245	Nematostella_vectensis_NV2t022459002.1 NV2t022459002.1, Nematostella_vectensis_NV2t022459001.1 NV2t022459001.1, Nematostella_vectensis_NV2t021229001.1 NV2t021229001.1
OG0000014	Acropora_digitifera_adi_v1.16964 adi_v1.16964	Nematostella_vectensis_NV2t021638002.1 NV2t021638002.1, Nematostella_vectensis_NV2t021638001.1 NV2t021638001.1
OG0000014	Acropora_digitifera_adi_v1.13244 adi_v1.13244, Acropora_digitifera_adi_v1.13631 adi_v1.13631	Nematostella_vectensis_NV2t024070001.1 NV2t024070001.1
OG0000014	Acropora_digitifera_adi_v1.16403 adi_v1.16403	Nematostella_vectensis_NV2t009914001.1 NV2t009914001.1
OG0000015	Acropora_digitifera_adi_v1.13064 adi_v1.13064	Nematostella_vectensis_NV2t021903002.1 NV2t021903002.1, Nematostella_vectensis_NV2t021903003.1 NV2t021903003.1, Nematostella_vectensis_NV2t021904001.1 NV2t021904001.1, Nematostella_vectensis_NV2t021903004.1 NV2t021903004.1, Nematostella_vectensis_NV2t021903001.1 NV2t021903001.1, Nematostella_vectensis_NV2t021905001.1 NV2t021905001.1
OG0000015	Acropora_digitifera_adi_v1.04802 adi_v1.04802, Acropora_digitifera_adi_v1.21797 adi_v1.21797, Acropora_digitifera_adi_v1.01313 adi_v1.01313	Nematostella_vectensis_NV2t021284001.1 NV2t021284001.1, Nematostella_vectensis_NV2t021284002.1 NV2t021284002.1
OG0000015	Acropora_digitifera_adi_v1.21798 adi_v1.21798, Acropora_digitifera_adi_v1.21068 adi_v1.21068	Nematostella_vectensis_NV2t005824002.1 NV2t005824002.1, Nematostella_vectensis_NV2t005824001.1 NV2t005824001.1, Nematostella_vectensis_NV2t021288001.1 NV2t021288001.1, Nematostella_vectensis_NV2t021285001.1 NV2t021285001.1
OG0000015	Acropora_digitifera_adi_v1.13318 adi_v1.13318, Acropora_digitifera_adi_v1.14554 adi_v1.14554, Acropora_digitifera_adi_v1.13317 adi_v1.13317, Acropora_digitifera_adi_v1.09195 adi_v1.09195, Acropora_digitifera_adi_v1.10025 adi_v1.10025, Acropora_digitifera_adi_v1.18255 adi_v1.18255, Acropora_digitifera_adi_v1.10116 adi_v1.10116	Nematostella_vectensis_NV2t024478001.1 NV2t024478001.1, Nematostella_vectensis_NV2t024478002.1 NV2t024478002.1, Nematostella_vectensis_NV2t021585001.1 NV2t021585001.1, Nematostella_vectensis_NV2t024461001.1 NV2t024461001.1, Nematostella_vectensis_NV2t024741004.1 NV2t024741004.1, Nematostella_vectensis_NV2t024741001.1 NV2t024741001.1, Nematostella_vectensis_NV2t024741002.1 NV2t024741002.1, Nematostella_vectensis_NV2t025392002.1 NV2t025392002.1, Nematostella_vectensis_NV2t025392001.1 NV2t025392001.1, Nematostella_vectensis_NV2t025391001.1 NV2t025391001.1, Nematostella_vectensis_NV2t025393002.1 NV2t025393002.1, Nematostella_vectensis_NV2t025395001.1 NV2t025395001.1, Nematostella_vectensis_NV2t025402001.1 NV2t025402001.1, Nematostella_vectensis_NV2t025394001.1 NV2t025394001.1, Nematostella_vectensis_NV2t025394002.1 NV2t025394002.1, Nematostella_vectensis_NV2t025462001.1 NV2t025462001.1, Nematostella_vectensis_NV2t024877001.1 NV2t024877001.1, Nematostella_vectensis_NV2t025401001.1 NV2t025401001.1
OG0000015	Acropora_digitifera_adi_v1.23833 adi_v1.23833, Acropora_digitifera_adi_v1.22393 adi_v1.22393	Nematostella_vectensis_NV2t011069001.1 NV2t011069001.1
OG0000015	Acropora_digitifera_adi_v1.10186 adi_v1.10186	Nematostella_vectensis_NV2t011632001.1 NV2t011632001.1, Nematostella_vectensis_NV2t011345005.1 NV2t011345005.1, Nematostella_vectensis_NV2t011345001.1 NV2t011345001.1, Nematostella_vectensis_NV2t011345002.1 NV2t011345002.1, Nematostella_vectensis_NV2t011345004.1 NV2t011345004.1, Nematostella_vectensis_NV2t011345003.1 NV2t011345003.1
OG0000016	Acropora_digitifera_adi_v1.02178 adi_v1.02178, Acropora_digitifera_adi_v1.02175 adi_v1.02175	Nematostella_vectensis_NV2t020474002.1 NV2t020474002.1, Nematostella_vectensis_NV2t020474001.1 NV2t020474001.1
OG0000016	Acropora_digitifera_adi_v1.02177 adi_v1.02177, Acropora_digitifera_adi_v1.02174 adi_v1.02174	Nematostella_vectensis_NV2t020475001.1 NV2t020475001.1
OG0000016	Acropora_digitifera_adi_v1.22761 adi_v1.22761	Nematostella_vectensis_NV2t002700001.1 NV2t002700001.1
OG0000016	Acropora_digitifera_adi_v1.03032 adi_v1.03032	Nematostella_vectensis_NV2t000808001.1 NV2t000808001.1
OG0000016	Acropora_digitifera_adi_v1.03024 adi_v1.03024	Nematostella_vectensis_NV2t014820001.1 NV2t014820001.1, Nematostella_vectensis_NV2t014297001.1 NV2t014297001.1
OG0000016	Acropora_digitifera_adi_v1.03033 adi_v1.03033	Nematostella_vectensis_NV2t019316003.1 NV2t019316003.1, Nematostella_vectensis_NV2t019316002.1 NV2t019316002.1, Nematostella_vectensis_NV2t010833003.1 NV2t010833003.1, Nematostella_vectensis_NV2t010833002.1 NV2t010833002.1, Nematostella_vectensis_NV2t010833001.1 NV2t010833001.1, Nematostella_vectensis_NV2t008027001.1 NV2t008027001.1, Nematostella_vectensis_NV2t008027002.1 NV2t008027002.1, Nematostella_vectensis_NV2t003582001.1 NV2t003582001.1, Nematostella_vectensis_NV2t001647001.1 NV2t001647001.1, Nematostella_vectensis_NV2t003581001.1 NV2t003581001.1, Nematostella_vectensis_NV2t008375002.1 NV2t008375002.1, Nematostella_vectensis_NV2t008375001.1 NV2t008375001.1, Nematostella_vectensis_NV2t000808002.1 NV2t000808002.1, Nematostella_vectensis_NV2t000807001.1 NV2t000807001.1
OG0000017	Acropora_digitifera_adi_v1.12711 adi_v1.12711	Nematostella_vectensis_NV2t021103001.1 NV2t021103001.1
OG0000018	Acropora_digitifera_adi_v1.08253 adi_v1.08253	Nematostella_vectensis_NV2t019165001.1 NV2t019165001.1, Nematostella_vectensis_NV2t019165003.1 NV2t019165003.1, Nematostella_vectensis_NV2t019165002.1 NV2t019165002.1, Nematostella_vectensis_NV2t019166001.1 NV2t019166001.1
OG0000018	Acropora_digitifera_adi_v1.03894 adi_v1.03894	Nematostella_vectensis_NV2t014958001.1 NV2t014958001.1, Nematostella_vectensis_NV2t014958003.1 NV2t014958003.1
OG0000018	Acropora_digitifera_adi_v1.00628 adi_v1.00628	Nematostella_vectensis_NV2t012749001.1 NV2t012749001.1
OG0000018	Acropora_digitifera_adi_v1.19537 adi_v1.19537, Acropora_digitifera_adi_v1.24394 adi_v1.24394, Acropora_digitifera_adi_v1.06439 adi_v1.06439, Acropora_digitifera_adi_v1.08717 adi_v1.08717, Acropora_digitifera_adi_v1.18043 adi_v1.18043, Acropora_digitifera_adi_v1.04186 adi_v1.04186, Acropora_digitifera_adi_v1.02958 adi_v1.02958, Acropora_digitifera_adi_v1.13776 adi_v1.13776, Acropora_digitifera_adi_v1.10056 adi_v1.10056, Acropora_digitifera_adi_v1.13777 adi_v1.13777	Nematostella_vectensis_NV2t022574001.1 NV2t022574001.1
OG0000018	Acropora_digitifera_adi_v1.13977 adi_v1.13977	Nematostella_vectensis_NV2t006191001.1 NV2t006191001.1, Nematostella_vectensis_NV2t006127002.1 NV2t006127002.1, Nematostella_vectensis_NV2t006127001.1 NV2t006127001.1
OG0000018	Acropora_digitifera_adi_v1.18899 adi_v1.18899	Nematostella_vectensis_NV2t016213001.1 NV2t016213001.1
OG0000019	Acropora_digitifera_adi_v1.06152 adi_v1.06152, Acropora_digitifera_adi_v1.06153 adi_v1.06153	Nematostella_vectensis_NV2t000173001.1 NV2t000173001.1
OG0000019	Acropora_digitifera_adi_v1.07696 adi_v1.07696	Nematostella_vectensis_NV2t006269003.1 NV2t006269003.1, Nematostella_vectensis_NV2t006269002.1 NV2t006269002.1, Nematostella_vectensis_NV2t006269001.1 NV2t006269001.1
OG0000019	Acropora_digitifera_adi_v1.01025 adi_v1.01025	Nematostella_vectensis_NV2t019847002.1 NV2t019847002.1, Nematostella_vectensis_NV2t019847001.1 NV2t019847001.1
OG0000019	Acropora_digitifera_adi_v1.07728 adi_v1.07728	Nematostella_vectensis_NV2t006489001.1 NV2t006489001.1
OG0000019	Acropora_digitifera_adi_v1.10675 adi_v1.10675, Acropora_digitifera_adi_v1.15796 adi_v1.15796	Nematostella_vectensis_NV2t002978001.1 NV2t002978001.1
OG0000020	Acropora_digitifera_adi_v1.07215 adi_v1.07215	Nematostella_vectensis_NV2t024375002.1 NV2t024375002.1
OG0000020	Acropora_digitifera_adi_v1.23219 adi_v1.23219	Nematostella_vectensis_NV2t012027001.1 NV2t012027001.1
OG0000020	Acropora_digitifera_adi_v1.23748 adi_v1.23748, Acropora_digitifera_adi_v1.04537 adi_v1.04537	Nematostella_vectensis_NV2t011872001.1 NV2t011872001.1, Nematostella_vectensis_NV2t011872002.1 NV2t011872002.1
OG0000020	Acropora_digitifera_adi_v1.23610 adi_v1.23610	Nematostella_vectensis_NV2t012159001.1 NV2t012159001.1
OG0000020	Acropora_digitifera_adi_v1.00434 adi_v1.00434	Nematostella_vectensis_NV2t010959004.1 NV2t010959004.1, Nematostella_vectensis_NV2t010959005.1 NV2t010959005.1
OG0000020	Acropora_digitifera_adi_v1.10005 adi_v1.10005	Nematostella_vectensis_NV2t012104001.1 NV2t012104001.1
OG0000020	Acropora_digitifera_adi_v1.09052 adi_v1.09052	Nematostella_vectensis_NV2t024535002.1 NV2t024535002.1, Nematostella_vectensis_NV2t024535001.1 NV2t024535001.1
OG0000021	Acropora_digitifera_adi_v1.16464 adi_v1.16464, Acropora_digitifera_adi_v1.16465 adi_v1.16465	Nematostella_vectensis_NV2t020722001.1 NV2t020722001.1, Nematostella_vectensis_NV2t020722002.1 NV2t020722002.1, Nematostella_vectensis_NV2t020722003.1 NV2t020722003.1
OG0000021	Acropora_digitifera_adi_v1.00468 adi_v1.00468	Nematostella_vectensis_NV2t012147001.1 NV2t012147001.1
OG0000021	Acropora_digitifera_adi_v1.16388 adi_v1.16388	Nematostella_vectensis_NV2t018927001.1 NV2t018927001.1
OG0000021	Acropora_digitifera_adi_v1.05589 adi_v1.05589, Acropora_digitifera_adi_v1.00314 adi_v1.00314	Nematostella_vectensis_NV2t000788001.1 NV2t000788001.1
OG0000022	Acropora_digitifera_adi_v1.05985 adi_v1.05985	Nematostella_vectensis_NV2t019402004.1 NV2t019402004.1, Nematostella_vectensis_NV2t019402002.1 NV2t019402002.1
OG0000022	Acropora_digitifera_adi_v1.17095 adi_v1.17095	Nematostella_vectensis_NV2t009562002.1 NV2t009562002.1, Nematostella_vectensis_NV2t009562001.1 NV2t009562001.1
OG0000022	Acropora_digitifera_adi_v1.08755 adi_v1.08755	Nematostella_vectensis_NV2t010289001.1 NV2t010289001.1
OG0000023	Acropora_digitifera_adi_v1.19445 adi_v1.19445	Nematostella_vectensis_NV2t018385002.1 NV2t018385002.1, Nematostella_vectensis_NV2t018385001.1 NV2t018385001.1
OG0000024	Acropora_digitifera_adi_v1.05361 adi_v1.05361	Nematostella_vectensis_NV2t014420001.1 NV2t014420001.1
OG0000024	Acropora_digitifera_adi_v1.05363 adi_v1.05363	Nematostella_vectensis_NV2t014046002.1 NV2t014046002.1, Nematostella_vectensis_NV2t014046001.1 NV2t014046001.1
OG0000024	Acropora_digitifera_adi_v1.05362 adi_v1.05362	Nematostella_vectensis_NV2t014419001.1 NV2t014419001.1
OG0000024	Acropora_digitifera_adi_v1.21193 adi_v1.21193	Nematostella_vectensis_NV2t003372003.1 NV2t003372003.1, Nematostella_vectensis_NV2t003372002.1 NV2t003372002.1, Nematostella_vectensis_NV2t003372001.1 NV2t003372001.1
OG0000027	Acropora_digitifera_adi_v1.00758 adi_v1.00758	Nematostella_vectensis_NV2t007036001.1 NV2t007036001.1
OG0000027	Acropora_digitifera_adi_v1.16446 adi_v1.16446	Nematostella_vectensis_NV2t020778003.1 NV2t020778003.1, Nematostella_vectensis_NV2t020778002.1 NV2t020778002.1, Nematostella_vectensis_NV2t020778001.1 NV2t020778001.1
OG0000028	Acropora_digitifera_adi_v1.22704 adi_v1.22704	Nematostella_vectensis_NV2t021411001.1 NV2t021411001.1
OG0000029	Acropora_digitifera_adi_v1.05909 adi_v1.05909, Acropora_digitifera_adi_v1.07579 adi_v1.07579	Nematostella_vectensis_NV2t004704001.1 NV2t004704001.1
OG0000029	Acropora_digitifera_adi_v1.23498 adi_v1.23498	Nematostella_vectensis_NV2t004683002.1 NV2t004683002.1, Nematostella_vectensis_NV2t004683001.1 NV2t004683001.1
OG0000029	Acropora_digitifera_adi_v1.06123 adi_v1.06123, Acropora_digitifera_adi_v1.06122 adi_v1.06122, Acropora_digitifera_adi_v1.15580 adi_v1.15580, Acropora_digitifera_adi_v1.18528 adi_v1.18528, Acropora_digitifera_adi_v1.24512 adi_v1.24512	Nematostella_vectensis_NV2t009601003.1 NV2t009601003.1, Nematostella_vectensis_NV2t009601002.1 NV2t009601002.1, Nematostella_vectensis_NV2t009601001.1 NV2t009601001.1, Nematostella_vectensis_NV2t011326001.1 NV2t011326001.1, Nematostella_vectensis_NV2t011326002.1 NV2t011326002.1, Nematostella_vectensis_NV2t011326003.1 NV2t011326003.1, Nematostella_vectensis_NV2t011326004.1 NV2t011326004.1
OG0000029	Acropora_digitifera_adi_v1.21194 adi_v1.21194	Nematostella_vectensis_NV2t003375001.1 NV2t003375001.1
OG0000029	Acropora_digitifera_adi_v1.10787 adi_v1.10787, Acropora_digitifera_adi_v1.03968 adi_v1.03968, Acropora_digitifera_adi_v1.24346 adi_v1.24346, Acropora_digitifera_adi_v1.03966 adi_v1.03966, Acropora_digitifera_adi_v1.10914 adi_v1.10914, Acropora_digitifera_adi_v1.10785 adi_v1.10785, Acropora_digitifera_adi_v1.10786 adi_v1.10786	Nematostella_vectensis_NV2t008818001.1 NV2t008818001.1, Nematostella_vectensis_NV2t008819001.1 NV2t008819001.1
OG0000030	Acropora_digitifera_adi_v1.13106 adi_v1.13106	Nematostella_vectensis_NV2t006771001.1 NV2t006771001.1, Nematostella_vectensis_NV2t006771002.1 NV2t006771002.1
OG0000030	Acropora_digitifera_adi_v1.02168 adi_v1.02168	Nematostella_vectensis_NV2t013893003.1 NV2t013893003.1, Nematostella_vectensis_NV2t013893002.1 NV2t013893002.1
OG0000030	Acropora_digitifera_adi_v1.09623 adi_v1.09623	Nematostella_vectensis_NV2t024729009.1 NV2t024729009.1, Nematostella_vectensis_NV2t024729016.1 NV2t024729016.1, Nematostella_vectensis_NV2t024729018.1 NV2t024729018.1, Nematostella_vectensis_NV2t024729004.1 NV2t024729004.1, Nematostella_vectensis_NV2t024729015.1 NV2t024729015.1, Nematostella_vectensis_NV2t024729005.1 NV2t024729005.1, Nematostella_vectensis_NV2t024729010.1 NV2t024729010.1, Nematostella_vectensis_NV2t024729008.1 NV2t024729008.1, Nematostella_vectensis_NV2t024729007.1 NV2t024729007.1, Nematostella_vectensis_NV2t024729006.1 NV2t024729006.1
OG0000031	Acropora_digitifera_adi_v1.18951 adi_v1.18951, Acropora_digitifera_adi_v1.22489 adi_v1.22489, Acropora_digitifera_adi_v1.00735 adi_v1.00735, Acropora_digitifera_adi_v1.22525 adi_v1.22525, Acropora_digitifera_adi_v1.16698 adi_v1.16698, Acropora_digitifera_adi_v1.12619 adi_v1.12619, Acropora_digitifera_adi_v1.16697 adi_v1.16697, Acropora_digitifera_adi_v1.23860 adi_v1.23860, Acropora_digitifera_adi_v1.02734 adi_v1.02734, Acropora_digitifera_adi_v1.03323 adi_v1.03323, Acropora_digitifera_adi_v1.03324 adi_v1.03324	Nematostella_vectensis_NV2t009359001.1 NV2t009359001.1, Nematostella_vectensis_NV2t009305001.1 NV2t009305001.1, Nematostella_vectensis_NV2t009302001.1 NV2t009302001.1
OG0000031	Acropora_digitifera_adi_v1.15338 adi_v1.15338	Nematostella_vectensis_NV2t009287001.1 NV2t009287001.1, Nematostella_vectensis_NV2t009287002.1 NV2t009287002.1, Nematostella_vectensis_NV2t009287004.1 NV2t009287004.1, Nematostella_vectensis_NV2t009287005.1 NV2t009287005.1, Nematostella_vectensis_NV2t009287003.1 NV2t009287003.1, Nematostella_vectensis_NV2t021786001.1 NV2t021786001.1
