Orthogroup	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000019	Acropora_digitifera_adi_v1.07728 adi_v1.07728	Clytia_hemispherica_TCONS_00000118-protein TCONS_00000118-protein
OG0000020	Acropora_digitifera_adi_v1.23219 adi_v1.23219	Clytia_hemispherica_TCONS_00047700-protein TCONS_00047700-protein
OG0000020	Acropora_digitifera_adi_v1.23748 adi_v1.23748, Acropora_digitifera_adi_v1.04537 adi_v1.04537, Acropora_digitifera_adi_v1.23610 adi_v1.23610	Clytia_hemispherica_TCONS_00061671-protein TCONS_00061671-protein, Clytia_hemispherica_TCONS_00046920-protein TCONS_00046920-protein, Clytia_hemispherica_TCONS_00046924-protein TCONS_00046924-protein, Clytia_hemispherica_TCONS_00003321-protein TCONS_00003321-protein
OG0000020	Acropora_digitifera_adi_v1.09052 adi_v1.09052	Clytia_hemispherica_TCONS_00006265-protein TCONS_00006265-protein
OG0000021	Acropora_digitifera_adi_v1.16464 adi_v1.16464, Acropora_digitifera_adi_v1.16465 adi_v1.16465	Clytia_hemispherica_TCONS_00006428-protein TCONS_00006428-protein
OG0000021	Acropora_digitifera_adi_v1.00468 adi_v1.00468	Clytia_hemispherica_TCONS_00059183-protein TCONS_00059183-protein
OG0000022	Acropora_digitifera_adi_v1.17095 adi_v1.17095	Clytia_hemispherica_TCONS_00055551-protein TCONS_00055551-protein
OG0000023	Acropora_digitifera_adi_v1.19445 adi_v1.19445	Clytia_hemispherica_TCONS_00023962-protein TCONS_00023962-protein, Clytia_hemispherica_TCONS_00030285-protein TCONS_00030285-protein
OG0000024	Acropora_digitifera_adi_v1.21193 adi_v1.21193	Clytia_hemispherica_TCONS_00018835-protein TCONS_00018835-protein
OG0000027	Acropora_digitifera_adi_v1.00758 adi_v1.00758	Clytia_hemispherica_TCONS_00004998-protein TCONS_00004998-protein
OG0000027	Acropora_digitifera_adi_v1.08137 adi_v1.08137, Acropora_digitifera_adi_v1.10760 adi_v1.10760, Acropora_digitifera_adi_v1.24060 adi_v1.24060, Acropora_digitifera_adi_v1.16446 adi_v1.16446	Clytia_hemispherica_TCONS_00008404-protein TCONS_00008404-protein
OG0000028	Acropora_digitifera_adi_v1.22704 adi_v1.22704	Clytia_hemispherica_TCONS_00014070-protein TCONS_00014070-protein
OG0000029	Acropora_digitifera_adi_v1.05908 adi_v1.05908, Acropora_digitifera_adi_v1.23964 adi_v1.23964	Clytia_hemispherica_TCONS_00007483-protein TCONS_00007483-protein
OG0000029	Acropora_digitifera_adi_v1.05909 adi_v1.05909, Acropora_digitifera_adi_v1.07579 adi_v1.07579	Clytia_hemispherica_TCONS_00066649-protein TCONS_00066649-protein
OG0000029	Acropora_digitifera_adi_v1.23498 adi_v1.23498	Clytia_hemispherica_TCONS_00003166-protein TCONS_00003166-protein
OG0000029	Acropora_digitifera_adi_v1.06123 adi_v1.06123, Acropora_digitifera_adi_v1.06122 adi_v1.06122, Acropora_digitifera_adi_v1.15580 adi_v1.15580, Acropora_digitifera_adi_v1.18528 adi_v1.18528, Acropora_digitifera_adi_v1.24512 adi_v1.24512	Clytia_hemispherica_TCONS_00010654-protein TCONS_00010654-protein, Clytia_hemispherica_TCONS_00010652-protein TCONS_00010652-protein
OG0000030	Acropora_digitifera_adi_v1.13106 adi_v1.13106	Clytia_hemispherica_TCONS_00007497-protein TCONS_00007497-protein, Clytia_hemispherica_TCONS_00007500-protein TCONS_00007500-protein
OG0000030	Acropora_digitifera_adi_v1.02168 adi_v1.02168	Clytia_hemispherica_TCONS_00004356-protein TCONS_00004356-protein
OG0000030	Acropora_digitifera_adi_v1.09623 adi_v1.09623	Clytia_hemispherica_TCONS_00028602-protein TCONS_00028602-protein
OG0000033	Acropora_digitifera_adi_v1.14471 adi_v1.14471, Acropora_digitifera_adi_v1.07578 adi_v1.07578, Acropora_digitifera_adi_v1.18539 adi_v1.18539, Acropora_digitifera_adi_v1.16436 adi_v1.16436, Acropora_digitifera_adi_v1.08950 adi_v1.08950, Acropora_digitifera_adi_v1.12445 adi_v1.12445, Acropora_digitifera_adi_v1.06458 adi_v1.06458, Acropora_digitifera_adi_v1.08949 adi_v1.08949, Acropora_digitifera_adi_v1.12446 adi_v1.12446, Acropora_digitifera_adi_v1.12447 adi_v1.12447, Acropora_digitifera_adi_v1.02615 adi_v1.02615, Acropora_digitifera_adi_v1.06456 adi_v1.06456, Acropora_digitifera_adi_v1.18540 adi_v1.18540, Acropora_digitifera_adi_v1.06457 adi_v1.06457, Acropora_digitifera_adi_v1.02616 adi_v1.02616, Acropora_digitifera_adi_v1.08953 adi_v1.08953, Acropora_digitifera_adi_v1.08952 adi_v1.08952, Acropora_digitifera_adi_v1.06455 adi_v1.06455	Clytia_hemispherica_TCONS_00050100-protein TCONS_00050100-protein, Clytia_hemispherica_TCONS_00060254-protein TCONS_00060254-protein, Clytia_hemispherica_TCONS_00060270-protein TCONS_00060270-protein, Clytia_hemispherica_TCONS_00063125-protein TCONS_00063125-protein, Clytia_hemispherica_TCONS_00053701-protein TCONS_00053701-protein, Clytia_hemispherica_TCONS_00039900-protein TCONS_00039900-protein, Clytia_hemispherica_TCONS_00023261-protein TCONS_00023261-protein, Clytia_hemispherica_TCONS_00023250-protein TCONS_00023250-protein, Clytia_hemispherica_TCONS_00025608-protein TCONS_00025608-protein
OG0000034	Acropora_digitifera_adi_v1.08610 adi_v1.08610	Clytia_hemispherica_TCONS_00051590-protein TCONS_00051590-protein
OG0000035	Acropora_digitifera_adi_v1.00964 adi_v1.00964, Acropora_digitifera_adi_v1.01652 adi_v1.01652	Clytia_hemispherica_TCONS_00058995-protein TCONS_00058995-protein
OG0000036	Acropora_digitifera_adi_v1.11172 adi_v1.11172	Clytia_hemispherica_TCONS_00019271-protein TCONS_00019271-protein, Clytia_hemispherica_TCONS_00001698-protein TCONS_00001698-protein
OG0000036	Acropora_digitifera_adi_v1.11171 adi_v1.11171, Acropora_digitifera_adi_v1.21085 adi_v1.21085	Clytia_hemispherica_TCONS_00048163-protein TCONS_00048163-protein
OG0000039	Acropora_digitifera_adi_v1.18902 adi_v1.18902, Acropora_digitifera_adi_v1.15125 adi_v1.15125, Acropora_digitifera_adi_v1.16330 adi_v1.16330, Acropora_digitifera_adi_v1.15494 adi_v1.15494, Acropora_digitifera_adi_v1.15094 adi_v1.15094	Clytia_hemispherica_TCONS_00014774-protein TCONS_00014774-protein
OG0000040	Acropora_digitifera_adi_v1.09775 adi_v1.09775	Clytia_hemispherica_TCONS_00015477-protein TCONS_00015477-protein
OG0000041	Acropora_digitifera_adi_v1.12520 adi_v1.12520, Acropora_digitifera_adi_v1.02837 adi_v1.02837	Clytia_hemispherica_TCONS_00059541-protein TCONS_00059541-protein
OG0000042	Acropora_digitifera_adi_v1.01395 adi_v1.01395	Clytia_hemispherica_TCONS_00005412-protein TCONS_00005412-protein, Clytia_hemispherica_TCONS_00059228-protein TCONS_00059228-protein, Clytia_hemispherica_TCONS_00007470-protein TCONS_00007470-protein
OG0000042	Acropora_digitifera_adi_v1.15503 adi_v1.15503, Acropora_digitifera_adi_v1.15501 adi_v1.15501	Clytia_hemispherica_TCONS_00066637-protein TCONS_00066637-protein, Clytia_hemispherica_TCONS_00072911-protein TCONS_00072911-protein
OG0000044	Acropora_digitifera_adi_v1.17869 adi_v1.17869, Acropora_digitifera_adi_v1.01279 adi_v1.01279, Acropora_digitifera_adi_v1.01276 adi_v1.01276, Acropora_digitifera_adi_v1.01277 adi_v1.01277	Clytia_hemispherica_TCONS_00053572-protein TCONS_00053572-protein, Clytia_hemispherica_TCONS_00062853-protein TCONS_00062853-protein, Clytia_hemispherica_TCONS_00033083-protein TCONS_00033083-protein
OG0000045	Acropora_digitifera_adi_v1.09586 adi_v1.09586	Clytia_hemispherica_TCONS_00002813-protein TCONS_00002813-protein
OG0000045	Acropora_digitifera_adi_v1.23198 adi_v1.23198	Clytia_hemispherica_TCONS_00036447-protein TCONS_00036447-protein, Clytia_hemispherica_TCONS_00064868-protein TCONS_00064868-protein, Clytia_hemispherica_TCONS_00064836-protein TCONS_00064836-protein, Clytia_hemispherica_TCONS_00043175-protein TCONS_00043175-protein
OG0000046	Acropora_digitifera_adi_v1.23116 adi_v1.23116, Acropora_digitifera_adi_v1.11433 adi_v1.11433, Acropora_digitifera_adi_v1.13810 adi_v1.13810, Acropora_digitifera_adi_v1.22260 adi_v1.22260, Acropora_digitifera_adi_v1.17607 adi_v1.17607, Acropora_digitifera_adi_v1.10417 adi_v1.10417, Acropora_digitifera_adi_v1.11233 adi_v1.11233, Acropora_digitifera_adi_v1.11714 adi_v1.11714, Acropora_digitifera_adi_v1.18842 adi_v1.18842, Acropora_digitifera_adi_v1.23505 adi_v1.23505, Acropora_digitifera_adi_v1.23018 adi_v1.23018, Acropora_digitifera_adi_v1.02067 adi_v1.02067, Acropora_digitifera_adi_v1.23506 adi_v1.23506, Acropora_digitifera_adi_v1.10319 adi_v1.10319, Acropora_digitifera_adi_v1.24389 adi_v1.24389, Acropora_digitifera_adi_v1.21947 adi_v1.21947, Acropora_digitifera_adi_v1.00626 adi_v1.00626	Clytia_hemispherica_TCONS_00050883-protein TCONS_00050883-protein, Clytia_hemispherica_TCONS_00065761-protein TCONS_00065761-protein, Clytia_hemispherica_TCONS_00072914-protein TCONS_00072914-protein, Clytia_hemispherica_TCONS_00003192-protein TCONS_00003192-protein, Clytia_hemispherica_TCONS_00000570-protein TCONS_00000570-protein, Clytia_hemispherica_TCONS_00043112-protein TCONS_00043112-protein, Clytia_hemispherica_TCONS_00043709-protein TCONS_00043709-protein
OG0000049	Acropora_digitifera_adi_v1.00526 adi_v1.00526	Clytia_hemispherica_TCONS_00064915-protein TCONS_00064915-protein
OG0000051	Acropora_digitifera_adi_v1.17811 adi_v1.17811	Clytia_hemispherica_TCONS_00046933-protein TCONS_00046933-protein, Clytia_hemispherica_TCONS_00065253-protein TCONS_00065253-protein
OG0000054	Acropora_digitifera_adi_v1.13439 adi_v1.13439	Clytia_hemispherica_TCONS_00029751-protein TCONS_00029751-protein
OG0000054	Acropora_digitifera_adi_v1.00193 adi_v1.00193	Clytia_hemispherica_TCONS_00036167-protein TCONS_00036167-protein
OG0000056	Acropora_digitifera_adi_v1.22521 adi_v1.22521	Clytia_hemispherica_TCONS_00054179-protein TCONS_00054179-protein
OG0000062	Acropora_digitifera_adi_v1.19726 adi_v1.19726	Clytia_hemispherica_TCONS_00052771-protein TCONS_00052771-protein, Clytia_hemispherica_TCONS_00023638-protein TCONS_00023638-protein
OG0000063	Acropora_digitifera_adi_v1.13405 adi_v1.13405, Acropora_digitifera_adi_v1.14406 adi_v1.14406, Acropora_digitifera_adi_v1.02079 adi_v1.02079, Acropora_digitifera_adi_v1.03588 adi_v1.03588, Acropora_digitifera_adi_v1.16891 adi_v1.16891, Acropora_digitifera_adi_v1.10277 adi_v1.10277	Clytia_hemispherica_TCONS_00002634-protein TCONS_00002634-protein, Clytia_hemispherica_TCONS_00002631-protein TCONS_00002631-protein
OG0000067	Acropora_digitifera_adi_v1.02251 adi_v1.02251, Acropora_digitifera_adi_v1.11440 adi_v1.11440	Clytia_hemispherica_TCONS_00015037-protein TCONS_00015037-protein, Clytia_hemispherica_TCONS_00030414-protein TCONS_00030414-protein, Clytia_hemispherica_TCONS_00016035-protein TCONS_00016035-protein, Clytia_hemispherica_TCONS_00016037-protein TCONS_00016037-protein
OG0000070	Acropora_digitifera_adi_v1.05628 adi_v1.05628	Clytia_hemispherica_TCONS_00021784-protein TCONS_00021784-protein
OG0000075	Acropora_digitifera_adi_v1.02324 adi_v1.02324	Clytia_hemispherica_TCONS_00018308-protein TCONS_00018308-protein, Clytia_hemispherica_TCONS_00054794-protein TCONS_00054794-protein
OG0000075	Acropora_digitifera_adi_v1.05194 adi_v1.05194, Acropora_digitifera_adi_v1.05678 adi_v1.05678	Clytia_hemispherica_TCONS_00060857-protein TCONS_00060857-protein, Clytia_hemispherica_TCONS_00047983-protein TCONS_00047983-protein
OG0000075	Acropora_digitifera_adi_v1.05195 adi_v1.05195, Acropora_digitifera_adi_v1.20443 adi_v1.20443	Clytia_hemispherica_TCONS_00047980-protein TCONS_00047980-protein
OG0000080	Acropora_digitifera_adi_v1.23049 adi_v1.23049	Clytia_hemispherica_TCONS_00070986-protein TCONS_00070986-protein
OG0000081	Acropora_digitifera_adi_v1.11224 adi_v1.11224	Clytia_hemispherica_TCONS_00022711-protein TCONS_00022711-protein
OG0000081	Acropora_digitifera_adi_v1.14148 adi_v1.14148	Clytia_hemispherica_TCONS_00006563-protein TCONS_00006563-protein
OG0000082	Acropora_digitifera_adi_v1.10757 adi_v1.10757, Acropora_digitifera_adi_v1.19272 adi_v1.19272, Acropora_digitifera_adi_v1.08091 adi_v1.08091, Acropora_digitifera_adi_v1.08090 adi_v1.08090, Acropora_digitifera_adi_v1.03875 adi_v1.03875, Acropora_digitifera_adi_v1.23202 adi_v1.23202, Acropora_digitifera_adi_v1.03874 adi_v1.03874, Acropora_digitifera_adi_v1.03249 adi_v1.03249, Acropora_digitifera_adi_v1.22782 adi_v1.22782, Acropora_digitifera_adi_v1.00154 adi_v1.00154, Acropora_digitifera_adi_v1.00928 adi_v1.00928, Acropora_digitifera_adi_v1.17031 adi_v1.17031	Clytia_hemispherica_TCONS_00001201-protein TCONS_00001201-protein
OG0000087	Acropora_digitifera_adi_v1.01106 adi_v1.01106	Clytia_hemispherica_TCONS_00024126-protein TCONS_00024126-protein
OG0000089	Acropora_digitifera_adi_v1.01316 adi_v1.01316	Clytia_hemispherica_TCONS_00004749-protein TCONS_00004749-protein
OG0000092	Acropora_digitifera_adi_v1.06183 adi_v1.06183	Clytia_hemispherica_TCONS_00005924-protein TCONS_00005924-protein, Clytia_hemispherica_TCONS_00049219-protein TCONS_00049219-protein, Clytia_hemispherica_TCONS_00049717-protein TCONS_00049717-protein, Clytia_hemispherica_TCONS_00049220-protein TCONS_00049220-protein, Clytia_hemispherica_TCONS_00018219-protein TCONS_00018219-protein, Clytia_hemispherica_TCONS_00018216-protein TCONS_00018216-protein, Clytia_hemispherica_TCONS_00018213-protein TCONS_00018213-protein, Clytia_hemispherica_TCONS_00055549-protein TCONS_00055549-protein
OG0000092	Acropora_digitifera_adi_v1.12295 adi_v1.12295, Acropora_digitifera_adi_v1.12296 adi_v1.12296, Acropora_digitifera_adi_v1.12926 adi_v1.12926	Clytia_hemispherica_TCONS_00018221-protein TCONS_00018221-protein, Clytia_hemispherica_TCONS_00006966-protein TCONS_00006966-protein, Clytia_hemispherica_TCONS_00006964-protein TCONS_00006964-protein, Clytia_hemispherica_TCONS_00006967-protein TCONS_00006967-protein, Clytia_hemispherica_TCONS_00054784-protein TCONS_00054784-protein, Clytia_hemispherica_TCONS_00007479-protein TCONS_00007479-protein
OG0000094	Acropora_digitifera_adi_v1.13477 adi_v1.13477	Clytia_hemispherica_TCONS_00019291-protein TCONS_00019291-protein
OG0000099	Acropora_digitifera_adi_v1.10436 adi_v1.10436, Acropora_digitifera_adi_v1.10437 adi_v1.10437	Clytia_hemispherica_TCONS_00015994-protein TCONS_00015994-protein, Clytia_hemispherica_TCONS_00016000-protein TCONS_00016000-protein, Clytia_hemispherica_TCONS_00015967-protein TCONS_00015967-protein
OG0000100	Acropora_digitifera_adi_v1.11601 adi_v1.11601	Clytia_hemispherica_TCONS_00062227-protein TCONS_00062227-protein
OG0000100	Acropora_digitifera_adi_v1.11599 adi_v1.11599	Clytia_hemispherica_TCONS_00024080-protein TCONS_00024080-protein
OG0000101	Acropora_digitifera_adi_v1.04659 adi_v1.04659	Clytia_hemispherica_TCONS_00021549-protein TCONS_00021549-protein
OG0000103	Acropora_digitifera_adi_v1.12265 adi_v1.12265	Clytia_hemispherica_TCONS_00012064-protein TCONS_00012064-protein
OG0000106	Acropora_digitifera_adi_v1.02115 adi_v1.02115, Acropora_digitifera_adi_v1.04595 adi_v1.04595, Acropora_digitifera_adi_v1.12730 adi_v1.12730, Acropora_digitifera_adi_v1.04153 adi_v1.04153, Acropora_digitifera_adi_v1.04157 adi_v1.04157, Acropora_digitifera_adi_v1.04154 adi_v1.04154, Acropora_digitifera_adi_v1.08231 adi_v1.08231	Clytia_hemispherica_TCONS_00050547-protein TCONS_00050547-protein, Clytia_hemispherica_TCONS_00050544-protein TCONS_00050544-protein, Clytia_hemispherica_TCONS_00034674-protein TCONS_00034674-protein, Clytia_hemispherica_TCONS_00024961-protein TCONS_00024961-protein, Clytia_hemispherica_TCONS_00037516-protein TCONS_00037516-protein, Clytia_hemispherica_TCONS_00015172-protein TCONS_00015172-protein
OG0000108	Acropora_digitifera_adi_v1.06132 adi_v1.06132, Acropora_digitifera_adi_v1.11664 adi_v1.11664, Acropora_digitifera_adi_v1.11665 adi_v1.11665, Acropora_digitifera_adi_v1.17652 adi_v1.17652, Acropora_digitifera_adi_v1.23828 adi_v1.23828, Acropora_digitifera_adi_v1.11614 adi_v1.11614, Acropora_digitifera_adi_v1.13681 adi_v1.13681, Acropora_digitifera_adi_v1.04811 adi_v1.04811	Clytia_hemispherica_TCONS_00000465-protein TCONS_00000465-protein
OG0000111	Acropora_digitifera_adi_v1.05777 adi_v1.05777, Acropora_digitifera_adi_v1.15937 adi_v1.15937, Acropora_digitifera_adi_v1.05774 adi_v1.05774, Acropora_digitifera_adi_v1.05775 adi_v1.05775	Clytia_hemispherica_TCONS_00064231-protein TCONS_00064231-protein
OG0000112	Acropora_digitifera_adi_v1.23845 adi_v1.23845, Acropora_digitifera_adi_v1.09025 adi_v1.09025	Clytia_hemispherica_TCONS_00062070-protein TCONS_00062070-protein
OG0000113	Acropora_digitifera_adi_v1.13246 adi_v1.13246	Clytia_hemispherica_TCONS_00049955-protein TCONS_00049955-protein
OG0000116	Acropora_digitifera_adi_v1.04201 adi_v1.04201, Acropora_digitifera_adi_v1.00669 adi_v1.00669, Acropora_digitifera_adi_v1.04200 adi_v1.04200, Acropora_digitifera_adi_v1.00670 adi_v1.00670, Acropora_digitifera_adi_v1.22020 adi_v1.22020	Clytia_hemispherica_TCONS_00053845-protein TCONS_00053845-protein
OG0000120	Acropora_digitifera_adi_v1.22301 adi_v1.22301	Clytia_hemispherica_TCONS_00010938-protein TCONS_00010938-protein
OG0000121	Acropora_digitifera_adi_v1.07477 adi_v1.07477, Acropora_digitifera_adi_v1.03736 adi_v1.03736	Clytia_hemispherica_TCONS_00000040-protein TCONS_00000040-protein
OG0000130	Acropora_digitifera_adi_v1.22062 adi_v1.22062, Acropora_digitifera_adi_v1.18361 adi_v1.18361, Acropora_digitifera_adi_v1.06177 adi_v1.06177	Clytia_hemispherica_TCONS_00055222-protein TCONS_00055222-protein
OG0000131	Acropora_digitifera_adi_v1.13891 adi_v1.13891	Clytia_hemispherica_TCONS_00002425-protein TCONS_00002425-protein, Clytia_hemispherica_TCONS_00002495-protein TCONS_00002495-protein
OG0000133	Acropora_digitifera_adi_v1.13517 adi_v1.13517	Clytia_hemispherica_TCONS_00000171-protein TCONS_00000171-protein
OG0000150	Acropora_digitifera_adi_v1.12343 adi_v1.12343	Clytia_hemispherica_TCONS_00003726-protein TCONS_00003726-protein
OG0000156	Acropora_digitifera_adi_v1.15791 adi_v1.15791	Clytia_hemispherica_TCONS_00025665-protein TCONS_00025665-protein
OG0000158	Acropora_digitifera_adi_v1.24509 adi_v1.24509	Clytia_hemispherica_TCONS_00064843-protein TCONS_00064843-protein
OG0000158	Acropora_digitifera_adi_v1.14301 adi_v1.14301, Acropora_digitifera_adi_v1.14565 adi_v1.14565	Clytia_hemispherica_TCONS_00065605-protein TCONS_00065605-protein
OG0000160	Acropora_digitifera_adi_v1.14572 adi_v1.14572	Clytia_hemispherica_TCONS_00064739-protein TCONS_00064739-protein
OG0000171	Acropora_digitifera_adi_v1.01870 adi_v1.01870	Clytia_hemispherica_TCONS_00013906-protein TCONS_00013906-protein
OG0000176	Acropora_digitifera_adi_v1.05518 adi_v1.05518	Clytia_hemispherica_TCONS_00050730-protein TCONS_00050730-protein
OG0000188	Acropora_digitifera_adi_v1.11206 adi_v1.11206, Acropora_digitifera_adi_v1.09473 adi_v1.09473, Acropora_digitifera_adi_v1.16003 adi_v1.16003, Acropora_digitifera_adi_v1.19717 adi_v1.19717, Acropora_digitifera_adi_v1.11466 adi_v1.11466, Acropora_digitifera_adi_v1.20726 adi_v1.20726	Clytia_hemispherica_TCONS_00060278-protein TCONS_00060278-protein, Clytia_hemispherica_TCONS_00060280-protein TCONS_00060280-protein
OG0000193	Acropora_digitifera_adi_v1.08763 adi_v1.08763	Clytia_hemispherica_TCONS_00053692-protein TCONS_00053692-protein
OG0000194	Acropora_digitifera_adi_v1.23856 adi_v1.23856, Acropora_digitifera_adi_v1.00469 adi_v1.00469	Clytia_hemispherica_TCONS_00071632-protein TCONS_00071632-protein, Clytia_hemispherica_TCONS_00030436-protein TCONS_00030436-protein
OG0000195	Acropora_digitifera_adi_v1.01290 adi_v1.01290	Clytia_hemispherica_TCONS_00066994-protein TCONS_00066994-protein
OG0000197	Acropora_digitifera_adi_v1.04732 adi_v1.04732, Acropora_digitifera_adi_v1.16918 adi_v1.16918	Clytia_hemispherica_TCONS_00051925-protein TCONS_00051925-protein
OG0000200	Acropora_digitifera_adi_v1.07516 adi_v1.07516	Clytia_hemispherica_TCONS_00023146-protein TCONS_00023146-protein
OG0000201	Acropora_digitifera_adi_v1.11496 adi_v1.11496	Clytia_hemispherica_TCONS_00051608-protein TCONS_00051608-protein
OG0000203	Acropora_digitifera_adi_v1.04333 adi_v1.04333	Clytia_hemispherica_TCONS_00002252-protein TCONS_00002252-protein
OG0000204	Acropora_digitifera_adi_v1.12294 adi_v1.12294	Clytia_hemispherica_TCONS_00063679-protein TCONS_00063679-protein
OG0000209	Acropora_digitifera_adi_v1.07265 adi_v1.07265	Clytia_hemispherica_TCONS_00065263-protein TCONS_00065263-protein
OG0000210	Acropora_digitifera_adi_v1.01691 adi_v1.01691	Clytia_hemispherica_TCONS_00052810-protein TCONS_00052810-protein
OG0000211	Acropora_digitifera_adi_v1.01976 adi_v1.01976	Clytia_hemispherica_TCONS_00064022-protein TCONS_00064022-protein
OG0000213	Acropora_digitifera_adi_v1.16428 adi_v1.16428	Clytia_hemispherica_TCONS_00007329-protein TCONS_00007329-protein
OG0000230	Acropora_digitifera_adi_v1.19552 adi_v1.19552	Clytia_hemispherica_TCONS_00034683-protein TCONS_00034683-protein
OG0000231	Acropora_digitifera_adi_v1.01923 adi_v1.01923	Clytia_hemispherica_TCONS_00061987-protein TCONS_00061987-protein
OG0000240	Acropora_digitifera_adi_v1.08480 adi_v1.08480	Clytia_hemispherica_TCONS_00008587-protein TCONS_00008587-protein
OG0000242	Acropora_digitifera_adi_v1.15086 adi_v1.15086, Acropora_digitifera_adi_v1.19970 adi_v1.19970	Clytia_hemispherica_TCONS_00026328-protein TCONS_00026328-protein, Clytia_hemispherica_TCONS_00014381-protein TCONS_00014381-protein, Clytia_hemispherica_TCONS_00045470-protein TCONS_00045470-protein
OG0000248	Acropora_digitifera_adi_v1.13105 adi_v1.13105, Acropora_digitifera_adi_v1.15930 adi_v1.15930	Clytia_hemispherica_TCONS_00073674-protein TCONS_00073674-protein
OG0000267	Acropora_digitifera_adi_v1.17264 adi_v1.17264	Clytia_hemispherica_TCONS_00024032-protein TCONS_00024032-protein
OG0000272	Acropora_digitifera_adi_v1.06359 adi_v1.06359	Clytia_hemispherica_TCONS_00030863-protein TCONS_00030863-protein
OG0000280	Acropora_digitifera_adi_v1.17062 adi_v1.17062, Acropora_digitifera_adi_v1.17327 adi_v1.17327	Clytia_hemispherica_TCONS_00056421-protein TCONS_00056421-protein
OG0000282	Acropora_digitifera_adi_v1.06060 adi_v1.06060, Acropora_digitifera_adi_v1.20668 adi_v1.20668	Clytia_hemispherica_TCONS_00000534-protein TCONS_00000534-protein
OG0000285	Acropora_digitifera_adi_v1.05812 adi_v1.05812	Clytia_hemispherica_TCONS_00002465-protein TCONS_00002465-protein
OG0000286	Acropora_digitifera_adi_v1.11445 adi_v1.11445	Clytia_hemispherica_TCONS_00061110-protein TCONS_00061110-protein
OG0000303	Acropora_digitifera_adi_v1.12162 adi_v1.12162	Clytia_hemispherica_TCONS_00065051-protein TCONS_00065051-protein
OG0000314	Acropora_digitifera_adi_v1.05227 adi_v1.05227	Clytia_hemispherica_TCONS_00070109-protein TCONS_00070109-protein
OG0000330	Acropora_digitifera_adi_v1.12128 adi_v1.12128	Clytia_hemispherica_TCONS_00068879-protein TCONS_00068879-protein
OG0000331	Acropora_digitifera_adi_v1.23613 adi_v1.23613	Clytia_hemispherica_TCONS_00057393-protein TCONS_00057393-protein
OG0000476	Acropora_digitifera_adi_v1.02351 adi_v1.02351	Clytia_hemispherica_TCONS_00053396-protein TCONS_00053396-protein
OG0000482	Acropora_digitifera_adi_v1.20477 adi_v1.20477	Clytia_hemispherica_TCONS_00072325-protein TCONS_00072325-protein
OG0000530	Acropora_digitifera_adi_v1.06942 adi_v1.06942	Clytia_hemispherica_TCONS_00004294-protein TCONS_00004294-protein
OG0001523	Acropora_digitifera_adi_v1.08239 adi_v1.08239, Acropora_digitifera_adi_v1.06886 adi_v1.06886	Clytia_hemispherica_TCONS_00045711-protein TCONS_00045711-protein
OG0001538	Acropora_digitifera_adi_v1.23481 adi_v1.23481	Clytia_hemispherica_TCONS_00045271-protein TCONS_00045271-protein
