Orthogroup	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Anthozoa_Stylophora_pistillata
OG0000006	Acropora_digitifera_adi_v1.12683 adi_v1.12683, Acropora_digitifera_adi_v1.07116 adi_v1.07116, Acropora_digitifera_adi_v1.22515 adi_v1.22515, Acropora_digitifera_adi_v1.14619 adi_v1.14619, Acropora_digitifera_adi_v1.06557 adi_v1.06557	Stylophora_pistillata_Spis12364 Spis12364 SpisGene12364, Stylophora_pistillata_Spis12358 Spis12358 SpisGene12358, Stylophora_pistillata_Spis18334 Spis18334 SpisGene18334, Stylophora_pistillata_Spis21178 Spis21178 SpisGene21178
OG0000006	Acropora_digitifera_adi_v1.23984 adi_v1.23984	Stylophora_pistillata_Spis12362 Spis12362 SpisGene12362, Stylophora_pistillata_Spis12355 Spis12355 SpisGene12355
OG0000006	Acropora_digitifera_adi_v1.04713 adi_v1.04713, Acropora_digitifera_adi_v1.19729 adi_v1.19729, Acropora_digitifera_adi_v1.05540 adi_v1.05540, Acropora_digitifera_adi_v1.00507 adi_v1.00507	Stylophora_pistillata_Spis12360 Spis12360 SpisGene12360, Stylophora_pistillata_Spis12356 Spis12356 SpisGene12356
OG0000006	Acropora_digitifera_adi_v1.08407 adi_v1.08407	Stylophora_pistillata_Spis12363 Spis12363 SpisGene12363
OG0000006	Acropora_digitifera_adi_v1.10833 adi_v1.10833, Acropora_digitifera_adi_v1.00506 adi_v1.00506	Stylophora_pistillata_Spis10998 Spis10998 SpisGene10998
OG0000007	Acropora_digitifera_adi_v1.02160 adi_v1.02160	Stylophora_pistillata_Spis18722 Spis18722 SpisGene18722
OG0000007	Acropora_digitifera_adi_v1.22828 adi_v1.22828	Stylophora_pistillata_Spis5318 Spis5318 SpisGene5318, Stylophora_pistillata_Spis5312 Spis5312 SpisGene5312
OG0000007	Acropora_digitifera_adi_v1.09820 adi_v1.09820, Acropora_digitifera_adi_v1.22003 adi_v1.22003	Stylophora_pistillata_Spis19279 Spis19279 SpisGene19279
OG0000007	Acropora_digitifera_adi_v1.14298 adi_v1.14298, Acropora_digitifera_adi_v1.14299 adi_v1.14299, Acropora_digitifera_adi_v1.14300 adi_v1.14300, Acropora_digitifera_adi_v1.19005 adi_v1.19005, Acropora_digitifera_adi_v1.11371 adi_v1.11371, Acropora_digitifera_adi_v1.13720 adi_v1.13720, Acropora_digitifera_adi_v1.06951 adi_v1.06951	Stylophora_pistillata_Spis23194 Spis23194 SpisGene23194, Stylophora_pistillata_Spis18040 Spis18040 SpisGene18040, Stylophora_pistillata_Spis19874 Spis19874 SpisGene19874, Stylophora_pistillata_Spis18038 Spis18038 SpisGene18038, Stylophora_pistillata_Spis18037 Spis18037 SpisGene18037, Stylophora_pistillata_Spis18041 Spis18041 SpisGene18041, Stylophora_pistillata_Spis23530 Spis23530 SpisGene23530
OG0000007	Acropora_digitifera_adi_v1.06438 adi_v1.06438, Acropora_digitifera_adi_v1.21019 adi_v1.21019	Stylophora_pistillata_Spis2770 Spis2770 SpisGene2770, Stylophora_pistillata_Spis2764 Spis2764 SpisGene2764, Stylophora_pistillata_Spis16998 Spis16998 SpisGene16998, Stylophora_pistillata_Spis16996 Spis16996 SpisGene16996, Stylophora_pistillata_Spis16440 Spis16440 SpisGene16440
OG0000007	Acropora_digitifera_adi_v1.07913 adi_v1.07913, Acropora_digitifera_adi_v1.11289 adi_v1.11289, Acropora_digitifera_adi_v1.07914 adi_v1.07914	Stylophora_pistillata_Spis23200 Spis23200 SpisGene23200
OG0000007	Acropora_digitifera_adi_v1.21164 adi_v1.21164	Stylophora_pistillata_Spis1859 Spis1859 SpisGene1859
OG0000007	Acropora_digitifera_adi_v1.17191 adi_v1.17191, Acropora_digitifera_adi_v1.14511 adi_v1.14511	Stylophora_pistillata_Spis22650 Spis22650 SpisGene22650, Stylophora_pistillata_Spis22649 Spis22649 SpisGene22649, Stylophora_pistillata_Spis20262 Spis20262 SpisGene20262, Stylophora_pistillata_Spis12667 Spis12667 SpisGene12667
OG0000008	Acropora_digitifera_adi_v1.16793 adi_v1.16793	Stylophora_pistillata_Spis24452 Spis24452 SpisGene24452, Stylophora_pistillata_Spis19558 Spis19558 SpisGene19558
OG0000008	Acropora_digitifera_adi_v1.09287 adi_v1.09287	Stylophora_pistillata_Spis5481 Spis5481 SpisGene5481
OG0000008	Acropora_digitifera_adi_v1.15850 adi_v1.15850	Stylophora_pistillata_Spis15891 Spis15891 SpisGene15891
OG0000008	Acropora_digitifera_adi_v1.05561 adi_v1.05561	Stylophora_pistillata_Spis14392 Spis14392 SpisGene14392
OG0000008	Acropora_digitifera_adi_v1.19041 adi_v1.19041, Acropora_digitifera_adi_v1.21250 adi_v1.21250	Stylophora_pistillata_Spis23579 Spis23579 SpisGene23579
OG0000008	Acropora_digitifera_adi_v1.20031 adi_v1.20031, Acropora_digitifera_adi_v1.23528 adi_v1.23528	Stylophora_pistillata_Spis21934 Spis21934 SpisGene21934, Stylophora_pistillata_Spis13231.t2 Spis13231.t2 SpisGene13231
OG0000008	Acropora_digitifera_adi_v1.02443 adi_v1.02443	Stylophora_pistillata_Spis22505 Spis22505 SpisGene22505, Stylophora_pistillata_Spis22868 Spis22868 SpisGene22868, Stylophora_pistillata_Spis22236 Spis22236 SpisGene22236
OG0000008	Acropora_digitifera_adi_v1.12140 adi_v1.12140	Stylophora_pistillata_Spis721 Spis721 SpisGene721, Stylophora_pistillata_Spis719 Spis719 SpisGene719, Stylophora_pistillata_Spis24328 Spis24328 SpisGene24328
OG0000008	Acropora_digitifera_adi_v1.22879 adi_v1.22879	Stylophora_pistillata_Spis5995 Spis5995 SpisGene5995, Stylophora_pistillata_Spis9233 Spis9233 SpisGene9233, Stylophora_pistillata_Spis9234 Spis9234 SpisGene9234, Stylophora_pistillata_Spis24510 Spis24510 SpisGene24510
OG0000008	Acropora_digitifera_adi_v1.23160 adi_v1.23160, Acropora_digitifera_adi_v1.07571 adi_v1.07571	Stylophora_pistillata_Spis12661 Spis12661 SpisGene12661
OG0000008	Acropora_digitifera_adi_v1.04859 adi_v1.04859	Stylophora_pistillata_Spis17096 Spis17096 SpisGene17096
OG0000008	Acropora_digitifera_adi_v1.23804 adi_v1.23804, Acropora_digitifera_adi_v1.20455 adi_v1.20455	Stylophora_pistillata_Spis4050.t2 Spis4050.t2 SpisGene4050, Stylophora_pistillata_Spis4060 Spis4060 SpisGene4060
OG0000008	Acropora_digitifera_adi_v1.09584 adi_v1.09584	Stylophora_pistillata_Spis19559.t1 Spis19559.t1 SpisGene19559
OG0000008	Acropora_digitifera_adi_v1.14084 adi_v1.14084	Stylophora_pistillata_Spis15894.t1 Spis15894.t1 SpisGene15894
OG0000008	Acropora_digitifera_adi_v1.09582 adi_v1.09582	Stylophora_pistillata_Spis19561 Spis19561 SpisGene19561
OG0000008	Acropora_digitifera_adi_v1.06302 adi_v1.06302	Stylophora_pistillata_Spis19562 Spis19562 SpisGene19562
OG0000008	Acropora_digitifera_adi_v1.11997 adi_v1.11997	Stylophora_pistillata_Spis18326 Spis18326 SpisGene18326, Stylophora_pistillata_Spis23668 Spis23668 SpisGene23668, Stylophora_pistillata_Spis25381 Spis25381 SpisGene25381, Stylophora_pistillata_Spis25392 Spis25392 SpisGene25392, Stylophora_pistillata_Spis24890 Spis24890 SpisGene24890
OG0000008	Acropora_digitifera_adi_v1.01978 adi_v1.01978	Stylophora_pistillata_Spis17124 Spis17124 SpisGene17124
OG0000008	Acropora_digitifera_adi_v1.14878 adi_v1.14878	Stylophora_pistillata_Spis19730 Spis19730 SpisGene19730, Stylophora_pistillata_Spis21313 Spis21313 SpisGene21313
OG0000008	Acropora_digitifera_adi_v1.10976 adi_v1.10976	Stylophora_pistillata_Spis19789 Spis19789 SpisGene19789
OG0000009	Acropora_digitifera_adi_v1.10007 adi_v1.10007, Acropora_digitifera_adi_v1.23659 adi_v1.23659	Stylophora_pistillata_Spis16315 Spis16315 SpisGene16315
OG0000009	Acropora_digitifera_adi_v1.00989 adi_v1.00989	Stylophora_pistillata_Spis4925 Spis4925 SpisGene4925, Stylophora_pistillata_Spis8057 Spis8057 SpisGene8057
OG0000009	Acropora_digitifera_adi_v1.20204 adi_v1.20204, Acropora_digitifera_adi_v1.20203 adi_v1.20203, Acropora_digitifera_adi_v1.20205 adi_v1.20205, Acropora_digitifera_adi_v1.13170 adi_v1.13170	Stylophora_pistillata_Spis21497 Spis21497 SpisGene21497, Stylophora_pistillata_Spis21489 Spis21489 SpisGene21489, Stylophora_pistillata_Spis935 Spis935 SpisGene935, Stylophora_pistillata_Spis6599 Spis6599 SpisGene6599
OG0000009	Acropora_digitifera_adi_v1.18978 adi_v1.18978	Stylophora_pistillata_Spis4467 Spis4467 SpisGene4467, Stylophora_pistillata_Spis4466 Spis4466 SpisGene4466
OG0000009	Acropora_digitifera_adi_v1.09663 adi_v1.09663, Acropora_digitifera_adi_v1.19260 adi_v1.19260, Acropora_digitifera_adi_v1.19569 adi_v1.19569	Stylophora_pistillata_Spis744 Spis744 SpisGene744, Stylophora_pistillata_Spis24015 Spis24015 SpisGene24015, Stylophora_pistillata_Spis19195 Spis19195 SpisGene19195
OG0000009	Acropora_digitifera_adi_v1.19086 adi_v1.19086	Stylophora_pistillata_Spis5234 Spis5234 SpisGene5234
OG0000009	Acropora_digitifera_adi_v1.11309 adi_v1.11309, Acropora_digitifera_adi_v1.11310 adi_v1.11310	Stylophora_pistillata_Spis16344 Spis16344 SpisGene16344
OG0000009	Acropora_digitifera_adi_v1.20169 adi_v1.20169, Acropora_digitifera_adi_v1.16563 adi_v1.16563, Acropora_digitifera_adi_v1.16561 adi_v1.16561, Acropora_digitifera_adi_v1.23168 adi_v1.23168	Stylophora_pistillata_Spis16137 Spis16137 SpisGene16137, Stylophora_pistillata_Spis16138 Spis16138 SpisGene16138, Stylophora_pistillata_Spis16135 Spis16135 SpisGene16135
OG0000009	Acropora_digitifera_adi_v1.02161 adi_v1.02161	Stylophora_pistillata_Spis18539 Spis18539 SpisGene18539, Stylophora_pistillata_Spis12284 Spis12284 SpisGene12284
OG0000009	Acropora_digitifera_adi_v1.02163 adi_v1.02163	Stylophora_pistillata_Spis18540 Spis18540 SpisGene18540
OG0000009	Acropora_digitifera_adi_v1.13554 adi_v1.13554	Stylophora_pistillata_Spis8222 Spis8222 SpisGene8222
OG0000009	Acropora_digitifera_adi_v1.04391 adi_v1.04391	Stylophora_pistillata_Spis4454 Spis4454 SpisGene4454
OG0000009	Acropora_digitifera_adi_v1.13189 adi_v1.13189	Stylophora_pistillata_Spis7662.t1 Spis7662.t1 SpisGene7662
OG0000009	Acropora_digitifera_adi_v1.04567 adi_v1.04567, Acropora_digitifera_adi_v1.16833 adi_v1.16833	Stylophora_pistillata_Spis1630 Spis1630 SpisGene1630, Stylophora_pistillata_Spis1631 Spis1631 SpisGene1631
OG0000009	Acropora_digitifera_adi_v1.17647 adi_v1.17647, Acropora_digitifera_adi_v1.11637 adi_v1.11637	Stylophora_pistillata_Spis20339 Spis20339 SpisGene20339
OG0000010	Acropora_digitifera_adi_v1.04228 adi_v1.04228	Stylophora_pistillata_Spis1190 Spis1190 SpisGene1190
OG0000010	Acropora_digitifera_adi_v1.21127 adi_v1.21127	Stylophora_pistillata_Spis6111 Spis6111 SpisGene6111
OG0000010	Acropora_digitifera_adi_v1.06326 adi_v1.06326	Stylophora_pistillata_Spis1256.t1 Spis1256.t1 SpisGene1256
OG0000010	Acropora_digitifera_adi_v1.05562 adi_v1.05562, Acropora_digitifera_adi_v1.07946 adi_v1.07946	Stylophora_pistillata_Spis19541 Spis19541 SpisGene19541
OG0000010	Acropora_digitifera_adi_v1.16141 adi_v1.16141	Stylophora_pistillata_Spis2938 Spis2938 SpisGene2938, Stylophora_pistillata_Spis23700 Spis23700 SpisGene23700, Stylophora_pistillata_Spis4991 Spis4991 SpisGene4991
OG0000010	Acropora_digitifera_adi_v1.02202 adi_v1.02202	Stylophora_pistillata_Spis19002 Spis19002 SpisGene19002
OG0000010	Acropora_digitifera_adi_v1.04096 adi_v1.04096	Stylophora_pistillata_Spis19416.t1 Spis19416.t1 SpisGene19416
OG0000010	Acropora_digitifera_adi_v1.17180 adi_v1.17180	Stylophora_pistillata_Spis22051 Spis22051 SpisGene22051
OG0000010	Acropora_digitifera_adi_v1.18396 adi_v1.18396	Stylophora_pistillata_Spis8363.t1 Spis8363.t1 SpisGene8363
OG0000010	Acropora_digitifera_adi_v1.20273 adi_v1.20273	Stylophora_pistillata_Spis20690 Spis20690 SpisGene20690
OG0000010	Acropora_digitifera_adi_v1.20157 adi_v1.20157	Stylophora_pistillata_Spis8579 Spis8579 SpisGene8579
OG0000011	Acropora_digitifera_adi_v1.14221 adi_v1.14221, Acropora_digitifera_adi_v1.14220 adi_v1.14220	Stylophora_pistillata_Spis2040 Spis2040 SpisGene2040
OG0000011	Acropora_digitifera_adi_v1.22570 adi_v1.22570, Acropora_digitifera_adi_v1.05178 adi_v1.05178	Stylophora_pistillata_Spis22183 Spis22183 SpisGene22183
OG0000012	Acropora_digitifera_adi_v1.00069 adi_v1.00069	Stylophora_pistillata_Spis8301 Spis8301 SpisGene8301
OG0000012	Acropora_digitifera_adi_v1.12876 adi_v1.12876	Stylophora_pistillata_Spis11321.t1 Spis11321.t1 SpisGene11321
OG0000012	Acropora_digitifera_adi_v1.08393 adi_v1.08393	Stylophora_pistillata_Spis3283 Spis3283 SpisGene3283
OG0000012	Acropora_digitifera_adi_v1.00226 adi_v1.00226	Stylophora_pistillata_Spis16938 Spis16938 SpisGene16938
OG0000013	Acropora_digitifera_adi_v1.17615 adi_v1.17615	Stylophora_pistillata_Spis19313 Spis19313 SpisGene19313
OG0000013	Acropora_digitifera_adi_v1.13606 adi_v1.13606	Stylophora_pistillata_Spis10384 Spis10384 SpisGene10384
OG0000013	Acropora_digitifera_adi_v1.23656 adi_v1.23656, Acropora_digitifera_adi_v1.23655 adi_v1.23655, Acropora_digitifera_adi_v1.23654 adi_v1.23654	Stylophora_pistillata_Spis16312 Spis16312 SpisGene16312
OG0000013	Acropora_digitifera_adi_v1.06399 adi_v1.06399	Stylophora_pistillata_Spis3866 Spis3866 SpisGene3866, Stylophora_pistillata_Spis3867 Spis3867 SpisGene3867
OG0000013	Acropora_digitifera_adi_v1.16598 adi_v1.16598	Stylophora_pistillata_Spis1461.t1 Spis1461.t1 SpisGene1461
OG0000013	Acropora_digitifera_adi_v1.06764 adi_v1.06764	Stylophora_pistillata_Spis3868.t1 Spis3868.t1 SpisGene3868
OG0000013	Acropora_digitifera_adi_v1.02062 adi_v1.02062	Stylophora_pistillata_Spis825 Spis825 SpisGene825, Stylophora_pistillata_Spis824 Spis824 SpisGene824
OG0000013	Acropora_digitifera_adi_v1.02063 adi_v1.02063	Stylophora_pistillata_Spis826 Spis826 SpisGene826
OG0000013	Acropora_digitifera_adi_v1.13774 adi_v1.13774	Stylophora_pistillata_Spis18607.t1 Spis18607.t1 SpisGene18607
OG0000013	Acropora_digitifera_adi_v1.13773 adi_v1.13773	Stylophora_pistillata_Spis727 Spis727 SpisGene727, Stylophora_pistillata_Spis726 Spis726 SpisGene726, Stylophora_pistillata_Spis18606 Spis18606 SpisGene18606
OG0000013	Acropora_digitifera_adi_v1.13607 adi_v1.13607	Stylophora_pistillata_Spis10383 Spis10383 SpisGene10383
OG0000014	Acropora_digitifera_adi_v1.10799 adi_v1.10799, Acropora_digitifera_adi_v1.14366 adi_v1.14366	Stylophora_pistillata_Spis347 Spis347 SpisGene347
OG0000014	Acropora_digitifera_adi_v1.01169 adi_v1.01169	Stylophora_pistillata_Spis18290.t1 Spis18290.t1 SpisGene18290
OG0000014	Acropora_digitifera_adi_v1.14581 adi_v1.14581	Stylophora_pistillata_Spis2407 Spis2407 SpisGene2407
OG0000014	Acropora_digitifera_adi_v1.06910 adi_v1.06910	Stylophora_pistillata_Spis12681 Spis12681 SpisGene12681
OG0000014	Acropora_digitifera_adi_v1.01444 adi_v1.01444, Acropora_digitifera_adi_v1.22993 adi_v1.22993	Stylophora_pistillata_Spis19692 Spis19692 SpisGene19692
OG0000014	Acropora_digitifera_adi_v1.22282 adi_v1.22282, Acropora_digitifera_adi_v1.16116 adi_v1.16116, Acropora_digitifera_adi_v1.14772 adi_v1.14772	Stylophora_pistillata_Spis19693 Spis19693 SpisGene19693
OG0000014	Acropora_digitifera_adi_v1.16603 adi_v1.16603	Stylophora_pistillata_Spis17420 Spis17420 SpisGene17420
OG0000014	Acropora_digitifera_adi_v1.13245 adi_v1.13245	Stylophora_pistillata_Spis1486 Spis1486 SpisGene1486
OG0000014	Acropora_digitifera_adi_v1.20449 adi_v1.20449	Stylophora_pistillata_Spis1488 Spis1488 SpisGene1488
OG0000014	Acropora_digitifera_adi_v1.05790 adi_v1.05790, Acropora_digitifera_adi_v1.02358 adi_v1.02358	Stylophora_pistillata_Spis10964 Spis10964 SpisGene10964
OG0000014	Acropora_digitifera_adi_v1.16964 adi_v1.16964	Stylophora_pistillata_Spis1489 Spis1489 SpisGene1489, Stylophora_pistillata_Spis1490 Spis1490 SpisGene1490
OG0000015	Acropora_digitifera_adi_v1.13064 adi_v1.13064	Stylophora_pistillata_Spis11353 Spis11353 SpisGene11353
OG0000015	Acropora_digitifera_adi_v1.04802 adi_v1.04802, Acropora_digitifera_adi_v1.21797 adi_v1.21797, Acropora_digitifera_adi_v1.01313 adi_v1.01313	Stylophora_pistillata_Spis6260 Spis6260 SpisGene6260, Stylophora_pistillata_Spis6259 Spis6259 SpisGene6259
OG0000015	Acropora_digitifera_adi_v1.21798 adi_v1.21798, Acropora_digitifera_adi_v1.21068 adi_v1.21068	Stylophora_pistillata_Spis6258 Spis6258 SpisGene6258
OG0000015	Acropora_digitifera_adi_v1.07627 adi_v1.07627	Stylophora_pistillata_Spis20234 Spis20234 SpisGene20234
OG0000015	Acropora_digitifera_adi_v1.13318 adi_v1.13318, Acropora_digitifera_adi_v1.14554 adi_v1.14554	Stylophora_pistillata_Spis12021 Spis12021 SpisGene12021, Stylophora_pistillata_Spis7563 Spis7563 SpisGene7563
OG0000015	Acropora_digitifera_adi_v1.13317 adi_v1.13317, Acropora_digitifera_adi_v1.09195 adi_v1.09195, Acropora_digitifera_adi_v1.10025 adi_v1.10025	Stylophora_pistillata_Spis7569 Spis7569 SpisGene7569, Stylophora_pistillata_Spis7566 Spis7566 SpisGene7566, Stylophora_pistillata_Spis12022 Spis12022 SpisGene12022, Stylophora_pistillata_Spis7567 Spis7567 SpisGene7567, Stylophora_pistillata_Spis7572 Spis7572 SpisGene7572, Stylophora_pistillata_Spis7575 Spis7575 SpisGene7575, Stylophora_pistillata_Spis7573 Spis7573 SpisGene7573
OG0000015	Acropora_digitifera_adi_v1.10116 adi_v1.10116	Stylophora_pistillata_Spis8023 Spis8023 SpisGene8023, Stylophora_pistillata_Spis8022 Spis8022 SpisGene8022
OG0000015	Acropora_digitifera_adi_v1.14347 adi_v1.14347, Acropora_digitifera_adi_v1.04885 adi_v1.04885	Stylophora_pistillata_Spis12668 Spis12668 SpisGene12668
OG0000015	Acropora_digitifera_adi_v1.14346 adi_v1.14346, Acropora_digitifera_adi_v1.24382 adi_v1.24382	Stylophora_pistillata_Spis10275 Spis10275 SpisGene10275
OG0000015	Acropora_digitifera_adi_v1.01110 adi_v1.01110	Stylophora_pistillata_Spis6060 Spis6060 SpisGene6060
OG0000015	Acropora_digitifera_adi_v1.17903 adi_v1.17903	Stylophora_pistillata_Spis14393 Spis14393 SpisGene14393
OG0000015	Acropora_digitifera_adi_v1.23833 adi_v1.23833, Acropora_digitifera_adi_v1.22393 adi_v1.22393	Stylophora_pistillata_Spis7814 Spis7814 SpisGene7814
OG0000016	Acropora_digitifera_adi_v1.02178 adi_v1.02178	Stylophora_pistillata_Spis5859 Spis5859 SpisGene5859, Stylophora_pistillata_Spis5860 Spis5860 SpisGene5860
OG0000016	Acropora_digitifera_adi_v1.02175 adi_v1.02175	Stylophora_pistillata_Spis5852 Spis5852 SpisGene5852
OG0000016	Acropora_digitifera_adi_v1.02177 adi_v1.02177	Stylophora_pistillata_Spis5854 Spis5854 SpisGene5854, Stylophora_pistillata_Spis5827 Spis5827 SpisGene5827, Stylophora_pistillata_Spis5858 Spis5858 SpisGene5858, Stylophora_pistillata_Spis5857 Spis5857 SpisGene5857
OG0000016	Acropora_digitifera_adi_v1.02174 adi_v1.02174	Stylophora_pistillata_Spis5851 Spis5851 SpisGene5851
OG0000016	Acropora_digitifera_adi_v1.22761 adi_v1.22761	Stylophora_pistillata_Spis19202 Spis19202 SpisGene19202
OG0000016	Acropora_digitifera_adi_v1.03024 adi_v1.03024	Stylophora_pistillata_Spis18465 Spis18465 SpisGene18465
OG0000016	Acropora_digitifera_adi_v1.03033 adi_v1.03033	Stylophora_pistillata_Spis5570 Spis5570 SpisGene5570, Stylophora_pistillata_Spis5569 Spis5569 SpisGene5569, Stylophora_pistillata_Spis5572 Spis5572 SpisGene5572, Stylophora_pistillata_Spis5561 Spis5561 SpisGene5561
OG0000017	Acropora_digitifera_adi_v1.20054 adi_v1.20054	Stylophora_pistillata_Spis1531 Spis1531 SpisGene1531
OG0000017	Acropora_digitifera_adi_v1.12711 adi_v1.12711	Stylophora_pistillata_Spis5283 Spis5283 SpisGene5283
OG0000017	Acropora_digitifera_adi_v1.17942 adi_v1.17942	Stylophora_pistillata_Spis1532 Spis1532 SpisGene1532
OG0000018	Acropora_digitifera_adi_v1.08253 adi_v1.08253	Stylophora_pistillata_Spis5446 Spis5446 SpisGene5446, Stylophora_pistillata_Spis5444 Spis5444 SpisGene5444, Stylophora_pistillata_Spis5445 Spis5445 SpisGene5445
OG0000018	Acropora_digitifera_adi_v1.13776 adi_v1.13776, Acropora_digitifera_adi_v1.10056 adi_v1.10056	Stylophora_pistillata_Spis2803 Spis2803 SpisGene2803
OG0000018	Acropora_digitifera_adi_v1.13777 adi_v1.13777	Stylophora_pistillata_Spis18446 Spis18446 SpisGene18446, Stylophora_pistillata_Spis18450 Spis18450 SpisGene18450
OG0000018	Acropora_digitifera_adi_v1.11975 adi_v1.11975	Stylophora_pistillata_Spis8996 Spis8996 SpisGene8996
OG0000018	Acropora_digitifera_adi_v1.13977 adi_v1.13977	Stylophora_pistillata_Spis18453 Spis18453 SpisGene18453, Stylophora_pistillata_Spis14524 Spis14524 SpisGene14524, Stylophora_pistillata_Spis18452 Spis18452 SpisGene18452
OG0000018	Acropora_digitifera_adi_v1.18899 adi_v1.18899	Stylophora_pistillata_Spis17286.t1 Spis17286.t1 SpisGene17286
OG0000019	Acropora_digitifera_adi_v1.06152 adi_v1.06152, Acropora_digitifera_adi_v1.06153 adi_v1.06153	Stylophora_pistillata_Spis6384 Spis6384 SpisGene6384
OG0000019	Acropora_digitifera_adi_v1.07696 adi_v1.07696	Stylophora_pistillata_Spis20402 Spis20402 SpisGene20402
OG0000019	Acropora_digitifera_adi_v1.01025 adi_v1.01025	Stylophora_pistillata_Spis4504 Spis4504 SpisGene4504
OG0000019	Acropora_digitifera_adi_v1.07728 adi_v1.07728	Stylophora_pistillata_Spis8182.t1 Spis8182.t1 SpisGene8182
OG0000019	Acropora_digitifera_adi_v1.10675 adi_v1.10675	Stylophora_pistillata_Spis1246 Spis1246 SpisGene1246
OG0000019	Acropora_digitifera_adi_v1.15796 adi_v1.15796	Stylophora_pistillata_Spis5212 Spis5212 SpisGene5212
OG0000019	Acropora_digitifera_adi_v1.02299 adi_v1.02299	Stylophora_pistillata_Spis8792 Spis8792 SpisGene8792
OG0000019	Acropora_digitifera_adi_v1.01570 adi_v1.01570	Stylophora_pistillata_Spis10793 Spis10793 SpisGene10793, Stylophora_pistillata_Spis7539 Spis7539 SpisGene7539, Stylophora_pistillata_Spis6103 Spis6103 SpisGene6103, Stylophora_pistillata_Spis6102 Spis6102 SpisGene6102, Stylophora_pistillata_Spis21128 Spis21128 SpisGene21128
OG0000020	Acropora_digitifera_adi_v1.07215 adi_v1.07215	Stylophora_pistillata_Spis11483 Spis11483 SpisGene11483
OG0000020	Acropora_digitifera_adi_v1.23219 adi_v1.23219	Stylophora_pistillata_Spis1905 Spis1905 SpisGene1905
OG0000020	Acropora_digitifera_adi_v1.23748 adi_v1.23748, Acropora_digitifera_adi_v1.04537 adi_v1.04537	Stylophora_pistillata_Spis2741 Spis2741 SpisGene2741, Stylophora_pistillata_Spis2737 Spis2737 SpisGene2737
OG0000020	Acropora_digitifera_adi_v1.23610 adi_v1.23610	Stylophora_pistillata_Spis14939 Spis14939 SpisGene14939
OG0000020	Acropora_digitifera_adi_v1.00434 adi_v1.00434	Stylophora_pistillata_Spis2751 Spis2751 SpisGene2751
OG0000020	Acropora_digitifera_adi_v1.09052 adi_v1.09052	Stylophora_pistillata_Spis14195 Spis14195 SpisGene14195, Stylophora_pistillata_Spis3249 Spis3249 SpisGene3249
OG0000020	Acropora_digitifera_adi_v1.10004 adi_v1.10004	Stylophora_pistillata_Spis2745 Spis2745 SpisGene2745
OG0000020	Acropora_digitifera_adi_v1.14128 adi_v1.14128, Acropora_digitifera_adi_v1.12521 adi_v1.12521, Acropora_digitifera_adi_v1.15357 adi_v1.15357	Stylophora_pistillata_Spis2734 Spis2734 SpisGene2734
OG0000021	Acropora_digitifera_adi_v1.16464 adi_v1.16464, Acropora_digitifera_adi_v1.16465 adi_v1.16465	Stylophora_pistillata_Spis9526 Spis9526 SpisGene9526
OG0000021	Acropora_digitifera_adi_v1.00468 adi_v1.00468	Stylophora_pistillata_Spis7866 Spis7866 SpisGene7866
OG0000021	Acropora_digitifera_adi_v1.05589 adi_v1.05589	Stylophora_pistillata_Spis22825 Spis22825 SpisGene22825, Stylophora_pistillata_Spis12373 Spis12373 SpisGene12373
OG0000021	Acropora_digitifera_adi_v1.00314 adi_v1.00314	Stylophora_pistillata_Spis12354 Spis12354 SpisGene12354, Stylophora_pistillata_Spis18331 Spis18331 SpisGene18331
OG0000022	Acropora_digitifera_adi_v1.05985 adi_v1.05985, Acropora_digitifera_adi_v1.13743 adi_v1.13743	Stylophora_pistillata_Spis2403 Spis2403 SpisGene2403
OG0000022	Acropora_digitifera_adi_v1.13744 adi_v1.13744, Acropora_digitifera_adi_v1.07947 adi_v1.07947	Stylophora_pistillata_Spis2392 Spis2392 SpisGene2392
OG0000022	Acropora_digitifera_adi_v1.17095 adi_v1.17095	Stylophora_pistillata_Spis3665 Spis3665 SpisGene3665
OG0000022	Acropora_digitifera_adi_v1.08755 adi_v1.08755	Stylophora_pistillata_Spis14896 Spis14896 SpisGene14896
OG0000023	Acropora_digitifera_adi_v1.19445 adi_v1.19445	Stylophora_pistillata_Spis8398 Spis8398 SpisGene8398
OG0000024	Acropora_digitifera_adi_v1.10598 adi_v1.10598	Stylophora_pistillata_Spis7748 Spis7748 SpisGene7748
OG0000024	Acropora_digitifera_adi_v1.05363 adi_v1.05363	Stylophora_pistillata_Spis20024 Spis20024 SpisGene20024
OG0000024	Acropora_digitifera_adi_v1.05362 adi_v1.05362	Stylophora_pistillata_Spis20026 Spis20026 SpisGene20026
OG0000024	Acropora_digitifera_adi_v1.21193 adi_v1.21193	Stylophora_pistillata_Spis13991 Spis13991 SpisGene13991
OG0000027	Acropora_digitifera_adi_v1.00758 adi_v1.00758	Stylophora_pistillata_Spis15917 Spis15917 SpisGene15917
OG0000027	Acropora_digitifera_adi_v1.08137 adi_v1.08137	Stylophora_pistillata_Spis22410 Spis22410 SpisGene22410, Stylophora_pistillata_Spis15080 Spis15080 SpisGene15080
