Orthogroup	Cnidaria_Anthozoa_Acropora_digitifera	Insecta_Diptera_Drosophila_melanogaster
OG0000019	Acropora_digitifera_adi_v1.07696 adi_v1.07696	Drosophila_melanogaster_tr_X2JB15_X2JB15_DROME tr|X2JB15|X2JB15_DROME Screw_ isoform B OS=Drosophila melanogaster OX=7227 GN=scw PE=3 SV=1, Drosophila_melanogaster_sp_P54631_SCW_DROME sp|P54631|SCW_DROME Protein screw OS=Drosophila melanogaster OX=7227 GN=scw PE=2 SV=2, Drosophila_melanogaster_sp_P27091_60A_DROME sp|P27091|60A_DROME Protein 60A OS=Drosophila melanogaster OX=7227 GN=gbb PE=1 SV=1, Drosophila_melanogaster_tr_A0A0B4LGA7_A0A0B4LGA7_DROME tr|A0A0B4LGA7|A0A0B4LGA7_DROME Glass bottom boat_ isoform B OS=Drosophila melanogaster OX=7227 GN=gbb PE=3 SV=1
OG0000019	Acropora_digitifera_adi_v1.01025 adi_v1.01025	Drosophila_melanogaster_sp_P07713_DECA_DROME sp|P07713|DECA_DROME Protein decapentaplegic OS=Drosophila melanogaster OX=7227 GN=dpp PE=1 SV=2
OG0000021	Acropora_digitifera_adi_v1.16464 adi_v1.16464, Acropora_digitifera_adi_v1.16465 adi_v1.16465	Drosophila_melanogaster_sp_A1Z877_NDG_DROME sp|A1Z877|NDG_DROME Nidogen OS=Drosophila melanogaster OX=7227 GN=Ndg PE=1 SV=1
OG0000022	Acropora_digitifera_adi_v1.05985 adi_v1.05985, Acropora_digitifera_adi_v1.13743 adi_v1.13743, Acropora_digitifera_adi_v1.13744 adi_v1.13744, Acropora_digitifera_adi_v1.07947 adi_v1.07947	Drosophila_melanogaster_sp_Q9VXG4_ANX11_DROME sp|Q9VXG4|ANX11_DROME Annexin B11 OS=Drosophila melanogaster OX=7227 GN=AnxB11 PE=2 SV=2, Drosophila_melanogaster_tr_A0A0B4KH34_A0A0B4KH34_DROME tr|A0A0B4KH34|A0A0B4KH34_DROME Annexin OS=Drosophila melanogaster OX=7227 GN=AnxB9 PE=1 SV=1, Drosophila_melanogaster_sp_P22464_ANXB9_DROME sp|P22464|ANXB9_DROME Annexin B9 OS=Drosophila melanogaster OX=7227 GN=AnxB9 PE=1 SV=2, Drosophila_melanogaster_sp_P22465_ANX10_DROME sp|P22465|ANX10_DROME Annexin B10 OS=Drosophila melanogaster OX=7227 GN=AnxB10 PE=2 SV=3
OG0000023	Acropora_digitifera_adi_v1.19445 adi_v1.19445	Drosophila_melanogaster_tr_B7Z0Y2_B7Z0Y2_DROME tr|B7Z0Y2|B7Z0Y2_DROME Mind-meld_ isoform D OS=Drosophila melanogaster OX=7227 GN=mmd PE=4 SV=1, Drosophila_melanogaster_tr_Q9VXL1_Q9VXL1_DROME tr|Q9VXL1|Q9VXL1_DROME Mind-meld_ isoform F OS=Drosophila melanogaster OX=7227 GN=mmd PE=4 SV=6, Drosophila_melanogaster_tr_X2JE21_X2JE21_DROME tr|X2JE21|X2JE21_DROME Mind-meld_ isoform J OS=Drosophila melanogaster OX=7227 GN=mmd PE=4 SV=1, Drosophila_melanogaster_tr_M9PER2_M9PER2_DROME tr|M9PER2|M9PER2_DROME Mind-meld_ isoform H OS=Drosophila melanogaster OX=7227 GN=mmd PE=4 SV=1, Drosophila_melanogaster_tr_M9PH86_M9PH86_DROME tr|M9PH86|M9PH86_DROME Mind-meld_ isoform I OS=Drosophila melanogaster OX=7227 GN=mmd PE=4 SV=1, Drosophila_melanogaster_tr_M9NDY9_M9NDY9_DROME tr|M9NDY9|M9NDY9_DROME Mind-meld_ isoform G OS=Drosophila melanogaster OX=7227 GN=mmd PE=4 SV=1, Drosophila_melanogaster_tr_M9NH46_M9NH46_DROME tr|M9NH46|M9NH46_DROME Mind-meld_ isoform E OS=Drosophila melanogaster OX=7227 GN=mmd PE=4 SV=1, Drosophila_melanogaster_tr_Q7KUY7_Q7KUY7_DROME tr|Q7KUY7|Q7KUY7_DROME Mind-meld_ isoform B OS=Drosophila melanogaster OX=7227 GN=mmd PE=4 SV=2, Drosophila_melanogaster_tr_Q9GZ15_Q9GZ15_DROME tr|Q9GZ15|Q9GZ15_DROME MIND-MELD _Fragment_ OS=Drosophila melanogaster OX=7227 GN=mmd PE=2 SV=1
OG0000024	Acropora_digitifera_adi_v1.21193 adi_v1.21193	Drosophila_melanogaster_tr_A0A0B4KH80_A0A0B4KH80_DROME tr|A0A0B4KH80|A0A0B4KH80_DROME Carrier of wingless_ isoform E OS=Drosophila melanogaster OX=7227 GN=Cow PE=4 SV=1, Drosophila_melanogaster_sp_Q9VCR3_COW_DROME sp|Q9VCR3|COW_DROME Proteoglycan Cow OS=Drosophila melanogaster OX=7227 GN=Cow PE=1 SV=3
OG0000028	Acropora_digitifera_adi_v1.22704 adi_v1.22704	Drosophila_melanogaster_tr_O18407_O18407_DROME tr|O18407|O18407_DROME Collagen type IV alpha 2 OS=Drosophila melanogaster OX=7227 GN=vkg PE=2 SV=1, Drosophila_melanogaster_tr_Q9VMV5_Q9VMV5_DROME tr|Q9VMV5|Q9VMV5_DROME Viking_ isoform A OS=Drosophila melanogaster OX=7227 GN=vkg PE=1 SV=1
OG0000030	Acropora_digitifera_adi_v1.13106 adi_v1.13106	Drosophila_melanogaster_sp_Q9VAC5_ADA17_DROME sp|Q9VAC5|ADA17_DROME ADAM 17-like protease OS=Drosophila melanogaster OX=7227 GN=Tace PE=2 SV=2
OG0000030	Acropora_digitifera_adi_v1.02168 adi_v1.02168, Acropora_digitifera_adi_v1.09623 adi_v1.09623	Drosophila_melanogaster_tr_Q9VAI2_Q9VAI2_DROME tr|Q9VAI2|Q9VAI2_DROME Kuzbanian-like_ isoform A OS=Drosophila melanogaster OX=7227 GN=Kul PE=4 SV=1, Drosophila_melanogaster_tr_A0A0B4LHU2_A0A0B4LHU2_DROME tr|A0A0B4LHU2|A0A0B4LHU2_DROME Kuzbanian-like_ isoform C OS=Drosophila melanogaster OX=7227 GN=Kul PE=4 SV=1, Drosophila_melanogaster_tr_Q59DZ3_Q59DZ3_DROME tr|Q59DZ3|Q59DZ3_DROME FI21209p1 OS=Drosophila melanogaster OX=7227 GN=kuz PE=1 SV=1, Drosophila_melanogaster_tr_A8DZ03_A8DZ03_DROME tr|A8DZ03|A8DZ03_DROME Kuzbanian_ isoform G OS=Drosophila melanogaster OX=7227 GN=kuz PE=1 SV=2, Drosophila_melanogaster_tr_A8DZ02_A8DZ02_DROME tr|A8DZ02|A8DZ02_DROME Kuzbanian_ isoform F OS=Drosophila melanogaster OX=7227 GN=kuz PE=1 SV=2, Drosophila_melanogaster_tr_Q9VJW9_Q9VJW9_DROME tr|Q9VJW9|Q9VJW9_DROME Kuzbanian_ isoform A OS=Drosophila melanogaster OX=7227 GN=kuz PE=1 SV=1, Drosophila_melanogaster_tr_Q94902_Q94902_DROME tr|Q94902|Q94902_DROME Kuzbanian OS=Drosophila melanogaster OX=7227 GN=kuz PE=2 SV=1
OG0000036	Acropora_digitifera_adi_v1.11172 adi_v1.11172	Drosophila_melanogaster_tr_Q95RQ1_Q95RQ1_DROME tr|Q95RQ1|Q95RQ1_DROME LD16414p OS=Drosophila melanogaster OX=7227 GN=slow PE=2 SV=1
OG0000038	Acropora_digitifera_adi_v1.19171 adi_v1.19171	Drosophila_melanogaster_sp_Q8MUJ1_EIGER_DROME sp|Q8MUJ1|EIGER_DROME Protein eiger OS=Drosophila melanogaster OX=7227 GN=egr PE=1 SV=1
OG0000044	Acropora_digitifera_adi_v1.17869 adi_v1.17869, Acropora_digitifera_adi_v1.01279 adi_v1.01279, Acropora_digitifera_adi_v1.01276 adi_v1.01276, Acropora_digitifera_adi_v1.01277 adi_v1.01277	Drosophila_melanogaster_tr_Q8IPH0_Q8IPH0_DROME tr|Q8IPH0|Q8IPH0_DROME Transglutaminase_ isoform B OS=Drosophila melanogaster OX=7227 GN=Tg PE=1 SV=1, Drosophila_melanogaster_tr_Q9VLU2_Q9VLU2_DROME tr|Q9VLU2|Q9VLU2_DROME RE08173p OS=Drosophila melanogaster OX=7227 GN=Tg PE=2 SV=2
OG0000045	Acropora_digitifera_adi_v1.10227 adi_v1.10227, Acropora_digitifera_adi_v1.09586 adi_v1.09586, Acropora_digitifera_adi_v1.17109 adi_v1.17109	Drosophila_melanogaster_sp_Q00174_LAMA_DROME sp|Q00174|LAMA_DROME Laminin subunit alpha OS=Drosophila melanogaster OX=7227 GN=LanA PE=1 SV=2
OG0000045	Acropora_digitifera_adi_v1.23198 adi_v1.23198	Drosophila_melanogaster_tr_M9MRU0_M9MRU0_DROME tr|M9MRU0|M9MRU0_DROME Wing blister_ isoform C OS=Drosophila melanogaster OX=7227 GN=wb PE=4 SV=1
OG0000047	Acropora_digitifera_adi_v1.11979 adi_v1.11979	Drosophila_melanogaster_tr_X2J8E8_X2J8E8_DROME tr|X2J8E8|X2J8E8_DROME Lethal _2_ 34Fc_ isoform B OS=Drosophila melanogaster OX=7227 GN=l_2_34Fc PE=4 SV=1, Drosophila_melanogaster_sp_Q9V3Y3_DFP_DROME sp|Q9V3Y3|DFP_DROME Defense protein l_2_34Fc OS=Drosophila melanogaster OX=7227 GN=l_2_34Fc PE=2 SV=1
OG0000049	Acropora_digitifera_adi_v1.00526 adi_v1.00526	Drosophila_melanogaster_tr_Q86M56_Q86M56_DROME tr|Q86M56|Q86M56_DROME LD10519p OS=Drosophila melanogaster OX=7227 GN=PlexA PE=2 SV=1, Drosophila_melanogaster_tr_Q9V491_Q9V491_DROME tr|Q9V491|Q9V491_DROME Plexin A_ isoform A OS=Drosophila melanogaster OX=7227 GN=PlexA PE=1 SV=1, Drosophila_melanogaster_tr_Q7YU07_Q7YU07_DROME tr|Q7YU07|Q7YU07_DROME LD15833p OS=Drosophila melanogaster OX=7227 GN=PlexA PE=2 SV=1, Drosophila_melanogaster_tr_Q0KIF1_Q0KIF1_DROME tr|Q0KIF1|Q0KIF1_DROME Plexin A_ isoform B OS=Drosophila melanogaster OX=7227 GN=PlexA PE=1 SV=1, Drosophila_melanogaster_tr_O96681_O96681_DROME tr|O96681|O96681_DROME Plexin A OS=Drosophila melanogaster OX=7227 GN=PlexA PE=2 SV=1, Drosophila_melanogaster_tr_H9XVP3_H9XVP3_DROME tr|H9XVP3|H9XVP3_DROME Plexin A_ isoform F OS=Drosophila melanogaster OX=7227 GN=PlexA PE=1 SV=1, Drosophila_melanogaster_sp_Q9V4A7_PLXB_DROME sp|Q9V4A7|PLXB_DROME Plexin-B OS=Drosophila melanogaster OX=7227 GN=PlexB PE=1 SV=2, Drosophila_melanogaster_tr_H9XVL5_H9XVL5_DROME tr|H9XVL5|H9XVL5_DROME Plexin B_ isoform B OS=Drosophila melanogaster OX=7227 GN=PlexB PE=3 SV=1
OG0000063	Acropora_digitifera_adi_v1.13405 adi_v1.13405, Acropora_digitifera_adi_v1.14406 adi_v1.14406	Drosophila_melanogaster_sp_Q02936_HH_DROME sp|Q02936|HH_DROME Protein hedgehog OS=Drosophila melanogaster OX=7227 GN=hh PE=1 SV=4
OG0000065	Acropora_digitifera_adi_v1.01898 adi_v1.01898, Acropora_digitifera_adi_v1.06117 adi_v1.06117, Acropora_digitifera_adi_v1.06118 adi_v1.06118	Drosophila_melanogaster_tr_Q53XG2_Q53XG2_DROME tr|Q53XG2|Q53XG2_DROME Division abnormally delayed_ isoform B OS=Drosophila melanogaster OX=7227 GN=dally PE=1 SV=1, Drosophila_melanogaster_sp_Q24114_DALY_DROME sp|Q24114|DALY_DROME Division abnormally delayed protein OS=Drosophila melanogaster OX=7227 GN=dally PE=1 SV=1, Drosophila_melanogaster_tr_Q966V5_Q966V5_DROME tr|Q966V5|Q966V5_DROME Dally OS=Drosophila melanogaster OX=7227 GN=dally PE=3 SV=1
OG0000070	Acropora_digitifera_adi_v1.05628 adi_v1.05628	Drosophila_melanogaster_sp_Q9VZZ4_PXDN_DROME sp|Q9VZZ4|PXDN_DROME Peroxidasin OS=Drosophila melanogaster OX=7227 GN=Pxn PE=1 SV=1
OG0000080	Acropora_digitifera_adi_v1.23049 adi_v1.23049, Acropora_digitifera_adi_v1.20179 adi_v1.20179, Acropora_digitifera_adi_v1.03235 adi_v1.03235	Drosophila_melanogaster_sp_Q9VH14_TIMP_DROME sp|Q9VH14|TIMP_DROME Tissue inhibitor of metalloproteinase OS=Drosophila melanogaster OX=7227 GN=Timp PE=1 SV=1
OG0000088	Acropora_digitifera_adi_v1.01059 adi_v1.01059	Drosophila_melanogaster_tr_O02029_O02029_DROME tr|O02029|O02029_DROME M-spondin OS=Drosophila melanogaster OX=7227 GN=mspo PE=2 SV=1, Drosophila_melanogaster_tr_Q7JY80_Q7JY80_DROME tr|Q7JY80|Q7JY80_DROME M-spondin_ isoform A OS=Drosophila melanogaster OX=7227 GN=mspo PE=2 SV=1, Drosophila_melanogaster_tr_Q8T988_Q8T988_DROME tr|Q8T988|Q8T988_DROME SD07907p OS=Drosophila melanogaster OX=7227 GN=CG17740 PE=2 SV=1, Drosophila_melanogaster_tr_A1Z8W6_A1Z8W6_DROME tr|A1Z8W6|A1Z8W6_DROME Spondin-1 OS=Drosophila melanogaster OX=7227 GN=CG17740 PE=2 SV=1, Drosophila_melanogaster_tr_Q3ZAL6_Q3ZAL6_DROME tr|Q3ZAL6|Q3ZAL6_DROME Spondin-1 OS=Drosophila melanogaster OX=7227 GN=CG17740 PE=2 SV=1, Drosophila_melanogaster_tr_Q7K3Y9_Q7K3Y9_DROME tr|Q7K3Y9|Q7K3Y9_DROME Spondin-1 OS=Drosophila melanogaster OX=7227 GN=Dmel\CG17739 PE=2 SV=1, Drosophila_melanogaster_tr_Q95S22_Q95S22_DROME tr|Q95S22|Q95S22_DROME HL01082p OS=Drosophila melanogaster OX=7227 GN=fat-spondin PE=2 SV=1, Drosophila_melanogaster_tr_Q7KN04_Q7KN04_DROME tr|Q7KN04|Q7KN04_DROME Spondin-1 OS=Drosophila melanogaster OX=7227 GN=fat-spondin PE=1 SV=1
OG0000089	Acropora_digitifera_adi_v1.13331 adi_v1.13331, Acropora_digitifera_adi_v1.09609 adi_v1.09609	Drosophila_melanogaster_sp_Q24025_SOG_DROME sp|Q24025|SOG_DROME Dorsal-ventral patterning protein Sog OS=Drosophila melanogaster OX=7227 GN=sog PE=1 SV=1, Drosophila_melanogaster_tr_M9PH73_M9PH73_DROME tr|M9PH73|M9PH73_DROME Dorsal-ventral patterning protein Sog OS=Drosophila melanogaster OX=7227 GN=sog PE=3 SV=1
OG0000095	Acropora_digitifera_adi_v1.07740 adi_v1.07740	Drosophila_melanogaster_tr_A4UZB1_A4UZB1_DROME tr|A4UZB1|A4UZB1_DROME Magu_ isoform F OS=Drosophila melanogaster OX=7227 GN=magu PE=4 SV=1, Drosophila_melanogaster_tr_Q95TQ2_Q95TQ2_DROME tr|Q95TQ2|Q95TQ2_DROME LD30894p OS=Drosophila melanogaster OX=7227 GN=magu PE=2 SV=1, Drosophila_melanogaster_tr_Q0E9E0_Q0E9E0_DROME tr|Q0E9E0|Q0E9E0_DROME FI05255p OS=Drosophila melanogaster OX=7227 GN=magu PE=2 SV=1, Drosophila_melanogaster_tr_Q86MK1_Q86MK1_DROME tr|Q86MK1|Q86MK1_DROME CG2264A OS=Drosophila melanogaster OX=7227 GN=magu PE=2 SV=1
OG0000120	Acropora_digitifera_adi_v1.22301 adi_v1.22301	Drosophila_melanogaster_tr_B7YZN0_B7YZN0_DROME tr|B7YZN0|B7YZN0_DROME Syndecan OS=Drosophila melanogaster OX=7227 GN=Sdc PE=1 SV=2, Drosophila_melanogaster_tr_E1JGQ9_E1JGQ9_DROME tr|E1JGQ9|E1JGQ9_DROME Syndecan OS=Drosophila melanogaster OX=7227 GN=Sdc PE=1 SV=2, Drosophila_melanogaster_sp_P49415_SDC_DROME sp|P49415|SDC_DROME Syndecan OS=Drosophila melanogaster OX=7227 GN=Sdc PE=2 SV=2, Drosophila_melanogaster_tr_B7YZM9_B7YZM9_DROME tr|B7YZM9|B7YZM9_DROME Syndecan OS=Drosophila melanogaster OX=7227 GN=Sdc PE=1 SV=1, Drosophila_melanogaster_tr_A0A0B4LG79_A0A0B4LG79_DROME tr|A0A0B4LG79|A0A0B4LG79_DROME Syndecan OS=Drosophila melanogaster OX=7227 GN=Sdc PE=1 SV=1, Drosophila_melanogaster_tr_A0A0B4K862_A0A0B4K862_DROME tr|A0A0B4K862|A0A0B4K862_DROME Syndecan OS=Drosophila melanogaster OX=7227 GN=Sdc PE=3 SV=1
OG0000133	Acropora_digitifera_adi_v1.13517 adi_v1.13517	Drosophila_melanogaster_sp_Q9VPF0_ATK_DROME sp|Q9VPF0|ATK_DROME Protein artichoke OS=Drosophila melanogaster OX=7227 GN=atk PE=1 SV=2
OG0000219	Acropora_digitifera_adi_v1.15112 adi_v1.15112	Drosophila_melanogaster_tr_Q9W347_Q9W347_DROME tr|Q9W347|Q9W347_DROME C12.2_ isoform A OS=Drosophila melanogaster OX=7227 GN=c12.2 PE=1 SV=3, Drosophila_melanogaster_tr_M9PHH0_M9PHH0_DROME tr|M9PHH0|M9PHH0_DROME C12.2_ isoform B OS=Drosophila melanogaster OX=7227 GN=c12.2 PE=1 SV=1
OG0000248	Acropora_digitifera_adi_v1.13105 adi_v1.13105, Acropora_digitifera_adi_v1.15930 adi_v1.15930	Drosophila_melanogaster_tr_Q9VCC7_Q9VCC7_DROME tr|Q9VCC7|Q9VCC7_DROME FI03681p OS=Drosophila melanogaster OX=7227 GN=Kal1 PE=2 SV=2, Drosophila_melanogaster_tr_Q95SS0_Q95SS0_DROME tr|Q95SS0|Q95SS0_DROME GH04611p OS=Drosophila melanogaster OX=7227 GN=Kal1 PE=2 SV=1
OG0000269	Acropora_digitifera_adi_v1.15033 adi_v1.15033	Drosophila_melanogaster_tr_Q8IGN3_Q8IGN3_DROME tr|Q8IGN3|Q8IGN3_DROME RE59052p OS=Drosophila melanogaster OX=7227 GN=CG6867 PE=2 SV=1, Drosophila_melanogaster_tr_Q9VWZ7_Q9VWZ7_DROME tr|Q9VWZ7|Q9VWZ7_DROME FI21454p1 OS=Drosophila melanogaster OX=7227 GN=CT21241 PE=2 SV=2
OG0000479	Acropora_digitifera_adi_v1.12565 adi_v1.12565	Drosophila_melanogaster_tr_Q9VKQ0_Q9VKQ0_DROME tr|Q9VKQ0|Q9VKQ0_DROME Uncharacterized protein_ isoform A OS=Drosophila melanogaster OX=7227 GN=CG18499 PE=4 SV=2
