Orthogroup	Chordata_Vertebrata_Mus_musculus	Nematoda_Chromadorea_Caenorhabditis_elegans
OG0000023	Mus_musculus_sp_Q05910_ADAM8_MOUSE sp_Q05910_ADAM8_MOUSE Disintegrin and metalloproteinase domain-containing protein 8 OS=Mus musculus OX=10090 GN=Adam8 PE=1 SV=3, Mus_musculus_sp_O35227_ADAM7_MOUSE sp_O35227_ADAM7_MOUSE Disintegrin and metalloproteinase domain-containing protein 7 OS=Mus musculus OX=10090 GN=Adam7 PE=2 SV=2, Mus_musculus_sp_Q9R0X2_ADEC1_MOUSE sp_Q9R0X2_ADEC1_MOUSE ADAM DEC1 OS=Mus musculus OX=10090 GN=Adamdec1 PE=2 SV=1, Mus_musculus_sp_Q8K410_ADA32_MOUSE sp_Q8K410_ADA32_MOUSE Disintegrin and metalloproteinase domain-containing protein 32 OS=Mus musculus OX=10090 GN=Adam32 PE=1 SV=3, Mus_musculus_sp_F8VQ03_ADAM3_MOUSE sp_F8VQ03_ADAM3_MOUSE A disintegrin and metallopeptidase domain 3 OS=Mus musculus OX=10090 GN=Adam3 PE=1 SV=1, Mus_musculus_sp_Q9R157_ADA18_MOUSE sp_Q9R157_ADA18_MOUSE Disintegrin and metalloproteinase domain-containing protein 18 OS=Mus musculus OX=10090 GN=Adam18 PE=1 SV=2, Mus_musculus_sp_Q60718_ADAM2_MOUSE sp_Q60718_ADAM2_MOUSE Disintegrin and metalloproteinase domain-containing protein 2 OS=Mus musculus OX=10090 GN=Adam2 PE=1 SV=2, Mus_musculus_sp_Q8R534_ADM1B_MOUSE sp_Q8R534_ADM1B_MOUSE Disintegrin and metalloproteinase domain-containing protein 1b OS=Mus musculus OX=10090 GN=Adam1b PE=1 SV=2, Mus_musculus_sp_Q9R159_ADA25_MOUSE sp_Q9R159_ADA25_MOUSE Disintegrin and metalloproteinase domain-containing protein 25 OS=Mus musculus OX=10090 GN=Adam25 PE=2 SV=1, Mus_musculus_sp_Q9R160_ADA24_MOUSE sp_Q9R160_ADA24_MOUSE Disintegrin and metalloproteinase domain-containing protein 24 OS=Mus musculus OX=10090 GN=Adam24 PE=1 SV=2, Mus_musculus_sp_Q9R158_AD26A_MOUSE sp_Q9R158_AD26A_MOUSE Disintegrin and metalloproteinase domain-containing protein 26A OS=Mus musculus OX=10090 GN=Adam26a PE=2 SV=2, Mus_musculus_sp_Q811Q4_ADA29_MOUSE sp_Q811Q4_ADA29_MOUSE Disintegrin and metalloproteinase domain-containing protein 29 OS=Mus musculus OX=10090 GN=Adam29 PE=2 SV=1, Mus_musculus_sp_Q9JI76_ADA21_MOUSE sp_Q9JI76_ADA21_MOUSE Disintegrin and metalloproteinase domain-containing protein 21 OS=Mus musculus OX=10090 GN=Adam21 PE=2 SV=1, Mus_musculus_sp_Q61072_ADAM9_MOUSE sp_Q61072_ADAM9_MOUSE Disintegrin and metalloproteinase domain-containing protein 9 OS=Mus musculus OX=10090 GN=Adam9 PE=1 SV=2, Mus_musculus_sp_Q61824_ADA12_MOUSE sp_Q61824_ADA12_MOUSE Disintegrin and metalloproteinase domain-containing protein 12 OS=Mus musculus OX=10090 GN=Adam12 PE=1 SV=2, Mus_musculus_sp_Q923W9_ADA33_MOUSE sp_Q923W9_ADA33_MOUSE Disintegrin and metalloproteinase domain-containing protein 33 OS=Mus musculus OX=10090 GN=Adam33 PE=1 SV=3, Mus_musculus_sp_O35674_ADA19_MOUSE sp_O35674_ADA19_MOUSE Disintegrin and metalloproteinase domain-containing protein 19 OS=Mus musculus OX=10090 GN=Adam19 PE=2 SV=2, Mus_musculus_sp_O88839_ADA15_MOUSE sp_O88839_ADA15_MOUSE Disintegrin and metalloproteinase domain-containing protein 15 OS=Mus musculus OX=10090 GN=Adam15 PE=1 SV=2, Mus_musculus_sp_O88839_ADA15_MOUSE sp_O88839_ADA15_MOUSE Disintegrin and metalloproteinase domain-containing protein 15 OS=Mus musculus OX=10090 GN=Adam15 PE=1 SV=2, Mus_musculus_sp_Q9R1V7_ADA23_MOUSE sp_Q9R1V7_ADA23_MOUSE Disintegrin and metalloproteinase domain-containing protein 23 OS=Mus musculus OX=10090 GN=Adam23 PE=1 SV=1, Mus_musculus_sp_Q9R1V6_ADA22_MOUSE sp_Q9R1V6_ADA22_MOUSE Disintegrin and metalloproteinase domain-containing protein 22 OS=Mus musculus OX=10090 GN=Adam22 PE=1 SV=2, Mus_musculus_sp_Q9R1V4_ADA11_MOUSE sp_Q9R1V4_ADA11_MOUSE Disintegrin and metalloproteinase domain-containing protein 11 OS=Mus musculus OX=10090 GN=Adam11 PE=1 SV=2	Caenorhabditis_elegans_Y37D8A.13 Y37D8A.13
OG0000024	Mus_musculus_sp_Q8R0S6_WFKN1_MOUSE sp_Q8R0S6_WFKN1_MOUSE WAP_ Kazal_ immunoglobulin_ Kunitz and NTR domain-containing protein 1 OS=Mus musculus OX=10090 GN=Wfikkn1 PE=2 SV=2	Caenorhabditis_elegans_W01F3.3e W01F3.3e, Caenorhabditis_elegans_T07H8.4e T07H8.4e
OG0000024	Mus_musculus_sp_Q62288_TICN1_MOUSE sp_Q62288_TICN1_MOUSE Testican-1 OS=Mus musculus OX=10090 GN=Spock1 PE=2 SV=2, Mus_musculus_sp_Q9ER58_TICN2_MOUSE sp_Q9ER58_TICN2_MOUSE Testican-2 OS=Mus musculus OX=10090 GN=Spock2 PE=1 SV=1	Caenorhabditis_elegans_C54E4.2c C54E4.2c
OG0000028	Mus_musculus_sp_P02463_CO4A1_MOUSE sp_P02463_CO4A1_MOUSE Collagen alpha-1_IV_ chain OS=Mus musculus OX=10090 GN=Col4a1 PE=1 SV=4, Mus_musculus_sp_Q9QZS0_CO4A3_MOUSE sp_Q9QZS0_CO4A3_MOUSE Collagen alpha-3_IV_ chain OS=Mus musculus OX=10090 GN=Col4a3 PE=1 SV=2	Caenorhabditis_elegans_K04H4.1b K04H4.1b
OG0000028	Mus_musculus_sp_P08122_CO4A2_MOUSE sp_P08122_CO4A2_MOUSE Collagen alpha-2_IV_ chain OS=Mus musculus OX=10090 GN=Col4a2 PE=1 SV=4, Mus_musculus_sp_Q9QZR9_CO4A4_MOUSE sp_Q9QZR9_CO4A4_MOUSE Collagen alpha-4_IV_ chain OS=Mus musculus OX=10090 GN=Col4a4 PE=1 SV=1	Caenorhabditis_elegans_F01G12.5b F01G12.5b
OG0000030	Mus_musculus_sp_Q9Z0F8_ADA17_MOUSE sp_Q9Z0F8_ADA17_MOUSE Disintegrin and metalloproteinase domain-containing protein 17 OS=Mus musculus OX=10090 GN=Adam17 PE=1 SV=3	Caenorhabditis_elegans_ZK154.7 ZK154.7
OG0000030	Mus_musculus_sp_O35598_ADA10_MOUSE sp_O35598_ADA10_MOUSE Disintegrin and metalloproteinase domain-containing protein 10 OS=Mus musculus OX=10090 GN=Adam10 PE=1 SV=2	Caenorhabditis_elegans_DY3.7 DY3.7
OG0000045	Mus_musculus_sp_Q61789_LAMA3_MOUSE sp_Q61789_LAMA3_MOUSE Laminin subunit alpha-3 OS=Mus musculus OX=10090 GN=Lama3 PE=1 SV=4, Mus_musculus_sp_Q61001_LAMA5_MOUSE sp_Q61001_LAMA5_MOUSE Laminin subunit alpha-5 OS=Mus musculus OX=10090 GN=Lama5 PE=1 SV=4	Caenorhabditis_elegans_K08C7.3e K08C7.3e
OG0000049	Mus_musculus_sp_Q8CJH3_PLXB1_MOUSE sp_Q8CJH3_PLXB1_MOUSE Plexin-B1 OS=Mus musculus OX=10090 GN=Plxnb1 PE=1 SV=2, Mus_musculus_sp_Q9QY40_PLXB3_MOUSE sp_Q9QY40_PLXB3_MOUSE Plexin-B3 OS=Mus musculus OX=10090 GN=Plxnb3 PE=1 SV=2, Mus_musculus_sp_B2RXS4_PLXB2_MOUSE sp_B2RXS4_PLXB2_MOUSE Plexin-B2 OS=Mus musculus OX=10090 GN=Plxnb2 PE=1 SV=1, Mus_musculus_sp_Q3UH93_PLXD1_MOUSE sp_Q3UH93_PLXD1_MOUSE Plexin-D1 OS=Mus musculus OX=10090 GN=Plxnd1 PE=1 SV=1, Mus_musculus_sp_Q9QZC2_PLXC1_MOUSE sp_Q9QZC2_PLXC1_MOUSE Plexin-C1 OS=Mus musculus OX=10090 GN=Plxnc1 PE=1 SV=1	Caenorhabditis_elegans_K04B12.1 K04B12.1
OG0000065	Mus_musculus_sp_Q8CFZ4_GPC3_MOUSE sp_Q8CFZ4_GPC3_MOUSE Glypican-3 OS=Mus musculus OX=10090 GN=Gpc3 PE=1 SV=1	Caenorhabditis_elegans_C39E6.1 C39E6.1
OG0000068	Mus_musculus_sp_O54974_LEG7_MOUSE sp_O54974_LEG7_MOUSE Galectin-7 OS=Mus musculus OX=10090 GN=Lgals7 PE=2 SV=3, Mus_musculus_sp_P16110_LEG3_MOUSE sp_P16110_LEG3_MOUSE Galectin-3 OS=Mus musculus OX=10090 GN=Lgals3 PE=1 SV=3, Mus_musculus_sp_Q8VED9_LEGL_MOUSE sp_Q8VED9_LEGL_MOUSE Galectin-related protein OS=Mus musculus OX=10090 GN=Lgalsl PE=1 SV=1, Mus_musculus_sp_Q8K419_LEG4_MOUSE sp_Q8K419_LEG4_MOUSE Galectin-4 OS=Mus musculus OX=10090 GN=Lgals4 PE=1 SV=2, Mus_musculus_sp_O08573_LEG9_MOUSE sp_O08573_LEG9_MOUSE Galectin-9 OS=Mus musculus OX=10090 GN=Lgals9 PE=1 SV=1, Mus_musculus_sp_Q91VD1_LEG12_MOUSE sp_Q91VD1_LEG12_MOUSE Galectin-12 OS=Mus musculus OX=10090 GN=Lgals12 PE=1 SV=2, Mus_musculus_sp_Q9JL15_LEG8_MOUSE sp_Q9JL15_LEG8_MOUSE Galectin-8 OS=Mus musculus OX=10090 GN=Lgals8 PE=1 SV=1	Caenorhabditis_elegans_W09H1.6b W09H1.6b, Caenorhabditis_elegans_F52H3.7b F52H3.7b, Caenorhabditis_elegans_ZK1248.16 ZK1248.16, Caenorhabditis_elegans_C44F1.3 C44F1.3, Caenorhabditis_elegans_C53D6.7 C53D6.7
OG0000068	Mus_musculus_sp_P16045_LEG1_MOUSE sp_P16045_LEG1_MOUSE Galectin-1 OS=Mus musculus OX=10090 GN=Lgals1 PE=1 SV=3	Caenorhabditis_elegans_Y41C4A.5 Y41C4A.5, Caenorhabditis_elegans_Y55B1AR.1 Y55B1AR.1
OG0000070	Mus_musculus_sp_Q3UQ28_PXDN_MOUSE sp_Q3UQ28_PXDN_MOUSE Peroxidasin homolog OS=Mus musculus OX=10090 GN=Pxdn PE=1 SV=2	Caenorhabditis_elegans_K09C8.5 K09C8.5, Caenorhabditis_elegans_ZK994.3 ZK994.3
OG0000074	Mus_musculus_sp_Q9R1B9_SLIT2_MOUSE sp_Q9R1B9_SLIT2_MOUSE Slit homolog 2 protein OS=Mus musculus OX=10090 GN=Slit2 PE=2 SV=2, Mus_musculus_sp_Q9WVB4_SLIT3_MOUSE sp_Q9WVB4_SLIT3_MOUSE Slit homolog 3 protein OS=Mus musculus OX=10090 GN=Slit3 PE=2 SV=2, Mus_musculus_sp_Q80TR4_SLIT1_MOUSE sp_Q80TR4_SLIT1_MOUSE Slit homolog 1 protein OS=Mus musculus OX=10090 GN=Slit1 PE=1 SV=2	Caenorhabditis_elegans_F40E10.4 F40E10.4
OG0000078	Mus_musculus_sp_Q99JR5_TINAL_MOUSE sp_Q99JR5_TINAL_MOUSE Tubulointerstitial nephritis antigen-like OS=Mus musculus OX=10090 GN=Tinagl1 PE=1 SV=1	Caenorhabditis_elegans_F26E4.3 F26E4.3
OG0000081	Mus_musculus_sp_Q9CYA0_CREL2_MOUSE sp_Q9CYA0_CREL2_MOUSE Protein disulfide isomerase Creld2 OS=Mus musculus OX=10090 GN=Creld2 PE=1 SV=1, Mus_musculus_sp_Q91XD7_CREL1_MOUSE sp_Q91XD7_CREL1_MOUSE Protein disulfide isomerase Creld1 OS=Mus musculus OX=10090 GN=Creld1 PE=1 SV=1	Caenorhabditis_elegans_F09E8.2b F09E8.2b, Caenorhabditis_elegans_F56H11.1e F56H11.1e
OG0000083	Mus_musculus_sp_Q812F3_HYAL5_MOUSE sp_Q812F3_HYAL5_MOUSE Hyaluronidase-5 OS=Mus musculus OX=10090 GN=Hyal5 PE=1 SV=1, Mus_musculus_sp_Q05A56_HYAL4_MOUSE sp_Q05A56_HYAL4_MOUSE Hyaluronidase-4 OS=Mus musculus OX=10090 GN=Hyal4 PE=2 SV=1, Mus_musculus_sp_O35632_HYAL2_MOUSE sp_O35632_HYAL2_MOUSE Hyaluronidase-2 OS=Mus musculus OX=10090 GN=Hyal2 PE=1 SV=2	Caenorhabditis_elegans_T22C8.2 T22C8.2
OG0000084	Mus_musculus_sp_O35206_COFA1_MOUSE sp_O35206_COFA1_MOUSE Collagen alpha-1_XV_ chain OS=Mus musculus OX=10090 GN=Col15a1 PE=1 SV=2, Mus_musculus_sp_P39061_COIA1_MOUSE sp_P39061_COIA1_MOUSE Collagen alpha-1_XVIII_ chain OS=Mus musculus OX=10090 GN=Col18a1 PE=1 SV=4, Mus_musculus_sp_P39061_COIA1_MOUSE sp_P39061_COIA1_MOUSE Collagen alpha-1_XVIII_ chain OS=Mus musculus OX=10090 GN=Col18a1 PE=1 SV=4	Caenorhabditis_elegans_C36B1.1d C36B1.1d
OG0000088	Mus_musculus_sp_Q8VCC9_SPON1_MOUSE sp_Q8VCC9_SPON1_MOUSE Spondin-1 OS=Mus musculus OX=10090 GN=Spon1 PE=1 SV=1	Caenorhabditis_elegans_F10E7.4 F10E7.4
OG0000102	Mus_musculus_sp_Q9WVH9_FBLN5_MOUSE sp_Q9WVH9_FBLN5_MOUSE Fibulin-5 OS=Mus musculus OX=10090 GN=Fbln5 PE=1 SV=1, Mus_musculus_sp_Q9WVJ9_FBLN4_MOUSE sp_Q9WVJ9_FBLN4_MOUSE EGF-containing fibulin-like extracellular matrix protein 2 OS=Mus musculus OX=10090 GN=Efemp2 PE=1 SV=1, Mus_musculus_sp_Q8BPB5_FBLN3_MOUSE sp_Q8BPB5_FBLN3_MOUSE EGF-containing fibulin-like extracellular matrix protein 1 OS=Mus musculus OX=10090 GN=Efemp1 PE=1 SV=1	Caenorhabditis_elegans_ZK783.1e ZK783.1e
OG0000114	Mus_musculus_sp_Q9D968_HCFC2_MOUSE sp_Q9D968_HCFC2_MOUSE Host cell factor 2 OS=Mus musculus OX=10090 GN=Hcfc2 PE=1 SV=2	Caenorhabditis_elegans_C46A5.9 C46A5.9
OG0000120	Mus_musculus_sp_O35988_SDC4_MOUSE sp_O35988_SDC4_MOUSE Syndecan-4 OS=Mus musculus OX=10090 GN=Sdc4 PE=1 SV=1, Mus_musculus_sp_P43407_SDC2_MOUSE sp_P43407_SDC2_MOUSE Syndecan-2 OS=Mus musculus OX=10090 GN=Sdc2 PE=1 SV=1, Mus_musculus_sp_P18828_SDC1_MOUSE sp_P18828_SDC1_MOUSE Syndecan-1 OS=Mus musculus OX=10090 GN=Sdc1 PE=1 SV=1, Mus_musculus_sp_Q64519_SDC3_MOUSE sp_Q64519_SDC3_MOUSE Syndecan-3 OS=Mus musculus OX=10090 GN=Sdc3 PE=1 SV=2	Caenorhabditis_elegans_F57C7.3b F57C7.3b
OG0000156	Mus_musculus_sp_C0HKD9_MFA1B_MOUSE sp_C0HKD9_MFA1B_MOUSE Microfibrillar-associated protein 1B OS=Mus musculus OX=10090 GN=Mfap1b PE=1 SV=1	Caenorhabditis_elegans_F43G9.10 F43G9.10
OG0000269	Mus_musculus_sp_Q8BMF8_GLDN_MOUSE sp_Q8BMF8_GLDN_MOUSE Gliomedin OS=Mus musculus OX=10090 GN=Gldn PE=1 SV=1	Caenorhabditis_elegans_F11C3.2 F11C3.2, Caenorhabditis_elegans_C48E7.5 C48E7.5
OG0000351	Mus_musculus_sp_O08677_KNG1_MOUSE sp_O08677_KNG1_MOUSE Kininogen-1 OS=Mus musculus OX=10090 GN=Kng1 PE=1 SV=1, Mus_musculus_sp_O08677_KNG1_MOUSE sp_O08677_KNG1_MOUSE Kininogen-1 OS=Mus musculus OX=10090 GN=Kng1 PE=1 SV=1, Mus_musculus_sp_O08677_KNG1_MOUSE sp_O08677_KNG1_MOUSE Kininogen-1 OS=Mus musculus OX=10090 GN=Kng1 PE=1 SV=1	Caenorhabditis_elegans_K08B4.6 K08B4.6, Caenorhabditis_elegans_R01B10.1a R01B10.1a
OG0000353	Mus_musculus_sp_Q8K4G2_CONA1_MOUSE sp_Q8K4G2_CONA1_MOUSE Collagen alpha-1_XXIII_ chain OS=Mus musculus OX=10090 GN=Col23a1 PE=2 SV=2	Caenorhabditis_elegans_F29C4.8e F29C4.8e
